Quarter,Time,Down,ToGo,Location,DEN,TAM,Detail,EPB,EPA
,,,,,,,Broncos won the coin toss Broncos to receive the opening kickoff.,,
1,15:00,,,TAM 35,0,0,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DEN 30,0,0,Bo Nix pass complete deep left to Courtland Sutton for 22 yards (tackle by Jamel Dean),0.940,2.390
1,14:26,1,10,TAM 48,0,0,Bo Nix pass complete short right to Nate Adkins for 6 yards (tackle by YaYa Diaby and Zyon McCollum),2.390,2.660
1,13:47,2,4,TAM 42,0,0,Bo Nix pass complete deep right to Josh Reynolds for 31 yards (tackle by Zyon McCollum),2.660,4.840
1,12:58,1,10,TAM 11,0,0,Penalty on DEN: Delay of Game 5 yards (accepted) (no play),4.840,4.340
1,12:34,1,15,TAM 16,0,0,Bo Nix right end for 2 yards (tackle by Zyon McCollum),4.340,3.690
1,11:52,2,13,TAM 14,0,0,Bo Nix pass complete short left to Javonte Williams for 11 yards (tackle by Jamel Dean and Tykee Smith),3.690,4.890
1,11:11,3,2,TAM 3,6,0,Bo Nix scrambles right end for 3 yards touchdown,4.890,7.000
1,11:05,,,TAM 15,7,0,Wil Lutz kicks extra point good,0.000,0.000
1,11:05,,,DEN 35,7,0,Wil Lutz kicks off 67 yards returned by Sean Tucker for 27 yards (tackle by Tanner McCalister and Devon Key),0.000,0.610
1,10:59,1,10,TAM 25,7,0,Rachaad White right guard for no gain (tackle by John Franklin-Myers and D.J. Jones),0.610,0.060
1,10:25,2,10,TAM 25,7,0,Baker Mayfield pass incomplete short right,0.060,-0.620
1,10:18,3,10,TAM 25,7,0,Baker Mayfield pass complete short left to Rachaad White for 2 yards (tackle by Alex Singleton and Brandon Jones),-0.620,-1.570
1,9:37,4,8,TAM 27,7,0,Jake Camarda punts 67 yards returned by Marvin Mims for 27 yards (tackle by Sean Tucker and Anthony Nelson),-1.570,-1.140
1,9:22,1,10,DEN 33,7,0,Javonte Williams right tackle for 3 yards (tackle by Jordan Whitehead),1.140,1.000
1,8:41,2,7,DEN 36,7,0,Jaleel McLaughlin left end for 2 yards (tackle by Tykee Smith and Jordan Whitehead),1.000,0.560
1,8:06,3,5,DEN 38,7,0,Bo Nix pass incomplete short right intended for Lil'Jordan Humphrey,0.560,-0.850
1,8:03,4,5,DEN 38,7,0,Riley Dixon punts 49 yards fair catch by Trey Palmer at TB-13,-0.850,0.320
1,7:55,1,10,TAM 13,7,0,Baker Mayfield pass complete short right to Chris Godwin for 7 yards (tackle by Riley Moss),-0.320,0.220
1,7:17,2,3,TAM 20,7,0,Rachaad White right end for 4 yards (tackle by Ja'Quan McMillian),0.220,0.540
1,6:44,1,10,TAM 24,7,0,Rachaad White left guard for 4 yards (tackle by Alex Singleton and Jonathon Cooper),0.540,0.540
1,6:04,2,6,TAM 28,7,0,Baker Mayfield pass complete short left to Cade Otton for 2 yards (tackle by P.J. Locke),0.540,0.100
1,5:25,3,4,TAM 30,7,0,Baker Mayfield pass deep right intended for Mike Evans is intercepted by Brandon Jones at TB-46 and returned for 37 yards (tackle by Tristan Wirfs and Rachaad White),0.100,-5.140
1,5:10,1,9,TAM 9,7,0,Bo Nix sacked by Anthony Nelson for no gain. Bo Nix fumbles (forced by Anthony Nelson) recovered by Logan Hall at TB-16. Penalty on Greg Gaines: Defensive Offside 5 yards (accepted) (no play),5.140,6.280
1,5:00,1,4,TAM 4,7,0,Javonte Williams up the middle for 2 yards (tackle by SirVocea Dennis),6.280,5.720
1,4:25,2,2,TAM 2,7,0,Jaleel McLaughlin up the middle for 1 yard (tackle by Greg Gaines and Tykee Smith),5.720,5.170
1,3:44,3,1,TAM 1,7,0,Javonte Williams up the middle for no gain (tackle by Jordan Whitehead and Greg Gaines) DEN challenged the runner was down by contact ruling and the play was upheld.,5.170,3.550
1,3:02,4,1,TAM 1,13,0,Jaleel McLaughlin right end for 1 yard touchdown,3.550,7.000
1,2:56,,,TAM 15,14,0,Wil Lutz kicks extra point good,0.000,0.000
1,2:56,,,DEN 35,14,0,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
1,2:56,1,10,TAM 30,14,0,Bucky Irving right guard for 3 yards (tackle by Jonathon Cooper and Cody Barton),0.940,0.800
1,2:16,2,7,TAM 33,14,0,Baker Mayfield sacked by Devon Key for no gain,0.800,0.100
1,1:29,3,7,TAM 33,14,0,Baker Mayfield pass incomplete short left intended for Trey Palmer (defended by Riley Moss),0.100,-1.180
1,1:25,4,7,TAM 33,14,0,Jake Camarda punts 33 yards downed by J.J. Russell,-1.180,-1.200
1,1:17,1,10,DEN 34,14,0,Jaleel McLaughlin left tackle for 7 yards (tackle by K.J. Britt),1.200,1.600
1,0:48,2,3,DEN 41,14,0,Bo Nix pass incomplete deep right intended for Troy Franklin,1.600,0.890
1,0:41,3,3,DEN 41,14,0,Bo Nix pass complete short right to Lil'Jordan Humphrey for 2 yards (tackle by Jordan Whitehead and SirVocea Dennis),0.890,-0.520
1,0:09,4,1,DEN 43,14,0,Bo Nix left tackle for 3 yards (tackle by YaYa Diaby),-0.520,1.990
2,15:00,1,10,DEN 46,14,0,Bo Nix pass complete short left to Javonte Williams for 7 yards (tackle by Lavonte David and Jamel Dean),1.990,2.400
2,14:20,2,3,TAM 47,14,0,Bo Nix pass complete deep left to Courtland Sutton for 17 yards (tackle by Jamel Dean),2.400,3.580
2,13:53,1,10,TAM 30,14,0,Bo Nix pass complete short left to Courtland Sutton for 6 yards (tackle by Jamel Dean),3.580,3.840
2,13:18,2,4,TAM 24,14,0,Tyler Badie right tackle for 4 yards (tackle by K.J. Britt),3.840,4.240
2,12:34,1,10,TAM 20,14,0,Bo Nix pass complete short left to Troy Franklin for 6 yards (tackle by Christian Izien and Jamel Dean),4.240,4.640
2,11:50,2,4,TAM 14,14,0,Bo Nix scrambles left end for no gain (tackle by Christian Izien). Penalty on Garett Bolles: Offensive Holding 10 yards (accepted) (no play),4.640,3.150
2,11:18,2,14,TAM 24,14,0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 1 yard (tackle by Jamel Dean),3.150,2.610
2,10:35,3,13,TAM 23,14,0,Bo Nix pass complete short left to Javonte Williams for 3 yards (tackle by Lavonte David and Logan Hall). Penalty on Ben Powers: Offensive Illegal Block Above the Waist 10 yards (accepted),2.610,1.680
2,10:03,3,20,TAM 30,14,0,Bo Nix pass complete short right to Troy Franklin for 5 yards (tackle by Joe Tryon-Shoyinka and Tykee Smith),1.680,1.800
2,9:29,4,15,TAM 25,17,0,Wil Lutz 43 yard field goal good,1.800,3.000
2,9:25,,,DEN 35,17,0,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,9:25,1,10,TAM 30,17,0,Bucky Irving left guard for 1 yard (tackle by Alex Singleton),0.940,0.530
