Quarter,Time,Down,ToGo,Location,DET,ARI,Detail,EPB,EPA
,,,,,,,Cardinals won the coin toss and deferred Lions to receive the opening kickoff.,,
1,15:00,,,ARI 35,0,0,Matt Prater kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DET 30,0,0,David Montgomery up the middle for 11 yards (tackle by Jalen Thompson),0.940,1.660
1,14:24,1,10,DET 41,0,0,David Montgomery right tackle for 6 yards (tackle by Kyzir White and Dennis Gardeck),1.660,1.930
1,14:02,2,4,DET 47,0,0,David Montgomery left tackle for -2 yards (tackle by Bilal Nichols),1.930,0.960
1,13:23,3,6,DET 45,0,0,Jared Goff pass complete short right to Sam LaPorta for 12 yards (tackle by Owen Pappoe),0.960,2.720
1,12:48,1,10,ARI 43,0,0,Jared Goff pass complete short middle to Brock Wright for 8 yards (tackle by Jalen Thompson and Mack Wilson),2.720,3.260
1,12:13,2,2,ARI 35,0,0,Jared Goff pass complete short right to Brock Wright for 11 yards (tackle by Sean Murphy-Bunting),3.260,3.970
1,11:40,1,10,ARI 24,0,0,David Montgomery up the middle for 9 yards (tackle by Jalen Thompson and Kyzir White),3.970,4.850
1,11:00,2,1,ARI 15,0,0,David Montgomery left tackle for 14 yards (tackle by Kyzir White and Starling Thomas),4.850,6.970
1,10:19,1,1,ARI 1,6,0,David Montgomery up the middle for 1 yard touchdown,6.970,7.000
1,10:16,,,ARI 15,7,0,Jake Bates kicks extra point good,0.000,0.000
1,10:16,,,DET 35,7,0,Jake Bates kicks off 65 yards touchback.,0.000,0.940
1,10:16,1,10,ARI 30,7,0,James Conner left tackle for 1 yard (tackle by Marcus Davenport),0.940,0.530
1,9:41,2,9,ARI 31,7,0,Kyler Murray pass complete short right to Trey McBride for 7 yards (tackle by Jack Campbell and Malcolm Rodriguez),0.530,0.760
1,9:18,3,2,ARI 38,7,0,Kyler Murray pass complete short right to Michael Wilson for 5 yards (tackle by Jack Campbell and Brian Branch),0.760,1.800
1,8:39,1,10,ARI 43,7,0,Kyler Murray right end for 13 yards (tackle by Carlton Davis),1.800,2.650
1,7:59,1,10,DET 44,7,0,Kyler Murray pass complete deep right to Marvin Harrison for 16 yards (tackle by Terrion Arnold),2.650,3.710
