Quarter,Time,Down,ToGo,Location,GNB,TEN,Detail,EPB,EPA
,,,,,,,Titans won the coin toss and deferred Packers to receive the opening kickoff.,,
1,15:00,,,TEN 35,0,0,Nick Folk kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,GNB 30,0,0,Malik Willis pass complete short middle to Jayden Reed for 30 yards (tackle by Quandre Diggs),0.940,2.920
1,14:24,1,10,TEN 40,0,0,Josh Jacobs up the middle for 4 yards (tackle by Jeffery Simmons),2.920,2.910
1,13:48,2,6,TEN 36,0,0,Malik Willis pass incomplete short right intended for Dontayvion Wicks,2.910,2.210
1,13:43,3,6,TEN 36,0,0,Malik Willis pass complete deep right to Christian Watson for 30 yards (tackle by Roger McCreary),2.210,5.830
1,13:04,1,6,TEN 6,0,0,Josh Jacobs up the middle for 1 yard (tackle by Harold Landry),5.830,5.150
1,12:30,2,5,TEN 5,6,0,Malik Willis right end for 5 yards touchdown,5.150,7.000
1,12:25,,,TEN 15,7,0,Brayden Narveson kicks extra point good,0.000,0.000
1,12:25,,,GNB 35,7,0,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
1,12:25,1,10,TEN 30,7,0,Will Levis pass complete deep left to Josh Whyle for 23 yards (tackle by Eric Wilson),0.940,2.460
1,11:48,1,10,GNB 47,7,0,Will Levis pass complete short left to Chigoziem Okonkwo for 8 yards (tackle by Eric Stokes),2.460,2.990
1,11:08,2,2,GNB 39,7,0,Tony Pollard left guard for 3 yards (tackle by Rashan Gary),2.990,3.180
1,10:30,1,10,GNB 36,7,0,Tony Pollard left end for 1 yard (tackle by Devonte Wyatt),3.180,2.770
1,9:53,2,9,GNB 35,7,0,Will Levis pass incomplete short right intended for Calvin Ridley,2.770,2.080
1,9:47,3,9,GNB 35,7,0,Will Levis pass complete short middle to Tyler Boyd for 20 yards (tackle by Quay Walker and Edgerrin Cooper),2.080,4.580
1,9:00,1,10,GNB 15,7,0,Tony Pollard left end for 2 yards (tackle by Isaiah McDuffie),4.580,4.280
1,8:22,2,8,GNB 13,7,0,Will Levis pass incomplete short middle intended for Tyler Boyd,4.280,3.400
1,8:15,3,8,GNB 13,7,0,Will Levis sacked by Rashan Gary for no gain. Penalty on Preston Smith: Defensive Offside 5 yards (accepted) (no play),3.400,4.450
1,7:57,3,3,GNB 8,7,0,Will Levis pass complete short middle to Josh Whyle for 7 yards (tackle by Quay Walker),4.450,6.970
1,7:18,1,1,GNB 1,7,6,Will Levis pass complete short right to Nick Vannett for 1 yard touchdown,6.970,7.000
1,7:15,,,GNB 15,7,7,Nick Folk kicks extra point good,0.000,0.000
1,7:15,,,TEN 35,7,7,Nick Folk kicks off 65 yards touchback.,0.000,0.940
1,7:15,1,10,GNB 30,7,7,Josh Jacobs right guard for -1 yards (tackle by Amani Hooker),0.940,0.260
1,6:43,2,11,GNB 29,7,7,Malik Willis pass complete short left to Jayden Reed for 9 yards (tackle by Quandre Diggs),0.260,0.760
1,5:59,,,,,,Timeout #1 by Green Bay Packers,,
1,5:59,3,2,GNB 38,7,7,Malik Willis scrambles left end for 20 yards (tackle by Ernest Jones),0.760,2.790
1,5:19,1,10,TEN 42,7,7,Emanuel Wilson up the middle for no gain (tackle by Jeffery Simmons and Arden Key),2.790,2.240
1,4:44,2,10,TEN 42,7,7,Malik Willis pass complete short left to Luke Musgrave for 3 yards (tackle by Chidobe Awuzie and Kenneth Murray),2.240,1.950
1,4:07,3,7,TEN 39,7,7,Malik Willis scrambles up the middle for 8 yards (tackle by Harold Landry),1.950,3.510
1,3:16,1,10,TEN 31,7,7,Malik Willis right end for 29 yards (tackle by L'Jarius Sneed),3.510,6.740
1,2:33,1,2,TEN 2,7,7,Josh Jacobs right guard for -2 yards (tackle by L'Jarius Sneed),6.740,5.340
1,1:56,2,4,TEN 4,7,7,Josh Jacobs up the middle for 1 yard (tackle by T'Vondre Sweat and Jaylen Harrell),5.340,4.720
