Quarter,Time,Down,ToGo,Location,HOU,MIN,Detail,EPB,EPA
,,,,,,,Vikings won the coin toss and deferred Texans to receive the opening kickoff.,,
1,15:00,,,MIN 35,0,0,Will Reichard kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,HOU 30,0,0,C.J. Stroud pass complete deep left to Nico Collins for no gain (tackle by Andrew Van Ginkel). Penalty on Cade Stover: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
1,14:47,1,20,HOU 20,0,0,C.J. Stroud pass short middle (defended by Harrison Phillips) intended for Tank Dell is intercepted by Kamu Grugier-Hill at HOU-26 and returned for 5 yards (tackle by Cam Akers and Nico Collins),0.280,-4.170
1,14:24,1,10,HOU 21,0,0,Aaron Jones left tackle for 3 yards (tackle by Kamari Lassiter and Azeez Al-Shaair),4.170,4.040
1,13:48,2,7,HOU 18,0,0,Sam Darnold pass incomplete short left intended for Johnny Mundt,4.040,3.310
1,13:42,3,7,HOU 18,0,0,Sam Darnold pass complete short right to Justin Jefferson for 9 yards,3.310,5.140
1,13:10,1,9,HOU 9,0,0,Sam Darnold pass incomplete short middle intended for Aaron Jones,5.140,4.380
1,12:54,2,9,HOU 9,0,0,Aaron Jones up the middle for 3 yards (tackle by Jalen Pitre and Tim Settle),4.380,4.040
1,12:10,3,6,HOU 6,0,6,Sam Darnold pass complete short left to Justin Jefferson for 6 yards touchdown,4.040,7.000
1,12:03,,,HOU 15,0,7,Will Reichard kicks extra point good,0.000,0.000
1,12:03,,,MIN 35,0,7,Will Reichard kicks off 65 yards touchback.,0.000,0.940
1,12:03,1,10,HOU 30,0,7,C.J. Stroud scrambles up the middle for 1 yard (tackle by Harrison Phillips),0.940,0.530
1,11:23,2,9,HOU 31,0,7,Cam Akers right end for 2 yards (tackle by Kamu Grugier-Hill),0.530,0.100
1,10:40,3,7,HOU 33,0,7,C.J. Stroud pass complete short left to Stefon Diggs for 7 yards (tackle by Byron Murphy),0.100,1.600
1,9:57,1,10,HOU 40,0,7,Cam Akers right end for 8 yards (tackle by Camryn Bynum),1.600,2.130
1,9:14,2,2,HOU 48,0,7,C.J. Stroud pass complete short right to Stefon Diggs for 7 yards (tackle by Blake Cashman),2.130,2.590
1,8:30,1,10,MIN 45,0,7,Penalty on Laremy Tunsil: False Start 5 yards (accepted) (no play),2.590,2.260
1,8:07,1,15,MIN 50,0,7,C.J. Stroud pass complete short right to Dalton Schultz for no gain. Dalton Schultz fumbles (forced by Kamu Grugier-Hill) recovered by Stephon Gilmore at MIN-47 (tackle by C.J. Stroud) Replay Assistant challenged the fumble ruling and the original play was overturned. C.J. Stroud pass incomplete short right intended for Dalton Schultz (defended by Kamu Grugier-Hill),2.260,1.370
1,7:59,2,15,MIN 50,0,7,C.J. Stroud pass complete short left to Robert Woods for 5 yards,1.370,1.360
1,7:20,3,10,MIN 45,0,7,C.J. Stroud scrambles left tackle for 7 yards (tackle by Andrew Van Ginkel),1.360,0.720
1,6:54,4,3,MIN 38,0,7,C.J. Stroud pass complete short right to Dalton Schultz for 3 yards (tackle by Josh Metellus),0.720,3.250
1,6:13,1,10,MIN 35,0,7,Cam Akers right tackle for 9 yards (tackle by Camryn Bynum),3.250,3.920
1,5:30,2,1,MIN 26,0,7,C.J. Stroud sacked by Jonathan Greenard for -10 yards,3.920,1.880
1,4:43,3,11,MIN 36,0,7,C.J. Stroud pass incomplete short right intended for Dalton Schultz,1.880,0.880
1,4:36,4,11,MIN 36,0,7,Ka'imi Fairbairn 54 yard field goal no good,0.880,-1.860
1,4:31,1,10,MIN 44,0,7,Sam Darnold pass complete deep right to Justin Jefferson for 28 yards (tackle by Azeez Al-Shaair),1.860,3.710
1,3:48,1,10,HOU 28,0,7,Aaron Jones left guard for 7 yards (tackle by Eric Murray and Jimmie Ward),3.710,4.110
1,3:12,2,3,HOU 21,0,7,Sam Darnold pass complete short left to Justin Jefferson for 5 yards,4.110,4.510
1,2:41,1,10,HOU 16,0,7,Sam Darnold pass complete short middle to Aaron Jones for 4 yards (tackle by Folorunso Fatukasi),4.510,4.570
1,1:59,2,6,HOU 12,0,7,Aaron Jones left tackle for 4 yards (tackle by Azeez Al-Shaair and Jalen Pitre),4.570,4.620
1,1:13,3,2,HOU 8,0,13,Sam Darnold pass complete short left to Aaron Jones for 8 yards touchdown,4.620,7.000
1,1:08,,,HOU 15,0,14,Will Reichard kicks extra point good,0.000,0.000
1,1:08,,,MIN 35,0,14,Will Reichard kicks off 65 yards touchback.,0.000,0.940
1,1:08,1,10,HOU 30,0,14,J.J. Taylor left end for 3 yards (tackle by Harrison Smith),0.940,0.800
1,0:43,2,7,HOU 33,0,14,C.J. Stroud pass incomplete deep middle intended for Stefon Diggs,0.800,0.100
1,0:37,3,7,HOU 33,0,14,C.J. Stroud pass complete short middle to Xavier Hutchinson for no gain (tackle by Harrison Smith). Penalty on Laremy Tunsil: Illegal Formation 5 yards (accepted) (no play),0.100,-0.560
1,0:12,3,12,HOU 28,0,14,C.J. Stroud scrambles left end for 4 yards (tackle by Andrew Van Ginkel),-0.560,-1.240
