Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA
,,,,,,,Jaguars won the coin toss and deferred Bills to receive the opening kickoff.,,
1,15:00,,,JAX 35,0,0,Cam Little kicks off 65 yards touchback. touchback.,0.000,0.940
1,15:00,1,10,BUF 30,0,0,Josh Allen pass complete short left to James Cook for 19 yards (tackle by Montaric Brown),0.940,2.190
1,14:25,1,10,BUF 49,0,0,Josh Allen pass incomplete short left intended for Dalton Kincaid,2.190,1.650
1,14:21,2,10,BUF 49,0,0,James Cook left end for 3 yards (tackle by Andre Cisco and Montaric Brown),1.650,1.360
1,13:43,3,7,JAX 48,0,0,Josh Allen pass complete short right to James Cook for 4 yards (tackle by Jarrian Jones),1.360,0.330
1,13:01,4,3,JAX 44,0,0,Josh Allen pass complete short left to Khalil Shakir for 12 yards (tackle by Andre Cisco),0.330,3.450
1,12:29,1,10,JAX 32,0,0,Josh Allen pass complete short right to Khalil Shakir for 12 yards (tackle by Ronald Darby),3.450,4.240
1,11:49,1,10,JAX 20,0,0,Josh Allen pass complete short right to Dawson Knox for 1 yard (tackle by DaVon Hamilton and Yasir Abdullah). Penalty on Dion Dawkins: Ineligible Downfield Pass 5 yards (accepted) (no play),4.240,3.910
1,11:16,1,15,JAX 25,0,0,Josh Allen pass complete short right to Curtis Samuel for 9 yards (tackle by Foyesade Oluokun),3.910,4.280
1,10:41,2,6,JAX 16,0,0,James Cook right guard for 1 yard (tackle by Jarrian Jones),4.280,3.700
1,10:21,3,5,JAX 15,0,0,Josh Allen up the middle for 9 yards (tackle by Devin Lloyd),3.700,5.830
1,9:39,1,6,JAX 6,0,6,James Cook left tackle for 6 yards touchdown,5.830,7.000
1,9:34,,,JAX 15,0,6,Tyler Bass kicks extra point blocked blocked by Roy Robertson-Harris,0.000,-1.000
1,9:34,,,BUF 35,0,6,Tyler Bass kicks off 65 yards returned by Devin Duvernay for 27 yards (tackle by Dorian Williams),0.000,0.740
1,9:27,1,10,JAX 27,0,6,Trevor Lawrence pass complete short right to Travis Etienne for 1 yard (tackle by Dorian Williams),0.740,0.330
1,8:57,2,9,JAX 28,0,6,Trevor Lawrence pass incomplete short right intended for Brian Thomas (defended by Rasul Douglas),0.330,-0.360
1,8:54,3,9,JAX 28,0,6,Trevor Lawrence pass incomplete short right intended for Gabriel Davis (defended by Cameron Lewis). Penalty on Cam Robinson: Offensive Holding 10 yards (declined),-0.360,-1.500
1,8:49,4,9,JAX 28,0,6,Logan Cooke punts 59 yards returned by Brandon Codrington for 22 yards (tackle by Josiah Deguara and Caleb Johnson),-1.500,-1.270
1,8:37,1,10,BUF 35,0,6,Josh Allen pass complete short right to Curtis Samuel for 10 yards (tackle by Christian Braswell and Devin Lloyd),1.270,1.930
1,7:55,1,10,BUF 45,0,6,Josh Allen pass incomplete short left intended for Marquez Valdes-Scantling (defended by Andre Cisco),1.930,1.380
1,7:50,2,10,BUF 45,0,6,Josh Allen pass complete short middle to Marquez Valdes-Scantling for 7 yards (tackle by Ronald Darby),1.380,1.620
1,7:11,3,3,JAX 48,0,6,Josh Allen pass complete deep right to Dalton Kincaid for 28 yards (tackle by Antonio Johnson),1.620,4.240
1,6:35,,,,,,Timeout #1 by Buffalo Bills,,
1,6:35,1,10,JAX 20,0,6,Josh Allen pass incomplete short middle intended for Dawson Knox (defended by Foyesade Oluokun),4.240,3.690
1,6:30,2,10,JAX 20,0,6,Josh Allen pass complete short left to Khalil Shakir for 5 yards (tackle by Christian Braswell),3.690,3.700
1,5:56,3,5,JAX 15,0,6,Josh Allen pass complete short left to Ty Johnson for 4 yards (tackle by Montaric Brown),3.700,2.850
1,5:37,4,1,JAX 11,0,6,Josh Allen left guard for 2 yards (tackle by Foyesade Oluokun),2.850,5.140
1,5:01,1,9,JAX 9,0,6,James Cook right guard for 3 yards (tackle by Josh Hines-Allen),5.140,4.950
