Quarter,Time,Down,ToGo,Location,KAN,ATL,Detail,EPB,EPA
,,,,,,,Chiefs won the coin toss and deferred Falcons to receive the opening kickoff.,,
1,15:00,,,KAN 35,0,0,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,ATL 30,0,0,Kirk Cousins pass complete short right to Darnell Mooney for 9 yards (tackle by Bryan Cook),0.940,1.610
1,14:17,2,1,ATL 39,0,0,Kirk Cousins pass complete deep left to Darnell Mooney for 26 yards (tackle by Bryan Cook),1.610,3.250
1,13:35,1,10,KAN 35,0,0,Bijan Robinson right tackle for -1 yards (tackle by Nick Bolton),3.250,2.570
1,13:01,2,11,KAN 36,0,0,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 15 yards (tackle by Bryan Cook),2.570,4.170
1,12:28,1,10,KAN 21,0,0,Bijan Robinson left end for 5 yards (tackle by Michael Danna),4.170,4.370
1,11:55,2,5,KAN 16,0,0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 2 yards (tackle by Justin Reid),4.370,4.020
1,11:12,3,3,KAN 14,0,6,Kirk Cousins pass complete short left to Drake London for 14 yards touchdown,4.020,7.000
1,11:07,,,KAN 15,0,7,Younghoe Koo kicks extra point good,0.000,0.000
1,11:07,,,ATL 35,0,7,Bradley Pinion kicks off 63 yards returned by Mecole Hardman for 19 yards (tackle by Antonio Hamilton and KhaDarel Hodge). Penalty on Leo Chenal: Offensive Holding 10 yards (accepted),0.000,-0.370
1,11:02,1,10,KAN 11,0,7,Patrick Mahomes pass incomplete short left intended for Rashee Rice,-0.370,-0.780
1,10:57,2,10,KAN 11,0,7,Patrick Mahomes pass complete short right to Xavier Worthy for 10 yards (tackle by Jessie Bates),-0.780,0.340
1,10:28,1,10,KAN 21,0,7,Xavier Worthy left end for 6 yards (tackle by Lorenzo Carter),0.340,0.610
1,9:54,2,4,KAN 27,0,7,Carson Steele left tackle for 7 yards (tackle by Troy Andersen and Mike Hughes),0.610,1.200
