Quarter,Time,Down,ToGo,Location,LAC,PIT,Detail,EPB,EPA
,,,,,,,Steelers won the coin toss and deferred Chargers to receive the opening kickoff.,,
1,15:00,,,PIT 35,0,0,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,LAC 30,0,0,J.K. Dobbins left tackle for 2 yards (tackle by Donte Jackson and Patrick Queen),0.940,0.660
1,14:22,2,8,LAC 32,0,0,J.K. Dobbins right end for 2 yards (tackle by Keeanu Benton and Larry Ogunjobi),0.660,0.230
1,13:40,3,6,LAC 34,0,0,Justin Herbert pass complete short middle to J.K. Dobbins for 3 yards (tackle by Minkah Fitzpatrick and Beanie Bishop),0.230,-0.910
1,12:49,4,3,LAC 37,0,0,JK Scott punts downed by Deane Leonard. Penalty on Stone Smartt: Illegal Formation 5 yards (accepted) (no play),-0.910,-1.240
1,12:38,4,8,LAC 32,0,0,JK Scott punts 47 yards fair catch by Calvin Austin at PIT-21,-1.240,-0.340
1,12:30,1,10,PIT 21,0,0,Justin Fields scrambles up the middle for 4 yards (tackle by Denzel Perryman and Poona Ford),0.340,0.340
1,11:57,2,6,PIT 25,0,0,Najee Harris left guard for 1 yard (tackle by Poona Ford),0.340,-0.230
1,11:26,3,5,PIT 26,0,0,Justin Fields up the middle for -2 yards (tackle by Tuli Tuipulotu),-0.230,-1.770
1,10:46,4,7,PIT 24,0,0,Corliss Waitman punts 52 yards fair catch by Derius Davis at LAC-24,-1.770,-0.540
1,10:39,1,10,LAC 24,0,0,Justin Herbert pass complete short right to Will Dissly for 7 yards (tackle by Donte Jackson),0.540,0.940
1,10:00,2,3,LAC 31,0,0,Bradley Bozeman aborted snap recovered by Justin Herbert at LAC-31,0.940,-0.160
1,9:19,3,6,LAC 28,0,0,Justin Herbert pass complete short right to Ladd McConkey for no gain (tackle by Payton Wilson). Penalty on Joe Alt: Offensive Holding 10 yards (accepted) (no play),-0.160,-1.640
1,8:47,3,16,LAC 18,0,0,Justin Herbert pass complete short right to Hayden Hurst for 8 yards (tackle by Beanie Bishop),-1.640,-1.630
1,8:00,4,8,LAC 26,0,0,JK Scott punts 63 yards returned by Calvin Austin for 13 yards (tackle by Stone Smartt),-1.630,-0.540
1,7:48,1,10,PIT 24,0,0,Justin Fields sacked by Khalil Mack for -7 yards,0.540,-1.080
1,7:07,2,17,PIT 17,0,0,Justin Fields pass complete short left to Jaylen Warren for -4 yards (tackle by Kristian Fulton and Khalil Mack),-1.080,-2.640
1,6:26,3,21,PIT 13,0,0,Justin Fields pass complete short middle to George Pickens for 3 yards (tackle by Derwin James),-2.640,-2.390
1,5:47,4,18,PIT 16,0,0,Corliss Waitman punts 48 yards returned by Derius Davis for 5 yards (tackle by Christian Kuntz and Connor Heyward),-2.390,-1.660
1,5:34,1,10,LAC 41,0,0,Justin Herbert pass complete short middle to Ladd McConkey for 13 yards (tackle by Donte Jackson),1.660,2.520
1,4:56,1,10,PIT 46,0,0,J.K. Dobbins left tackle for 5 yards (tackle by Elandon Roberts),2.520,2.650
1,4:10,2,5,PIT 41,0,0,J.K. Dobbins left guard for 13 yards (tackle by Joey Porter),2.650,3.710
1,3:33,1,10,PIT 28,0,0,Gus Edwards up the middle for 1 yard (tackle by Isaiahh Loudermilk and Elandon Roberts),3.710,3.300
1,2:51,2,9,PIT 27,6,0,Justin Herbert pass complete deep left to Quentin Johnston for 27 yards touchdown,3.300,7.000
1,2:46,,,PIT 15,7,0,Cameron Dicker kicks extra point good,0.000,0.000
1,2:46,,,LAC 35,7,0,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
