Quarter,Time,Down,ToGo,Location,NYG,CLE,Detail,EPB,EPA
,,,,,,,Browns won the coin toss and deferred Giants to receive the opening kickoff.,,
1,15:00,,,CLE 35,0,0,Dustin Hopkins kicks off 66 yards returned by Eric Gray for 24 yards. Eric Gray fumbles (forced by Tony Brown) recovered by Grant Delpit at NYG-24,0.000,-3.970
1,14:55,1,10,NYG 24,0,6,Deshaun Watson pass complete deep left to Amari Cooper for 24 yards touchdown,3.970,7.000
1,14:49,,,NYG 15,0,7,Dustin Hopkins kicks extra point good,0.000,0.000
1,14:49,,,CLE 35,0,7,Dustin Hopkins kicks off 66 yards returned by Eric Gray for 28 yards (tackle by Sam Kamara and D'Anthony Bell),0.000,0.740
1,14:45,1,10,NYG 27,0,7,Devin Singletary right guard for 3 yards (tackle by Shelby Harris and Jeremiah Owusu-Koramoah),0.740,0.600
1,14:06,2,7,NYG 30,0,7,Devin Singletary right guard for -4 yards (tackle by Jordan Hicks),0.600,-0.620
1,13:26,3,11,NYG 26,0,7,Daniel Jones pass complete short right to Malik Nabers for 4 yards (tackle by Denzel Ward),-0.620,-1.370
1,12:50,4,7,NYG 30,0,7,Jamie Gillan punts 56 yards returned by James Proche for 7 yards (tackle by Bryce Ford-Wheaton),-1.370,-0.340
1,12:39,1,10,CLE 21,0,7,Jerome Ford right guard for 4 yards (tackle by Deonte Banks and Brian Burns),0.340,0.340
1,12:20,2,6,CLE 25,0,7,Deshaun Watson pass complete short right to Cedric Tillman for 4 yards (tackle by Cordale Flott),0.340,0.170
1,11:42,3,2,CLE 29,0,7,Deshaun Watson sacked by Micah McFadden for no gain. Penalty on Rakeem Nunez-Roches: Defensive Offside 5 yards (accepted) (no play),0.170,1.200
1,11:22,1,10,CLE 34,0,7,Deshaun Watson pass incomplete short middle intended for Jerome Ford,1.200,0.660
1,11:19,2,10,CLE 34,0,7,Deshaun Watson pass complete short left to Jerry Jeudy for 3 yards (tackle by Andru Phillips and Jason Pinnock),0.660,0.370
1,10:40,3,7,CLE 37,0,7,Deshaun Watson sacked by Dexter Lawrence for -5 yards,0.370,-1.240
1,9:58,4,12,CLE 32,0,7,Corey Bojorquez punts 49 yards out of bounds,-1.240,-0.150
1,9:51,1,10,NYG 19,0,7,Daniel Jones pass short left is intercepted by Ronnie Hickman at NYG-24 and returned for no gain (tackle by Theo Johnson). Penalty on Greg Newsome: Roughing the Passer 15 yards (accepted) (no play),0.150,1.200
1,9:45,1,10,NYG 34,0,7,Daniel Jones pass incomplete deep middle intended for Jalin Hyatt,1.200,0.660
1,9:39,2,10,NYG 34,0,7,Tyrone Tracy up the middle for 4 yards (tackle by Jeremiah Owusu-Koramoah and Jordan Hicks),0.660,0.500
