Quarter,Time,Down,ToGo,Location,PHI,NOR,Detail,EPB,EPA
,,,,,,,Eagles won the coin toss and deferred Saints to receive the opening kickoff.,,
1,15:00,,,PHI 35,0,0,Braden Mann kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,NOR 30,0,0,Alvin Kamara right tackle for no gain (tackle by Nakobe Dean and Jordan Davis),0.940,0.390
1,14:24,2,10,NOR 30,0,0,Derek Carr pass complete short right to Chris Olave for 9 yards (tackle by Darius Slay),0.390,0.890
1,13:56,3,1,NOR 39,0,0,Alvin Kamara right end for 8 yards (tackle by C.J. Gardner-Johnson and Darius Slay),0.890,2.060
1,13:25,1,10,NOR 47,0,0,Alvin Kamara left end for 4 yards (tackle by C.J. Gardner-Johnson),2.060,2.060
1,12:46,2,6,PHI 49,0,0,Penalty on Josh Sweat: Encroachment 5 yards (accepted) (no play),2.060,2.730
1,12:43,2,1,PHI 44,0,0,Alvin Kamara right guard for 2 yards (tackle by Zack Baun),2.730,2.790
1,12:05,1,10,PHI 42,0,0,Derek Carr pass incomplete short middle intended for Mason Tipton,2.790,2.240
1,12:00,2,10,PHI 42,0,0,Alvin Kamara left end for 2 yards (tackle by Nakobe Dean),2.240,1.820
1,11:16,3,8,PHI 40,0,0,Derek Carr pass complete short middle to Chris Olave for 15 yards (tackle by Quinyon Mitchell),1.820,3.910
1,10:31,1,10,PHI 25,0,0,Alvin Kamara right guard for 1 yard (tackle by Brandon Graham and Jalen Carter),3.910,3.500
1,9:50,2,9,PHI 24,0,0,Derek Carr pass complete short left to Jamaal Williams for no gain (tackle by Zack Baun and Nakobe Dean),3.500,2.810
1,9:09,3,9,PHI 24,0,0,Derek Carr pass complete short left to Chris Olave for 12 yards (tackle by Reed Blankenship),2.810,4.780
1,8:24,1,10,PHI 12,0,0,Alvin Kamara right tackle for 4 yards (tackle by Nolan Smith),4.780,4.830
1,7:54,2,6,PHI 8,0,0,Penalty on Foster Moreau: False Start 5 yards (accepted) (no play),4.830,3.940
1,7:38,2,11,PHI 13,0,0,Alvin Kamara right end for -3 yards (tackle by Milton Williams and Zack Baun),3.940,2.930
1,6:56,3,14,PHI 16,0,0,Derek Carr pass incomplete short middle intended for Jamaal Williams (defended by Jalen Carter),2.930,2.380
1,6:53,4,14,PHI 16,0,3,Blake Grupe 34 yard field goal good,2.380,3.000
1,6:51,,,NOR 35,0,3,Blake Grupe kicks off 65 yards touchback.,0.000,0.940
1,6:51,1,10,PHI 30,0,3,Jalen Hurts right guard for -3 yards (tackle by Carl Granderson),0.940,-0.010
1,6:10,2,13,PHI 27,0,3,Jalen Hurts pass complete short left to Dallas Goedert for 2 yards (tackle by Carl Granderson),-0.010,-0.430
1,5:23,3,11,PHI 29,0,3,Jalen Hurts sacked by and Alontae Taylor for -8 yards and Carl Granderson for -8 yards,-0.430,-1.960
1,4:44,4,19,PHI 21,0,3,Braden Mann punts 43 yards returned by Rashid Shaheed for no gain (tackle by Jack Stoll),-1.960,-1.330
1,4:33,1,10,NOR 36,0,3,Derek Carr sacked by Jordan Davis for -12 yards,1.330,-0.830
1,3:50,2,22,NOR 24,0,3,Derek Carr pass incomplete deep middle intended for Rashid Shaheed (defended by C.J. Gardner-Johnson),-0.830,-1.480
1,3:46,3,22,NOR 24,0,3,Alvin Kamara left guard for 9 yards (tackle by Zack Baun),-1.480,-1.180
1,2:59,4,13,NOR 33,0,3,Matthew Hayball punts 44 yards out of bounds,-1.180,-0.480
1,2:51,1,10,PHI 23,0,3,Jalen Hurts pass complete short left to DeVonta Smith for 21 yards (tackle by Demario Davis),0.480,1.860
1,2:08,1,10,PHI 44,0,3,Jalen Hurts pass complete deep left to Dallas Goedert for 43 yards (tackle by Tyrann Mathieu),1.860,4.710
1,1:24,1,10,NOR 13,0,3,Jalen Hurts right end for no gain (tackle by Carl Granderson),4.710,4.050
1,0:37,2,10,NOR 13,0,3,Jalen Hurts pass complete short right to Saquon Barkley for 2 yards (tackle by Willie Gay),4.050,3.450
2,15:00,3,8,NOR 11,0,3,Jalen Hurts pass short middle intended for DeVonta Smith is intercepted by Tyrann Mathieu in end zone and returned for 23 yards (tackle by Dallas Goedert),3.450,-0.150
2,14:49,1,10,NOR 19,0,3,Derek Carr pass incomplete short left,0.150,-0.390
2,14:45,2,10,NOR 19,0,3,Derek Carr pass complete short left to Alvin Kamara for 8 yards (tackle by Zack Baun),-0.390,-0.030
2,14:05,3,2,NOR 27,0,3,Derek Carr pass incomplete short right intended for Foster Moreau (defended by Jalen Carter),-0.030,-1.570
2,14:02,4,2,NOR 27,0,3,Matthew Hayball punts 52 yards fair catch by Britain Covey at PHI-21,-1.570,-0.340
2,13:54,1,10,PHI 21,0,3,Saquon Barkley right tackle for 1 yard (tackle by Demario Davis),0.340,-0.070
2,13:16,2,9,PHI 22,0,3,Saquon Barkley right guard for 11 yards (tackle by Will Harris),-0.070,1.140
2,12:48,1,10,PHI 33,0,3,Jalen Hurts scrambles left end for 6 yards (tackle by Marshon Lattimore),1.140,1.400
2,12:03,2,4,PHI 39,0,3,Penalty on Jordan Mailata: False Start 5 yards (accepted) (no play),1.400,0.730
2,11:38,2,9,PHI 34,0,3,Jalen Hurts pass complete short right to Britain Covey for 11 yards (tackle by Will Harris),0.730,1.930
2,11:06,1,10,PHI 45,0,3,Jalen Hurts pass complete short right to Dallas Goedert for 9 yards (tackle by Tyrann Mathieu),1.930,2.600
