Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA
,,,,,,,Rams won the coin toss and deferred 49ers to receive the opening kickoff.,,
1,15:00,,,LAR 35,0,0,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,SFO 30,0,0,Jordan Mason up the middle for 6 yards (tackle by Neville Gallimore and Christian Rozeboom),0.940,1.200
1,14:31,2,4,SFO 36,0,0,Brock Purdy pass complete short left to Brandon Aiyuk for 11 yards (tackle by Christian Rozeboom). Penalty on Christian Rozeboom: Face Mask (15 Yards) 15 yards (accepted),1.200,3.050
1,14:12,1,10,LAR 38,0,0,Brock Purdy pass incomplete short right intended for Jauan Jennings (defended by Byron Young),3.050,2.510
1,14:03,2,10,LAR 38,0,0,Jordan Mason left tackle for 7 yards (tackle by Quentin Lake and Troy Reeder),2.510,2.740
1,13:17,3,3,LAR 31,0,0,Jordan Mason up the middle for 7 yards (tackle by Kamren Kinchens and Kamren Curl),2.740,3.970
1,12:38,1,10,LAR 24,0,0,Jordan Mason right guard for 4 yards (tackle by Tre'Davious White and Jared Verse),3.970,3.970
1,11:52,2,6,LAR 20,0,0,Brock Purdy pass complete short right to Jordan Mason for 7 yards (tackle by Troy Reeder),3.970,4.710
1,11:17,1,10,LAR 13,6,0,Brock Purdy pass complete short middle to Jauan Jennings for 13 yards touchdown,4.710,7.000
1,11:12,,,LAR 15,7,0,Jake Moody kicks extra point good,0.000,0.000
1,11:12,,,SFO 35,7,0,Jake Moody kicks off 65 yards touchback.,0.000,0.940
1,11:12,1,10,LAR 30,7,0,Kyren Williams right guard for 5 yards (tackle by Talanoa Hufanga),0.940,1.070
1,10:32,2,5,LAR 35,7,0,Kyren Williams up the middle for 3 yards (tackle by De'Vondre Campbell and Leonard Floyd),1.070,0.760
1,9:57,3,2,LAR 38,7,0,Matthew Stafford pass incomplete short left intended for Tyler Johnson,0.760,-0.850
1,9:49,4,2,LAR 38,7,0,Ethan Evans punts 48 yards returned by Jacob Cowing for 9 yards (tackle by Nick Hampton),-0.850,-0.480
1,9:40,1,10,SFO 23,7,0,Jordan Mason left tackle for -2 yards (tackle by Byron Young),0.480,-0.340
1,9:05,2,12,SFO 21,7,0,Jordan Mason up the middle for 4 yards (tackle by Troy Reeder and Christian Rozeboom),-0.340,-0.490
1,8:21,3,8,SFO 25,7,0,Brock Purdy pass incomplete deep middle intended for Brandon Aiyuk. Penalty on Tre'Davious White: Defensive Holding 5 yards (accepted) (no play),-0.490,0.940
1,8:11,1,10,SFO 30,7,0,Brock Purdy pass complete short middle to Brandon Aiyuk for no gain (tackle by Kamren Curl). Penalty on Dominick Puni: Ineligible Downfield Pass 5 yards (accepted) (no play),0.940,0.610
1,7:51,1,15,SFO 25,7,0,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,0.610,-0.280
1,7:43,2,15,SFO 25,7,0,Brock Purdy pass complete deep middle to Jauan Jennings for 34 yards (tackle by Kamren Curl),-0.280,2.850
1,6:59,1,10,LAR 41,7,0,Jordan Mason right tackle for 1 yard (tackle by Troy Reeder and Jared Verse),2.850,2.440
1,6:18,2,9,LAR 40,7,0,Brock Purdy pass complete short middle to Brandon Aiyuk for 2 yards (tackle by Cobie Durant and Byron Young),2.440,2.020
1,5:35,3,7,LAR 38,7,0,Brock Purdy pass incomplete deep left intended for Jauan Jennings. Penalty on Quentin Lake: Illegal Contact 5 yards (accepted) (no play),2.020,3.380
1,5:24,1,10,LAR 33,7,0,Brock Purdy pass incomplete short left intended for Ronnie Bell. Penalty on Trent Williams: Offensive Holding 10 yards (accepted) (no play),3.380,2.720
1,5:20,1,20,LAR 43,7,0,Brock Purdy pass complete deep right to Eric Saubert for 16 yards (tackle by Kamren Curl),2.720,3.650
1,4:43,2,4,LAR 27,7,0,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,3.650,2.940
1,4:37,3,4,LAR 27,7,0,Brock Purdy pass incomplete short right intended for Brandon Aiyuk. Penalty on Kamren Curl: Defensive Pass Interference 14 yards (accepted) (no play),2.940,4.710
1,4:33,1,10,LAR 13,7,0,Jordan Mason up the middle for 3 yards (tackle by Christian Rozeboom),4.710,4.580
1,4:00,2,7,LAR 10,7,0,Brock Purdy pass complete short left to Brandon Aiyuk for 9 yards (tackle by Christian Rozeboom and Quentin Lake),4.580,6.970
1,3:19,1,1,LAR 1,7,0,Jordan Mason left guard for -3 yards (tackle by Tyler Davis and Bobby Brown),6.970,5.340
1,2:35,2,4,LAR 4,7,0,Jordan Mason up the middle for no gain (tackle by Kamren Kinchens),5.340,4.490
1,1:53,3,4,LAR 4,13,0,Brock Purdy pass complete short right to Jauan Jennings for 4 yards touchdown,4.490,7.000
1,1:47,,,LAR 15,14,0,Jake Moody kicks extra point good,0.000,0.000
1,1:47,,,SFO 35,14,0,Jake Moody kicks off 65 yards touchback.,0.000,0.940
1,1:47,1,10,LAR 30,14,0,Kyren Williams left end for 13 yards (tackle by Talanoa Hufanga),0.940,1.800
1,1:15,1,10,LAR 43,14,0,Kyren Williams up the middle for 6 yards (tackle by De'Vondre Campbell),1.800,2.060
1,0:34,2,4,LAR 49,14,0,Kyren Williams up the middle for 2 yards (tackle by Fred Warner and De'Vondre Campbell),2.060,1.620
2,15:00,3,2,SFO 49,14,0,Kyren Williams right guard for 4 yards (tackle by Leonard Floyd and Charvarius Ward),1.620,2.590
2,14:21,1,10,SFO 45,14,0,Matthew Stafford pass complete short left to Demarcus Robinson for no gain. Penalty on Hunter Long: Offensive Holding 10 yards (accepted) (no play),2.590,1.930
