Quarter,Time,Down,ToGo,Location,WAS,CIN,Detail,EPB,EPA
,,,,,,,Commanders won the coin toss and deferred Bengals to receive the opening kickoff.,,
1,15:00,,,WAS 35,0,0,Austin Seibert kicks off 64 yards returned by Chase Brown for 28 yards (tackle by Jamin Davis),0.000,0.870
1,14:54,1,10,CIN 29,0,0,Joe Burrow pass complete short left to Ja'Marr Chase for 1 yard (tackle by Bobby Wagner),0.870,0.460
1,14:16,2,9,CIN 30,0,0,Joe Burrow pass complete short right to Andrei Iosivas for 8 yards (tackle by Mike Sainristil),0.460,0.830
1,13:35,3,1,CIN 38,0,0,Joe Burrow scrambles left guard for 4 yards (tackle by Benjamin St-Juste),0.830,1.730
1,13:00,1,10,CIN 42,0,0,Zack Moss left guard for 2 yards (tackle by Daron Payne),1.730,1.460
1,12:27,2,8,CIN 44,0,0,Zack Moss right tackle for 15 yards (tackle by Quan Martin and Frankie Luvu),1.460,2.850
1,11:43,1,10,WAS 41,0,6,Joe Burrow pass complete deep left to Ja'Marr Chase for 41 yards touchdown,2.850,7.000
1,11:37,,,WAS 15,0,7,Evan McPherson kicks extra point good,0.000,0.000
1,11:37,,,CIN 35,0,7,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
1,11:37,1,10,WAS 30,0,7,Austin Ekeler right tackle for 8 yards (tackle by Germaine Pratt and Vonn Bell),0.940,1.470
1,11:17,2,2,WAS 38,0,7,Jayden Daniels pass complete short right to Austin Ekeler for 8 yards (tackle by Daxton Hill),1.470,1.990
1,10:49,1,10,WAS 46,0,7,Brian Robinson right guard for no gain (tackle by Germaine Pratt and Mike Hilton),1.990,1.450
1,10:17,2,10,WAS 46,0,7,Jayden Daniels pass complete short right to Austin Ekeler for 14 yards (tackle by Daxton Hill and Geno Stone),1.450,2.920
1,9:39,1,10,CIN 40,0,7,Jayden Daniels scrambles right end for 7 yards (tackle by Germaine Pratt),2.920,3.320
1,9:00,2,3,CIN 33,0,7,Brian Robinson right guard for 2 yards (tackle by Cedric Johnson),3.320,2.870
1,8:24,3,1,CIN 31,0,7,Jayden Daniels sacked by and Zachary Carter for -1 yards and Jay Tufele for -1 yards,2.870,1.300
1,7:39,4,2,CIN 32,0,7,Jayden Daniels pass complete short right to Luke McCaffrey for 30 yards (tackle by Geno Stone),1.300,6.740
1,6:54,1,2,CIN 2,0,7,Penalty on CIN: Defensive Too Many Men on Field 1 yard (accepted) (no play),6.740,6.970
1,6:32,1,1,CIN 1,0,7,Brian Robinson left guard for no gain (tackle by Logan Wilson and Lawrence Guy),6.970,5.910
1,5:50,2,1,CIN 1,0,7,Brian Robinson up the middle for no gain (tackle by Mike Hilton). Penalty on Germaine Pratt: Defensive Offside (accepted) (no play),5.910,5.910
