Quarter,Time,Down,ToGo,Location,BUF,BAL,Detail,EPB,EPA
,,,,,,,Ravens won the coin toss and deferred Bills to receive the opening kickoff.,,
1,15:00,,,BAL 35,0,0,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,BUF 30,0,0,Josh Allen pass complete short left to Dalton Kincaid for 5 yards (tackle by Marlon Humphrey),0.940,1.070
1,14:37,2,5,BUF 35,0,0,Josh Allen pass complete short right to Khalil Shakir for no gain (tackle by Kyle Hamilton),1.070,0.370
1,13:58,3,5,BUF 35,0,0,Josh Allen scrambles up the middle for 4 yards (tackle by Marlon Humphrey),0.370,-0.780
1,13:17,4,1,BUF 39,0,0,Josh Allen left guard for 3 yards (tackle by Travis Jones and Trenton Simpson),-0.780,1.730
1,12:37,1,10,BUF 42,0,0,James Cook left tackle for 8 yards (tackle by Kyle Hamilton),1.730,2.270
1,11:56,2,2,BUF 50,0,0,Ray Davis right guard for no gain (tackle by Travis Jones and Nate Wiggins),2.270,1.550
1,11:18,3,2,BUF 50,0,0,Josh Allen pass incomplete short middle intended for Dalton Kincaid,1.550,-0.060
1,11:09,4,2,BUF 50,0,0,Sam Martin punts 37 yards fair catch by Deonte Harty at BAL-13,-0.060,0.320
1,11:02,1,10,BAL 13,0,6,Derrick Henry right tackle for 87 yards touchdown,-0.320,7.000
1,10:50,,,BUF 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,10:50,,,BAL 35,0,7,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,10:50,1,10,BUF 30,0,7,James Cook left tackle for 8 yards (tackle by Trenton Simpson and Roquan Smith),0.940,1.470
1,10:08,2,2,BUF 38,0,7,Josh Allen pass complete short middle to Dalton Kincaid for 7 yards (tackle by Kyle Hamilton),1.470,1.930
1,9:34,1,10,BUF 45,0,7,Josh Allen pass complete short left to James Cook for 9 yards (tackle by Roquan Smith),1.930,2.600
1,9:07,2,1,BAL 46,0,7,Josh Allen left guard for 3 yards (tackle by Trenton Simpson and Roquan Smith),2.600,2.720
1,8:37,1,10,BAL 43,0,7,James Cook left guard for 4 yards (tackle by Roquan Smith),2.720,2.720
1,8:03,2,6,BAL 39,0,7,Josh Allen pass incomplete short right,2.720,2.010
1,7:53,3,6,BAL 39,0,7,Josh Allen pass complete short right to Dalton Kincaid for 6 yards (tackle by Kyle Hamilton),2.010,3.380
1,7:18,1,10,BAL 33,0,7,Josh Allen sacked by Odafe Oweh for no gain. Penalty on Spencer Brown: Offensive Holding 10 yards (accepted) (no play),3.380,2.720
1,6:52,1,20,BAL 43,0,7,Josh Allen pass complete short right to Mack Hollins for 5 yards (tackle by Nate Wiggins and Kyle Hamilton),2.720,2.160
1,6:11,2,15,BAL 38,0,7,Josh Allen pass complete short middle to Khalil Shakir for 8 yards (tackle by Roquan Smith and David Ojabo),2.160,2.540
1,5:30,3,7,BAL 30,0,7,Josh Allen pass incomplete deep right intended for Keon Coleman. Penalty on David Edwards: Offensive Holding 10 yards (accepted) (no play),2.540,1.220
1,5:19,3,17,BAL 40,0,7,Josh Allen right guard for 8 yards (tackle by Nnamdi Madubuike),1.220,1.240
1,4:38,4,9,BAL 32,3,7,Tyler Bass 50 yard field goal good,1.240,3.000
1,4:34,,,BUF 35,3,7,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
1,4:34,1,10,BAL 30,3,7,Lamar Jackson pass complete short left to Zay Flowers for 10 yards (tackle by Christian Benford),0.940,1.600
1,3:58,1,10,BAL 40,3,7,Lamar Jackson right guard for 6 yards (tackle by Gregory Rousseau),1.600,1.860
1,3:19,2,4,BAL 46,3,7,Derrick Henry left end for 4 yards (tackle by Cameron Lewis),1.860,2.260
1,2:35,1,10,BUF 50,3,7,Lamar Jackson pass complete short right to Justice Hill for 9 yards (tackle by Damar Hamlin),2.260,2.930
1,1:49,2,1,BUF 41,3,7,Derrick Henry right guard for 5 yards (tackle by Rasul Douglas). Penalty on Dawuane Smoot: Unnecessary Roughness / Defense 15 yards (accepted),2.930,4.170
1,1:35,1,10,BUF 21,3,7,Lamar Jackson up the middle for 3 yards (tackle by Damar Hamlin and Dawuane Smoot),4.170,4.040
1,0:55,2,7,BUF 18,3,7,Lamar Jackson pass complete short left to Justice Hill for 14 yards (tackle by Baylon Spector),4.040,6.280
1,0:11,1,4,BUF 4,3,7,Derrick Henry right guard for -1 yards (tackle by Damar Hamlin),6.280,5.150
2,15:00,2,5,BUF 5,3,13,Lamar Jackson pass complete short right to Derrick Henry for 5 yards touchdown,5.150,7.000
2,14:55,,,BUF 15,3,14,Justin Tucker kicks extra point good,0.000,0.000
2,14:55,,,BAL 35,3,14,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,14:55,1,10,BUF 30,3,14,Curtis Samuel left end for 7 yards (tackle by Marcus Williams and Marlon Humphrey),0.940,1.340
2,14:25,2,3,BUF 37,3,14,James Cook right guard for 2 yards (tackle by Brandon Stephens and Travis Jones),1.340,0.890
2,13:45,3,1,BUF 39,3,14,Josh Allen pass complete short right to Dawson Knox for no gain (tackle by Kyle Hamilton),0.890,-0.780
2,13:00,4,1,BUF 39,3,14,Sam Martin punts 42 yards downed by Reid Ferguson,-0.780,-0.150
2,12:50,1,10,BAL 19,3,14,Lamar Jackson pass complete deep left to Isaiah Likely for 26 yards (tackle by Christian Benford),0.150,1.930
2,12:06,1,10,BAL 45,3,14,Lamar Jackson pass incomplete short left intended for Mark Andrews,1.930,1.380
