Quarter,Time,Down,ToGo,Location,CIN,CAR,Detail,EPB,EPA
,,,,,,,Bengals won the coin toss and deferred Panthers to receive the opening kickoff.,,
1,15:00,,,CIN 35,0,0,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,CAR 30,0,0,Chuba Hubbard left guard for 6 yards (tackle by Daxton Hill and Vonn Bell),0.940,1.200
1,14:27,2,4,CAR 36,0,0,Chuba Hubbard right guard for no gain (tackle by Logan Wilson),1.200,0.500
1,13:40,3,4,CAR 36,0,0,Andy Dalton pass complete deep left to Diontae Johnson for 39 yards (tackle by Geno Stone),0.500,3.910
1,13:06,1,10,CIN 25,0,0,Chuba Hubbard up the middle for no gain (tackle by Sam Hubbard and Joseph Ossai),3.910,3.360
1,12:31,2,10,CIN 25,0,0,Andy Dalton pass complete short left to Xavier Legette for 12 yards,3.360,4.710
1,12:21,1,10,CIN 13,0,0,Andy Dalton pass complete short right to Diontae Johnson for 3 yards (tackle by Logan Wilson),4.710,4.580
1,11:36,2,7,CIN 10,0,0,Andy Dalton pass complete short right to Ja'Tavion Sanders for 5 yards (tackle by Mike Hilton and Joseph Ossai),4.580,4.780
1,10:53,3,2,CIN 5,0,0,Chuba Hubbard up the middle for 3 yards (tackle by Mike Hilton and Zachary Carter),4.780,6.740
1,10:25,1,2,CIN 2,0,0,Chuba Hubbard right tackle for 1 yard (tackle by Geno Stone and Logan Wilson),6.740,5.910
1,9:48,2,1,CIN 1,0,0,Andy Dalton pass incomplete short right intended for Diontae Johnson (defended by Daxton Hill),5.910,5.170
1,9:41,3,1,CIN 1,0,0,Chuba Hubbard right tackle for no gain (tackle by Zachary Carter and Logan Wilson),5.170,3.550
1,9:12,4,1,CIN 1,0,0,Chuba Hubbard left guard for no gain (tackle by Kris Jenkins),3.550,0.380
1,9:08,1,10,CIN 1,0,0,Zack Moss up the middle for 3 yards (tackle by Nick Thurman),-0.380,-0.560
1,8:25,2,7,CIN 4,0,0,Joe Burrow pass complete short middle to Erick All for 3 yards (tackle by Shaq Thompson),-0.560,-0.720
1,7:42,3,4,CIN 7,0,0,Joe Burrow pass complete short left to Tee Higgins for 8 yards (tackle by Xavier Woods and Josey Jewell),-0.720,-0.220
1,7:00,1,10,CIN 15,0,0,Zack Moss left end for 3 yards (tackle by Josey Jewell),-0.220,-0.280
1,6:18,2,7,CIN 18,0,0,Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Xavier Woods),-0.280,0.870
1,5:36,1,10,CIN 29,0,0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,0.870,0.330
1,5:30,2,10,CIN 29,0,0,Joe Burrow pass complete short middle to Tee Higgins for 7 yards (tackle by Troy Hill),0.330,0.560
1,4:49,3,3,CIN 36,0,0,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by A'Shawn Robinson),0.560,-0.980
1,4:45,4,3,CIN 36,0,0,Ryan Rehkow punts 57 yards returned by Raheem Blackshear for 13 yards (tackle by DJ Turner and Tycen Anderson),-0.980,-0.280
1,4:33,1,10,CAR 20,0,0,Andy Dalton pass complete short left to Xavier Legette for 1 yard (tackle by Cam Taylor-Britt),0.280,-0.130
1,4:01,2,9,CAR 21,0,0,Andy Dalton pass incomplete short right intended for Diontae Johnson,-0.130,-0.820
1,3:56,3,9,CAR 21,0,0,Andy Dalton pass complete short right to Xavier Legette for 11 yards (tackle by Cam Taylor-Britt),-0.820,1.070
1,3:11,1,10,CAR 32,0,0,Andy Dalton pass incomplete deep left intended for Diontae Johnson (defended by Cam Taylor-Britt),1.070,0.530
1,3:04,2,10,CAR 32,0,0,Chuba Hubbard up the middle for 2 yards (tackle by Logan Wilson),0.530,0.100
1,2:22,3,8,CAR 34,0,0,Andy Dalton pass short middle (defended by Trey Hendrickson) intended for Diontae Johnson is intercepted by Vonn Bell at CAR-48 and returned for 32 yards (tackle by Miles Sanders),0.100,-4.510
1,2:09,1,10,CAR 16,0,0,Chase Brown left end for no gain (tackle by Shaq Thompson),4.510,3.900
1,1:36,2,10,CAR 16,0,0,Joe Burrow pass complete short middle to Tee Higgins for 12 yards (tackle by Josey Jewell and Nick Scott),3.900,6.280
1,1:00,1,4,CAR 4,0,0,Joe Burrow pass incomplete short middle. Penalty on Michael Jackson: Illegal Contact 2 yards (accepted) (no play),6.280,6.740
1,0:54,1,2,CAR 2,0,0,Zack Moss right end for -1 yards (tackle by DJ Johnson and Shaq Thompson),6.740,5.530
1,0:11,2,3,CAR 3,0,0,Joe Burrow pass incomplete short right intended for Chase Brown (defended by Jaycee Horn),5.530,4.720
1,0:08,3,3,CAR 3,6,0,Chase Brown up the middle for 3 yards touchdown,4.720,7.000
1,0:05,,,CAR 15,7,0,Evan McPherson kicks extra point good,0.000,0.000
1,0:05,,,CIN 35,7,0,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
1,0:05,1,10,CAR 30,7,0,Chuba Hubbard up the middle for 3 yards (tackle by Germaine Pratt and Lawrence Guy). Penalty on Daxton Hill: Illegal Use of Hands / Defense 5 yards (accepted),0.940,1.470
2,15:00,1,10,CAR 38,7,0,Xavier Legette left end for 8 yards (tackle by Daxton Hill),1.470,2.000
2,14:24,2,2,CAR 46,7,0,Chuba Hubbard up the middle for 7 yards (tackle by Germaine Pratt),2.000,2.460
2,13:45,1,10,CIN 47,7,0,Andy Dalton pass complete short left to Jonathan Mingo for 6 yards (tackle by DJ Turner),2.460,2.720
2,13:07,2,4,CIN 41,7,0,Andy Dalton pass incomplete deep left intended for Diontae Johnson (defended by DJ Turner),2.720,2.010
2,12:59,3,4,CIN 41,7,0,Miles Sanders left end for 1 yard (tackle by Vonn Bell),2.010,0.590
2,12:15,4,3,CIN 40,7,0,Andy Dalton pass complete short right to Diontae Johnson for 4 yards (tackle by DJ Turner),0.590,3.180
2,11:33,1,10,CIN 36,7,0,Chuba Hubbard right tackle for 5 yards (tackle by Daxton Hill),3.180,3.310
2,10:58,2,5,CIN 31,7,0,Andy Dalton pass complete short right to Ja'Tavion Sanders for 11 yards (tackle by Germaine Pratt),3.310,4.240
2,10:16,1,10,CIN 20,7,0,Chuba Hubbard left end for 17 yards (tackle by DJ Turner),4.240,6.510
2,9:38,1,3,CIN 3,7,6,Chuba Hubbard up the middle for 3 yards touchdown,6.510,7.000
2,9:31,,,CIN 15,7,7,Eddy Piñeiro kicks extra point good,0.000,0.000
2,9:31,,,CAR 35,7,7,Eddy Piñeiro kicks off 64 yards returned by Trayveon Williams for 18 yards (tackle by Thomas Incoom),0.000,0.150
2,9:27,1,10,CIN 19,7,7,Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Shaq Thompson),0.150,0.940
2,8:48,1,10,CIN 30,7,7,Joe Burrow pass complete short right to Erick All for 4 yards (tackle by Nick Scott),0.940,0.930
2,8:09,2,6,CIN 34,7,7,Zack Moss right guard for 3 yards (tackle by LaBryan Ray and DJ Johnson),0.930,0.630
2,7:28,3,3,CIN 37,13,7,Joe Burrow pass complete short middle to Ja'Marr Chase for 63 yards touchdown,0.630,7.000
2,7:14,,,CAR 15,14,7,Evan McPherson kicks extra point good,0.000,0.000
2,7:14,,,CIN 35,14,7,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
2,7:14,1,10,CAR 30,14,7,Andy Dalton pass complete short right to Miles Sanders for 2 yards (tackle by Daxton Hill),0.940,0.660
2,6:43,2,8,CAR 32,14,7,Andy Dalton pass complete short right to Diontae Johnson for 3 yards (tackle by Daxton Hill),0.660,0.370
2,5:58,3,5,CAR 35,14,7,Penalty on Ikem Ekwonu: False Start 5 yards (accepted) (no play),0.370,-0.300
2,5:38,3,10,CAR 30,14,7,Andy Dalton pass deep left is intercepted by Josh Newton at CAR-32 and returned for no gain. Penalty on Cam Taylor-Britt: Defensive Holding 5 yards (accepted) (no play),-0.300,1.270
2,5:26,1,10,CAR 35,14,7,Andy Dalton pass complete short right to Jonathan Mingo for 7 yards (tackle by Geno Stone and Daxton Hill),1.270,1.670
2,4:49,2,3,CAR 42,14,7,Miles Sanders left guard for 4 yards (tackle by Jay Tufele),1.670,1.990
2,4:13,1,10,CAR 46,14,7,Miles Sanders up the middle for 7 yards (tackle by Vonn Bell and Logan Wilson),1.990,2.400
2,3:24,,,,,,Timeout #1 by Carolina Panthers,,
2,3:24,2,3,CIN 47,14,7,Andy Dalton pass complete short left to Miles Sanders for no gain (tackle by Germaine Pratt and Logan Wilson),2.400,1.690
2,2:38,3,3,CIN 47,14,7,Andy Dalton pass complete short left to Diontae Johnson for 5 yards (tackle by DJ Turner),1.690,2.790
2,2:00,1,10,CIN 42,14,7,Miles Sanders left tackle for 3 yards (tackle by Zachary Carter and Trey Hendrickson),2.790,2.650
2,1:27,2,7,CIN 39,14,7,Andy Dalton pass complete short left to Xavier Legette for 17 yards (tackle by DJ Turner),2.650,4.110
2,1:19,,,,,,Timeout #1 by Cincinnati Bengals,,
2,1:19,1,10,CIN 22,14,7,Miles Sanders left end for 14 yards (tackle by Germaine Pratt),4.110,5.370
2,1:13,,,,,,Timeout #2 by Cincinnati Bengals,,
2,1:13,1,8,CIN 8,14,13,Andy Dalton pass complete short left to Xavier Legette for 8 yards touchdown,5.370,7.000
2,1:09,,,CIN 15,14,14,Eddy Piñeiro kicks extra point good,0.000,0.000
2,1:09,,,CAR 35,14,14,Eddy Piñeiro kicks off 55 yards returned by Chase Brown for 24 yards (tackle by Feleipe Franks and Jammie Robinson),0.000,1.200
2,1:02,1,10,CIN 34,14,14,Joe Burrow pass complete short right to Zack Moss for 4 yards (tackle by Josey Jewell),1.200,1.200
2,0:55,2,6,CIN 38,14,14,Joe Burrow pass complete short left to Zack Moss for 1 yard (tackle by Josey Jewell),1.200,0.630
2,0:48,,,,,,Timeout #3 by Cincinnati Bengals,,
2,0:48,3,5,CIN 39,14,14,Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Jaycee Horn),0.630,2.260
2,0:43,1,10,CIN 50,14,14,Joe Burrow pass complete deep middle to Andrei Iosivas for 29 yards (tackle by Nick Scott and Troy Hill),2.260,4.170
2,0:26,,,,,,Timeout #2 by Carolina Panthers,,
2,0:26,1,10,CAR 21,14,14,Joe Burrow pass incomplete deep right intended for Tee Higgins,4.170,3.630
2,0:22,2,10,CAR 21,14,14,Joe Burrow pass incomplete deep right intended for Tee Higgins. Penalty on Michael Jackson: Defensive Pass Interference 17 yards (accepted) (no play),3.630,6.280
2,0:17,,,,,,Timeout #3 by Carolina Panthers,,
2,0:17,1,4,CAR 4,14,14,Joe Burrow pass incomplete short right intended for Tee Higgins. Penalty on Jaycee Horn: Defensive Pass Interference 3 yards (accepted) (no play),6.280,6.970
2,0:14,1,1,CAR 1,14,14,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,6.970,5.910
2,0:11,2,1,CAR 1,14,14,Joe Burrow pass incomplete short middle,5.910,5.170
2,0:06,3,1,CAR 1,20,14,Joe Burrow pass complete short right to Zack Moss for 1 yard touchdown,5.170,7.000
2,0:01,,,CAR 15,21,14,Evan McPherson kicks extra point good,0.000,0.000
2,0:01,,,CIN 35,21,14,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
2,0:01,1,10,CAR 30,21,14,Andy Dalton kneels for -1 yards,0.940,0.260
3,15:00,,,CAR 35,21,14,Eddy Piñeiro kicks off 64 yards returned by Chase Brown for 28 yards (tackle by Demani Richardson),0.000,0.870
3,14:55,1,10,CIN 29,21,14,Joe Burrow pass complete short left to Erick All for 10 yards (tackle by Josey Jewell and Michael Jackson),0.870,1.530
3,14:16,1,10,CIN 39,21,14,Chase Brown left end for 8 yards (tackle by Michael Jackson),1.530,2.070
3,13:53,2,2,CIN 47,21,14,Chase Brown left tackle for 20 yards (tackle by Jaycee Horn and Xavier Woods),2.070,3.380
3,13:13,1,10,CAR 33,21,14,Joe Burrow scrambles left end for 10 yards (tackle by DJ Johnson),3.380,4.040
