Quarter,Time,Down,ToGo,Location,CLE,LVR,Detail,EPB,EPA
,,,,,,,Raiders won the coin toss and deferred Browns to receive the opening kickoff.,,
1,15:00,,,LVR 35,0,0,Daniel Carlson kicks off 64 yards returned by D'Onta Foreman for 29 yards (tackle by Ameer Abdullah),0.000,0.940
1,14:53,1,10,CLE 30,0,0,Jerome Ford right guard for 6 yards (tackle by John Jenkins and Luke Masterson),0.940,1.200
1,14:15,2,4,CLE 36,0,0,Deshaun Watson pass complete short right to Jerry Jeudy for 6 yards (tackle by Nate Hobbs),1.200,1.730
1,13:45,1,10,CLE 42,0,0,Jerome Ford up the middle for no gain (tackle by Tre'von Moehrig),1.730,1.190
1,13:12,2,10,CLE 42,0,0,Deshaun Watson pass complete short left to Jerome Ford for 5 yards (tackle by Adam Butler),1.190,1.160
1,12:31,3,5,CLE 47,0,0,Penalty on Dawand Jones: False Start 5 yards (accepted) (no play),1.160,0.500
1,12:04,3,10,CLE 42,0,0,Deshaun Watson pass complete short left to Elijah Moore for 11 yards (tackle by Isaiah Pola-Mao). Penalty on Adam Butler: Roughing the Passer 15 yards (accepted),0.500,3.450
1,11:37,1,10,LVR 32,0,0,Deshaun Watson pass complete short right to James Proche for 3 yards (tackle by Robert Spillane),3.450,3.310
1,10:50,2,7,LVR 29,0,0,Deshaun Watson pass complete short right to D'Onta Foreman for 5 yards (tackle by Nate Hobbs and Isaiah Pola-Mao),3.310,3.270
1,10:10,3,2,LVR 24,0,0,Deshaun Watson pass complete short left to Amari Cooper for 2 yards (tackle by K'Lavon Chaisson),3.270,4.110
1,9:31,1,10,LVR 22,0,0,Jerome Ford up the middle for 3 yards (tackle by Robert Spillane),4.110,3.970
1,8:49,2,7,LVR 19,0,0,Deshaun Watson scrambles left end for 7 yards (tackle by Isaiah Pola-Mao),3.970,4.780
1,8:01,1,10,LVR 12,0,0,Deshaun Watson pass complete short left to Blake Whiteheart for 7 yards (tackle by Luke Masterson),4.780,5.410
1,7:30,2,3,LVR 5,0,0,D'Onta Foreman right guard for no gain (tackle by Janarius Robinson and Charles Snowden),5.410,4.610
1,6:56,3,3,LVR 5,0,0,Jerome Ford right guard for 4 yards (tackle by K'Lavon Chaisson),4.610,6.970
1,6:15,1,1,LVR 1,0,0,D'Onta Foreman up the middle for no gain (tackle by Robert Spillane),6.970,5.910
1,5:41,2,1,LVR 1,6,0,Deshaun Watson pass complete short left to Blake Whiteheart for 1 yard touchdown,5.910,7.000
1,5:38,,,LVR 15,7,0,Dustin Hopkins kicks extra point good,0.000,0.000
1,5:38,,,CLE 35,7,0,Dustin Hopkins kicks off 67 yards returned by Tyreik McAllister for 28 yards (tackle by Khaleke Hudson and Sam Kamara). Penalty on Tommy Eichenberg: Offensive Holding 10 yards (accepted),0.000,-0.140
1,5:31,1,10,LVR 16,7,0,Gardner Minshew pass incomplete deep right intended for Brock Bowers,-0.140,-0.660
1,5:24,2,10,LVR 16,7,0,Gardner Minshew pass complete short right to Brock Bowers for no gain (tackle by Denzel Ward and Jordan Hicks). Penalty on Delmar Glaze: Offensive Holding 8 yards (accepted) (no play),-0.660,-1.360
1,5:01,2,18,LVR 8,7,0,Zamir White left tackle for 2 yards (tackle by Dalvin Tomlinson and Jordan Hicks),-1.360,-2.120
1,4:21,3,16,LVR 10,7,0,Gardner Minshew pass incomplete deep middle intended for DJ Turner,-2.120,-2.490
1,4:15,4,16,LVR 10,7,0,AJ Cole punts fair catch by James Proche at CLE-35. Penalty on Luke Masterson: Ineligible Downfield Kick 5 yards (accepted) (no play),-2.490,-2.490
1,4:07,4,21,LVR 5,7,0,AJ Cole punts 66 yards returned by James Proche for 17 yards (tackle by Tommy Eichenberg),-2.490,-1.990
1,3:55,1,10,CLE 46,7,0,Deshaun Watson scrambles up the middle for 5 yards (tackle by Tommy Eichenberg),1.990,2.130
