Quarter,Time,Down,ToGo,Location,DAL,NYG,Detail,EPB,EPA
,,,,,,,Giants won the coin toss and deferred Cowboys to receive the opening kickoff.,,
1,15:00,,,NYG 35,0,0,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DAL 30,0,0,Rico Dowdle left guard for 6 yards (tackle by Bobby Okereke),0.940,1.200
1,14:32,2,4,DAL 36,0,0,Rico Dowdle right tackle for -1 yards (tackle by Nick McCloud and Cordale Flott),1.200,0.370
1,13:57,3,5,DAL 35,0,0,Dak Prescott pass incomplete short right,0.370,-1.040
1,13:53,4,5,DAL 35,0,0,Bryan Anger punts 50 yards fair catch by Ihmir Smith-Marsette at NYG-15,-1.040,0.220
1,13:46,1,10,NYG 15,0,0,Devin Singletary right tackle for 5 yards (tackle by Mazi Smith and Eric Kendricks),-0.220,0.080
1,13:04,2,5,NYG 20,0,0,Tyrone Tracy up the middle for 1 yard (tackle by DeMarvion Overshown),0.080,-0.630
1,12:21,3,4,NYG 21,0,0,Daniel Jones pass complete deep left to Malik Nabers for 39 yards (tackle by Malik Hooker),-0.630,2.920
1,11:37,1,10,DAL 40,0,0,Devin Singletary left end for 3 yards (tackle by Andrew Booth),2.920,2.780
1,10:49,2,7,DAL 37,0,0,Daniel Jones left end for 4 yards (tackle by Donovan Wilson). Penalty on Daniel Bellinger: Offensive Facemask 15 yards (accepted),2.780,1.290
1,10:29,2,18,DAL 48,0,0,Daniel Jones pass complete short left to Wan'Dale Robinson for 8 yards (tackle by Andrew Booth),1.290,1.680
1,9:47,3,10,DAL 40,0,0,Daniel Jones pass complete short right to Wan'Dale Robinson for 6 yards (tackle by Jourdan Lewis),1.680,1.080
1,9:07,4,4,DAL 34,0,3,Greg Joseph 52 yard field goal good,1.080,3.000
1,9:03,,,NYG 35,0,3,Greg Joseph kicks off 65 yards touchback.. Penalty on Jalen Tolbert: Illegal Formation 5 yards (accepted),0.000,0.610
1,9:03,1,10,DAL 25,0,3,Dak Prescott pass complete short middle to CeeDee Lamb for 5 yards (tackle by Micah McFadden),0.610,0.740
1,8:42,2,5,DAL 30,0,3,Dak Prescott pass complete short left to CeeDee Lamb for 11 yards (tackle by Deonte Banks),0.740,1.660
1,8:00,1,10,DAL 41,0,3,Dak Prescott pass complete short right to Deuce Vaughn for 5 yards (tackle by Micah McFadden). Penalty on Jalen Tolbert: Offensive Pass Interference 10 yards (accepted) (no play),1.660,1.000
1,7:44,1,20,DAL 31,0,3,CeeDee Lamb right end for 10 yards (tackle by Jason Pinnock and Micah McFadden),1.000,1.120
1,7:07,2,10,DAL 41,0,3,Dak Prescott pass complete short right to Jake Ferguson for 7 yards (tackle by Bobby Okereke),1.120,1.360
1,6:28,3,3,DAL 48,0,3,Dak Prescott pass complete short middle to Hunter Luepke for 11 yards (tackle by Cordale Flott),1.360,2.850
1,5:47,1,10,NYG 41,0,3,Rico Dowdle right guard for 1 yard (tackle by Rakeem Nunez-Roches and Nick McCloud),2.850,2.440
1,5:13,2,9,NYG 40,0,3,Dak Prescott pass complete short right to CeeDee Lamb for 10 yards (tackle by Deonte Banks),2.440,3.580
1,4:39,1,10,NYG 30,0,3,Dak Prescott pass complete short middle to CeeDee Lamb for 4 yards (tackle by Jason Pinnock),3.580,3.570
1,4:06,2,6,NYG 26,0,3,Dak Prescott pass complete short right to Jalen Tolbert for 3 yards (tackle by Cordale Flott),3.570,3.270
1,3:29,3,3,NYG 23,0,3,Dak Prescott pass complete short middle to Brandin Cooks for 16 yards (tackle by Tyler Nubin),3.270,5.600
1,2:52,1,7,NYG 7,0,3,Rico Dowdle left tackle for 2 yards (tackle by Dexter Lawrence and Micah McFadden),5.600,5.150
