Quarter,Time,Down,ToGo,Location,DEN,NYJ,Detail,EPB,EPA
,,,,,,,Broncos won the coin toss and deferred Jets to receive the opening kickoff.,,
1,15:00,,,DEN 35,0,0,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,NYJ 30,0,0,Aaron Rodgers sacked by Justin Strnad for -8 yards,0.940,-0.690
1,14:20,2,18,NYJ 22,0,0,Aaron Rodgers pass incomplete deep right intended for Tyler Conklin,-0.690,-1.350
1,14:16,3,18,NYJ 22,0,0,Aaron Rodgers pass complete short middle to Garrett Wilson for 7 yards. Garrett Wilson fumbles (forced by Brandon Jones) recovered by Riley Moss at NYJ-30,-1.350,-3.580
1,14:08,1,10,NYJ 30,0,0,Bo Nix pass complete short left to Javonte Williams for no gain (tackle by Quinnen Williams). Penalty on Troy Franklin: Offensive Pass Interference 10 yards (accepted) (no play),3.580,2.920
1,13:44,1,20,NYJ 40,0,0,Bo Nix pass incomplete short left intended for Courtland Sutton. Penalty on Ben Powers: Ineligible Downfield Pass 5 yards (declined),2.920,1.680
1,13:44,2,20,NYJ 40,0,0,Bo Nix pass incomplete deep left intended for Courtland Sutton,1.680,1.020
1,13:39,3,20,NYJ 40,0,0,Bo Nix pass complete short right to Troy Franklin for -4 yards (tackle by D.J. Reed),1.020,0.330
1,12:58,4,24,NYJ 44,0,0,Riley Dixon punts 43 yards downed by Marvin Mims,0.330,0.380
1,12:50,1,10,NYJ 1,0,0,Breece Hall left guard for 1 yard (tackle by John Franklin-Myers and Nik Bonitto). Penalty on Tyron Smith: Offensive Holding 10 yards (declined),-0.380,-0.710
1,12:29,2,9,NYJ 2,0,0,Breece Hall up the middle for no gain (tackle by D.J. Jones and Justin Strnad),-0.710,-1.300
1,11:50,3,9,NYJ 2,0,0,Penalty on John Simpson: False Start 1 yard (accepted) (no play),-1.300,-1.420
1,11:33,3,10,NYJ 1,0,0,Penalty on Breece Hall: False Start (accepted) (no play),-1.420,-1.420
1,11:13,3,10,NYJ 1,0,0,Aaron Rodgers pass incomplete short middle intended for Allen Lazard (defended by Ja'Quan McMillian),-1.420,-2.490
1,11:11,4,10,NYJ 1,0,0,Thomas Morstead punts 56 yards returned by Marvin Mims for 5 yards (tackle by Marcelino McCrary-Ball),-2.490,-2.130
1,10:57,1,10,DEN 48,0,0,Tyler Badie right guard for no gain (tackle by Chazz Surratt),2.130,1.580
1,10:21,2,10,DEN 48,0,0,Bo Nix pass complete short left to Tyler Badie for -1 yards (tackle by Jamien Sherwood),1.580,0.760
1,9:41,3,11,DEN 47,0,0,Bo Nix pass incomplete short right intended for Greg Dulcich,0.760,-0.260
1,9:37,4,11,DEN 47,0,0,Riley Dixon punts 33 yards fair catch by Xavier Gipson at NYJ-20,-0.260,-0.280
1,9:29,1,10,NYJ 20,0,0,Breece Hall right end for no gain (tackle by Jonathon Cooper and Cody Barton),0.280,-0.270
1,8:47,2,10,NYJ 20,0,0,Breece Hall right tackle for -2 yards (tackle by Justin Strnad),-0.270,-1.330
1,8:08,3,12,NYJ 18,0,0,Aaron Rodgers pass incomplete short right intended for Tyler Conklin (defended by Riley Moss),-1.330,-2.240
1,8:00,4,12,NYJ 18,0,0,Thomas Morstead punts 48 yards fair catch by Marvin Mims at DEN-34,-2.240,-1.200
1,7:52,1,10,DEN 34,0,0,Jaleel McLaughlin left end for 5 yards (tackle by Quincy Williams),1.200,1.330
1,7:15,2,5,DEN 39,0,0,Javonte Williams up the middle for 2 yards (tackle by Bruce Hector and Jamien Sherwood),1.330,0.890
1,6:31,3,3,DEN 41,0,0,Bo Nix pass incomplete deep middle intended for Josh Reynolds,0.890,-0.650
1,6:25,4,3,DEN 41,0,0,Riley Dixon punts 44 yards returned by Xavier Gipson for 8 yards (tackle by P.J. Locke),-0.650,-0.480
1,6:14,1,10,NYJ 23,0,0,Aaron Rodgers pass complete short left to Jeremy Ruckert for 9 yards (tackle by Riley Moss),0.480,1.150
1,5:38,2,1,NYJ 32,0,0,Breece Hall right tackle for -2 yards (tackle by Jonah Elliss),1.150,0.170
1,4:59,3,3,NYJ 30,0,0,Penalty on Tyron Smith: False Start 5 yards (accepted) (no play),0.170,-0.490
1,4:41,3,8,NYJ 25,0,0,Aaron Rodgers scrambles left guard for 1 yard (tackle by Zach Allen),-0.490,-1.630
1,4:00,4,7,NYJ 26,0,0,Thomas Morstead punts 42 yards fair catch by Marvin Mims at DEN-32. Penalty on Irvin Charles: Kick Catch Interference 15 yards (accepted),-1.630,-2.060
1,3:53,1,10,DEN 47,0,0,Tyler Badie right end for no gain (tackle by Quincy Williams). Penalty on Alex Palczewski: Offensive Holding 10 yards (accepted) (no play),2.060,1.400
1,3:38,1,20,DEN 37,0,0,Bo Nix pass complete short right to Jaleel McLaughlin for no gain (tackle by Sauce Gardner),1.400,0.170
1,2:58,2,20,DEN 37,0,0,Bo Nix scrambles left guard for 7 yards (tackle by Jamien Sherwood),0.170,0.430
1,2:14,3,13,DEN 44,0,0,Bo Nix pass complete short right to Tyler Badie for -3 yards. Tyler Badie fumbles (forced by Quincy Williams) recovered by Michael Carter at DEN-41 and returned for 7 yards (tackle by Luke Wattenberg),0.430,-3.310
1,2:07,1,10,DEN 34,0,0,Braelon Allen right tackle for 9 yards (tackle by Dondrea Tillman and Riley Moss),3.310,3.990
1,1:28,2,1,DEN 25,0,0,Aaron Rodgers pass incomplete deep right intended for Breece Hall,3.990,3.270
1,1:19,3,1,DEN 25,0,0,Braelon Allen right end for 2 yards (tackle by Riley Moss). Penalty on Allen Lazard: Offensive Holding 10 yards (accepted) (no play),3.270,1.950
1,1:01,3,11,DEN 35,0,0,Aaron Rodgers pass incomplete deep right intended for Allen Lazard. Penalty on Riley Moss: Defensive Pass Interference 34 yards (accepted) (no play),1.950,6.970
1,0:53,1,1,DEN 1,0,0,Breece Hall right guard for no gain (tackle by Kristian Welch and John Franklin-Myers),6.970,5.910
1,0:11,2,1,DEN 1,0,0,Breece Hall left tackle for no gain (tackle by Kristian Welch and Cody Barton),5.910,5.170
2,15:00,3,1,DEN 1,0,0,Aaron Rodgers pass incomplete short right,5.170,3.550
2,14:54,4,1,DEN 1,0,0,Penalty on John Simpson: False Start 4 yards (accepted) (no play),3.550,3.010
2,14:54,4,5,DEN 5,0,3,Greg Zuerlein 23 yard field goal good,3.010,3.000
2,14:51,,,NYJ 35,0,3,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
2,14:51,1,10,DEN 30,0,3,Javonte Williams up the middle for 3 yards (tackle by Javon Kinlaw),0.940,0.800
2,14:12,2,7,DEN 33,0,3,Bo Nix pass complete short right to Javonte Williams for -1 yards (tackle by Ashtyn Davis),0.800,-0.030
2,13:31,3,8,DEN 32,0,3,Bo Nix pass incomplete deep right intended for Courtland Sutton,-0.030,-1.240
2,13:27,4,8,DEN 32,0,3,Riley Dixon punts 54 yards returned by Xavier Gipson for 10 yards (tackle by Mitchell Fraboni),-1.240,-0.540
2,13:15,1,10,NYJ 24,0,3,Braelon Allen up the middle for 6 yards (tackle by P.J. Locke and D.J. Jones),0.540,0.810
2,12:33,2,4,NYJ 30,0,3,Braelon Allen up the middle for 7 yards (tackle by P.J. Locke and Cody Barton),0.810,1.400
2,11:56,1,10,NYJ 37,0,3,Braelon Allen right guard for 5 yards (tackle by Cody Barton),1.400,1.530
2,11:21,2,5,NYJ 42,0,3,Braelon Allen up the middle for -1 yards (tackle by Zach Allen),1.530,0.700
2,10:42,3,6,NYJ 41,0,3,Aaron Rodgers sacked by Nik Bonitto for -10 yards. Penalty on Allen Lazard: Illegal Motion 5 yards (declined),0.700,-1.310
2,10:20,4,16,NYJ 31,0,3,Thomas Morstead punts 42 yards fair catch by Marvin Mims at DEN-27,-1.310,-0.740
2,10:15,1,10,DEN 27,0,3,Javonte Williams left guard for 12 yards (tackle by Tony Adams and Michael Carter),0.740,1.530
2,9:37,1,10,DEN 39,0,3,Jaleel McLaughlin right end for 10 yards (tackle by Bruce Hector and Chuck Clark),1.530,2.190
2,9:01,1,10,DEN 49,0,3,Bo Nix pass complete short right to Troy Franklin for 2 yards (tackle by Quincy Williams),2.190,1.920
2,8:18,2,8,NYJ 49,0,3,Bo Nix pass incomplete short right intended for Courtland Sutton DEN challenged the pass completion ruling and the play was upheld.,1.920,1.220
2,8:11,,,,,,Timeout #2 by Denver Broncos,,
2,8:11,3,8,NYJ 49,0,3,Javonte Williams right tackle for no gain (tackle by Isaiah Oliver). Penalty on Will McDonald: Defensive Offside 5 yards (accepted) (no play),1.220,1.880
2,7:47,3,3,NYJ 44,0,3,Bo Nix pass incomplete deep right intended for Troy Franklin,1.880,0.330
2,7:43,4,3,NYJ 44,0,3,Riley Dixon punts 29 yards returned by Xavier Gipson for no gain (tackle by Tremon Smith),0.330,0.220
2,7:35,1,10,NYJ 15,0,3,Aaron Rodgers pass incomplete deep right intended for Xavier Gipson,-0.220,-0.710
2,7:31,2,10,NYJ 15,0,3,Aaron Rodgers pass incomplete short left intended for Xavier Gipson,-0.710,-1.370
2,7:28,3,10,NYJ 15,0,3,Aaron Rodgers scrambles right end for 14 yards (tackle by Levi Wallace),-1.370,0.870
2,6:51,1,10,NYJ 29,0,3,Breece Hall left tackle for 3 yards (tackle by Riley Moss),0.870,0.730
2,6:13,2,7,NYJ 32,0,3,Aaron Rodgers pass complete short right to Jeremy Ruckert for 1 yard (tackle by Ja'Quan McMillian),0.730,0.170
2,5:26,3,6,NYJ 33,0,3,Aaron Rodgers pass complete short right to Breece Hall for 5 yards (tackle by Levi Wallace),0.170,-0.850
2,4:52,4,1,NYJ 38,0,3,Thomas Morstead punts 45 yards fair catch by Marvin Mims at DEN-17,-0.850,0.060
2,4:45,1,10,DEN 17,0,3,Jaleel McLaughlin left tackle for 7 yards (tackle by Jamien Sherwood and Chuck Clark),-0.060,0.480
2,4:03,2,3,DEN 24,0,3,Javonte Williams right guard for 5 yards (tackle by Chuck Clark),0.480,0.870
2,3:23,1,10,DEN 29,0,3,Javonte Williams up the middle for 2 yards (tackle by Tony Adams and Quincy Williams),0.870,0.600
2,2:48,2,8,DEN 31,0,3,Bo Nix pass complete short left to Nate Adkins for no gain (tackle by Tony Adams),0.600,-0.100
2,2:08,3,8,DEN 31,0,3,Bo Nix pass incomplete deep right intended for Lil'Jordan Humphrey,-0.100,-1.310
2,2:00,4,8,DEN 31,0,3,Riley Dixon punts 53 yards returned by Xavier Gipson for 11 yards (tackle by Michael Burton and Devon Key),-1.310,-0.740
