Quarter,Time,Down,ToGo,Location,JAX,HOU,Detail,EPB,EPA
,,,,,,,Texans won the coin toss and deferred Jaguars to receive the opening kickoff.,,
1,15:00,,,HOU 35,0,0,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,JAX 30,0,0,Trevor Lawrence pass complete short right to Christian Kirk for 6 yards (tackle by Calen Bullock and Derek Stingley),0.940,1.200
1,14:19,2,4,JAX 36,0,0,Trevor Lawrence pass complete short left to Christian Kirk for 4 yards (tackle by Jalen Pitre),1.200,1.600
1,13:47,1,10,JAX 40,0,0,Tank Bigsby left tackle for 5 yards (tackle by Tim Settle),1.600,1.730
1,13:07,2,5,JAX 45,0,0,Trevor Lawrence pass incomplete short left intended for Christian Kirk,1.730,1.030
1,13:01,3,5,JAX 45,0,0,Trevor Lawrence pass incomplete deep right intended for Christian Kirk,1.030,-0.390
1,12:56,4,5,JAX 45,0,0,Logan Cooke punts 53 yards recovered by Daniel Thomas at HOU-2,-0.390,6.740
1,12:48,1,2,HOU 2,6,0,Trevor Lawrence pass complete short right to Brian Thomas for 2 yards touchdown,6.740,7.000
1,12:44,,,HOU 15,7,0,Cam Little kicks extra point good,0.000,0.000
1,12:44,,,JAX 35,7,0,Cam Little kicks off 65 yards touchback.,0.000,0.940
1,12:44,1,10,HOU 30,7,0,Cam Akers left tackle for 1 yard (tackle by Ronald Darby),0.940,0.530
1,12:10,2,9,HOU 31,7,0,Cam Akers right guard for 5 yards (tackle by Montaric Brown),0.530,0.500
1,11:32,3,4,HOU 36,7,0,C.J. Stroud pass complete short middle to Nico Collins for 18 yards (tackle by Daniel Thomas and Montaric Brown),0.500,2.520
1,10:57,1,10,JAX 46,7,0,C.J. Stroud pass complete short right to Nico Collins for 12 yards (tackle by Antonio Johnson),2.520,3.310
1,10:19,1,10,JAX 34,7,0,J.J. Taylor up the middle for 1 yard (tackle by Roy Robertson-Harris),3.310,2.910
1,9:42,2,9,JAX 33,7,0,C.J. Stroud pass complete deep right to Nico Collins for 19 yards (tackle by Ronald Darby),2.910,4.650
1,8:59,1,10,JAX 14,7,0,Cam Akers up the middle for 1 yard (tackle by Montaric Brown and Chad Muma),4.650,4.160
1,8:14,2,9,JAX 13,7,0,Cam Akers left guard for 7 yards (tackle by Josh Hines-Allen and Chad Muma),4.160,4.730
1,7:29,3,2,JAX 6,7,6,Stefon Diggs left guard for 6 yards touchdown,4.730,7.000
1,7:23,,,JAX 15,7,7,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,7:23,,,HOU 35,7,7,Ka'imi Fairbairn kicks off 59 yards returned by Devin Duvernay for 22 yards (tackle by Del'Shawn Phillips and Dare Ogunbowale). Penalty on Ventrell Miller: Illegal Formation 5 yards (accepted),0.000,0.480
1,7:18,1,10,JAX 23,7,7,Tank Bigsby up the middle for 1 yard (tackle by Derek Barnett),0.480,0.070
1,6:41,2,9,JAX 24,7,7,Trevor Lawrence pass complete short right to Gabriel Davis for 5 yards (tackle by Derek Stingley),0.070,0.040
1,5:58,3,4,JAX 29,7,7,Trevor Lawrence pass complete short left to Christian Kirk for 14 yards (tackle by Eric Murray),0.040,1.800
1,5:16,1,10,JAX 43,7,7,Tank Bigsby right tackle for 22 yards (tackle by Calen Bullock),1.800,3.250
1,4:47,1,10,HOU 35,7,7,Trevor Lawrence pass complete short right to Brenton Strange for 11 yards (tackle by Calen Bullock),3.250,3.970
1,4:23,1,10,HOU 24,7,7,Penalty on Ezra Cleveland: False Start 5 yards (accepted) (no play),3.970,3.640
1,4:09,1,15,HOU 29,7,7,D'Ernest Johnson up the middle for 1 yard (tackle by Azeez Al-Shaair and Khalil Davis),3.640,2.890
1,3:29,2,14,HOU 28,7,7,Trevor Lawrence pass incomplete deep right intended for Brian Thomas,2.890,2.210
1,3:24,3,14,HOU 28,7,7,Trevor Lawrence pass complete short middle to Brenton Strange for 5 yards (tackle by Derek Stingley),2.210,1.930
1,2:45,4,9,HOU 23,10,7,Cam Little 41 yard field goal good,1.930,3.000
1,2:41,,,JAX 35,10,7,Cam Little kicks off 65 yards touchback.,0.000,0.940
1,2:41,1,10,HOU 30,10,7,C.J. Stroud pass complete deep left to Stefon Diggs for 28 yards (tackle by Ronald Darby),0.940,2.790
1,1:55,1,10,JAX 42,10,7,J.J. Taylor right end for 2 yards (tackle by Yasir Abdullah and Ventrell Miller),2.790,2.510
1,1:12,2,8,JAX 40,10,7,C.J. Stroud pass complete short left to Nico Collins for -2 yards (tackle by Montaric Brown),2.510,1.550
1,0:30,3,10,JAX 42,10,7,C.J. Stroud pass incomplete short right intended for Dalton Schultz,1.550,0.460
1,0:25,4,10,JAX 42,10,7,Tommy Townsend punts 32 yards fair catch by Devin Duvernay at JAC-10,0.460,0.380
1,0:18,1,10,JAX 10,10,7,Trevor Lawrence pass incomplete deep right intended for Brian Thomas,-0.380,-0.780
1,0:14,2,10,JAX 10,10,7,Travis Etienne left guard for 6 yards (tackle by Henry To'oTo'o and Kamari Lassiter),-0.780,-0.720
2,15:00,3,4,JAX 16,10,7,Trevor Lawrence pass incomplete short left,-0.720,-2.390
