Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA
,,,,,,,Chargers won the coin toss and deferred Chiefs to receive the opening kickoff.,,
1,15:00,,,LAC 35,0,0,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,KAN 30,0,0,Patrick Mahomes pass complete short right to Carson Steele for no gain (tackle by Poona Ford),0.940,0.390
1,14:20,2,10,KAN 30,0,0,Patrick Mahomes pass complete short right to Noah Gray for 2 yards (tackle by Daiyan Henley),0.390,-0.030
1,13:35,3,8,KAN 32,0,0,Patrick Mahomes pass complete deep right to Travis Kelce for 38 yards (tackle by AJ Finley),-0.030,3.580
1,12:59,1,10,LAC 30,0,0,Carson Steele up the middle for 3 yards. Carson Steele fumbles (forced by Tuli Tuipulotu) recovered by Elijah Molden at LAC-26,3.580,-0.670
1,12:52,1,10,LAC 26,0,0,Justin Herbert pass complete short right to Ladd McConkey for 5 yards (tackle by Trent McDuffie and Drue Tranquill),0.670,0.810
1,12:07,2,5,LAC 31,0,0,Quentin Johnston left end for 4 yards (tackle by Bryan Cook),0.810,0.630
1,11:15,3,1,LAC 35,0,0,Gus Edwards up the middle for 5 yards (tackle by Nick Bolton and Bryan Cook),0.630,1.600
1,10:36,,,,,,Timeout #1 by Los Angeles Chargers,,
1,10:36,1,10,LAC 40,0,0,J.K. Dobbins up the middle for 12 yards (tackle by Nick Bolton),1.600,2.390
1,9:55,1,10,KAN 48,0,0,J.K. Dobbins left guard for no gain (tackle by Malik Herring and Drue Tranquill),2.390,1.850
1,9:16,2,10,KAN 48,0,0,Justin Herbert pass complete short left to Will Dissly for 22 yards (tackle by Bryan Cook),1.850,3.840
1,8:33,1,10,KAN 26,0,0,J.K. Dobbins right guard for 2 yards (tackle by Mike Pennel),3.840,3.570
1,7:47,2,8,KAN 24,0,0,Justin Herbert pass complete short right to Ladd McConkey for 15 yards (tackle by Jaylen Watson),3.570,5.140
1,7:00,1,9,KAN 9,0,0,Gus Edwards left tackle for 2 yards (tackle by Drue Tranquill and Nazeeh Johnson),5.140,4.760
1,6:21,2,7,KAN 7,0,6,Justin Herbert pass complete short middle to Ladd McConkey for 7 yards touchdown,4.760,7.000
1,6:16,,,KAN 15,0,7,Cameron Dicker kicks extra point good,0.000,0.000
1,6:16,,,LAC 35,0,7,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
1,6:16,1,10,KAN 30,0,7,Patrick Mahomes pass deep left intended for Travis Kelce is intercepted by Kristian Fulton at KC-49 and returned for 29 yards. Kristian Fulton fumbles (forced by Rashee Rice) recovered by Creed Humphrey at KC-20 Replay Assistant challenged the loose ball recovery ruling and the original play was overturned. Patrick Mahomes pass deep left intended for Travis Kelce is intercepted by Kristian Fulton at KC-49 and returned for 29 yards. Kristian Fulton fumbles (forced by Rashee Rice). Kristian Fulton fumbles out of bounds,0.940,-4.240
1,6:06,1,10,KAN 20,0,7,Gus Edwards left end for no gain (tackle by Nick Bolton and Drue Tranquill). Penalty on Sam Mustipher: Chop Block 15 yards (accepted) (no play),4.240,3.250
1,5:46,1,25,KAN 35,0,7,Justin Herbert pass complete short right to Hayden Hurst for 6 yards,3.250,2.480
1,5:15,2,19,KAN 29,0,7,Justin Herbert pass incomplete short left intended for J.K. Dobbins. Penalty on Jamaree Salyer: Offensive Holding 10 yards (accepted) (no play),2.480,1.130
1,5:09,2,29,KAN 39,0,7,J.K. Dobbins up the middle for 4 yards (tackle by George Karlaftis),1.130,1.020
1,4:37,3,25,KAN 35,0,7,J.K. Dobbins left end for 3 yards (tackle by Chamarri Conner and Trent McDuffie),1.020,1.240
1,3:58,4,22,KAN 32,0,10,Cameron Dicker 50 yard field goal good,1.240,3.000
1,3:53,,,LAC 35,0,10,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
1,3:53,1,10,KAN 30,0,10,Carson Steele left end for 3 yards (tackle by Asante Samuel),0.940,0.800
1,3:20,2,7,KAN 33,0,10,Patrick Mahomes pass incomplete short middle intended for Carson Steele (defended by Poona Ford),0.800,0.100
1,3:12,3,7,KAN 33,0,10,Patrick Mahomes sacked by Bud Dupree for -5 yards,0.100,-1.500
1,2:36,4,12,KAN 28,0,10,Matt Araiza punts 53 yards downed by Nazeeh Johnson,-1.500,-0.150
1,2:25,1,10,LAC 19,0,10,Justin Herbert pass complete short left to J.K. Dobbins for 11 yards (tackle by Drue Tranquill),0.150,0.940
1,1:44,1,10,LAC 30,0,10,Justin Herbert aborted snap recovered by Gus Edwards at LAC-24 (tackle by Drue Tranquill),0.940,-0.420
1,1:00,2,16,LAC 24,0,10,Penalty on Trey Pipkins: False Start 5 yards (accepted) (no play),-0.420,-1.150
1,0:41,2,21,LAC 19,0,10,Justin Herbert pass complete short left to Ladd McConkey for 3 yards (tackle by Nick Bolton),-1.150,-1.350
2,15:00,3,18,LAC 22,0,10,Justin Herbert pass incomplete short right intended for Josh Palmer,-1.350,-1.900
2,14:55,4,18,LAC 22,0,10,JK Scott punts 48 yards returned by Mecole Hardman for 5 yards (tackle by Cam Hart),-1.900,-1.270
2,14:44,1,10,KAN 35,0,10,Penalty on Jawaan Taylor: False Start 5 yards (accepted) (no play),1.270,0.940
2,14:44,1,15,KAN 30,0,10,Kareem Hunt up the middle for 9 yards (tackle by Daiyan Henley and Alohi Gilman),0.940,1.260
2,14:09,2,6,KAN 39,0,10,Patrick Mahomes pass complete short right to Travis Kelce for 5 yards (tackle by Elijah Molden),1.260,1.220
2,13:29,3,1,KAN 44,0,10,Patrick Mahomes pass incomplete short right intended for Skyy Moore,1.220,-0.460
2,13:25,4,1,KAN 44,0,10,Matt Araiza punts 50 yards fair catch by Derius Davis at LAC-6,-0.460,0.380
2,13:18,1,10,LAC 6,0,10,Justin Herbert pass complete short right to Will Dissly for 2 yards (tackle by Leo Chenal),-0.380,-0.630
2,12:36,2,8,LAC 8,0,10,Justin Herbert pass complete short right to Scott Matlock for 7 yards (tackle by Drue Tranquill),-0.630,-0.370
2,12:09,3,1,LAC 15,0,10,J.K. Dobbins left guard for no gain (tackle by Jaylen Watson and Drue Tranquill),-0.370,-2.440
2,11:35,4,1,LAC 15,0,10,JK Scott punts 50 yards fair catch by Mecole Hardman at KC-35,-2.440,-1.270
2,11:22,1,10,KAN 35,0,10,Kareem Hunt left end for 1 yard (tackle by Kristian Fulton and Khalil Mack),1.270,0.860
2,10:47,2,9,KAN 36,0,10,Patrick Mahomes pass complete short right to Travis Kelce for 8 yards (tackle by Denzel Perryman),0.860,1.220
2,10:17,3,1,KAN 44,0,10,Kareem Hunt up the middle for 3 yards (tackle by Denzel Perryman and Tuli Tuipulotu),1.220,2.060
2,9:43,1,10,KAN 47,0,10,Patrick Mahomes pass complete short left to Travis Kelce for 5 yards (tackle by Denzel Perryman),2.060,2.190
2,9:13,2,5,LAC 48,0,10,Kareem Hunt left guard for 2 yards (tackle by Denzel Perryman and Otito Ogbonnia),2.190,1.750
2,8:32,3,3,LAC 46,0,10,Samaje Perine left guard for 4 yards (tackle by Morgan Fox),1.750,2.790
2,7:59,1,10,LAC 42,0,10,Samaje Perine up the middle for 4 yards (tackle by Elijah Molden and Daiyan Henley),2.790,2.780
2,7:24,2,6,LAC 38,0,10,Patrick Mahomes sacked by Bud Dupree for -3 yards,2.780,1.680
