Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
,,,,,,,Packers won the coin toss and deferred Vikings to receive the opening kickoff.,,
1,15:00,,,GNB 35,0,0,Brayden Narveson kicks off 64 yards returned by Myles Gaskin for 26 yards (tackle by Malik Heath and Ty'Ron Hopper),0.000,0.740
1,14:54,1,10,MIN 27,0,0,Aaron Jones left end for 5 yards (tackle by Keisean Nixon),0.740,0.870
1,14:19,2,5,MIN 32,0,0,Sam Darnold pass complete short left to Aaron Jones for 12 yards (tackle by Javon Bullard and Isaiah McDuffie),0.870,1.860
1,13:42,1,10,MIN 44,0,0,Aaron Jones left end for 1 yard (tackle by Devonte Wyatt and Kenny Clark),1.860,1.450
1,12:53,2,9,MIN 45,0,0,Sam Darnold pass incomplete short left intended for Justin Jefferson (defended by Isaiah McDuffie),1.450,0.760
1,12:43,3,9,MIN 45,0,0,Penalty on Sam Darnold: Delay of Game 5 yards (accepted) (no play),0.760,0.100
1,12:43,3,14,MIN 40,0,0,Sam Darnold pass complete deep right to Jalen Nailor for 31 yards (tackle by Xavier McKinney and Eric Stokes),0.100,3.640
1,11:59,1,10,GNB 29,6,0,Sam Darnold pass complete deep right to Jordan Addison for 29 yards touchdown. Penalty on Kingsley Enagbare: Defensive Offside 5 yards (declined),3.640,7.000
1,11:53,,,GNB 15,7,0,Will Reichard kicks extra point good,0.000,0.000
1,11:53,,,MIN 35,7,0,Will Reichard kicks off 65 yards touchback.,0.000,0.940
1,11:53,1,10,GNB 30,7,0,Josh Jacobs right guard for 8 yards (tackle by Blake Cashman and Harrison Phillips),0.940,1.470
1,11:13,2,2,GNB 38,7,0,Jordan Love pass complete short left to Luke Musgrave for 4 yards (tackle by Byron Murphy and Blake Cashman),1.470,1.730
1,10:35,1,10,GNB 42,7,0,Emanuel Wilson left tackle for 3 yards (tackle by Harrison Phillips),1.730,1.590
1,9:58,2,7,GNB 45,7,0,Josh Jacobs left guard for 13 yards (tackle by Harrison Smith and Byron Murphy),1.590,2.790
1,9:19,1,10,MIN 42,7,0,Jayden Reed right end for 2 yards (tackle by Blake Cashman and Jonathan Bullard),2.790,2.510
1,8:42,2,8,MIN 40,7,0,Jordan Love pass complete short middle to Jayden Reed for 24 yards (tackle by Harrison Smith),2.510,4.510
1,7:58,1,10,MIN 16,7,0,Jordan Love pass complete short left to Tucker Kraft for 1 yard (tackle by Andrew Van Ginkel),4.510,4.050
1,7:16,2,9,MIN 15,7,0,Josh Jacobs left tackle for 1 yard (tackle by Jonathan Greenard and Jerry Tillery),4.050,3.370
1,6:56,,,,,,Timeout #1 by Minnesota Vikings,,
1,6:56,3,8,MIN 14,7,0,Penalty on Elgton Jenkins: False Start 5 yards (accepted) (no play),3.370,2.850
1,6:56,3,13,MIN 19,7,0,Jordan Love pass incomplete short middle intended for Dontayvion Wicks,2.850,2.180
1,6:52,4,13,MIN 19,7,0,Brayden Narveson 37 yard field goal no good,2.180,-0.740
1,6:47,1,10,MIN 27,7,0,Aaron Jones up the middle for 17 yards (tackle by Eric Stokes and Xavier McKinney). Penalty on Edgerrin Cooper: Face Mask (15 Yards) 15 yards (accepted),0.740,2.850
1,6:26,1,10,GNB 41,7,0,Aaron Jones right tackle for 1 yard (tackle by Edgerrin Cooper),2.850,2.440
1,5:46,2,9,GNB 40,7,0,Sam Darnold pass complete short left to Jordan Addison for no gain (tackle by Eric Stokes). Penalty on Devonte Wyatt: Defensive Offside 5 yards (accepted) (no play),2.440,3.120
1,5:30,2,4,GNB 35,7,0,Aaron Jones up the middle for 3 yards (tackle by Isaiah McDuffie and Keisean Nixon),3.120,2.810
1,4:47,3,1,GNB 32,7,0,Sam Darnold scrambles left end for 9 yards (tackle by Javon Bullard),2.810,4.040
1,4:03,1,10,GNB 23,7,0,Penalty on Sam Darnold: Delay of Game 5 yards (accepted) (no play),4.040,3.710
1,3:49,1,15,GNB 28,7,0,Sam Darnold pass complete short left to Justin Jefferson for 5 yards (tackle by Isaiah McDuffie),3.710,3.500
1,3:12,2,10,GNB 23,7,0,Sam Darnold pass complete short left to Ty Chandler for 8 yards (tackle by Lukas Van Ness),3.500,4.050
1,2:29,3,2,GNB 15,7,0,Sam Darnold pass incomplete short left intended for Justin Jefferson. Penalty on Eric Stokes: Defensive Pass Interference 12 yards (accepted) (no play),4.050,6.510
1,2:26,1,3,GNB 3,7,0,Sam Darnold pass incomplete short middle intended for Justin Jefferson. Penalty on Keisean Nixon: Defensive Holding 2 yards (accepted) (no play),6.510,6.970
1,2:19,1,1,GNB 1,7,0,Aaron Jones left end for -1 yards (tackle by Devonte Wyatt and Karl Brooks),6.970,5.720
1,1:41,2,2,GNB 2,13,0,Sam Darnold pass complete short left to Josh Oliver for 2 yards touchdown,5.720,7.000
1,1:37,,,GNB 15,14,0,Will Reichard kicks extra point good,0.000,0.000
1,1:37,,,MIN 35,14,0,Will Reichard kicks off 65 yards touchback.,0.000,0.940
1,1:37,1,10,GNB 30,14,0,Josh Jacobs left end for -2 yards (tackle by Blake Cashman),0.940,0.120
1,1:02,2,12,GNB 28,14,0,Jordan Love pass complete short middle to Luke Musgrave for 5 yards (tackle by Andrew Van Ginkel and Kamu Grugier-Hill),0.120,0.100
1,0:23,3,7,GNB 33,14,0,Jordan Love pass short middle intended for Christian Watson is intercepted by Kamu Grugier-Hill at GB-46 and returned for no gain (tackle by Christian Watson),0.100,-2.520
1,0:20,1,10,GNB 46,14,0,Sam Darnold pass complete short left to Johnny Mundt for 9 yards (tackle by Edgerrin Cooper),2.520,3.190
2,15:00,2,1,GNB 37,14,0,Aaron Jones up the middle for 3 yards (tackle by Quay Walker),3.190,3.310
2,14:35,1,10,GNB 34,14,0,Sam Darnold pass complete short right to Trent Sherfield for 8 yards (tackle by Keisean Nixon),3.310,3.850
2,14:03,2,2,GNB 26,14,0,Aaron Jones left end for 4 yards (tackle by Devonte Wyatt and Preston Smith),3.850,4.110
2,13:25,1,10,GNB 22,14,0,Aaron Jones right guard for 3 yards (tackle by Kenny Clark and Eric Wilson),4.110,3.970
2,12:44,2,7,GNB 19,14,0,Sam Darnold pass complete short right to Aaron Jones for 12 yards (tackle by Quay Walker),3.970,5.600
2,11:54,,,,,,Timeout #2 by Minnesota Vikings,,
2,11:54,1,7,GNB 7,20,0,Jordan Addison right end for 7 yards touchdown,5.600,7.000
2,11:50,,,GNB 15,21,0,Will Reichard kicks extra point good,0.000,0.000
2,11:50,,,MIN 35,21,0,Will Reichard kicks off 65 yards touchback.,0.000,0.940
2,11:50,1,10,GNB 30,21,0,Jordan Love pass complete deep middle to Romeo Doubs for 20 yards (tackle by Byron Murphy),0.940,2.260
2,11:13,1,10,GNB 50,21,0,Emanuel Wilson up the middle for -1 yards (tackle by Jerry Tillery and Harrison Phillips),2.260,1.580
2,10:32,2,11,GNB 49,21,0,Jordan Love pass complete short right to Jayden Reed for 8 yards (tackle by Blake Cashman),1.580,1.950
2,9:53,3,3,MIN 43,21,0,Jordan Love pass incomplete deep right intended for Jayden Reed. Penalty on Josh Metellus: Defensive Pass Interference 20 yards (accepted) (no play),1.950,4.040
2,9:44,1,10,MIN 23,21,0,Emanuel Wilson left guard for 2 yards (tackle by Harrison Phillips and Patrick Jones),4.040,3.770
2,9:03,2,8,MIN 21,21,0,Jordan Love sacked by Patrick Jones for -10 yards,3.770,1.750
2,8:15,3,18,MIN 31,21,0,Jordan Love pass incomplete deep left intended for Tucker Kraft (defended by Camryn Bynum),1.750,1.320
2,8:09,4,18,MIN 31,21,0,Brayden Narveson 49 yard field goal no good,1.320,-1.530
2,8:04,1,10,MIN 39,21,0,Sam Darnold pass incomplete short middle intended for Jordan Addison,1.530,0.990
