Quarter,Time,Down,ToGo,Location,NOR,ATL,Detail,EPB,EPA
,,,,,,,Saints won the coin toss and deferred Falcons to receive the opening kickoff.,,
1,15:00,,,NOR 35,0,0,Blake Grupe kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,ATL 30,0,0,Bijan Robinson left guard for 2 yards (tackle by Cameron Jordan and Willie Gay),0.940,0.660
1,14:27,2,8,ATL 32,0,0,Kirk Cousins pass complete short left to Bijan Robinson for 11 yards (tackle by Willie Gay and Marshon Lattimore),0.660,1.800
1,14:07,1,10,ATL 43,0,0,Kirk Cousins pass incomplete deep right intended for Drake London (defended by Alontae Taylor),1.800,1.250
1,14:00,2,10,ATL 43,0,0,Kirk Cousins pass incomplete short left intended for Kyle Pitts,1.250,0.560
1,13:57,3,10,ATL 43,0,0,Kirk Cousins pass complete short right to Drake London for 13 yards (tackle by Paulson Adebo),0.560,2.650
1,13:32,1,10,NOR 44,0,0,Bijan Robinson right end for no gain (tackle by Carl Granderson),2.650,2.110
1,12:53,2,10,NOR 44,0,0,Kirk Cousins pass complete short middle to Ray-Ray McCloud for no gain (tackle by Tyrann Mathieu). Penalty on Matthew Bergeron: Offensive Facemask 15 yards (accepted) (no play),2.110,0.080
1,12:31,2,25,ATL 41,0,0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 5 yards (tackle by Pete Werner),0.080,0.100
1,12:01,3,20,ATL 46,0,0,Kirk Cousins pass complete short left to Bijan Robinson for 8 yards (tackle by Marshon Lattimore),0.100,0.200
1,11:25,4,12,NOR 46,0,6,Bradley Pinion punts 46 yards recovered by KhaDarel Hodge in end zone touchdown,0.200,7.000
1,11:13,,,NOR 15,0,7,Younghoe Koo kicks extra point good,0.000,0.000
1,11:13,,,ATL 35,0,7,Younghoe Koo kicks off 65 yards touchback.,0.000,0.940
1,11:13,1,10,NOR 30,0,7,Derek Carr pass complete short middle to Chris Olave for 18 yards (tackle by AJ Terrell),0.940,2.130
1,10:45,1,10,NOR 48,0,7,Alvin Kamara left tackle for 5 yards (tackle by Troy Andersen and David Onyemata),2.130,2.260
