Quarter,Time,Down,ToGo,Location,NWE,SFO,Detail,EPB,EPA
,,,,,,,49ers won the coin toss and deferred Patriots to receive the opening kickoff.,,
1,15:00,,,SFO 35,0,0,Jake Moody kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,NWE 30,0,0,Rhamondre Stevenson right guard for 1 yard (tackle by De'Vondre Campbell and Fred Warner),0.940,0.530
1,14:23,2,9,NWE 31,0,0,Rhamondre Stevenson right guard for 3 yards (tackle by Malik Mustapha and Fred Warner),0.530,0.230
1,13:42,3,6,NWE 34,0,0,Jacoby Brissett pass complete short right to Rhamondre Stevenson for 7 yards (tackle by Charvarius Ward),0.230,1.660
1,13:06,1,10,NWE 41,0,0,Jacoby Brissett pass incomplete short right intended for K.J. Osborn (defended by Charvarius Ward),1.660,1.120
1,13:03,2,10,NWE 41,0,0,Antonio Gibson up the middle for 3 yards (tackle by Fred Warner),1.120,0.830
1,12:25,3,7,NWE 44,0,0,Jacoby Brissett pass complete short right to Demario Douglas for 8 yards,0.830,2.390
1,11:50,1,10,SFO 48,0,0,Antonio Gibson left guard for -1 yards (tackle by Ji'Ayir Brown and Deommodore Lenoir),2.390,1.710
1,11:07,2,11,SFO 49,0,0,Rhamondre Stevenson right tackle for 8 yards (tackle by Charvarius Ward),1.710,2.080
1,10:24,3,3,SFO 41,0,0,Jacoby Brissett pass incomplete short left intended for K.J. Osborn (defended by Isaac Yiadom),2.080,0.530
1,10:20,4,3,SFO 41,0,0,Penalty on Jacoby Brissett: Delay of Game 5 yards (accepted) (no play),0.530,0.200
1,10:20,4,8,SFO 46,0,0,Bryce Baringer punts 39 yards downed by Brenden Schooler,0.200,0.380
1,10:11,1,10,SFO 7,0,0,Deebo Samuel left tackle for 6 yards (tackle by Kyle Dugger and Jahlani Tavai),-0.380,-0.340
1,9:28,2,4,SFO 13,0,0,Jordan Mason right tackle for 1 yard (tackle by Josh Uche),-0.340,-0.600
1,8:54,3,3,SFO 14,0,0,Brock Purdy scrambles left end for 7 yards (tackle by Josh Uche),-0.600,0.340
1,8:21,1,10,SFO 21,0,0,Deebo Samuel right end for 8 yards (tackle by Jabrill Peppers),0.340,0.880
1,7:40,2,2,SFO 29,0,0,Brock Purdy pass complete deep right to Brandon Aiyuk for 38 yards (tackle by Christian Gonzalez),0.880,3.380
1,6:56,1,10,NWE 33,0,0,Jordan Mason right end for 6 yards (tackle by Eric Johnson),3.380,3.650
1,6:12,2,4,NWE 27,0,0,Brock Purdy pass incomplete short middle intended for Chris Conley (defended by Jabrill Peppers),3.650,2.940
1,6:08,,,,,,Timeout #1 by San Francisco 49ers,,
1,6:08,3,4,NWE 27,0,0,Brock Purdy scrambles left end for 5 yards (tackle by Raekwon McMillan),2.940,4.110
1,5:31,1,10,NWE 22,0,0,Jordan Mason right end for 1 yard (tackle by Raekwon McMillan),4.110,3.700
1,4:47,2,9,NWE 21,0,0,Brock Purdy pass incomplete short left intended for Jauan Jennings,3.700,3.010
1,4:43,3,9,NWE 21,0,0,Brock Purdy pass complete short left to George Kittle for 15 yards (tackle by Jaylinn Hawkins),3.010,5.830
1,3:53,1,6,NWE 6,0,0,Jordan Mason left guard for 1 yard (tackle by Jeremiah Pharms),5.830,5.150
1,3:13,2,5,NWE 5,0,0,Brock Purdy pass complete short left to Deebo Samuel for 2 yards (tackle by Christian Gonzalez),5.150,4.720
1,2:33,3,3,NWE 3,0,0,Brock Purdy pass incomplete short right intended for Jauan Jennings,4.720,3.040
1,2:29,4,3,NWE 3,0,3,Jake Moody 22 yard field goal good,3.040,3.000
1,2:26,,,SFO 35,0,3,Jake Moody kicks off 65 yards touchback.,0.000,0.940
