Quarter,Time,Down,ToGo,Location,PHI,TAM,Detail,EPB,EPA
,,,,,,,Eagles won the coin toss and deferred Buccaneers to receive the opening kickoff.,,
1,15:00,,,PHI 35,0,0,Braden Mann kicks off 58 yards returned by Trey Palmer for 14 yards (tackle by Avonte Maddox),0.000,0.340
1,14:58,1,10,TAM 21,0,0,Baker Mayfield pass complete short right to Mike Evans for 8 yards (tackle by Reed Blankenship),0.340,0.880
1,14:22,2,2,TAM 29,0,0,Rachaad White left tackle for 17 yards (tackle by Milton Williams and Reed Blankenship),0.880,1.990
1,13:39,1,10,TAM 46,0,0,Baker Mayfield pass complete short left to Trey Palmer for 3 yards (tackle by Reed Blankenship),1.990,1.860
1,12:55,2,7,TAM 49,0,0,Baker Mayfield pass complete short left to Bucky Irving for 6 yards (tackle by Reed Blankenship),1.860,1.950
1,12:18,3,1,PHI 45,0,0,Baker Mayfield pass complete short right to Chris Godwin for 7 yards (tackle by Avonte Maddox),1.950,3.050
1,11:40,1,10,PHI 38,0,0,Baker Mayfield pass incomplete short left intended for Rachaad White,3.050,2.510
1,11:38,2,10,PHI 38,0,0,Baker Mayfield pass complete short left to Trey Palmer for 8 yards (tackle by Quinyon Mitchell),2.510,2.870
1,11:04,3,2,PHI 30,0,0,Baker Mayfield pass complete short left to Rachaad White for 22 yards (tackle by Quinyon Mitchell),2.870,5.370
1,10:30,1,8,PHI 8,0,0,Baker Mayfield pass complete short right to Chris Godwin for 6 yards (tackle by Nolan Smith),5.370,5.720
1,9:48,2,2,PHI 2,0,6,Baker Mayfield pass complete short left to Mike Evans for 2 yards touchdown,5.720,7.000
1,9:44,,,PHI 15,0,7,Chase McLaughlin kicks extra point good,0.000,0.000
1,9:44,,,TAM 35,0,7,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
1,9:44,1,10,PHI 30,0,7,Jalen Hurts pass incomplete deep right intended for Saquon Barkley,0.940,0.390
1,9:36,2,10,PHI 30,0,7,Saquon Barkley left guard for no gain (tackle by Lavonte David),0.390,-0.300
1,8:54,3,10,PHI 30,0,7,Jalen Hurts pass complete short right to Dallas Goedert for 7 yards (tackle by Lavonte David and Zyon McCollum),-0.300,-0.910
1,8:11,4,3,PHI 37,0,7,Penalty on Tristin McCollum: False Start 5 yards (accepted) (no play),-0.910,-1.240
1,8:00,4,8,PHI 32,0,7,Braden Mann punts 48 yards fair catch by Trey Palmer at TB-20,-1.240,-0.280
1,7:49,1,10,TAM 20,0,7,Baker Mayfield pass complete short middle to Cade Otton for 16 yards (tackle by Nakobe Dean),0.280,1.330
1,7:10,1,10,TAM 36,0,7,Baker Mayfield pass complete short right to Chris Godwin for 28 yards (tackle by C.J. Gardner-Johnson),1.330,3.180
1,6:26,1,10,PHI 36,0,7,Baker Mayfield pass complete short right to Mike Evans for 17 yards (tackle by Darius Slay),3.180,4.310
1,5:51,1,10,PHI 19,0,7,Bucky Irving right guard for 4 yards (tackle by Bryce Huff),4.310,4.350
1,5:08,2,6,PHI 15,0,13,Baker Mayfield pass complete short middle to Trey Palmer for 15 yards touchdown,4.350,7.000
1,5:03,,,PHI 15,0,14,Chase McLaughlin kicks extra point good,0.000,0.000
1,5:03,,,TAM 35,0,14,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
1,5:03,1,10,PHI 30,0,14,Jalen Hurts pass incomplete short right intended for Dallas Goedert,0.940,0.390
1,4:59,2,10,PHI 30,0,14,Saquon Barkley left guard for 3 yards (tackle by Joe Tryon-Shoyinka and Christian Izien),0.390,0.100
1,4:19,3,7,PHI 33,0,14,Jalen Hurts sacked by Vita Vea for -10 yards,0.100,-1.830
1,3:40,4,17,PHI 23,0,14,Braden Mann punts 55 yards returned by Trey Palmer for 5 yards (tackle by Ben VanSumeren and Grant Calcaterra),-1.830,-0.740
1,3:25,1,10,TAM 27,0,14,Penalty on Moro Ojomo: Encroachment 5 yards (accepted) (no play),0.740,1.470
1,3:25,1,5,TAM 32,0,14,Rachaad White right end for 13 yards (tackle by Darius Slay),1.470,1.930
1,2:49,1,10,TAM 45,0,14,Baker Mayfield pass complete short right to Cade Otton for 6 yards (tackle by Nakobe Dean and Zack Baun),1.930,2.190
1,2:05,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
1,2:05,2,4,PHI 49,0,14,Baker Mayfield sacked by Brandon Graham for -11 yards,2.190,0.040
1,1:24,3,15,TAM 40,0,14,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Reed Blankenship),0.040,-0.720
1,1:16,4,15,TAM 40,0,14,Trenton Gill punts 42 yards recovered by J.J. Russell at PHI-22,-0.720,4.110
1,1:06,1,10,PHI 22,0,14,Bucky Irving right end for 15 yards (tackle by Darius Slay and Jalen Carter),4.110,5.600
1,0:28,1,7,PHI 7,0,14,Baker Mayfield pass complete short right to Cade Otton for 4 yards (tackle by C.J. Gardner-Johnson),5.600,5.530
2,15:00,2,3,PHI 3,0,14,Bucky Irving right guard for 2 yards (tackle by Nolan Smith and Avonte Maddox),5.530,5.170
2,14:19,3,1,PHI 1,0,14,Baker Mayfield pass incomplete short left intended for Mike Evans (defended by Quinyon Mitchell),5.170,3.550
2,14:13,4,1,PHI 1,0,20,Baker Mayfield up the middle for 1 yard touchdown,3.550,7.000
2,14:09,,,PHI 15,0,21,Chase McLaughlin kicks extra point good,0.000,0.000
2,14:09,,,TAM 35,0,21,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
2,14:09,1,10,PHI 30,0,21,Jalen Hurts pass incomplete deep right intended for Grant Calcaterra. Penalty on Fred Johnson: Illegal Formation 5 yards (declined),0.940,0.390
2,14:04,2,10,PHI 30,0,21,Jalen Hurts pass incomplete short left intended for Saquon Barkley (defended by Logan Hall),0.390,-0.300
2,13:59,3,10,PHI 30,0,21,Jalen Hurts pass incomplete deep right intended for Jahan Dotson,-0.300,-1.370
2,13:54,4,10,PHI 30,0,21,Braden Mann punts 70 yards touchback.,-1.370,-0.280
2,13:47,1,10,TAM 20,0,21,Sean Tucker left end for 3 yards (tackle by Quinyon Mitchell),0.280,0.140
2,13:09,2,7,TAM 23,0,21,Baker Mayfield pass incomplete short right intended for Cade Otton (defended by Jalen Carter),0.140,-0.560
2,13:06,3,7,TAM 23,0,21,Baker Mayfield pass incomplete deep left intended for Mike Evans. Penalty on Reed Blankenship: Defensive Pass Interference 16 yards (accepted) (no play),-0.560,1.530
2,13:01,1,10,TAM 39,0,21,Baker Mayfield pass complete short right to Sean Tucker for 14 yards (tackle by Darius Slay),1.530,2.460
2,12:23,1,10,PHI 47,0,21,Baker Mayfield pass complete short middle to Chris Godwin for 10 yards (tackle by Reed Blankenship),2.460,3.120
2,11:41,1,10,PHI 37,0,21,Rachaad White up the middle for 3 yards (tackle by Nolan Smith and Zack Baun),3.120,2.980
2,11:00,2,7,PHI 34,0,21,Baker Mayfield pass complete short right to Mike Evans for 12 yards (tackle by Darius Slay),2.980,4.110
2,10:21,1,10,PHI 22,0,21,Penalty on Graham Barton: False Start 5 yards (accepted) (no play),4.110,3.780
2,10:01,1,15,PHI 27,0,21,Bucky Irving right guard for 3 yards (tackle by Nakobe Dean),3.780,3.290
2,9:23,2,12,PHI 24,0,21,Baker Mayfield pass complete short left to Sterling Shepard for 18 yards (tackle by Quinyon Mitchell),3.290,5.830
2,8:42,1,6,PHI 6,0,21,Baker Mayfield pass complete short right to Chris Godwin for 3 yards (tackle by Avonte Maddox),5.830,5.530
2,8:01,2,3,PHI 3,0,21,Baker Mayfield aborted snap recovered by Baker Mayfield at PHI-3,5.530,4.720
2,7:24,3,3,PHI 3,0,21,Baker Mayfield pass incomplete short middle intended for Kameron Johnson,4.720,3.040
2,7:21,4,3,PHI 3,0,24,Chase McLaughlin 21 yard field goal good,3.040,3.000
2,7:18,,,TAM 35,0,24,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
2,7:18,1,10,PHI 30,0,24,Jalen Hurts pass complete short left to Parris Campbell for 4 yards (tackle by Jamel Dean and Lavonte David),0.940,0.930
2,6:53,2,6,PHI 34,0,24,Jalen Hurts pass incomplete short left intended for Johnny Wilson (defended by Jamel Dean),0.930,0.230
2,6:49,3,6,PHI 34,0,24,Jalen Hurts scrambles left end for 7 yards (tackle by Jordan Whitehead),0.230,1.660
2,6:26,1,10,PHI 41,0,24,Saquon Barkley up the middle for 7 yards (tackle by Logan Hall and Jordan Whitehead),1.660,2.070
2,6:08,2,3,PHI 48,0,24,Saquon Barkley right guard for 3 yards (tackle by Vita Vea and Anthony Nelson). Penalty on Vita Vea: Defensive Holding 5 yards (accepted),2.070,2.650
2,5:46,1,10,TAM 44,0,24,Jalen Hurts pass complete short middle to Dallas Goedert for 5 yards (tackle by Lavonte David),2.650,2.780
2,5:17,2,5,TAM 39,0,24,Saquon Barkley right guard for 4 yards (tackle by YaYa Diaby),2.780,2.610
2,4:53,3,1,TAM 35,0,24,Jalen Hurts up the middle for 2 yards (tackle by K.J. Britt),2.610,3.380
2,4:28,1,10,TAM 33,0,24,Jalen Hurts pass complete short left to Dallas Goedert for 9 yards (tackle by Jordan Whitehead),3.380,4.050
2,3:55,2,1,TAM 24,0,24,Jalen Hurts pass complete deep left to Dallas Goedert for 18 yards,4.050,5.830
2,3:33,1,6,TAM 6,0,24,Saquon Barkley left guard for 5 yards (tackle by Jamel Dean),5.830,5.910
2,3:13,2,1,TAM 1,0,24,Saquon Barkley up the middle for -1 yards (tackle by Vita Vea),5.910,4.950
2,2:37,,,,,,Timeout #1 by Philadelphia Eagles,,
2,2:37,3,2,TAM 2,0,24,Saquon Barkley right guard for 1 yard (tackle by K.J. Britt),4.950,3.550
2,2:00,4,1,TAM 1,6,24,Jalen Hurts pass complete short right to Parris Campbell for 1 yard touchdown,3.550,7.000
2,1:54,,,TAM 15,7,24,Jake Elliott kicks extra point good,0.000,0.000
2,1:54,,,PHI 35,7,24,Braden Mann kicks off 65 yards touchback.,0.000,0.940
2,1:54,1,10,TAM 30,7,24,Baker Mayfield pass complete short middle to Mike Evans for 13 yards (tackle by Tristin McCollum),0.940,1.800
2,1:34,1,10,TAM 43,7,24,Baker Mayfield pass incomplete short right intended for Sterling Shepard,1.800,1.250
2,1:29,2,10,TAM 43,7,24,Baker Mayfield pass incomplete short right intended for Chris Godwin (defended by Darius Slay),1.250,0.560
2,1:25,3,10,TAM 43,7,24,Baker Mayfield pass incomplete deep middle intended for Mike Evans,0.560,-0.520
2,1:21,4,10,TAM 43,7,24,Trenton Gill punts 37 yards fair catch by Cooper DeJean at PHI-20,-0.520,-0.280
2,1:14,1,10,PHI 20,7,24,Jalen Hurts pass incomplete short right intended for Johnny Wilson,0.280,-0.270
2,1:10,2,10,PHI 20,7,24,Jalen Hurts pass incomplete short right intended for Kenneth Gainwell,-0.270,-0.960
2,1:07,3,10,PHI 20,7,24,Jalen Hurts pass complete short left to Parris Campbell for 5 yards (tackle by Lavonte David and Jamel Dean),-0.960,-1.700
2,1:01,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,1:01,4,5,PHI 25,7,24,Braden Mann punts 47 yards out of bounds,-1.700,-0.810
2,0:55,1,10,TAM 28,7,24,Baker Mayfield pass incomplete short middle intended for Mike Evans,0.810,0.260
2,0:50,2,10,TAM 28,7,24,Baker Mayfield pass complete short middle to Mike Evans for 15 yards (tackle by Darius Slay),0.260,1.800
