Quarter,Time,Down,ToGo,Location,PIT,IND,Detail,EPB,EPA
,,,,,,,Steelers won the coin toss and deferred Colts to receive the opening kickoff.,,
1,15:00,,,PIT 35,0,0,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,IND 30,0,0,Anthony Richardson pass complete deep left to Michael Pittman for 32 yards (tackle by Minkah Fitzpatrick),0.940,3.050
1,14:33,1,10,PIT 38,0,0,Jonathan Taylor left tackle for 14 yards (tackle by Payton Wilson and DeShon Elliott),3.050,3.970
1,14:08,1,10,PIT 24,0,0,Jonathan Taylor up the middle for 4 yards (tackle by Cameron Heyward and T.J. Watt),3.970,3.970
1,13:35,2,6,PIT 20,0,0,Anthony Richardson pass incomplete short left intended for Michael Pittman,3.970,3.270
1,13:31,3,6,PIT 20,0,0,Anthony Richardson up the middle for 9 yards (tackle by Cameron Heyward),3.270,4.840
1,12:55,1,10,PIT 11,0,0,Jonathan Taylor up the middle for 6 yards (tackle by DeShon Elliott and Minkah Fitzpatrick),4.840,5.280
1,12:29,2,4,PIT 5,0,0,Jonathan Taylor right guard for 3 yards (tackle by Nick Herbig),5.280,5.120
1,12:09,3,1,PIT 2,0,6,Jonathan Taylor up the middle for 2 yards touchdown,5.120,7.000
1,12:01,,,PIT 15,0,7,Matt Gay kicks extra point good,0.000,0.000
1,12:01,,,IND 35,0,7,Matt Gay kicks off 65 yards touchback.,0.000,0.940
1,12:01,1,10,PIT 30,0,7,Najee Harris right tackle for -2 yards (tackle by Grover Stewart and Tyquan Lewis),0.940,0.120
1,11:35,2,12,PIT 28,0,7,Justin Fields scrambles left end for 3 yards (tackle by E.J. Speed),0.120,-0.160
1,10:49,3,9,PIT 31,0,7,Justin Fields sacked by Isaiah Land for no gain. Penalty on Isaiah Land: Roughing the Passer 15 yards (accepted) (no play),-0.160,1.990
1,10:15,1,10,PIT 46,0,7,Justin Fields pass incomplete short left intended for Najee Harris,1.990,1.450
1,10:10,2,10,PIT 46,0,7,Najee Harris up the middle for 1 yard (tackle by E.J. Speed),1.450,0.890
1,9:39,3,9,PIT 47,0,7,Justin Fields pass complete short left to Calvin Austin for 17 yards (tackle by Jaylon Jones),0.890,3.180
1,9:03,1,10,IND 36,0,7,Cordarrelle Patterson right guard for -3 yards (tackle by E.J. Speed),3.180,2.230
1,8:26,2,13,IND 39,0,7,Justin Fields pass complete short middle to Cordarrelle Patterson for 5 yards (tackle by Nick Cross),2.230,2.210
1,8:10,3,8,IND 34,0,7,Penalty on Spencer Anderson: Unnecessary Roughness / Offense 15 yards (accepted) (no play),2.210,0.230
1,8:08,3,23,IND 49,0,7,Justin Fields pass complete short right to Pat Freiermuth for 8 yards (tackle by E.J. Speed and Nick Cross),0.230,0.530
1,7:32,4,15,IND 41,0,7,Corliss Waitman punts 27 yards fair catch by Josh Downs at IND-14,0.530,0.280
1,7:19,1,10,IND 14,0,7,Anthony Richardson pass complete deep right to Michael Pittman for 28 yards (tackle by Donte Jackson and Elandon Roberts),-0.280,1.730
1,6:43,1,10,IND 42,0,7,Jonathan Taylor up the middle for 1 yard (tackle by DeShon Elliott and Larry Ogunjobi),1.730,1.320
1,6:08,2,9,IND 43,0,7,Anthony Richardson pass complete short right to Josh Downs for 11 yards (tackle by Patrick Queen),1.320,2.520
1,5:33,1,10,PIT 46,0,7,Anthony Richardson left tackle for 14 yards. Anthony Richardson fumbles (forced by DeShon Elliott) recovered by Tanor Bortolini at PIT-29,2.520,3.640
1,5:32,1,10,PIT 29,0,7,Joe Flacco pass complete short middle to Jonathan Taylor for 10 yards (tackle by Elandon Roberts and Patrick Queen),3.640,4.310
1,4:52,1,10,PIT 19,0,7,Jonathan Taylor left end for 13 yards (tackle by Minkah Fitzpatrick and Payton Wilson),4.310,5.830
1,4:01,1,6,PIT 6,0,7,Anthony Richardson left end for 1 yard (tackle by Minkah Fitzpatrick),5.830,5.150
1,3:18,2,5,PIT 5,0,7,Jonathan Taylor right guard for 1 yard (tackle by T.J. Watt and Cameron Heyward),5.150,4.490
1,2:38,3,4,PIT 4,0,13,Joe Flacco pass complete short right to Josh Downs for 4 yards touchdown,4.490,7.000
1,2:34,,,PIT 15,0,14,Matt Gay kicks extra point good,0.000,0.000
1,2:34,,,IND 35,0,14,Matt Gay kicks off 65 yards touchback.,0.000,0.940
1,2:34,1,10,PIT 30,0,14,Justin Fields pass complete short right to Pat Freiermuth for 7 yards (tackle by Chris Lammons and Adam Gotsis),0.940,1.340
1,1:57,2,3,PIT 37,0,14,Najee Harris right tackle for 1 yard (tackle by Nick Cross),1.340,0.760
1,1:19,3,2,PIT 38,0,14,Najee Harris left guard for 1 yard (tackle by Jaylon Carlies),0.760,-0.780
