Quarter,Time,Down,ToGo,Location,TEN,MIA,Detail,EPB,EPA
,,,,,,,Dolphins won the coin toss and deferred Titans to receive the opening kickoff.,,
1,15:00,,,MIA 35,0,0,Jason Sanders kicks off 58 yards returned by Treylon Burks for 21 yards (tackle by Duke Riley),0.000,0.810
1,14:54,1,10,TEN 28,0,0,Penalty on JC Latham: False Start 5 yards (accepted) (no play),0.810,0.480
1,14:54,1,15,TEN 23,0,0,Will Levis pass complete short right to Tyler Boyd for 4 yards (tackle by Zach Sieler),0.480,0.130
1,14:17,2,11,TEN 27,0,0,Tony Pollard up the middle for 3 yards (tackle by Zach Sieler and Jordyn Brooks),0.130,-0.160
1,13:30,3,8,TEN 30,0,0,Will Levis pass incomplete short left intended for Chigoziem Okonkwo. Penalty on Jaelan Phillips: Roughing the Passer 15 yards (accepted) (no play),-0.160,1.930
1,13:25,1,10,TEN 45,0,0,Tony Pollard left end for -2 yards (tackle by Jordyn Brooks and Emmanuel Ogbah),1.930,1.110
1,12:40,2,12,TEN 43,0,0,Penalty on Peter Skoronski: False Start 5 yards (accepted) (no play),1.110,0.440
1,12:16,2,17,TEN 38,0,0,Will Levis pass complete deep left to DeAndre Hopkins for 16 yards (tackle by Anthony Walker),0.440,1.880
1,11:28,3,1,MIA 46,0,0,Will Levis left guard for 2 yards (tackle by Jordyn Brooks),1.880,2.650
1,10:48,1,10,MIA 44,0,0,Tony Pollard up the middle for 1 yard (tackle by Benito Jones and Anthony Walker),2.650,2.250
1,10:08,2,9,MIA 43,0,0,Will Levis pass short left intended for DeAndre Hopkins is intercepted by Emmanuel Ogbah at MIA-37 and returned for no gain (tackle by DeAndre Hopkins),2.250,-1.400
1,10:05,1,10,MIA 37,0,0,Tyler Huntley pass complete short middle to Jaylen Waddle for 14 yards (tackle by Amani Hooker),1.400,2.320
1,9:22,1,10,TEN 49,0,0,Tyreek Hill right end for 16 yards (tackle by Quandre Diggs),2.320,3.380
1,8:58,1,10,TEN 33,0,0,De'Von Achane right tackle for 1 yard (tackle by Jarvis Brownlee),3.380,2.970
1,8:37,2,9,TEN 32,0,0,Tyler Huntley pass incomplete short right intended for Tyreek Hill Replay Assistant challenged the fumble ruling and the original play was overturned. Tyler Huntley aborted snap recovered by Arden Key at TEN-39,2.970,-1.330
1,8:33,1,10,TEN 36,0,0,Tony Pollard up the middle for 1 yard (tackle by Jalen Ramsey and Anthony Walker),1.330,0.930
1,7:54,2,9,TEN 37,0,0,Will Levis pass complete short right to Chigoziem Okonkwo for 5 yards (tackle by Jordyn Brooks),0.930,0.890
1,7:07,3,4,TEN 42,0,0,Will Levis scrambles right end for 3 yards (tackle by Calais Campbell),0.890,-0.390
1,6:21,4,1,TEN 45,0,0,Ryan Stonehouse punts 42 yards fair catch by Braxton Berrios at MIA-13,-0.390,0.320
1,6:11,1,10,MIA 13,0,0,De'Von Achane right end for 3 yards (tackle by Harold Landry and T'Vondre Sweat),-0.320,-0.440
1,5:38,2,7,MIA 16,0,0,Tyler Huntley pass complete short right to Tyreek Hill for 1 yard (tackle by Jarvis Brownlee),-0.440,-0.940
1,5:01,3,6,MIA 17,0,0,Tyler Huntley sacked by Harold Landry for -8 yards,-0.940,-2.490
1,4:18,4,14,MIA 9,0,0,Jake Bailey punts 47 yards out of bounds,-2.490,-1.860
1,4:14,1,10,TEN 44,0,0,Tyjae Spears left tackle for 7 yards (tackle by Jevon Holland),1.860,2.260
1,3:39,2,3,MIA 49,0,0,Tyjae Spears left tackle for -1 yards (tackle by Emmanuel Ogbah),2.260,1.420
1,2:55,3,4,MIA 50,0,0,Mason Rudolph pass complete short left to Josh Whyle for 5 yards (tackle by Jordyn Brooks and Jalen Ramsey),1.420,2.590
1,2:16,1,10,MIA 45,0,0,Tyjae Spears left tackle for -2 yards (tackle by Calais Campbell and Jevon Holland),2.590,1.770
1,1:37,2,12,MIA 47,0,0,Mason Rudolph pass complete short middle to Treylon Burks for 13 yards (tackle by Storm Duck),1.770,3.310
1,0:53,1,10,MIA 34,0,0,Tony Pollard right end for 4 yards (tackle by Calais Campbell),3.310,3.310
1,0:14,2,6,MIA 30,0,0,Tony Pollard left tackle for no gain (tackle by Zach Sieler),3.310,2.610
2,15:00,3,6,MIA 30,0,0,Mason Rudolph pass complete short right to Tyjae Spears for -5 yards (tackle by Storm Duck),2.610,0.970
2,14:21,4,11,MIA 35,3,0,Nick Folk 53 yard field goal good,0.970,3.000
2,14:16,,,TEN 35,3,0,Nick Folk kicks off 65 yards touchback.,0.000,0.940
2,14:16,1,10,MIA 30,3,0,Tyler Huntley pass incomplete short right intended for De'Von Achane. Penalty on Arden Key: Roughing the Passer 15 yards (accepted) (no play),0.940,1.930
2,14:13,1,10,MIA 45,3,0,De'Von Achane up the middle for 4 yards (tackle by Amani Hooker and Ernest Jones),1.930,1.920
2,13:43,2,6,MIA 49,3,0,De'Von Achane right guard for 3 yards (tackle by Sebastian Joseph-Day),1.920,1.620
2,13:03,3,3,TEN 48,3,0,Tyler Huntley right tackle for 2 yards (tackle by Harold Landry and Sebastian Joseph-Day),1.620,0.200
2,12:28,4,1,TEN 46,3,0,Tyreek Hill left end for no gain (tackle by Quandre Diggs),0.200,-2.060
2,12:21,1,10,TEN 47,3,0,Tyjae Spears right end for 7 yards (tackle by Jordyn Brooks and Calais Campbell),2.060,2.460
2,11:42,2,3,MIA 46,3,0,Tyjae Spears up the middle for 4 yards (tackle by Anthony Walker),2.460,2.790
2,11:02,1,10,MIA 42,3,0,Tyjae Spears up the middle for 4 yards (tackle by Anthony Walker),2.790,2.780
2,10:21,2,6,MIA 38,3,0,Tyjae Spears right guard for 9 yards (tackle by Jaelan Phillips and Emmanuel Ogbah),2.780,3.640
2,9:41,1,10,MIA 29,3,0,Tony Pollard up the middle for no gain (tackle by Storm Duck). Penalty on Lloyd Cushenberry: Offensive Holding 10 yards (accepted) (no play),3.640,2.980
2,9:15,1,20,MIA 39,3,0,Mason Rudolph pass incomplete short left intended for DeAndre Hopkins,2.980,1.750
2,9:09,2,20,MIA 39,3,0,Mason Rudolph pass incomplete short left intended for Calvin Ridley,1.750,1.090
2,9:05,3,20,MIA 39,3,0,Mason Rudolph pass complete short right to Calvin Ridley for 5 yards (tackle by Storm Duck),1.090,1.060
2,8:26,4,15,MIA 34,6,0,Nick Folk 52 yard field goal good,1.060,3.000
2,8:20,,,TEN 35,6,0,Nick Folk kicks off 65 yards touchback.,0.000,0.940
2,8:20,1,10,MIA 30,6,0,Jaylen Wright right end for no gain (tackle by L'Jarius Sneed and Harold Landry). Penalty on L'Jarius Sneed: Taunting / Defense 15 yards (accepted),0.940,1.930
2,8:09,1,10,MIA 45,6,0,Jaylen Wright right end for 7 yards (tackle by Amani Hooker),1.930,2.330
2,7:31,2,3,TEN 48,6,0,Jaylen Wright up the middle for 3 yards (tackle by James Lynch and Ernest Jones),2.330,2.590
2,6:53,1,10,TEN 45,6,0,Tyler Huntley pass incomplete short right intended for Jaylen Wright,2.590,2.040
2,6:46,2,10,TEN 45,6,0,Jaylen Wright left end for -1 yards (tackle by Arden Key). Penalty on Jaylen Waddle: Illegal Shift 5 yards (declined),2.040,1.220
2,6:32,3,11,TEN 46,6,0,Tyler Huntley left guard for 12 yards (tackle by Quandre Diggs),1.220,3.310
2,5:54,1,10,TEN 34,6,0,Tyler Huntley pass incomplete deep left intended for Tyreek Hill (defended by Amani Hooker),3.310,2.770
2,5:43,2,10,TEN 34,6,0,Tyler Huntley pass complete short left to De'Von Achane for 4 yards (tackle by Kenneth Murray and James Lynch),2.770,2.610
2,5:02,3,6,TEN 30,6,0,Tyler Huntley pass complete short left to Jaylen Waddle for 4 yards (tackle by Jarvis Brownlee),2.610,1.860
2,4:18,4,2,TEN 26,6,3,Jason Sanders 44 yard field goal good,1.860,3.000
2,4:13,,,MIA 35,6,3,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,4:13,1,10,TEN 30,6,3,Mason Rudolph pass complete short left to Tony Pollard for 16 yards (tackle by Jevon Holland and Anthony Walker),0.940,1.990
2,3:34,1,10,TEN 46,6,3,Tony Pollard left guard for 1 yard (tackle by Jevon Holland),1.990,1.590
2,2:59,2,9,TEN 47,6,3,Tony Pollard up the middle for 7 yards (tackle by Jordyn Brooks),1.590,1.820
2,2:17,,,,,,Timeout #1 by Tennessee Titans,,
2,2:17,3,2,MIA 46,6,3,Mason Rudolph pass incomplete short right intended for Calvin Ridley (defended by Jaelan Phillips),1.820,0.200
2,2:15,4,2,MIA 46,6,3,Ryan Stonehouse punts 46 yards touchback.,0.200,-0.280
2,2:08,1,10,MIA 20,6,3,Tyler Huntley pass incomplete deep left intended for Tyreek Hill,0.280,-0.270
2,2:02,,,,,,Timeout #1 by Miami Dolphins,,
2,2:02,2,10,MIA 20,6,3,Tyler Huntley up the middle for 1 yard (tackle by Harold Landry and T'Vondre Sweat),-0.270,-0.820
2,1:59,3,9,MIA 21,6,3,Tyler Huntley pass complete short left to De'Von Achane for 5 yards (tackle by Ernest Jones),-0.820,-1.630
2,1:53,,,,,,Timeout #2 by Tennessee Titans,,
2,1:53,4,4,MIA 26,6,3,Jake Bailey punts 57 yards returned by Jha'Quan Jackson for 17 yards (tackle by Blake Ferguson and Anthony Walker),-1.630,-1.200
2,1:40,1,10,TEN 34,6,3,Mason Rudolph pass complete short left to DeAndre Hopkins for 15 yards,1.200,2.190
2,1:33,1,10,TEN 49,6,3,Mason Rudolph pass complete short middle to Tony Pollard for 4 yards (tackle by Duke Riley),2.190,2.190
2,1:15,2,6,MIA 47,6,3,Mason Rudolph pass incomplete short right,2.190,1.490
2,1:09,3,6,MIA 47,6,3,Mason Rudolph pass complete short left to Chigoziem Okonkwo for 3 yards (tackle by Jordyn Brooks) Replay Assistant challenged the pass completion ruling and the original play was overturned. Mason Rudolph pass incomplete short left intended for Chigoziem Okonkwo (defended by Jordyn Brooks),1.490,0.130
2,0:57,4,6,MIA 47,6,3,Ryan Stonehouse punts 21 yards recovered by Nick Westbrook-Ikhine at MIA-26 Replay Assistant challenged the kick touched ruling and the original play was overturned. Ryan Stonehouse punts 22 yards downed by Mike Brown,0.130,-0.610
2,0:57,1,10,MIA 25,6,3,Tyler Huntley pass complete short right to De'Von Achane for 5 yards (tackle by Kenneth Murray),0.610,0.740
2,0:54,2,5,MIA 30,6,3,Tyler Huntley pass complete short left to Tyreek Hill for 2 yards (tackle by Quandre Diggs),0.740,0.300
2,0:36,3,3,MIA 32,6,3,Tyler Huntley aborted snap recovered by Tyler Huntley at MIA-16 Tyler Huntley up the middle for no gain. Penalty on Tyreek Hill: Illegal Shift 5 yards (accepted) (no play),0.300,-0.360
2,0:27,3,8,MIA 27,6,3,Jaylen Wright up the middle for -1 yards (tackle by Kenneth Murray and T'Vondre Sweat),-0.360,-1.630
2,0:22,,,,,,Timeout #3 by Tennessee Titans,,
2,0:22,4,9,MIA 26,6,3,Jake Bailey punts 30 yards out of bounds,-1.630,-1.860
2,0:16,1,10,TEN 44,6,3,Mason Rudolph pass complete deep middle to Tyler Boyd for 27 yards (tackle by Kader Kohou),1.860,3.640
2,0:03,1,10,MIA 29,6,3,Mason Rudolph spiked the ball,3.640,3.100
2,0:01,2,10,MIA 29,9,3,Nick Folk 47 yard field goal good,3.100,3.000
3,15:00,,,TEN 35,9,3,Nick Folk kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,MIA 30,9,3,De'Von Achane right end for 1 yard (tackle by Kenneth Murray and Sebastian Joseph-Day),0.940,0.530
3,14:22,2,9,MIA 31,9,3,Tyler Huntley pass incomplete short left intended for Jaylen Waddle,0.530,-0.160
3,14:16,3,9,MIA 31,9,3,Tyler Huntley pass incomplete short right intended for Jonnu Smith,-0.160,-1.310
3,14:10,4,9,MIA 31,9,3,Jake Bailey punts 53 yards returned by Jha'Quan Jackson for 8 yards (tackle by Siran Neal and Duke Riley). Penalty on Tre Avery: Offensive Holding 10 yards (accepted),-1.310,0.280
3,13:57,1,10,TEN 14,9,3,Tony Pollard right guard for 5 yards (tackle by Jaelan Phillips),-0.280,-0.040
3,13:18,2,5,TEN 19,9,3,Tony Pollard right guard for no gain (tackle by Zach Sieler and Jordyn Brooks),-0.040,-0.800
3,12:31,3,5,TEN 19,9,3,Mason Rudolph sacked by Jordyn Brooks for -8 yards,-0.800,-2.490
3,11:55,4,13,TEN 11,9,3,Ryan Stonehouse punts 64 yards returned by Braxton Berrios for 27 yards (tackle by Morgan Cox),-2.490,-2.390
3,11:40,1,10,TEN 48,9,3,De'Von Achane right end for 3 yards (tackle by Sebastian Joseph-Day). Penalty on T'Vondre Sweat: Defensive Holding 5 yards (accepted),2.390,2.920
3,11:21,1,10,TEN 40,9,3,De'Von Achane left end for -4 yards (tackle by T'Vondre Sweat),2.920,1.830
3,10:41,2,14,TEN 44,9,3,Tyreek Hill right end for 3 yards (tackle by Roger McCreary),1.830,1.550
3,10:02,3,11,TEN 41,9,3,Tyler Huntley left tackle for 3 yards (tackle by Jarvis Brownlee and Sebastian Joseph-Day),1.550,0.720
3,9:07,4,8,TEN 38,9,6,Jason Sanders 56 yard field goal good,0.720,3.000
3,9:02,,,MIA 35,9,6,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
3,9:02,1,10,TEN 30,9,6,Mason Rudolph pass complete short left to Tyjae Spears for 5 yards (tackle by Jordyn Brooks),0.940,1.070
3,8:21,2,5,TEN 35,9,6,Tyjae Spears right tackle for 1 yard (tackle by Anthony Walker and Da'Shawn Hand),1.070,0.500
3,7:38,3,4,TEN 36,9,6,Mason Rudolph pass incomplete deep left intended for DeAndre Hopkins. Penalty on Kader Kohou: Defensive Pass Interference 15 yards (accepted) (no play),0.500,2.320
3,7:32,1,10,MIA 49,9,6,Tyjae Spears left tackle for 1 yard (tackle by Emmanuel Ogbah),2.320,1.920
3,6:53,2,9,MIA 48,9,6,Tony Pollard left tackle for 41 yards (tackle by Jevon Holland),1.920,5.600
3,6:04,,,,,,Timeout #1 by Tennessee Titans,,
3,6:04,1,7,MIA 7,15,6,Tyjae Spears right tackle for 7 yards touchdown,5.600,7.000
3,6:00,,,MIA 15,16,6,Nick Folk kicks extra point good,0.000,0.000
3,6:00,,,TEN 35,16,6,Nick Folk kicks off 65 yards touchback.,0.000,0.940
3,6:00,1,10,MIA 30,16,6,Tyler Huntley sacked by Sebastian Joseph-Day for -10 yards,0.940,-0.960
3,5:18,2,20,MIA 20,16,6,Tyler Huntley pass complete short right to Tyreek Hill for 3 yards (tackle by L'Jarius Sneed),-0.960,-1.220
3,4:43,3,17,MIA 23,16,6,Tyler Huntley pass incomplete deep right intended for Tyreek Hill,-1.220,-1.830
3,4:33,4,17,MIA 23,16,6,Jake Bailey punts 51 yards returned by Jha'Quan Jackson for 15 yards (tackle by Duke Riley and Elijah Campbell). Penalty on Siran Neal: Unsportsmanlike Conduct / Defense 15 yards (accepted),-1.830,-2.650
3,4:20,1,10,MIA 44,16,6,Tony Pollard right end for 4 yards (tackle by Jordyn Brooks),2.650,2.650
3,3:42,2,6,MIA 40,16,6,Tony Pollard up the middle for 10 yards (tackle by Duke Riley),2.650,3.580
3,3:02,1,10,MIA 30,16,6,Tony Pollard up the middle for 2 yards (tackle by Calais Campbell),3.580,3.300
3,2:17,2,8,MIA 28,16,6,Tyjae Spears left tackle for -3 yards (tackle by Jalen Ramsey),3.300,2.210
3,1:31,3,11,MIA 31,16,6,Penalty on Nicholas Petit-Frere: False Start 4 yards (accepted) (no play),2.210,1.680
3,1:19,3,15,MIA 35,16,6,Tyjae Spears up the middle for 2 yards (tackle by Jordyn Brooks and Chop Robinson),1.680,1.150
3,0:41,4,13,MIA 33,19,6,Nick Folk 51 yard field goal good,1.150,3.000
3,0:36,,,TEN 35,19,6,Nick Folk kicks off 65 yards touchback.,0.000,0.940
3,0:36,1,10,MIA 30,19,6,Jaylen Wright right end for no gain (tackle by James Lynch and Kenneth Murray),0.940,0.390
3,0:09,2,10,MIA 30,19,6,Tyler Huntley pass complete short right to Malik Washington for 8 yards (tackle by Kenneth Murray),0.390,0.760
4,15:00,3,2,MIA 38,19,6,Tyler Huntley scrambles left tackle for 1 yard (tackle by T'Vondre Sweat) MIA challenged the short of the line to gain ruling and the play was upheld.,0.760,-0.780
4,14:10,4,1,MIA 39,19,6,De'Von Achane right tackle for -1 yards (tackle by Ernest Jones and James Lynch),-0.780,-3.050
4,14:08,1,10,MIA 38,19,6,Mason Rudolph pass incomplete short right,3.050,2.510
4,14:04,2,10,MIA 38,19,6,Tyjae Spears right end for 1 yard (tackle by Emmanuel Ogbah). Penalty on Emmanuel Ogbah: Face Mask (15 Yards) 15 yards (accepted),2.510,4.110
4,13:55,1,10,MIA 22,19,6,Tyjae Spears right tackle for 2 yards (tackle by Benito Jones and Jordyn Brooks),4.110,3.830
4,13:12,2,8,MIA 20,19,6,Calvin Ridley left end for 10 yards (tackle by Marcus Maye),3.830,4.910
4,12:25,1,10,MIA 10,19,6,Tyjae Spears right tackle for no gain (tackle by Benito Jones and Quinton Bell),4.910,4.190
4,11:40,2,10,MIA 10,19,6,Tony Pollard up the middle for -1 yards (tackle by Quinton Bell),4.190,3.120
4,10:57,3,11,MIA 11,19,6,Mason Rudolph pass incomplete short right intended for Chigoziem Okonkwo (defended by Storm Duck),3.120,2.700
4,10:49,4,11,MIA 11,22,6,Nick Folk 29 yard field goal good,2.700,3.000
4,10:45,,,TEN 35,22,6,Nick Folk kicks off 65 yards touchback.,0.000,0.940
4,10:45,1,10,MIA 30,22,6,Tyler Huntley pass complete deep middle to Tyreek Hill for 17 yards (tackle by L'Jarius Sneed),0.940,2.060
4,10:00,1,10,MIA 47,22,6,Jaylen Wright up the middle for 20 yards (tackle by Kenneth Murray),2.060,3.380
4,9:35,1,10,TEN 33,22,6,Tyler Huntley pass incomplete short right intended for Jaylen Waddle,3.380,2.840
4,9:30,2,10,TEN 33,22,6,Tyler Huntley pass complete deep middle to Tyreek Hill for no gain (tackle by Quandre Diggs). Penalty on Tyreek Hill: Illegal Shift 5 yards (accepted) (no play),2.840,2.160
4,9:05,2,15,TEN 38,22,6,Tyler Huntley pass complete short right to Jaylen Wright for no gain (tackle by Harold Landry). Penalty on Jaylen Waddle: Illegal Shift 5 yards (accepted) (no play),2.160,1.490
4,8:39,2,20,TEN 43,22,6,Tyler Huntley scrambles left tackle for 20 yards (tackle by Kenneth Murray),1.490,4.040
4,7:51,1,10,TEN 23,22,6,Jaylen Wright left guard for 6 yards (tackle by Jarvis Brownlee),4.040,4.290
4,7:20,2,5,TEN 17,22,6,Tyler Huntley pass complete short right to Jaylen Waddle for no gain (tackle by Darrell Baker),4.290,3.560
4,6:38,3,5,TEN 17,22,6,Jaylen Wright left end for -2 yards (tackle by T'Vondre Sweat),3.560,2.180
4,5:46,4,7,TEN 19,22,6,Tyler Huntley scrambles right end for no gain (tackle by Harold Landry). Penalty on Tanner Conner: Illegal Shift 5 yards (accepted) (no play),2.180,1.870
4,5:26,4,12,TEN 24,22,6,Tyler Huntley pass complete short right to Jaylen Waddle for 18 yards (tackle by Darrell Baker),1.870,5.830
4,4:51,1,6,TEN 6,22,6,De'Von Achane right tackle for 5 yards (tackle by Amani Hooker and Darrell Baker),5.830,5.910
4,4:20,2,1,TEN 1,22,6,De'Von Achane left guard for no gain (tackle by Amani Hooker),5.910,5.170
4,3:40,3,1,TEN 1,22,12,Tyler Huntley right tackle for 1 yard touchdown,5.170,7.000
4,3:36,,,TEN 2,22,12,Two Point Attempt: Tyler Huntley pass complete to . Interception by Quandre Diggs,1.000,-1.000
4,3:36,,,MIA 35,22,12,Jason Sanders kicks onside 10 yards returned by Tyler Boyd for no gain,0.000,2.590
4,3:35,1,10,MIA 45,22,12,Tony Pollard left end for 1 yard (tackle by Quinton Bell and Jalen Ramsey),2.590,2.180
4,2:54,2,9,MIA 44,22,12,Tony Pollard right tackle for 1 yard (tackle by Emmanuel Ogbah and Zach Sieler),2.180,1.620
4,2:47,,,,,,Timeout #2 by Miami Dolphins,,
4,2:47,3,8,MIA 43,22,12,Tony Pollard left guard for no gain (tackle by Marcus Maye and Anthony Walker),1.620,0.400
4,2:42,,,,,,Timeout #3 by Miami Dolphins,,
4,2:42,4,8,MIA 43,22,12,Ryan Stonehouse punts 35 yards,0.400,0.380
4,2:33,1,10,MIA 8,24,12,Tyler Huntley pass incomplete short right. Penalty on Tyler Huntley: Intentional Grounding 8 yards (accepted),-0.380,-2.000
4,2:27,,,MIA 20,24,12,Jake Bailey kicks onside no gain. Penalty on Jake Bailey: Kickoff Short of Landing Zone 10 yards (accepted),0.000,4.910
4,2:27,1,10,MIA 10,24,12,Tony Pollard right end for 7 yards (tackle by Brandon Pili and Marcus Maye),4.910,5.530
4,2:00,2,3,MIA 3,24,12,Tony Pollard up the middle for no gain (tackle by Benito Jones),5.530,4.720
4,1:17,3,3,MIA 3,24,12,Tony Pollard left end for -1 yards (tackle by Da'Shawn Hand and Marcus Maye),4.720,3.030
4,0:30,,,,,,Timeout #2 by Tennessee Titans,,
4,0:30,4,4,MIA 4,30,12,Tony Pollard right end for 4 yards touchdown,3.030,7.000
4,0:24,,,MIA 15,31,12,Nick Folk kicks extra point good,0.000,0.000
4,0:24,,,TEN 35,31,12,Nick Folk kicks off 65 yards touchback.,0.000,0.940
4,0:24,1,10,MIA 30,31,12,Tyler Huntley pass complete short middle to Tanner Conner for 11 yards (tackle by Ernest Jones),0.940,1.660
4,0:04,1,10,MIA 41,31,12,Tyler Huntley pass complete short right to Tanner Conner for 4 yards (tackle by Kenneth Murray),1.660,1.660
