Quarter,Time,Down,ToGo,Location,WAS,ARI,Detail,EPB,EPA
,,,,,,,Commanders won the coin toss and deferred Cardinals to receive the opening kickoff.,,
1,15:00,,,WAS 35,0,0,Austin Seibert kicks off 65 yards returned by DeeJay Dallas for 39 yards. DeeJay Dallas fumbles (forced by Jeremy Chinn) (tackle by Quan Martin recovered by Emari Demercado at ARI-45,0.000,1.930
1,14:51,1,10,ARI 45,0,0,Kyler Murray pass complete short left to Marvin Harrison for 9 yards (tackle by Benjamin St-Juste),1.930,2.600
1,14:15,2,1,WAS 46,0,0,James Conner up the middle for 6 yards (tackle by Jeremy Chinn),2.600,2.920
1,13:35,1,10,WAS 40,0,0,Kyler Murray scrambles left end for 3 yards (tackle by Jeremy Chinn),2.920,2.780
1,12:57,2,7,WAS 37,0,0,James Conner left tackle for 10 yards (tackle by Jer'Zhan Newton),2.780,3.780
1,12:14,1,10,WAS 27,0,0,James Conner left end for 16 yards (tackle by Bobby Wagner),3.780,4.840
1,11:31,1,10,WAS 11,0,0,James Conner right tackle for -1 yards (tackle by Bobby Wagner),4.840,3.980
1,10:47,2,11,WAS 12,0,0,Kyler Murray pass complete short middle to Greg Dortch for 10 yards (tackle by Bobby Wagner and Benjamin St-Juste),3.980,5.120
1,10:26,3,1,WAS 2,0,0,James Conner up the middle for no gain (tackle by Noah Igbinoghene and Bobby Wagner),5.120,3.250
1,9:57,4,1,WAS 2,0,6,Kyler Murray pass complete short left to Marvin Harrison for 2 yards touchdown,3.250,7.000
1,9:54,,,WAS 15,0,7,Matt Prater kicks extra point good,0.000,0.000
1,9:54,,,ARI 35,0,7,Matt Prater kicks off 65 yards touchback.,0.000,0.940
1,9:54,1,10,WAS 30,0,7,Brian Robinson up the middle for 4 yards (tackle by Budda Baker),0.940,0.930
1,9:26,2,6,WAS 34,0,7,Jayden Daniels scrambles right end for 2 yards (tackle by Budda Baker),0.930,0.500
1,8:41,3,4,WAS 36,0,7,Jayden Daniels pass complete short right to Olamide Zaccheaus for 16 yards (tackle by Mack Wilson),0.500,2.390
1,8:08,1,10,ARI 48,0,7,Brian Robinson left tackle for 2 yards (tackle by Roy Lopez and Bilal Nichols),2.390,2.120
1,7:34,2,8,ARI 46,0,7,Jayden Daniels pass complete short right to Noah Brown for 6 yards (tackle by Kyzir White),2.120,2.210
1,6:53,3,2,ARI 40,0,7,Brian Robinson left end for 17 yards (tackle by Budda Baker and Garrett Williams),2.210,4.040
1,6:13,1,10,ARI 23,0,7,Brian Robinson up the middle for 9 yards (tackle by Dennis Gardeck),4.040,4.950
1,5:50,2,1,ARI 14,0,7,Jayden Daniels left end for 8 yards (tackle by Budda Baker),4.950,5.830
1,5:17,1,6,ARI 6,6,7,Brian Robinson up the middle for 6 yards touchdown,5.830,7.000
1,5:13,,,ARI 15,7,7,Austin Seibert kicks extra point good,0.000,0.000
1,5:13,,,WAS 35,7,7,Austin Seibert kicks off 65 yards touchback.,0.000,0.940
1,5:13,1,10,ARI 30,7,7,James Conner left end for 5 yards (tackle by Frankie Luvu),0.940,1.070
1,4:37,2,5,ARI 35,7,7,James Conner right tackle for 12 yards (tackle by Jonathan Allen and Jeremy Chinn),1.070,2.060
1,3:57,1,10,ARI 47,7,7,Kyler Murray pass complete short right to Marvin Harrison for 10 yards (tackle by Benjamin St-Juste). Penalty on Daron Payne: Defensive Offside 5 yards (declined),2.060,2.720
1,3:35,1,10,WAS 43,7,7,Kyler Murray pass incomplete short left intended for Marvin Harrison,2.720,2.180
1,3:31,2,10,WAS 43,7,7,James Conner up the middle for 1 yard (tackle by Frankie Luvu),2.180,1.620
1,2:53,3,9,WAS 42,7,7,Kyler Murray pass incomplete short right intended for Michael Wilson,1.620,0.460
1,2:48,4,9,WAS 42,7,7,Blake Gillikin punts 35 yards downed by Owen Pappoe,0.460,0.380
