Quarter,Time,Down,ToGo,Location,ARI,SFO,Detail,EPB,EPA
,,,,,,,Cardinals won the coin toss and deferred 49ers to receive the opening kickoff.,,
1,15:00,,,ARI 35,0,0,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,SFO 30,0,0,Brock Purdy pass incomplete deep right intended for Deebo Samuel,0.940,0.390
1,14:56,2,10,SFO 30,0,0,Brock Purdy scrambles left end for 2 yards (tackle by Bilal Nichols),0.390,-0.030
1,14:18,3,8,SFO 32,0,0,Brock Purdy pass incomplete deep right intended for Brandon Aiyuk,-0.030,-1.240
1,14:11,4,8,SFO 32,0,0,Mitch Wishnowsky punts 41 yards returned by Greg Dortch for 1 yard (tackle by George Odum),-1.240,-0.810
1,13:59,1,10,ARI 28,0,0,Kyler Murray pass complete short left to Trey McBride for 22 yards (tackle by De'Vondre Campbell),0.810,2.260
1,13:20,1,10,ARI 50,6,0,Kyler Murray right tackle for 50 yards touchdown,2.260,7.000
1,13:12,,,SFO 15,7,0,Chad Ryland kicks extra point good,0.000,0.000
1,13:12,,,ARI 35,7,0,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
1,13:12,1,10,SFO 30,7,0,Brock Purdy pass complete deep left to Brandon Aiyuk for 53 yards (tackle by Sean Murphy-Bunting),0.940,4.440
1,12:46,1,10,ARI 17,7,0,Brock Purdy pass complete short right to Deebo Samuel for 11 yards (tackle by Dante Stills and Budda Baker),4.440,5.830
1,11:58,1,6,ARI 6,7,0,Jordan Mason right guard for no gain (tackle by Mack Wilson),5.830,4.950
1,11:20,2,6,ARI 6,7,0,Brock Purdy pass incomplete short right intended for George Kittle (defended by Jalen Thompson),4.950,4.040
1,11:12,3,6,ARI 6,7,0,Brock Purdy sacked by Krys Barnes for -4 yards,4.040,2.760
1,10:28,4,10,ARI 10,7,3,Jake Moody 28 yard field goal good,2.760,3.000
1,10:25,,,SFO 35,7,3,Jake Moody kicks off 65 yards touchback.,0.000,0.940
1,10:25,1,10,ARI 30,7,3,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Dee Winters),0.940,0.390
1,10:20,2,10,ARI 30,7,3,Kyler Murray pass incomplete short left intended for Marvin Harrison,0.390,-0.300
1,10:16,3,10,ARI 30,7,3,Kyler Murray pass complete short right to Emari Demercado for no gain (tackle by Deommodore Lenoir),-0.300,-1.370
1,9:39,4,10,ARI 30,7,3,Blake Gillikin punts 46 yards out of bounds. Penalty on Robert Beal: Running Into the Kicker 5 yards (declined),-1.370,-0.540
1,9:31,1,10,SFO 24,7,3,Jordan Mason up the middle for 2 yards (tackle by Dante Stills and Naquan Jones),0.540,0.270
1,8:51,2,8,SFO 26,7,3,Deebo Samuel right tackle for 2 yards (tackle by Dante Stills),0.270,-0.160
1,8:02,3,6,SFO 28,7,3,Brock Purdy pass complete deep middle to Brandon Aiyuk for 16 yards (tackle by Jalen Thompson),-0.160,1.860
1,7:25,1,10,SFO 44,7,3,Brock Purdy pass complete short left to Brandon Aiyuk for 9 yards (tackle by Max Melton),1.860,2.530
1,6:33,2,1,ARI 47,7,3,Jordan Mason left guard for 2 yards (tackle by Mack Wilson and Kyzir White),2.530,2.590
1,6:05,1,10,ARI 45,7,3,Jordan Mason left tackle for 2 yards (tackle by Dante Stills and Kyzir White),2.590,2.310
1,5:27,2,8,ARI 43,7,3,Brock Purdy scrambles left tackle for 8 yards (tackle by Mack Wilson),2.310,3.250
1,4:46,1,10,ARI 35,7,3,Brock Purdy pass incomplete short middle intended for Deebo Samuel (defended by Dadrion Taylor-Demerson),3.250,2.700
1,4:40,2,10,ARI 35,7,3,Isaac Guerendo right tackle for 5 yards (tackle by Roy Lopez and Dante Stills),2.700,2.680
1,4:01,3,5,ARI 30,7,3,Brock Purdy pass complete short left to Jauan Jennings for 13 yards (tackle by Max Melton and Budda Baker),2.680,4.440
1,3:15,1,10,ARI 17,7,3,Brock Purdy pass incomplete short right,4.440,3.850
1,3:05,2,10,ARI 17,7,3,Brock Purdy pass complete short middle to Brandon Aiyuk for 13 yards (tackle by Budda Baker),3.850,6.280
1,2:22,1,4,ARI 4,7,9,Brock Purdy pass complete short middle to George Kittle for 4 yards touchdown,6.280,7.000
1,2:20,,,ARI 15,7,10,Jake Moody kicks extra point good,0.000,0.000
1,2:20,,,SFO 35,7,10,Jake Moody kicks off 65 yards touchback.,0.000,0.940
1,2:20,1,10,ARI 30,7,10,James Conner left guard for no gain (tackle by Kevin Givens),0.940,0.390
1,1:46,2,10,ARI 30,7,10,James Conner left tackle for 7 yards (tackle by Fred Warner),0.390,0.630
1,0:57,,,,,,Timeout #1 by Arizona Cardinals,,
1,0:57,3,3,ARI 37,7,10,Kyler Murray pass complete deep right to Marvin Harrison for 22 yards (tackle by Charvarius Ward),0.630,2.850
1,0:14,1,10,SFO 41,7,10,Kyler Murray pass complete short middle to Trey McBride for 11 yards (tackle by Talanoa Hufanga and Dee Winters),2.850,3.580
2,15:00,1,10,SFO 30,7,10,James Conner up the middle for no gain (tackle by Maliek Collins and De'Vondre Campbell),3.580,3.030
2,14:22,2,10,SFO 30,7,10,Kyler Murray pass complete short middle to James Conner for 15 yards (tackle by Ji'Ayir Brown),3.030,4.580
2,13:41,1,10,SFO 15,7,10,Kyler Murray scrambles left end for 3 yards. Kyler Murray fumbles ball out of bounds at SF-12 (forced by Isaac Yiadom). Kyler Murray fumbles out of bounds,4.580,4.450
2,12:59,2,7,SFO 12,7,10,Kyler Murray pass incomplete short left intended for Trey McBride (defended by Malik Mustapha),4.450,3.580
2,12:50,3,7,SFO 12,7,10,Kyler Murray pass incomplete short left intended for Trey McBride,3.580,2.630
2,12:47,4,7,SFO 12,10,10,Chad Ryland 30 yard field goal good,2.630,3.000
2,12:43,,,ARI 35,10,10,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
2,12:43,1,10,SFO 30,10,10,Brock Purdy pass incomplete short right intended for George Kittle,0.940,0.390
2,12:39,2,10,SFO 30,10,10,Jordan Mason right end for 34 yards (tackle by Jalen Thompson),0.390,3.180
2,12:02,1,10,ARI 36,10,10,Jordan Mason up the middle for 2 yards (tackle by Zaven Collins),3.180,2.910
2,11:25,2,8,ARI 34,10,10,Deebo Samuel left tackle for 7 yards (tackle by Dadrion Taylor-Demerson),2.910,3.140
2,10:39,,,,,,Timeout #1 by San Francisco 49ers,,
2,10:39,3,1,ARI 27,10,10,Jordan Mason left tackle for no gain (tackle by Budda Baker and Julian Okwara). Penalty on Jake Brendel: Offensive Holding 10 yards (accepted) (no play),3.140,1.820
2,10:12,3,11,ARI 37,10,10,Brock Purdy pass complete short left to Brandon Aiyuk for 17 yards (tackle by Sean Murphy-Bunting),1.820,4.240
2,9:28,1,10,ARI 20,10,10,Brock Purdy pass complete short right to George Kittle for 5 yards (tackle by Jalen Thompson),4.240,4.450
2,8:48,2,5,ARI 15,10,10,Jordan Mason left tackle for 7 yards (tackle by Budda Baker),4.450,5.370
2,8:29,1,8,ARI 8,10,10,Isaac Guerendo up the middle for 3 yards (tackle by Mack Wilson and Zaven Collins),5.370,5.150
2,7:51,2,5,ARI 5,10,10,Brock Purdy pass complete short left to George Kittle for 3 yards,5.150,4.950
2,7:11,3,2,ARI 2,10,10,Brock Purdy pass incomplete short right,4.950,3.250
2,7:02,4,2,ARI 2,10,13,Jake Moody 20 yard field goal good,3.250,3.000
2,6:59,,,SFO 35,10,13,Jake Moody kicks off 65 yards touchback.,0.000,0.940
2,6:59,1,10,ARI 30,10,13,Penalty on Jordan Elliott: Encroachment 5 yards (accepted) (no play),0.940,1.670
2,6:59,1,5,ARI 35,10,13,Kyler Murray pass complete deep left to Michael Wilson for 34 yards (tackle by Fred Warner). Penalty on Ji'Ayir Brown: Defensive Holding 5 yards (declined),1.670,3.510
2,6:31,1,10,SFO 31,10,13,James Conner right end for -3 yards (tackle by Nick Bosa),3.510,2.560
2,5:57,2,13,SFO 34,10,13,Kyler Murray pass complete short left to Trey McBride for 7 yards (tackle by Deommodore Lenoir and Dee Winters),2.560,2.810
2,5:15,3,6,SFO 27,10,13,Kyler Murray pass incomplete deep left intended for Marvin Harrison (defended by Isaac Yiadom),2.810,1.700
2,5:09,4,6,SFO 27,10,19,Chad Ryland 45 yard field goal no good blocked by Jordan Elliott touchdown,1.700,-7.000
2,4:59,,,ARI 15,10,20,Jake Moody kicks extra point good,0.000,0.000
2,4:59,,,SFO 35,10,20,Jake Moody kicks off 66 yards returned by DeeJay Dallas for 39 yards (tackle by George Odum),0.000,1.470
2,4:51,1,10,ARI 38,10,20,Kyler Murray pass complete deep right to Michael Wilson for 20 yards (tackle by Ji'Ayir Brown),1.470,2.790
2,4:14,1,10,SFO 42,10,20,James Conner up the middle for 1 yard (tackle by Ji'Ayir Brown),2.790,2.380
2,3:37,2,9,SFO 41,10,20,Kyler Murray pass incomplete short middle intended for Marvin Harrison (defended by Malik Mustapha),2.380,1.680
