Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA
,,,,,,,Bengals won the coin toss and deferred Ravens to receive the opening kickoff.,,
1,15:00,,,CIN 35,0,0,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,BAL 30,0,0,Zay Flowers left end for 9 yards (tackle by Cam Taylor-Britt),0.940,1.610
1,14:27,2,1,BAL 39,0,0,Derrick Henry right guard for 4 yards (tackle by Trey Hendrickson),1.610,1.800
1,13:54,1,10,BAL 43,0,0,Derrick Henry right tackle for 2 yards (tackle by Daxton Hill and Sam Hubbard),1.800,1.520
1,13:14,2,8,BAL 45,0,0,Lamar Jackson pass complete short left to Charlie Kolar for 7 yards (tackle by Maema Njongmeta and Germaine Pratt),1.520,1.750
1,12:33,3,1,CIN 48,0,0,Derrick Henry left guard for 4 yards (tackle by Vonn Bell),1.750,2.650
1,11:56,1,10,CIN 44,0,0,Lamar Jackson pass incomplete short right intended for Zay Flowers,2.650,2.110
1,11:51,2,10,CIN 44,0,0,Lamar Jackson pass complete short left to Justice Hill for 8 yards (tackle by Germaine Pratt),2.110,2.480
1,11:14,3,2,CIN 36,0,0,Justice Hill right end for 5 yards (tackle by Logan Wilson),2.480,3.510
1,10:36,1,10,CIN 31,0,0,Lamar Jackson pass complete deep left to Zay Flowers for 23 yards (tackle by Cam Taylor-Britt),3.510,5.370
1,9:54,1,8,CIN 8,0,0,Lamar Jackson right end for 3 yards (tackle by B.J. Hill),5.370,5.150
1,9:12,2,5,CIN 5,0,0,Lamar Jackson right end for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Lamar Jackson right end for 4 yards (tackle by Sam Hubbard),5.150,5.170
1,8:59,3,1,CIN 1,6,0,Derrick Henry right end for 1 yard touchdown,5.170,7.000
1,8:54,,,CIN 15,7,0,Justin Tucker kicks extra point good,0.000,0.000
1,8:54,,,BAL 35,7,0,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,8:54,1,10,CIN 30,7,0,Joe Burrow scrambles left guard for 1 yard (tackle by Odafe Oweh),0.940,0.530
1,8:19,2,9,CIN 31,7,0,Joe Burrow pass complete short middle to Tee Higgins for 3 yards (tackle by Kyle Hamilton),0.530,0.230
1,7:39,3,6,CIN 34,7,0,Penalty on Odafe Oweh: Neutral Zone Infraction 5 yards (accepted) (no play),0.230,0.890
1,7:39,3,1,CIN 39,7,0,Zack Moss right guard for no gain (tackle by Roquan Smith),0.890,-0.780
1,6:48,4,1,CIN 39,7,0,Ryan Rehkow punts 45 yards fair catch by Tylan Wallace at BAL-16,-0.780,0.140
1,6:39,1,10,BAL 16,7,0,Lamar Jackson pass incomplete short right intended for Charlie Kolar,-0.140,-0.660
1,6:34,2,10,BAL 16,7,0,Lamar Jackson pass complete short left to Zay Flowers for 5 yards (tackle by Geno Stone),-0.660,-0.700
1,5:53,3,5,BAL 21,7,0,Lamar Jackson pass complete short middle to Zay Flowers for 26 yards (tackle by DJ Turner and Logan Wilson),-0.700,2.060
1,5:11,1,10,BAL 47,7,0,Lamar Jackson pass complete short right to Isaiah Likely for 6 yards (tackle by DJ Turner),2.060,2.330
1,4:29,2,4,CIN 47,7,0,Lamar Jackson sacked by Sam Hubbard for -3 yards,2.330,1.220
1,3:44,3,7,CIN 50,7,0,Lamar Jackson pass incomplete short left intended for Zay Flowers (defended by Cam Taylor-Britt),1.220,-0.060
1,3:36,4,7,CIN 50,7,0,Jordan Stout punts 36 yards out of bounds,-0.060,0.280
1,3:29,1,10,CIN 14,7,0,Joe Burrow pass complete short right to Ja'Marr Chase for 9 yards (tackle by Marlon Humphrey),-0.280,0.550
1,2:52,2,1,CIN 23,7,0,Chase Brown right guard for 3 yards (tackle by Roquan Smith),0.550,0.670
1,2:17,1,10,CIN 26,7,0,Chase Brown left end for 16 yards (tackle by Marcus Williams and Trenton Simpson),0.670,1.730
1,1:36,1,10,CIN 42,7,0,Joe Burrow pass complete short left to Zack Moss for 14 yards (tackle by Brandon Stephens),1.730,2.650
1,0:52,1,10,BAL 44,7,0,Joe Burrow pass incomplete short right intended for Tee Higgins,2.650,2.110
1,0:43,2,10,BAL 44,7,0,Joe Burrow pass complete deep right to Mike Gesicki for 19 yards (tackle by Eddie Jackson),2.110,3.910
1,0:12,1,10,BAL 25,7,0,Chase Brown left tackle for 12 yards (tackle by Marcus Williams and Trenton Simpson),3.910,4.710
2,15:00,1,10,BAL 13,7,0,Chase Brown left guard for 1 yard (tackle by Brandon Stephens and Nnamdi Madubuike),4.710,4.220
2,14:25,2,9,BAL 12,7,0,Joe Burrow pass complete short right to Chase Brown for 1 yard (tackle by Ar'Darius Washington),4.220,3.450
2,13:47,3,8,BAL 11,7,6,Joe Burrow pass complete short left to Tee Higgins for 11 yards touchdown,3.450,7.000
2,13:44,,,BAL 15,7,7,Evan McPherson kicks extra point good,0.000,0.000
2,13:44,,,CIN 35,7,7,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
2,13:44,1,10,BAL 30,7,7,Derrick Henry left end for 4 yards (tackle by Vonn Bell and Cam Taylor-Britt),0.940,0.930
2,13:04,2,6,BAL 34,7,7,Derrick Henry left guard for 1 yard (tackle by Sam Hubbard),0.930,0.370
2,12:20,3,5,BAL 35,7,7,Lamar Jackson pass incomplete short left intended for Rashod Bateman,0.370,-1.040
2,12:11,4,5,BAL 35,7,7,Jordan Stout punts 65 yards touchback.,-1.040,-0.280
2,12:05,1,10,CIN 20,7,7,Joe Burrow pass incomplete deep left intended for Tee Higgins (defended by Brandon Stephens),0.280,-0.270
2,11:58,2,10,CIN 20,7,7,Joe Burrow pass incomplete short left intended for Andrei Iosivas,-0.270,-0.960
2,11:55,3,10,CIN 20,7,7,Joe Burrow sacked by Kyle Hamilton for -7 yards,-0.960,-2.490
2,11:17,4,17,CIN 13,7,7,Ryan Rehkow punts 49 yards returned by Tylan Wallace for 11 yards (tackle by Jordan Battle),-2.490,-2.190
2,11:08,1,10,BAL 49,7,7,Lamar Jackson pass incomplete short right intended for Nelson Agholor (defended by Cam Taylor-Britt),2.190,1.650
2,11:02,2,10,BAL 49,7,7,Lamar Jackson pass complete deep left to Rashod Bateman for 18 yards,1.650,3.380
2,10:26,1,10,CIN 33,7,7,Derrick Henry left tackle for 5 yards (tackle by Germaine Pratt and Joseph Ossai),3.380,3.510
2,9:45,2,5,CIN 28,7,7,Derrick Henry right end for 7 yards (tackle by Geno Stone and Kris Jenkins),3.510,4.170
2,9:01,1,10,CIN 21,7,7,Lamar Jackson pass incomplete short right intended for Mark Andrews,4.170,3.630
2,8:55,2,10,CIN 21,7,7,Lamar Jackson left end for 5 yards (tackle by Trey Hendrickson),3.630,3.630
2,8:16,3,5,CIN 16,13,7,Lamar Jackson pass complete short right to Rashod Bateman for 16 yards touchdown,3.630,7.000
2,8:09,,,CIN 15,14,7,Justin Tucker kicks extra point good,0.000,0.000
2,8:09,,,BAL 35,14,7,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,8:09,1,10,CIN 30,14,7,Chase Brown left guard for 1 yard (tackle by Travis Jones and Roquan Smith),0.940,0.530
2,7:31,2,9,CIN 31,14,7,Joe Burrow pass complete short left to Tee Higgins for 8 yards (tackle by Brandon Stephens),0.530,0.890
2,6:52,3,1,CIN 39,14,7,Joe Burrow sacked by Tavius Robinson for -7 yards,0.890,-1.240
2,6:05,4,8,CIN 32,14,7,Ryan Rehkow punts 66 yards downed by Daijahn Anthony,-1.240,0.380
2,5:52,1,10,BAL 2,14,9,Derrick Henry right tackle for -2 yards (tackle by Sam Hubbard) safety.,-0.380,-2.000
2,5:47,,,BAL 20,14,9,Justin Tucker kicks off 74 yards returned by Charlie Jones for 27 yards (tackle by Chris Board),0.000,1.140
2,5:41,1,10,CIN 33,14,9,Zack Moss right guard for 4 yards (tackle by Tavius Robinson and Brent Urban),1.140,1.130
2,5:02,2,6,CIN 37,14,9,Joe Burrow pass complete short middle to Ja'Marr Chase for 8 yards (tackle by Brandon Stephens),1.130,1.930
2,4:24,1,10,CIN 45,14,9,Joe Burrow pass incomplete short left intended for Zack Moss (defended by Kyle Hamilton),1.930,1.380
2,4:17,2,10,CIN 45,14,9,Joe Burrow pass complete short right to Erick All for 5 yards (tackle by Roquan Smith and Ar'Darius Washington),1.380,1.360
2,3:34,3,5,CIN 50,14,9,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Nate Wiggins),1.360,-0.060
2,3:30,4,5,CIN 50,14,9,Ryan Rehkow punts 36 yards fair catch by Tylan Wallace at BAL-14,-0.060,0.280
2,3:23,1,10,BAL 14,14,9,Derrick Henry left end for 1 yard (tackle by Trey Hendrickson and B.J. Hill),-0.280,-0.640
2,2:53,2,9,BAL 15,14,9,Lamar Jackson pass complete short left to Nelson Agholor for 4 yards (tackle by Logan Wilson),-0.640,-0.800
2,2:04,3,5,BAL 19,14,9,Lamar Jackson scrambles left end for 4 yards (tackle by Germaine Pratt and Joseph Ossai),-0.800,-1.830
2,1:54,4,1,BAL 23,14,9,Charlie Kolar right guard for 2 yards (tackle by Logan Wilson and B.J. Hill),-1.830,0.610
2,1:05,1,10,BAL 25,14,9,Lamar Jackson pass incomplete short right intended for Nelson Agholor,0.610,0.060
