Quarter,Time,Down,ToGo,Location,BUF,HOU,Detail,EPB,EPA
,,,,,,,Texans won the coin toss and deferred Bills to receive the opening kickoff.,,
1,15:00,,,HOU 35,0,0,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,BUF 30,0,0,James Cook right guard for 7 yards (tackle by Derek Stingley),0.940,1.340
1,14:40,2,3,BUF 37,0,0,Josh Allen pass incomplete deep left intended for Mack Hollins,1.340,0.630
1,14:35,3,3,BUF 37,0,0,Josh Allen pass incomplete deep right intended for Dalton Kincaid,0.630,-0.910
1,14:29,4,3,BUF 37,0,0,Sam Martin punts 55 yards out of bounds,-0.910,0.380
1,14:21,1,10,HOU 8,0,0,C.J. Stroud pass complete short right to Dare Ogunbowale for -2 yards (tackle by DeWayne Carter),-0.380,-0.930
1,13:41,2,12,HOU 6,0,0,Dare Ogunbowale up the middle for 4 yards (tackle by Terrel Bernard and DaQuan Jones),-0.930,-1.190
1,12:55,3,8,HOU 10,0,0,Dare Ogunbowale right guard for -1 yards (tackle by Cameron Lewis and Ja'Marcus Ingram),-1.190,-2.490
1,12:12,4,9,HOU 9,0,0,Tommy Townsend punts 40 yards fair catch by Brandon Codrington at HOU-49,-2.490,-2.320
1,12:04,1,10,HOU 49,0,0,James Cook left guard for no gain (tackle by Calen Bullock). Penalty on Spencer Brown: Offensive Holding 10 yards (accepted) (no play),2.320,1.660
1,11:30,1,20,BUF 41,0,0,Josh Allen pass incomplete deep right intended for Mack Hollins,1.660,0.430
1,11:24,2,20,BUF 41,0,0,Josh Allen pass complete short middle to James Cook for 24 yards (tackle by Kamari Lassiter),0.430,3.250
1,10:36,1,10,HOU 35,0,0,James Cook right tackle for 12 yards (tackle by Kamari Lassiter and Calen Bullock),3.250,4.040
1,9:56,1,10,HOU 23,0,0,James Cook left guard for 4 yards (tackle by Mario Edwards),4.040,4.050
1,9:18,2,6,HOU 19,0,0,James Cook left tackle for 3 yards (tackle by Danielle Hunter and Folorunso Fatukasi),4.050,3.850
1,8:55,3,3,HOU 16,0,0,James Cook left tackle for 7 yards (tackle by Azeez Al-Shaair and Henry To'oTo'o),3.850,5.140
1,8:19,1,9,HOU 9,0,0,James Cook up the middle for -1 yards (tackle by Khalil Davis),5.140,4.190
1,7:35,2,10,HOU 10,0,0,Josh Allen sacked by Khalil Davis for -5 yards,4.190,2.930
1,6:51,3,15,HOU 15,0,0,Penalty on Keon Coleman: False Start 5 yards (accepted) (no play),2.930,2.340
1,6:36,3,20,HOU 20,0,0,Josh Allen pass incomplete deep right intended for Keon Coleman,2.340,2.120
