Quarter,Time,Down,ToGo,Location,CAR,CHI,Detail,EPB,EPA
,,,,,,,Bears won the coin toss and deferred Panthers to receive the opening kickoff.,,
1,15:00,,,CHI 35,0,0,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,CAR 30,0,0,Chuba Hubbard left tackle for 5 yards (tackle by T.J. Edwards and Jaquan Brisker),0.940,1.070
1,14:22,2,5,CAR 35,0,0,Andy Dalton pass complete short right to Chuba Hubbard for no gain (tackle by Kyler Gordon),1.070,0.370
1,13:38,3,5,CAR 35,0,0,Andy Dalton pass incomplete short left intended for Tommy Tremble,0.370,-1.040
1,13:32,4,5,CAR 35,0,0,Johnny Hekker punts 47 yards downed by Thomas Incoom,-1.040,-0.040
1,13:21,1,10,CHI 18,0,0,Caleb Williams pass incomplete short left intended for Keenan Allen,0.040,-0.490
1,13:17,2,10,CHI 18,0,0,D'Andre Swift left end for 3 yards (tackle by Shy Tuttle and Chau Smith-Wade),-0.490,-0.790
1,12:37,3,7,CHI 21,0,0,Caleb Williams sacked by Charles Harris for -8 yards,-0.790,-2.490
1,11:53,4,15,CHI 13,0,0,Tory Taylor punts 49 yards returned by Raheem Blackshear for 11 yards (tackle by Elijah Hicks and Jack Sanborn),-2.490,-2.190
1,11:39,1,10,CAR 49,0,0,Diontae Johnson left end for 2 yards (tackle by Jack Sanborn),2.190,1.920
1,11:02,2,8,CHI 49,0,0,Andy Dalton pass complete short middle to David Moore for 6 yards (tackle by Kevin Byard and Jaquan Brisker),1.920,2.010
1,10:19,3,2,CHI 43,0,0,Andy Dalton pass complete short right to Chuba Hubbard for 1 yard (tackle by T.J. Edwards),2.010,0.460
1,9:40,4,1,CHI 42,0,0,Diontae Johnson left end for 4 yards (tackle by Jaquan Brisker),0.460,3.050
1,9:01,1,10,CHI 38,6,0,Chuba Hubbard left tackle for 38 yards touchdown,3.050,7.000
1,8:54,,,CHI 15,7,0,Eddy Pineiro kicks extra point good,0.000,0.000
1,8:54,,,CAR 35,7,0,Eddy Pineiro kicks off 65 yards returned by DeAndre Carter for 30 yards (tackle by Jon Rhattigan),0.000,0.940
1,8:49,1,10,CHI 30,7,0,D'Andre Swift right tackle for 8 yards (tackle by Trevin Wallace and Jadeveon Clowney),0.940,1.470
1,8:26,2,2,CHI 38,7,0,D'Andre Swift right guard for 3 yards (tackle by A'Shawn Robinson),1.470,1.660
1,7:50,1,10,CHI 41,7,0,Caleb Williams pass complete short left to Rome Odunze for 11 yards (tackle by Trevin Wallace and Michael Jackson),1.660,2.390
1,7:19,1,10,CAR 48,7,0,Caleb Williams pass complete short left to Keenan Allen for 3 yards (tackle by Xavier Woods),2.390,2.250
1,6:45,2,7,CAR 45,7,0,D'Andre Swift left guard for 7 yards (tackle by Nick Scott and Troy Hill),2.250,3.050
1,6:14,1,10,CAR 38,7,0,D'Andre Swift right tackle for 4 yards (tackle by LaBryan Ray and Chau Smith-Wade),3.050,3.050
1,5:52,2,6,CAR 34,7,6,Caleb Williams pass complete deep right to D.J. Moore for 34 yards touchdown,3.050,7.000
1,5:44,,,CAR 15,7,7,Cairo Santos kicks extra point good,0.000,0.000
1,5:44,,,CHI 35,7,7,Cairo Santos kicks off 65 yards touchback. touchback.,0.000,0.940
1,5:44,1,10,CAR 30,7,7,Chuba Hubbard right guard for 5 yards (tackle by Tremaine Edmunds),0.940,1.070
1,5:09,2,5,CAR 35,7,7,Chuba Hubbard left tackle for 6 yards (tackle by Tremaine Edmunds and Jack Sanborn),1.070,1.660
1,4:32,1,10,CAR 41,7,7,Andy Dalton pass complete short middle to Ja'Tavion Sanders for -1 yards (tackle by Kevin Byard and Jaylon Johnson),1.660,0.990
1,3:58,2,11,CAR 40,7,7,Penalty on CAR: Offensive Too Many Men on Field 5 yards (accepted) (no play),0.990,0.310
1,3:44,2,16,CAR 35,7,7,Andy Dalton scrambles right end for 3 yards (tackle by Andrew Billings),0.310,0.040
1,3:06,3,13,CAR 38,7,7,Andy Dalton sacked by and DeMarcus Walker for -3 yards and Gervon Dexter for -3 yards,0.040,-1.040
1,2:22,4,16,CAR 35,7,7,Johnny Hekker punts 65 yards touchback.,-1.040,-0.280
1,2:11,1,10,CHI 20,7,7,D'Andre Swift right tackle for 4 yards (tackle by Jadeveon Clowney),0.280,0.270
1,1:41,2,6,CHI 24,7,7,Caleb Williams pass complete short right to D.J. Moore for 23 yards (tackle by Trevin Wallace),0.270,2.060
1,1:03,1,10,CHI 47,7,7,D'Andre Swift right tackle for 4 yards (tackle by Jaycee Horn),2.060,2.060
1,0:36,2,6,CAR 49,7,7,Caleb Williams scrambles right tackle for 6 yards (tackle by Shy Tuttle),2.060,2.720
2,15:00,1,10,CAR 43,7,7,D'Andre Swift left guard for 2 yards (tackle by Claudin Cherelus),2.720,2.450
2,14:40,2,8,CAR 41,7,7,D'Andre Swift left end for 18 yards (tackle by Trevin Wallace),2.450,4.040
2,13:57,1,10,CAR 23,7,7,Caleb Williams pass complete short left to Rome Odunze for 6 yards (tackle by Jaycee Horn and Xavier Woods),4.040,4.380
2,13:19,2,4,CAR 17,7,7,Caleb Williams scrambles right end for 5 yards (tackle by Trevin Wallace),4.380,4.780
2,12:40,1,10,CAR 12,7,7,D'Andre Swift left tackle for 5 yards (tackle by Michael Jackson and Trevin Wallace),4.780,5.020
2,12:01,2,5,CAR 7,7,7,Caleb Williams pass incomplete short left intended for Keenan Allen,5.020,4.160
2,11:55,3,5,CAR 7,7,7,D'Andre Swift left guard for 6 yards (tackle by A'Shawn Robinson and Claudin Cherelus),4.160,6.970
2,11:28,1,1,CAR 1,7,7,D'Andre Swift right guard for no gain touchdown. Penalty on Rome Odunze: Illegal Shift 5 yards (accepted) (no play),6.970,5.830
2,11:27,1,6,CAR 6,7,7,Penalty on CAR: Defensive Too Many Men on Field 3 yards (accepted) (no play),5.830,6.510
2,11:27,1,3,CAR 3,7,7,D'Andre Swift left guard for 2 yards (tackle by Shy Tuttle),6.510,5.910
2,10:48,2,1,CAR 1,7,13,Roschon Johnson right guard for 1 yard touchdown,5.910,7.000
2,10:44,,,CAR 15,7,14,Cairo Santos kicks extra point good,0.000,0.000
2,10:44,,,CHI 35,7,14,Cairo Santos kicks off 67 yards returned by Raheem Blackshear for 31 yards (tackle by Amen Ogbongbemiga and Tyrique Stevenson),0.000,0.870
2,10:38,1,10,CAR 29,7,14,Andy Dalton pass complete short right to Diontae Johnson for 2 yards (tackle by Jaylon Johnson),0.870,0.600
2,10:02,2,8,CAR 31,7,14,Miles Sanders right guard for 2 yards (tackle by T.J. Edwards),0.600,0.170
2,9:19,3,6,CAR 33,7,14,Andy Dalton pass complete short right to Chuba Hubbard for 1 yard (tackle by Kevin Byard),0.170,-1.110
2,8:32,4,5,CAR 34,7,14,Johnny Hekker punts 47 yards returned by DeAndre Carter for 6 yards (tackle by Feleipe Franks),-1.110,-0.610
2,8:20,1,10,CHI 25,7,14,D'Andre Swift left end for -1 yards (tackle by Jadeveon Clowney),0.610,-0.070
2,7:40,2,11,CHI 24,7,14,Caleb Williams pass incomplete short left intended for D.J. Moore (defended by Jaycee Horn),-0.070,-0.760
2,7:34,3,11,CHI 24,7,14,Caleb Williams pass complete short middle to Gerald Everett for 17 yards (tackle by Michael Jackson and Trevin Wallace),-0.760,1.660
2,7:02,1,10,CHI 41,7,14,Roschon Johnson left guard for 8 yards (tackle by Claudin Cherelus and Nick Scott),1.660,2.200
2,6:37,2,2,CHI 49,7,14,Roschon Johnson right guard for 3 yards (tackle by Troy Hill),2.200,2.390
2,6:00,1,10,CAR 48,7,14,Caleb Williams pass complete short right to Rome Odunze for 4 yards (tackle by Jaycee Horn),2.390,2.390
2,5:34,2,6,CAR 44,7,14,Roschon Johnson left guard for 4 yards (tackle by T.J. Smith and A'Shawn Robinson),2.390,2.210
2,5:05,3,2,CAR 40,7,14,Roschon Johnson left guard for 1 yard (tackle by Trevin Wallace),2.210,0.660
2,4:27,4,1,CAR 39,7,14,Roschon Johnson right tackle for no gain (tackle by Trevin Wallace and Nick Scott),0.660,-1.530
2,4:18,1,10,CAR 39,7,14,Chuba Hubbard right guard for 5 yards (tackle by T.J. Edwards),1.530,1.660
2,3:42,2,5,CAR 44,7,14,Andy Dalton sacked by and Kyler Gordon for -7 yards and Gervon Dexter for -7 yards,1.660,0.040
2,3:00,3,12,CAR 37,7,14,Andy Dalton pass complete short middle to Tommy Tremble for 7 yards. Tommy Tremble fumbles (forced by Jaquan Brisker) recovered by Gervon Dexter at CAR-44 (tackle by Jaquan Brisker),0.040,-2.650
2,2:49,1,10,CAR 44,7,14,Caleb Williams pass complete short right to D'Andre Swift for 42 yards (tackle by Jaycee Horn),2.650,6.740
2,2:24,1,2,CAR 2,7,14,D'Andre Swift left tackle for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. D'Andre Swift left tackle for 1 yard (tackle by Xavier Woods),6.740,5.910
2,2:17,2,1,CAR 1,7,20,D'Andre Swift right guard for 1 yard touchdown,5.910,7.000
2,2:14,,,CAR 15,7,21,Cairo Santos kicks extra point good,0.000,0.000
2,2:14,,,CHI 35,7,21,Cairo Santos kicks off 65 yards returned by Raheem Blackshear for 43 yards (tackle by Elijah Hicks),0.000,1.800
2,2:06,1,10,CAR 43,7,21,Chuba Hubbard right tackle for 5 yards (tackle by T.J. Edwards and Tremaine Edmunds),1.800,1.930
2,2:00,2,5,CAR 48,7,21,Andy Dalton pass complete short middle to Xavier Legette for 8 yards (tackle by Kevin Byard),1.930,2.650
2,1:33,1,10,CHI 44,7,21,Andy Dalton pass incomplete short left intended for Jonathan Mingo (defended by Tyrique Stevenson),2.650,2.110
