Quarter,Time,Down,ToGo,Location,DAL,PIT,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss Cowboys to receive the opening kickoff.,,
1,15:00,,,PIT 35,0,0,Chris Boswell kicks off 65 yards returned by KaVontae Turpin for 38 yards (tackle by Mark Robinson). Penalty on Damontae Kazee: Illegal Formation 5 yards (accepted),0.000,1.800
1,14:55,1,10,DAL 43,0,0,Dak Prescott pass complete short right to CeeDee Lamb for 3 yards (tackle by T.J. Watt),1.800,1.660
1,14:22,2,7,DAL 46,0,0,Dak Prescott pass complete short right to Brevyn Spann-Ford for 13 yards (tackle by Minkah Fitzpatrick),1.660,2.850
1,13:54,1,10,PIT 41,0,0,Rico Dowdle left guard for 1 yard (tackle by DeShon Elliott),2.850,2.440
1,13:25,2,9,PIT 40,0,0,Dak Prescott pass complete short right to CeeDee Lamb for 4 yards (tackle by Elandon Roberts),2.440,2.280
1,12:47,3,5,PIT 36,0,0,Dak Prescott pass incomplete short middle intended for Jalen Tolbert (defended by Beanie Bishop),2.280,0.880
1,12:39,4,5,PIT 36,3,0,Brandon Aubrey 55 yard field goal good,0.880,3.000
1,12:35,,,DAL 35,3,0,Brandon Aubrey kicks off 65 yards returned by Aaron Shampklin for 25 yards (tackle by Damone Clark),0.000,0.610
1,12:29,1,10,PIT 25,3,0,Justin Fields right end for 8 yards (tackle by Eric Kendricks),0.610,1.140
1,11:50,2,2,PIT 33,3,0,Najee Harris left tackle for 4 yards (tackle by Marshawn Kneeland and Chauncey Golston),1.140,1.400
1,11:17,1,10,PIT 37,3,0,Justin Fields pass incomplete deep left intended for Connor Heyward,1.400,0.860
1,11:09,2,10,PIT 37,3,0,Justin Fields left end for 5 yards (tackle by Marshawn Kneeland). Penalty on Mazi Smith: Defensive Holding 5 yards (accepted),0.860,2.060
1,10:47,1,10,PIT 47,3,0,Justin Fields pass complete short right to George Pickens for 8 yards (tackle by Jourdan Lewis),2.060,2.600
1,10:14,2,2,DAL 45,3,0,Najee Harris left guard for no gain (tackle by Osa Odighizuwa),2.600,1.880
1,9:30,3,2,DAL 45,3,0,Justin Fields pass complete short left to Najee Harris for 15 yards (tackle by Trevon Diggs),1.880,3.580
1,8:57,1,10,DAL 30,3,0,Justin Fields pass incomplete deep left intended for Darnell Washington,3.580,3.030
1,8:50,2,10,DAL 30,3,0,Jonathan Ward left end for 2 yards (tackle by DeMarvion Overshown),3.030,2.610
