Quarter,Time,Down,ToGo,Location,IND,JAX,Detail,EPB,EPA
,,,,,,,Jaguars won the coin toss and deferred Colts to receive the opening kickoff.,,
1,15:00,,,JAX 35,0,0,Cam Little kicks off 65 yards returned by Tyler Goodson for 29 yards (tackle by Caleb Johnson and Tanner Muse),0.000,0.870
1,14:54,1,10,IND 29,0,0,Joe Flacco pass complete short right to Josh Downs for 13 yards (tackle by Antonio Johnson),0.870,1.730
1,14:44,1,10,IND 42,0,0,Joe Flacco pass complete short middle to Mo Alie-Cox for 19 yards (tackle by Antonio Johnson and Andre Cisco),1.730,2.980
1,14:19,1,10,JAX 39,0,0,Joe Flacco pass complete deep middle to Josh Downs for 20 yards (tackle by Antonio Johnson). Penalty on Josh Downs: Unsportsmanlike Conduct / Offense 15 yards (accepted),2.980,3.310
1,13:55,1,10,JAX 34,0,0,Joe Flacco pass complete short left to Adonai Mitchell for 9 yards (tackle by Ventrell Miller and Devin Lloyd),3.310,3.990
1,13:21,2,1,JAX 25,0,0,Trey Sermon up the middle for 6 yards (tackle by Chad Muma),3.990,4.310
1,12:44,1,10,JAX 19,0,0,Joe Flacco pass complete short left to Trey Sermon for 3 yards (tackle by Devin Lloyd),4.310,4.180
1,12:12,2,7,JAX 16,0,0,Trey Sermon up the middle for 1 yard (tackle by Arik Armstead and Montaric Brown),4.180,3.580
1,11:33,3,6,JAX 15,0,0,Joe Flacco pass complete short middle to Josh Downs for 10 yards (tackle by Antonio Johnson),3.580,6.060
1,11:09,1,5,JAX 5,0,0,Trey Sermon up the middle for 4 yards (tackle by Andre Cisco),6.060,5.910
1,10:30,2,1,JAX 1,0,0,Trey Sermon up the middle for no gain (tackle by Jeremiah Ledbetter and Antonio Johnson),5.910,5.170
1,9:50,3,1,JAX 1,0,0,Trey Sermon up the middle for no gain (tackle by Chad Muma and Devin Lloyd),5.170,3.550
1,8:54,4,1,JAX 1,6,0,Joe Flacco pass complete short left to Michael Pittman for 1 yard touchdown,3.550,7.000
1,8:49,,,JAX 15,7,0,Matt Gay kicks extra point good,0.000,0.000
1,8:49,,,IND 35,7,0,Matt Gay kicks off 65 yards touchback.,0.000,0.940
1,8:49,1,10,JAX 30,7,0,Trevor Lawrence pass complete short right to Gabriel Davis for 7 yards (tackle by Samuel Womack),0.940,1.340
1,8:19,2,3,JAX 37,7,0,Travis Etienne up the middle for 2 yards (tackle by Laiatu Latu),1.340,0.890
1,7:39,3,1,JAX 39,7,0,Trevor Lawrence up the middle for 2 yards (tackle by Grover Stewart),0.890,1.660
1,6:59,1,10,JAX 41,7,0,Trevor Lawrence pass complete short right to Travis Etienne for 13 yards (tackle by E.J. Speed),1.660,2.520
1,6:18,1,10,IND 46,7,0,Trevor Lawrence pass complete short right to Travis Etienne for 12 yards (tackle by Nick Cross),2.520,3.310
1,5:39,1,10,IND 34,7,0,Tank Bigsby up the middle for 3 yards (tackle by Grover Stewart),3.310,3.180
1,5:10,2,7,IND 31,7,0,Tank Bigsby left end for 1 yard (tackle by Laiatu Latu),3.180,2.610
1,4:27,3,6,IND 30,7,0,Trevor Lawrence pass complete short left to Brenton Strange for 4 yards (tackle by E.J. Speed and Laiatu Latu),2.610,1.860
1,3:40,4,2,IND 26,7,0,Trevor Lawrence pass incomplete short left intended for Brian Thomas (defended by Jaylon Jones),1.860,-0.670
1,3:37,1,10,IND 26,7,0,Joe Flacco pass complete deep right to Adonai Mitchell for 18 yards (tackle by Ronald Darby),0.670,1.860
1,2:59,1,10,IND 44,7,0,Joe Flacco pass complete short right to Josh Downs for 3 yards (tackle by Ventrell Miller),1.860,1.720
1,2:34,2,7,IND 47,7,0,Joe Flacco pass incomplete short right intended for Michael Pittman (defended by Ronald Darby),1.720,1.030
