Quarter,Time,Down,ToGo,Location,MIA,NWE,Detail,EPB,EPA
,,,,,,,Patriots won the coin toss and deferred Dolphins to receive the opening kickoff.,,
1,15:00,,,NWE 35,0,0,Joey Slye kicks off 58 yards returned by Braxton Berrios for 19 yards (tackle by Christian Elliss),0.000,0.670
1,14:55,1,10,MIA 26,0,0,De'Von Achane up the middle for 4 yards (tackle by Raekwon McMillan),0.670,0.670
1,14:25,2,6,MIA 30,0,0,Tyler Huntley pass complete deep middle to Tyreek Hill for 18 yards (tackle by Christian Gonzalez),0.670,2.130
1,13:54,1,10,MIA 48,0,0,De'Von Achane up the middle for 2 yards (tackle by Anfernee Jennings and Daniel Ekuale),2.130,1.850
1,13:22,2,8,NWE 50,0,0,Tyler Huntley pass complete short middle to Jonnu Smith for 8 yards (tackle by Jahlani Tavai and Raekwon McMillan),1.850,2.790
1,12:42,1,10,NWE 42,0,0,Tyler Huntley sacked by and Anfernee Jennings for -7 yards and Daniel Ekuale for -7 yards,2.790,1.300
1,12:02,2,17,NWE 49,0,0,Raheem Mostert up the middle for no gain (tackle by Jahlani Tavai and Daniel Ekuale),1.300,0.630
1,11:24,3,17,NWE 49,0,0,Tyler Huntley pass complete short middle to Jonnu Smith for 13 yards (tackle by Christian Elliss and Marte Mapu),0.630,0.890
1,10:44,4,4,NWE 36,3,0,Jason Sanders 54 yard field goal good,0.890,3.000
1,10:39,,,MIA 35,3,0,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
1,10:39,1,10,NWE 30,3,0,Antonio Gibson right tackle for 7 yards (tackle by Jevon Holland),0.940,1.340
1,9:58,2,3,NWE 37,3,0,Jacoby Brissett sacked by Emmanuel Ogbah for -3 yards,1.340,0.230
1,9:15,3,6,NWE 34,3,0,Jacoby Brissett sacked by Zach Sieler for -9 yards,0.230,-1.700
1,8:34,4,15,NWE 25,3,0,Bryce Baringer punts 53 yards fair catch by Braxton Berrios at MIA-22,-1.700,-0.410
1,8:27,1,10,MIA 22,3,0,Jaylen Wright up the middle for 4 yards (tackle by Davon Godchaux and Daniel Ekuale),0.410,0.410
1,7:52,2,6,MIA 26,3,0,Tyler Huntley pass complete short right to De'Von Achane for -1 yards (tackle by Daniel Ekuale),0.410,-0.430
1,7:15,3,7,MIA 25,3,0,Tyler Huntley pass complete short left to Tyreek Hill for 6 yards (tackle by Jonathan Jones),-0.430,-1.310
1,6:37,4,1,MIA 31,3,0,Jake Bailey punts returned by Marcus Jones for no gain (tackle by Tanner Conner) (no play),-1.310,1.330
1,6:22,1,10,MIA 36,3,0,Tyler Huntley pass incomplete short right intended for Jaylen Waddle,1.330,0.790
1,6:19,2,10,MIA 36,3,0,Tyler Huntley pass short middle intended for Odell Beckham is intercepted by Christian Gonzalez at MIA-45 and returned for 2 yards (tackle by Malik Washington),0.790,-2.720
1,6:11,1,10,MIA 43,3,0,Jacoby Brissett pass complete short left to Kendrick Bourne for 6 yards (tackle by Chop Robinson and Marcus Maye),2.720,2.990
1,5:30,2,4,MIA 37,3,0,Rhamondre Stevenson up the middle for 3 yards (tackle by Emmanuel Ogbah and Da'Shawn Hand),2.990,2.680
1,4:48,3,1,MIA 34,3,0,Jacoby Brissett pass complete short left to Rhamondre Stevenson for 1 yard (tackle by Anthony Walker and Jalen Ramsey),2.680,3.380
1,4:04,1,10,MIA 33,3,6,Rhamondre Stevenson right end for 33 yards touchdown,3.380,7.000
1,3:55,,,MIA 15,3,7,Joey Slye kicks extra point good,0.000,0.000
1,3:55,,,NWE 35,3,7,Joey Slye kicks off 65 yards touchback.,0.000,0.940
1,3:55,1,10,MIA 30,3,7,Raheem Mostert left guard for 4 yards (tackle by Anfernee Jennings),0.940,0.930
1,3:14,2,6,MIA 34,3,7,De'Von Achane right end for 12 yards (tackle by Jaylinn Hawkins),0.930,1.990
1,2:41,1,10,MIA 46,3,7,Tyler Huntley pass complete deep left to Jaylen Waddle for 20 yards (tackle by Jaylinn Hawkins),1.990,3.310
1,2:02,1,10,NWE 34,3,7,Tyler Huntley pass incomplete deep left intended for Durham Smythe,3.310,2.770
1,1:55,2,10,NWE 34,3,7,Raheem Mostert right guard for 12 yards (tackle by Jaylinn Hawkins),2.770,4.110
1,1:25,1,10,NWE 22,3,7,Raheem Mostert left guard for 2 yards (tackle by Daniel Ekuale),4.110,3.830
1,0:50,2,8,NWE 20,3,7,Tyler Huntley pass incomplete short middle intended for Jaylen Waddle,3.830,3.140
1,0:46,3,8,NWE 20,3,7,Tyler Huntley sacked by Josh Uche for -3 yards,3.140,1.930
