Quarter,Time,Down,ToGo,Location,NOR,KAN,Detail,EPB,EPA
,,,,,,,Saints won the coin toss Saints to receive the opening kickoff.,,
1,15:00,,,KAN 35,0,0,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,NOR 30,0,0,Derek Carr pass complete short right to Juwan Johnson for 7 yards (tackle by Nick Bolton),0.940,1.340
1,14:26,2,3,NOR 37,0,0,Alvin Kamara left guard for 2 yards (tackle by Leo Chenal),1.340,0.890
1,13:53,3,1,NOR 39,0,0,Alvin Kamara left end for 9 yards (tackle by Bryan Cook),0.890,2.130
1,13:13,1,10,NOR 48,0,0,Jamaal Williams left end for 9 yards (tackle by Bryan Cook),2.130,2.800
1,12:40,2,1,KAN 43,0,0,Derek Carr pass complete short left to Chris Olave for 4 yards (tackle by Trent McDuffie),2.800,2.980
1,12:06,1,10,KAN 39,0,0,Derek Carr pass deep right intended for Rashid Shaheed is intercepted by Bryan Cook at KC-22 and returned for no gain (tackle by Rashid Shaheed),2.980,-0.410
1,11:59,1,10,KAN 22,0,0,Kareem Hunt right guard for 3 yards (tackle by Carl Granderson and Anfernee Orji),0.410,0.270
1,11:22,2,7,KAN 25,0,0,Patrick Mahomes scrambles left end for 9 yards (tackle by Marshon Lattimore),0.270,1.200
1,10:54,1,10,KAN 34,0,0,Kareem Hunt left guard for 4 yards (tackle by Khalen Saunders),1.200,1.200
1,10:17,2,6,KAN 38,0,0,Kareem Hunt right guard for 3 yards (tackle by Bryan Bresee and Chase Young),1.200,0.890
1,9:48,3,3,KAN 41,0,0,Patrick Mahomes pass complete short left to Travis Kelce for 4 yards (tackle by Alontae Taylor),0.890,1.930
1,9:10,1,10,KAN 45,0,0,Patrick Mahomes pass complete short middle to Travis Kelce for 21 yards (tackle by Tyrann Mathieu),1.930,3.310
1,8:33,1,10,NOR 34,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Khalen Saunders),3.310,3.580
1,7:59,2,4,NOR 28,0,0,Kareem Hunt left guard for 8 yards (tackle by Anfernee Orji and Will Harris),3.580,4.240
1,7:19,1,10,NOR 20,0,0,Patrick Mahomes pass complete short middle to Noah Gray for 15 yards (tackle by Will Harris),4.240,6.060
1,6:40,1,5,NOR 5,0,6,Kareem Hunt right guard for 5 yards touchdown,6.060,7.000
1,6:34,,,NOR 15,0,7,Harrison Butker kicks extra point good,0.000,0.000
1,6:34,,,KAN 35,0,7,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
1,6:34,1,10,NOR 30,0,7,Alvin Kamara left end for 3 yards (tackle by Jaylen Watson and Drue Tranquill),0.940,0.800
1,5:51,2,7,NOR 33,0,7,Derek Carr pass incomplete deep right intended for Mason Tipton,0.800,0.100
1,5:45,3,7,NOR 33,0,7,Derek Carr pass complete short right to Mason Tipton for 2 yards (tackle by Chamarri Conner),0.100,-1.040
1,4:57,4,5,NOR 35,0,7,Matthew Hayball punts 49 yards returned by Mecole Hardman for 7 yards (tackle by D'Marco Jackson),-1.040,-0.480
1,4:49,1,10,KAN 23,0,7,Patrick Mahomes pass incomplete short left,0.480,-0.070
1,4:46,2,10,KAN 23,0,7,Kareem Hunt left end for 3 yards (tackle by Demario Davis),-0.070,-0.360
1,4:04,3,7,KAN 26,0,7,Penalty on Jawaan Taylor: False Start 5 yards (accepted) (no play),-0.360,-1.020
1,3:49,3,12,KAN 21,0,7,Patrick Mahomes pass incomplete deep middle intended for Travis Kelce,-1.020,-1.960
1,3:43,4,12,KAN 21,0,7,Matt Araiza punts 56 yards returned by Rashid Shaheed for 10 yards (tackle by Jack Cochrane). Penalty on Rico Payton: Defensive Holding 10 yards (accepted),-1.960,-0.480
1,3:28,1,10,NOR 23,0,7,Penalty on Taliese Fuaga: False Start 5 yards (accepted) (no play),0.480,0.000
1,3:28,1,15,NOR 18,0,7,Alvin Kamara right end for 2 yards (tackle by Chris Jones and Mike Pennel),0.000,-0.470
1,2:50,2,13,NOR 20,0,7,Derek Carr pass incomplete short right intended for Rashid Shaheed,-0.470,-1.150
1,2:44,3,13,NOR 20,0,7,Derek Carr pass incomplete deep middle intended for Rashid Shaheed,-1.150,-2.030
1,2:37,4,13,NOR 20,0,7,Matthew Hayball punts 53 yards returned by Mecole Hardman for 13 yards (tackle by Rico Payton and Johnathan Abram),-2.030,-1.600
1,2:26,1,10,KAN 40,0,7,Kareem Hunt left end for 7 yards (tackle by Demario Davis),1.600,2.000
1,1:54,2,3,KAN 47,0,7,Patrick Mahomes pass complete short left to Jody Fortson for 5 yards (tackle by D'Marco Jackson),2.000,2.390
1,1:21,1,10,NOR 48,0,7,Carson Steele left guard for 8 yards (tackle by Demario Davis and Anfernee Orji),2.390,2.930
1,0:45,2,2,NOR 40,0,7,Patrick Mahomes pass complete short right to Travis Kelce for 4 yards (tackle by Isaiah Foskey),2.930,3.180
1,0:05,1,10,NOR 36,0,7,Kareem Hunt right end for 8 yards (tackle by Paulson Adebo),3.180,3.720
2,15:00,2,2,NOR 28,0,7,Patrick Mahomes pass complete short left to Kareem Hunt for 15 yards (tackle by Anfernee Orji),3.720,4.710
2,14:14,1,10,NOR 13,0,7,Patrick Mahomes pass complete short middle to Mecole Hardman for 5 yards (tackle by Demario Davis),4.710,4.960
2,13:36,2,5,NOR 8,0,7,Patrick Mahomes pass complete short right to Noah Gray for no gain touchdown. Penalty on Jawaan Taylor: Offensive Holding 10 yards (accepted) (no play),4.960,3.400
2,13:29,2,15,NOR 18,0,7,Patrick Mahomes pass complete short middle to Travis Kelce for 10 yards (tackle by Anfernee Orji),3.400,4.100
2,12:51,3,5,NOR 8,0,7,Patrick Mahomes pass incomplete short middle intended for Samaje Perine,4.100,2.970
2,12:42,4,5,NOR 8,0,10,Harrison Butker 26 yard field goal good,2.970,3.000
2,12:39,,,KAN 35,0,10,Harrison Butker kicks off 64 yards returned by Jamaal Williams for 25 yards (tackle by Cam Jones),0.000,0.670
2,12:34,1,10,NOR 26,0,10,Jamaal Williams up the middle for no gain (tackle by Chris Jones and Michael Danna),0.670,0.130
2,11:56,2,10,NOR 26,0,10,Derek Carr pass complete short left to Juwan Johnson for 4 yards (tackle by Trent McDuffie),0.130,-0.030
2,11:17,3,6,NOR 30,0,10,Derek Carr pass complete short left to Alvin Kamara for 10 yards (tackle by Drue Tranquill and Nazeeh Johnson),-0.030,1.600
2,10:34,1,10,NOR 40,0,10,Alvin Kamara left tackle for 1 yard (tackle by Tershawn Wharton and Nick Bolton),1.600,1.190
2,9:58,2,9,NOR 41,0,10,Derek Carr pass complete short middle to Rashid Shaheed for 15 yards (tackle by Justin Reid),1.190,2.650
2,9:19,1,10,KAN 44,0,10,Alvin Kamara right guard for 1 yard (tackle by Michael Danna and Tershawn Wharton),2.650,2.250
2,8:43,2,9,KAN 43,6,10,Derek Carr pass complete deep middle to Rashid Shaheed for 43 yards touchdown,2.250,7.000
2,8:36,,,KAN 15,7,10,Blake Grupe kicks extra point good,0.000,0.000
2,8:36,,,NOR 35,7,10,Blake Grupe kicks off 61 yards returned by Skyy Moore for 15 yards (tackle by Isaiah Stalbird and Cedrick Wilson),0.000,0.280
2,8:30,1,10,KAN 20,7,10,Kareem Hunt left end for 4 yards (tackle by D'Marco Jackson and Demario Davis),0.280,0.270
2,8:13,2,6,KAN 24,7,10,Patrick Mahomes pass incomplete short right,0.270,-0.430
2,8:05,3,6,KAN 24,7,10,Patrick Mahomes scrambles left end for 7 yards (tackle by Chase Young),-0.430,1.000
2,7:29,1,10,KAN 31,7,10,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 8 yards (tackle by Tyrann Mathieu and Demario Davis),1.000,1.540
2,6:50,2,2,KAN 39,7,10,Patrick Mahomes pass complete short right to Xavier Worthy for 18 yards (tackle by Tyrann Mathieu),1.540,2.720
2,6:28,1,10,NOR 43,7,10,Kareem Hunt right guard for 3 yards (tackle by Carl Granderson and Khalen Saunders),2.720,2.580
2,5:49,2,7,NOR 40,7,10,Patrick Mahomes pass complete short left to Travis Kelce for 8 yards (tackle by Anfernee Orji),2.580,3.450
2,5:13,1,10,NOR 32,7,10,Carson Steele right end for -9 yards. Carson Steele fumbles (forced by Alontae Taylor) recovered by Xavier Worthy at NO-46 (tackle by Alontae Taylor),3.450,1.010
2,4:36,2,24,NOR 46,7,10,Patrick Mahomes scrambles up the middle for no gain (tackle by Alontae Taylor). Penalty on Trey Smith: Offensive Holding 10 yards (accepted) (no play),1.010,-0.340
2,4:09,2,34,KAN 44,7,10,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 13 yards (tackle by Johnathan Abram),-0.340,0.760
