Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
,,,,,,,Falcons won the coin toss Falcons to receive the opening kickoff.,,
1,15:00,,,TAM 35,0,0,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,ATL 30,0,0,Bijan Robinson right tackle for 2 yards (tackle by Tykee Smith and Lavonte David),0.940,0.660
1,14:33,2,8,ATL 32,0,0,Kirk Cousins pass complete deep right to Kyle Pitts for 32 yards (tackle by Zyon McCollum),0.660,3.180
1,14:04,1,10,TAM 36,0,0,Bijan Robinson left end for 3 yards (tackle by Christian Izien),3.180,3.040
1,13:23,2,7,TAM 33,0,0,Kirk Cousins pass incomplete short left intended for Darnell Mooney,3.040,2.350
1,13:16,3,7,TAM 33,0,0,Kirk Cousins pass complete short middle to Drake London for 15 yards (tackle by Lavonte David),2.350,4.370
1,12:40,1,10,TAM 18,0,0,Bijan Robinson right tackle for no gain (tackle by Tykee Smith),4.370,3.800
1,12:01,2,10,TAM 18,0,6,Kirk Cousins pass complete short left to Drake London for 18 yards touchdown,3.800,7.000
1,11:54,,,TAM 15,0,7,Younghoe Koo kicks extra point good,0.000,0.000
1,11:54,,,ATL 35,0,7,Younghoe Koo kicks off 61 yards returned by Sean Tucker for 33 yards (tackle by Richie Grant),0.000,1.400
1,11:48,1,10,TAM 37,0,7,Baker Mayfield pass complete short right to Mike Evans for 15 yards (tackle by AJ Terrell),1.400,2.390
1,11:14,1,10,ATL 48,0,7,Rachaad White right tackle for 5 yards (tackle by Kaden Elliss),2.390,2.520
1,10:38,2,5,ATL 43,0,7,Baker Mayfield pass incomplete short left intended for Mike Evans,2.520,1.820
1,10:32,3,5,ATL 43,0,7,Baker Mayfield pass complete short middle to Mike Evans for 9 yards (tackle by DeAundre Alford and Jessie Bates),1.820,3.310
1,9:51,1,10,ATL 34,0,7,Rachaad White right tackle for 1 yard (tackle by Ruke Orhorhoro and James Smith-Williams),3.310,2.910
1,9:28,2,9,ATL 33,0,7,Rachaad White right tackle for no gain (tackle by James Smith-Williams and DeAundre Alford),2.910,2.210
1,8:54,3,9,ATL 33,0,7,Baker Mayfield pass complete short right to Cade Otton for 15 yards (tackle by JD Bertrand),2.210,4.370
1,8:16,1,10,ATL 18,0,7,Baker Mayfield pass complete short middle to Chris Godwin for 16 yards (tackle by DeAundre Alford),4.370,6.740
1,7:40,1,2,ATL 2,6,7,Baker Mayfield pass complete short middle to Mike Evans for 2 yards touchdown,6.740,7.000
1,7:36,,,ATL 15,7,7,Chase McLaughlin kicks extra point good,0.000,0.000
1,7:36,,,TAM 35,7,7,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
1,7:36,1,10,ATL 30,7,7,Kirk Cousins pass complete deep left to Darnell Mooney for 20 yards (tackle by Jamel Dean),0.940,2.260
1,7:07,1,10,TAM 50,7,7,Kirk Cousins pass complete short right to Tyler Allgeier for 3 yards (tackle by YaYa Diaby),2.260,2.120
1,6:31,2,7,TAM 47,7,7,Tyler Allgeier right tackle for 8 yards (tackle by K.J. Britt and Jordan Whitehead),2.120,2.980
1,5:49,1,10,TAM 39,7,7,Kirk Cousins pass complete short left to Ray-Ray McCloud for 15 yards (tackle by Tykee Smith),2.980,3.970
1,5:16,1,10,TAM 24,7,7,Darnell Mooney pass incomplete deep right,3.970,3.430
1,5:07,2,10,TAM 24,7,7,Kirk Cousins pass complete short right to Drake London for 5 yards (tackle by Tykee Smith),3.430,3.410
1,4:31,3,5,TAM 19,7,7,Kirk Cousins sacked by Vita Vea for -9 yards,3.410,1.590
1,3:39,4,14,TAM 28,7,7,Younghoe Koo yard field goal no good. Penalty on Josh Hayes: Defensive Offside 5 yards (accepted) (no play),1.590,1.930
1,3:34,4,9,TAM 23,7,7,Younghoe Koo 41 yard field goal no good,1.930,-1.000
1,3:30,1,10,TAM 31,7,7,Baker Mayfield pass complete short left to Chris Godwin for 11 yards (tackle by AJ Terrell and Lorenzo Carter),1.000,1.730
1,2:57,1,10,TAM 42,7,7,Bucky Irving left end for 16 yards (tackle by Justin Simmons),1.730,2.790
1,2:16,1,10,ATL 42,7,7,Baker Mayfield pass incomplete deep middle intended for Sterling Shepard,2.790,2.240
1,2:09,2,10,ATL 42,7,7,Baker Mayfield pass complete short left to Chris Godwin for 7 yards (tackle by Justin Simmons),2.240,2.480
1,1:31,3,3,ATL 35,7,7,Baker Mayfield pass incomplete short left intended for Chris Godwin,2.480,0.990
1,1:27,4,3,ATL 35,10,7,Chase McLaughlin 53 yard field goal good,0.990,3.000
1,1:22,,,TAM 35,10,7,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
1,1:22,1,10,ATL 30,10,7,Bijan Robinson left end for 6 yards (tackle by Tykee Smith),0.940,1.200
1,0:47,2,4,ATL 36,10,7,Bijan Robinson right tackle for 1 yard (tackle by Joe Tryon-Shoyinka and YaYa Diaby),1.200,0.630
1,0:22,3,3,ATL 37,10,7,Kirk Cousins pass complete short left to Darnell Mooney for 7 yards (tackle by K.J. Britt),0.630,1.860
2,15:00,1,10,ATL 44,10,7,Kirk Cousins pass incomplete short left,1.860,1.320
2,14:54,2,10,ATL 44,10,7,Kirk Cousins pass incomplete short middle intended for Drake London (defended by Jamel Dean). Penalty on K.J. Britt: Unnecessary Roughness / Defense 15 yards (accepted) (no play),1.320,2.850
2,14:43,1,10,TAM 41,10,7,Tyler Allgeier right end for 7 yards (tackle by Zyon McCollum). Penalty on Ryan Neuzil: Offensive Holding 10 yards (accepted) (no play),2.850,2.190
2,14:24,1,20,ATL 49,10,7,Kirk Cousins pass complete short right to Ray-Ray McCloud for 8 yards (tackle by K.J. Britt),2.190,2.040
2,13:48,2,12,TAM 43,10,7,Kirk Cousins pass complete deep middle to KhaDarel Hodge for 22 yards (tackle by Christian Izien),2.040,4.170
2,13:01,1,10,TAM 21,10,7,Kirk Cousins pass complete short right to Bijan Robinson for no gain (tackle by Anthony Nelson). Penalty on Kyle Pitts: Offensive Holding 10 yards (accepted) (no play),4.170,3.510
2,12:36,1,20,TAM 31,10,7,Kirk Cousins pass complete short right to Darnell Mooney for 7 yards (tackle by Zyon McCollum),3.510,3.220
2,12:12,2,13,TAM 24,10,7,Kirk Cousins pass incomplete short right intended for Kyle Pitts (defended by Lavonte David),3.220,2.540
2,12:04,3,13,TAM 24,10,13,Kirk Cousins pass complete deep middle to Darnell Mooney for 24 yards touchdown,2.540,7.000
2,11:58,,,TAM 15,10,14,Younghoe Koo kicks extra point good,0.000,0.000
2,11:58,,,ATL 35,10,14,Younghoe Koo kicks off 62 yards returned by Sean Tucker for 53 yards (tackle by Micah Abernathy and Kevin King),0.000,2.650
2,11:46,1,10,ATL 44,10,14,Baker Mayfield pass complete short right to Cade Otton for 22 yards (tackle by Kaden Elliss),2.650,4.110
2,11:06,1,10,ATL 22,10,14,Rachaad White right end for -1 yards (tackle by Kaden Elliss and Zach Harrison),4.110,3.430
2,10:22,2,11,ATL 23,16,14,Baker Mayfield pass complete deep left to Mike Evans for 23 yards touchdown,3.430,7.000
2,10:17,,,ATL 15,17,14,Chase McLaughlin kicks extra point good,0.000,0.000
2,10:17,,,TAM 35,17,14,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
2,10:17,1,10,ATL 30,17,14,Bijan Robinson left end for no gain (tackle by Lavonte David),0.940,0.390
2,9:33,2,10,ATL 30,17,14,Kirk Cousins pass complete short left to Kyle Pitts for 18 yards (tackle by Jordan Whitehead),0.390,2.130
2,8:54,1,10,ATL 48,17,14,Bijan Robinson right tackle for 6 yards (tackle by Zyon McCollum and Tykee Smith),2.130,2.390
2,8:22,2,4,TAM 46,17,14,Kirk Cousins pass complete short right to Kyle Pitts for 8 yards (tackle by Lavonte David),2.390,3.050
2,7:41,1,10,TAM 38,17,14,Kirk Cousins pass incomplete short middle. Penalty on Kirk Cousins: Intentional Grounding 10 yards (accepted) TAM challenged the fumble ruling and the play was upheld.,3.050,1.160
2,7:35,2,20,TAM 48,17,14,Kirk Cousins pass complete short left to Bijan Robinson for 6 yards (tackle by Joe Tryon-Shoyinka),1.160,1.290
2,7:08,3,14,TAM 42,17,14,Kirk Cousins pass complete short left to Tyler Allgeier for 6 yards (tackle by Lavonte David),1.290,0.880
