Quarter,Time,Down,ToGo,Location,ARI,GNB,Detail,EPB,EPA
,,,,,,,Cardinals won the coin toss and deferred Packers to receive the opening kickoff.,,
1,15:00,,,ARI 35,0,0,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,GNB 30,0,0,Penalty on L.J. Collier: Neutral Zone Infraction 5 yards (accepted) (no play),0.940,1.670
1,15:00,1,5,GNB 35,0,0,Josh Jacobs left guard for 2 yards (tackle by Zaven Collins),1.670,1.340
1,14:25,2,3,GNB 37,0,0,Jordan Love pass complete short left to Jayden Reed for 4 yards (tackle by Starling Thomas),1.340,1.660
1,13:56,1,10,GNB 41,0,0,Jordan Love pass incomplete short left intended for Tucker Kraft (defended by Julian Okwara),1.660,1.120
1,13:52,2,10,GNB 41,0,0,Josh Jacobs up the middle for 5 yards (tackle by Kyzir White and Roy Lopez),1.120,1.090
1,13:10,3,5,GNB 46,0,0,Jordan Love pass incomplete deep right intended for Dontayvion Wicks,1.090,-0.320
1,13:05,4,5,GNB 46,0,0,Daniel Whelan punts 46 yards out of bounds,-0.320,0.380
1,12:58,1,10,ARI 8,0,0,James Conner left end for 2 yards (tackle by Keisean Nixon and Eric Wilson),-0.380,-0.630
1,12:16,2,8,ARI 10,0,0,James Conner right end for -1 yards (tackle by Quay Walker),-0.630,-1.300
1,11:42,3,9,ARI 9,0,0,Kyler Murray pass incomplete short right intended for Marvin Harrison,-1.300,-2.490
1,11:40,4,9,ARI 9,0,0,Blake Gillikin punts 58 yards returned by Jayden Reed for 8 yards (tackle by Dennis Gardeck and Joey Blount). Penalty on Joey Blount: Face Mask (15 Yards) 15 yards (accepted),-2.490,-2.650
1,11:26,1,10,ARI 44,0,0,Josh Jacobs right end for 14 yards (tackle by Naquan Jones and Mack Wilson),2.650,3.580
1,10:43,1,10,ARI 30,0,0,Penalty on Zaven Collins: Neutral Zone Infraction 5 yards (accepted) (no play),3.580,4.310
1,10:29,1,5,ARI 25,0,0,Bo Melton left end for 16 yards (tackle by Budda Baker and Naquan Jones),4.310,5.140
