Quarter,Time,Down,ToGo,Location,ATL,CAR,Detail,EPB,EPA
,,,,,,,Falcons won the coin toss and deferred Panthers to receive the opening kickoff.,,
1,15:00,,,ATL 35,0,0,Bradley Pinion kicks off 65 yards touchback.. Penalty on Kevin King: Illegal Formation 5 yards (accepted),0.000,1.270
1,15:00,1,10,CAR 35,0,0,Chuba Hubbard left end for 4 yards (tackle by DeAundre Alford),1.270,1.260
1,14:22,2,6,CAR 39,0,0,Penalty on Ikem Ekwonu: False Start 5 yards (accepted) (no play),1.260,0.590
1,14:10,2,11,CAR 34,0,0,Chuba Hubbard up the middle for -2 yards (tackle by James Smith-Williams),0.590,-0.360
1,13:31,3,13,CAR 32,0,0,Andy Dalton pass incomplete deep right intended for Xavier Legette,-0.360,-1.240
1,13:23,4,13,CAR 32,0,0,Johnny Hekker punts 47 yards returned by Avery Williams for no gain (tackle by Lonnie Johnson),-1.240,-0.340
1,13:14,1,10,ATL 21,0,0,Bijan Robinson up the middle for 6 yards (tackle by Charles Harris and A'Shawn Robinson),0.340,0.610
1,12:51,2,4,ATL 27,0,0,Kirk Cousins pass incomplete short right intended for Drake London,0.610,-0.100
1,12:47,3,4,ATL 27,0,0,Kirk Cousins pass incomplete short left intended for Drake London,-0.100,-1.570
1,12:43,4,4,ATL 27,0,0,Bradley Pinion punts 52 yards returned by Raheem Blackshear for 12 yards (tackle by Avery Williams and DeAngelo Malone),-1.570,-1.140
1,12:29,1,10,CAR 33,0,0,Andy Dalton pass incomplete short right intended for Chuba Hubbard (defended by Kaden Elliss),1.140,0.590
1,12:23,2,10,CAR 33,0,0,Andy Dalton pass complete short middle to David Moore for 9 yards (tackle by DeAundre Alford and Jessie Bates),0.590,1.090
1,12:04,3,1,CAR 42,0,0,Chuba Hubbard left guard for 3 yards (tackle by Nathan Landman),1.090,1.930
1,11:21,1,10,CAR 45,0,0,Penalty on Chandler Zavala: False Start 5 yards (accepted) (no play),1.930,1.600
1,11:05,1,15,CAR 40,0,0,Andy Dalton pass complete short right to Chuba Hubbard for 3 yards (tackle by Mike Hughes),1.600,1.110
