Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA
,,,,,,,Bills won the coin toss and deferred Jets to receive the opening kickoff.,,
1,15:00,,,BUF 35,0,0,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,NYJ 30,0,0,Breece Hall right end for 3 yards (tackle by Gregory Rousseau),0.940,0.800
1,14:25,2,7,NYJ 33,0,0,Aaron Rodgers pass complete short right to Allen Lazard for 10 yards (tackle by Rasul Douglas),0.800,1.800
1,13:48,1,10,NYJ 43,0,0,Aaron Rodgers pass complete short right to Garrett Wilson for 24 yards (tackle by Taylor Rapp),1.800,3.380
1,13:06,1,10,BUF 33,0,0,Breece Hall right guard for 11 yards (tackle by Taron Johnson and Terrel Bernard),3.380,4.110
1,12:34,1,10,BUF 22,0,0,Breece Hall right tackle for 2 yards (tackle by Taron Johnson),4.110,3.830
1,11:55,2,8,BUF 20,0,0,Aaron Rodgers pass complete short right to Garrett Wilson for 4 yards (tackle by Rasul Douglas),3.830,3.740
1,11:12,3,4,BUF 16,0,0,Aaron Rodgers pass incomplete short right intended for Breece Hall,3.740,2.450
1,11:09,4,4,BUF 16,0,3,Greg Zuerlein 34 yard field goal good,2.450,3.000
1,11:06,,,NYJ 35,0,3,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
1,11:06,1,10,BUF 30,0,3,Ty Johnson right end for 12 yards (tackle by Sauce Gardner),0.940,1.730
1,10:34,1,10,BUF 42,0,3,Josh Allen pass complete short left to Dalton Kincaid for 14 yards (tackle by Tony Adams and Chuck Clark),1.730,2.650
1,9:55,1,10,NYJ 44,0,3,Ray Davis up the middle for 3 yards (tackle by Javon Kinlaw and Quincy Williams),2.650,2.520
1,9:20,2,7,NYJ 41,0,3,Ray Davis up the middle for 14 yards (tackle by Chuck Clark),2.520,3.780
1,8:40,1,10,NYJ 27,0,3,Ray Davis right guard for 6 yards (tackle by Quincy Williams),3.780,4.040
1,7:56,2,4,NYJ 21,0,3,Ray Davis left tackle for 5 yards (tackle by Jamien Sherwood and Chuck Clark),4.040,4.510
1,7:19,1,10,NYJ 16,0,3,Ray Davis left tackle for 15 yards (tackle by Sauce Gardner and Chuck Clark),4.510,6.970
1,6:54,1,1,NYJ 1,0,3,Josh Allen up the middle for no gain (tackle by Leonard Taylor and Chuck Clark). Penalty on Spencer Brown: Illegal Formation 5 yards (accepted) (no play),6.970,5.830
1,6:37,1,6,NYJ 6,0,3,Ray Davis left tackle for 5 yards (tackle by Jamien Sherwood),5.830,5.910
1,6:16,2,1,NYJ 1,6,3,Josh Allen left guard for 1 yard touchdown,5.910,7.000
1,6:12,,,NYJ 15,7,3,Tyler Bass kicks extra point good,0.000,0.000
1,6:12,,,BUF 35,7,3,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
1,6:12,1,10,NYJ 30,7,3,Breece Hall right guard for 4 yards (tackle by Taron Johnson),0.940,0.930
1,5:41,2,6,NYJ 34,7,3,Aaron Rodgers pass complete short left to Breece Hall for 21 yards (tackle by Damar Hamlin),0.930,2.590
1,5:02,1,10,BUF 45,7,3,Aaron Rodgers pass complete short right to Jeremy Ruckert for 8 yards (tackle by Austin Johnson and Taylor Rapp),2.590,3.120
1,4:16,2,2,BUF 37,7,3,Braelon Allen left tackle for 6 yards (tackle by Terrel Bernard and A.J. Epenesa),3.120,3.510
1,3:36,1,10,BUF 31,7,3,Aaron Rodgers pass incomplete short right intended for Mike Williams (defended by Rasul Douglas),3.510,2.970
1,3:27,2,10,BUF 31,7,3,Breece Hall left tackle for 24 yards (tackle by Christian Benford),2.970,5.600
1,2:47,1,7,BUF 7,7,3,Braelon Allen up the middle for 2 yards (tackle by Taylor Rapp and Dorian Williams),5.600,5.150
1,2:12,2,5,BUF 5,7,3,Aaron Rodgers pass incomplete short middle intended for Allen Lazard (defended by DeWayne Carter),5.150,4.260
1,2:06,3,5,BUF 5,7,9,Aaron Rodgers pass incomplete short middle intended for Garrett Wilson Replay Assistant challenged the pass completion ruling and the original play was overturned. Aaron Rodgers pass complete short middle to Garrett Wilson for 5 yards touchdown,4.260,7.000
1,2:01,,,BUF 15,7,10,Greg Zuerlein kicks extra point good,0.000,0.000
1,2:01,,,NYJ 35,7,10,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
1,2:01,1,10,BUF 30,7,10,Josh Allen pass incomplete short right,0.940,0.390
