Quarter,Time,Down,ToGo,Location,CIN,NYG,Detail,EPB,EPA
,,,,,,,Bengals won the coin toss Bengals to receive the opening kickoff.,,
1,15:00,,,NYG 35,0,0,Greg Joseph kicks off 65 yards returned by Charlie Jones for 31 yards (tackle by Ty Summers and Dane Belton),0.000,1.000
1,14:54,1,10,CIN 31,0,0,Chase Brown right end for 4 yards (tackle by Brian Burns),1.000,1.000
1,14:23,2,6,CIN 35,0,0,Joe Burrow pass incomplete short left intended for Chase Brown (defended by Bobby Okereke),1.000,0.300
1,14:20,3,6,CIN 35,0,0,Joe Burrow scrambles up the middle for 10 yards (tackle by Tyler Nubin),0.300,1.930
1,13:49,1,10,CIN 45,0,0,Zack Moss left guard for 5 yards (tackle by Dexter Lawrence and Rakeem Nunez-Roches),1.930,2.060
1,13:13,2,5,CIN 50,0,0,Joe Burrow pass complete short left to Tee Higgins for 11 yards (tackle by Deonte Banks),2.060,2.980
1,12:34,1,10,NYG 39,0,0,Joe Burrow pass incomplete short right,2.980,2.440
1,12:26,2,10,NYG 39,0,0,Joe Burrow sacked by Brian Burns for -8 yards,2.440,0.700
1,11:41,,,,,,Timeout #1 by Cincinnati Bengals,,
1,11:41,3,18,NYG 47,6,0,Joe Burrow scrambles right end for 47 yards touchdown,0.700,7.000
1,11:32,,,NYG 15,7,0,Evan McPherson kicks extra point good,0.000,0.000
1,11:32,,,CIN 35,7,0,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
1,11:32,1,10,NYG 30,7,0,Daniel Jones pass complete short left to Darius Slayton for 11 yards (tackle by Cam Taylor-Britt),0.940,1.660
1,10:54,1,10,NYG 41,7,0,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson,1.660,1.120
1,10:51,2,10,NYG 41,7,0,Daniel Jones pass incomplete short right,1.120,0.430
1,10:46,3,10,NYG 41,7,0,Daniel Jones pass complete short left to Jalin Hyatt for 6 yards (tackle by Cam Taylor-Britt),0.430,-0.260
1,10:04,4,3,NYG 47,7,0,Matt Haack punts 47 yards returned by Charlie Jones for no gain (tackle by Casey Kreiter). Penalty on Maema Njongmeta: Offensive Holding 3 yards (accepted),-0.260,0.380
1,9:50,1,10,CIN 3,7,0,Zack Moss left tackle for 1 yard (tackle by Deonte Banks and Brian Burns),-0.380,-0.710
1,9:18,2,9,CIN 4,7,0,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Andru Phillips and Dane Belton),-0.710,-0.370
1,8:34,3,1,CIN 12,7,0,Joe Burrow pass incomplete deep left,-0.370,-2.490
1,8:25,,,,,,Timeout #1 by New York Giants,,
1,8:25,4,1,CIN 12,7,0,Ryan Rehkow punts 55 yards returned by Ihmir Smith-Marsette for no gain (tackle by Tycen Anderson),-2.490,-1.140
1,8:16,1,10,NYG 33,7,0,Tyrone Tracy up the middle for 2 yards (tackle by B.J. Hill and Sheldon Rankins),1.140,0.860
1,7:44,2,8,NYG 35,7,0,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson (defended by Sam Hubbard),0.860,0.170
1,7:39,3,8,NYG 35,7,0,Daniel Jones sacked by Germaine Pratt for no gain. Penalty on DJ Turner: Defensive Holding 5 yards (accepted) (no play),0.170,1.600
1,7:26,1,10,NYG 40,7,0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 7 yards (tackle by Logan Wilson),1.600,2.000
1,6:40,2,3,NYG 47,7,0,Tyrone Tracy right tackle for 1 yard (tackle by Sam Hubbard),2.000,1.420
1,5:57,3,2,NYG 48,7,0,Daniel Jones pass complete short right to Darius Slayton for 9 yards (tackle by Mike Hilton),1.420,2.720
1,5:22,1,10,CIN 43,7,0,Daniel Jones pass complete short left to Tyrone Tracy for 14 yards (tackle by Cam Taylor-Britt and Geno Stone),2.720,3.640
1,4:41,1,10,CIN 29,7,0,Daniel Jones pass complete short middle to Wan'Dale Robinson for 15 yards (tackle by Logan Wilson),3.640,4.650
1,4:04,1,10,CIN 14,7,0,Daniel Jones pass short middle is intercepted by Germaine Pratt at CIN-3 and returned for 24 yards (tackle by Jermaine Eluemunor and Daniel Bellinger),4.650,-0.740
1,3:45,1,10,CIN 27,7,0,Joe Burrow pass complete short right to Chase Brown for 11 yards (tackle by Tyler Nubin and Jason Pinnock),0.740,1.470
1,3:11,1,10,CIN 38,7,0,Chase Brown right guard for 7 yards (tackle by Tyler Nubin),1.470,1.870
1,2:31,2,3,CIN 45,7,0,Joe Burrow pass incomplete short right intended for Erick All (defended by Boogie Basham),1.870,1.160
1,2:25,3,3,CIN 45,7,0,Joe Burrow pass complete short middle to Tee Higgins for 6 yards (tackle by Deonte Banks),1.160,2.320
1,1:54,1,10,NYG 49,7,0,Chase Brown left end for no gain (tackle by Bobby Okereke),2.320,1.780
1,1:15,2,10,NYG 49,7,0,Zack Moss up the middle for 7 yards (tackle by Bobby Okereke and Andru Phillips),1.780,2.020
1,0:41,3,3,NYG 42,7,0,Zack Moss right guard for -4 yards (tackle by Brian Burns),2.020,0.200
2,15:00,4,7,NYG 46,7,0,Ryan Rehkow punts 32 yards fair catch by Ihmir Smith-Marsette at NYG-14,0.200,0.280
2,14:53,1,10,NYG 14,7,0,Daniel Jones up the middle for 13 yards (tackle by Vonn Bell),-0.280,0.740
2,14:15,1,10,NYG 27,7,0,Daniel Jones sacked by Trey Hendrickson for -9 yards,0.740,-1.120
2,13:37,2,19,NYG 18,7,0,Daniel Jones up the middle for 11 yards (tackle by Germaine Pratt),-1.120,-0.230
2,12:55,3,8,NYG 29,7,0,Daniel Jones pass incomplete deep left intended for Wan'Dale Robinson,-0.230,-1.440
2,12:48,4,8,NYG 29,7,0,Matt Haack punts 55 yards returned by Charlie Jones for 14 yards (tackle by Casey Kreiter and Dante Miller),-1.440,-0.940
2,12:35,1,10,CIN 30,7,0,Joe Burrow pass incomplete short middle. Penalty on Joe Burrow: Intentional Grounding 14 yards (accepted),0.940,-1.650
2,12:26,2,24,CIN 16,7,0,Joe Burrow pass complete short right to Zack Moss for 2 yards (tackle by Rakeem Nunez-Roches and Deonte Banks),-1.650,-2.120
2,11:46,3,22,CIN 18,7,0,Joe Burrow pass complete short left to Ja'Marr Chase for 11 yards (tackle by Bobby Okereke),-2.120,-1.440
2,11:13,4,11,CIN 29,7,0,Ryan Rehkow punts 55 yards returned by Ihmir Smith-Marsette for 1 yard (tackle by Tycen Anderson),-1.440,0.060
2,11:01,1,10,NYG 17,7,0,Eric Gray left guard for 3 yards (tackle by Jordan Battle),-0.060,-0.060
2,10:23,2,7,NYG 20,7,0,Eric Gray left tackle for 4 yards (tackle by Jordan Battle and Logan Wilson),-0.060,-0.370
2,9:43,3,3,NYG 24,7,0,Daniel Jones scrambles right end for 4 yards (tackle by DJ Turner and Logan Wilson),-0.370,0.810
2,8:54,1,10,NYG 28,7,0,Daniel Jones pass complete short right to Tyrone Tracy for 12 yards (tackle by Logan Wilson and Jordan Battle),0.810,1.600
2,8:16,1,10,NYG 40,7,0,Daniel Jones pass incomplete deep right intended for Darius Slayton,1.600,1.050
2,8:09,2,10,NYG 40,7,0,Daniel Jones pass complete short middle to Daniel Bellinger for no gain (tackle by Geno Stone and Germaine Pratt). Penalty on Daniel Bellinger: Illegal Shift 5 yards (accepted) (no play),1.050,0.380
2,7:43,2,15,NYG 35,7,0,Tyrone Tracy left tackle for no gain (tackle by Mike Hilton),0.380,-0.300
2,7:03,3,15,NYG 35,7,0,Daniel Jones scrambles right end for 10 yards (tackle by Geno Stone and B.J. Hill),-0.300,-0.390
2,6:27,4,5,NYG 45,7,0,Matt Haack punts 43 yards fair catch by Charlie Jones at CIN-12,-0.390,0.350
2,6:19,1,10,CIN 12,7,0,Chase Brown up the middle for 4 yards (tackle by Brian Burns and Bobby Okereke),-0.350,-0.370
2,5:40,2,6,CIN 16,7,0,Joe Burrow pass complete short right to Tee Higgins for 24 yards (tackle by Jason Pinnock),-0.370,1.600
2,4:57,1,10,CIN 40,7,0,Joe Burrow pass complete short right to Tee Higgins for 7 yards (tackle by Micah McFadden),1.600,2.000
2,4:17,2,3,CIN 47,7,0,Chase Brown left end for -2 yards (tackle by Tyler Nubin and Cordale Flott),2.000,1.030
2,3:35,3,5,CIN 45,7,0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,1.030,-0.390
2,3:25,4,5,CIN 45,7,0,Ryan Rehkow punts 46 yards,-0.390,0.380
2,3:14,1,10,NYG 9,7,0,Daniel Jones pass complete short middle to Darius Slayton for no gain (tackle by Geno Stone). Penalty on Andrew Thomas: Ineligible Downfield Pass 4 yards (accepted) (no play),-0.380,-0.530
2,2:46,1,14,NYG 5,7,0,Daniel Jones pass incomplete deep left intended for Jalin Hyatt,-0.530,-1.070
2,2:40,2,14,NYG 5,7,0,Daniel Jones pass incomplete short right intended for Darius Slayton,-1.070,-1.890
2,2:37,3,14,NYG 5,7,0,Daniel Jones pass complete short right to Tyrone Tracy for 7 yards (tackle by Logan Wilson),-1.890,-2.490
2,2:00,4,7,NYG 12,7,0,Matt Haack punts 42 yards returned by Charlie Jones for -1 yards (tackle by Nick McCloud),-2.490,-1.930
2,1:50,1,10,CIN 45,7,0,Joe Burrow sacked by Azeez Ojulari for -1 yards,1.930,1.250
2,1:13,2,11,CIN 44,7,0,Joe Burrow pass complete short middle to Andrei Iosivas for 7 yards (tackle by Tyler Nubin),1.250,1.490
2,0:35,3,4,NYG 49,7,0,Joe Burrow sacked by Azeez Ojulari for -8 yards,1.490,-0.520
2,0:29,,,,,,Timeout #2 by New York Giants,,
2,0:29,4,12,CIN 43,7,0,Ryan Rehkow punts 57 yards touchback.,-0.520,-0.280
2,0:21,1,10,NYG 20,7,0,Daniel Jones kneels for -1 yards,0.280,-0.460
3,15:00,,,CIN 35,7,0,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYG 30,7,0,Daniel Jones pass incomplete short left intended for Darius Slayton,0.940,0.390
3,14:55,2,10,NYG 30,7,0,Tyrone Tracy left end for no gain (tackle by B.J. Hill),0.390,-0.300
3,14:17,3,10,NYG 30,7,0,Daniel Jones pass complete short right to Theo Johnson for 8 yards (tackle by DJ Turner). Penalty on Andrew Thomas: Illegal Formation 5 yards (declined),-0.300,-0.850
3,13:58,4,2,NYG 38,7,0,Daniel Jones pass incomplete short middle intended for Wan'Dale Robinson (defended by Mike Hilton),-0.850,-3.050
3,13:53,1,10,NYG 38,7,0,Zack Moss left guard for 3 yards (tackle by Dexter Lawrence),3.050,2.910
