Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss Cowboys to receive the opening kickoff.,,
1,15:00,,,DET 35,0,0,Jake Bates kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DAL 30,0,0,Rico Dowdle right tackle for 1 yard (tackle by Alex Anzalone and Alim McNeill),0.940,0.530
1,14:28,2,9,DAL 31,0,0,Dak Prescott pass complete short right to Rico Dowdle for 15 yards (tackle by Brian Branch),0.530,1.990
1,14:06,1,10,DAL 46,0,0,Dak Prescott pass complete short right to CeeDee Lamb for 27 yards (tackle by Brian Branch),1.990,3.780
1,13:25,1,10,DET 27,0,0,CeeDee Lamb left tackle for 2 yards (tackle by Amik Robertson and Jack Campbell),3.780,3.500
1,12:54,2,8,DET 25,0,0,Dak Prescott pass complete short left to Rico Dowdle for 2 yards (tackle by Jack Campbell),3.500,3.070
1,12:19,3,6,DET 23,0,0,Dak Prescott pass deep middle is intercepted by Kerby Joseph at DET-6 and returned for no gain (tackle by Tyler Smith). Penalty on Alex Anzalone: Defensive Holding 5 yards (accepted) (no play),3.070,4.370
1,12:08,1,10,DET 18,0,0,Dak Prescott pass complete short right to CeeDee Lamb for 2 yards (tackle by Levi Onwuzurike),4.370,4.090
1,11:34,2,8,DET 16,0,0,Dak Prescott pass incomplete deep right intended for CeeDee Lamb (defended by Carlton Davis),4.090,3.300
1,11:28,3,8,DET 16,0,0,Dak Prescott pass incomplete short right. Penalty on Zack Martin: Offensive Holding 10 yards (declined),3.300,2.380
1,11:24,4,8,DET 16,0,3,Brandon Aubrey 34 yard field goal good,2.380,3.000
1,11:21,,,DAL 35,0,3,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
1,11:21,1,10,DET 30,0,3,David Montgomery left end for 5 yards (tackle by Trevon Diggs),0.940,1.070
1,10:44,2,5,DET 35,0,3,Jared Goff pass incomplete short right intended for Jahmyr Gibbs,1.070,0.370
1,10:41,3,5,DET 35,0,3,Jared Goff pass complete deep right to Tim Patrick for 42 yards (tackle by Amani Oruwariye),0.370,4.040
1,9:56,1,10,DAL 23,0,3,David Montgomery right tackle for 7 yards (tackle by Donovan Wilson and Osa Odighizuwa),4.040,4.560
1,9:13,2,3,DAL 16,6,3,David Montgomery left guard for 16 yards touchdown,4.560,7.000
1,9:06,,,DAL 15,7,3,Jake Bates kicks extra point good,0.000,0.000
1,9:06,,,DET 35,7,3,Jake Bates kicks off 65 yards touchback.,0.000,0.940
1,9:06,1,10,DAL 30,7,3,Dak Prescott pass complete short left to CeeDee Lamb for 8 yards (tackle by Terrion Arnold),0.940,1.470
1,8:33,2,2,DAL 38,7,3,Dak Prescott pass complete deep left to Jalen Tolbert for 26 yards (tackle by Terrion Arnold),1.470,3.180
1,8:06,1,10,DET 36,7,3,Ezekiel Elliott left guard for 3 yards (tackle by Kyle Peko and Aidan Hutchinson),3.180,3.040
1,7:33,2,7,DET 33,7,3,Dak Prescott sacked by Aidan Hutchinson for no gain. Penalty on Jack Campbell: Defensive Holding 5 yards (accepted) (no play),3.040,3.710
1,7:31,1,10,DET 28,7,3,Ezekiel Elliott right tackle for 1 yard (tackle by Jack Campbell and Aidan Hutchinson),3.710,3.300
1,6:55,2,9,DET 27,7,3,Ezekiel Elliott left tackle for 3 yards (tackle by D.J. Reader),3.300,3.010
1,6:22,3,6,DET 24,7,3,Dak Prescott pass complete short middle to KaVontae Turpin for 12 yards (tackle by Amik Robertson),3.010,4.780
1,5:46,1,10,DET 12,7,3,Ezekiel Elliott up the middle for -1 yards (tackle by Josh Paschal),4.780,3.940
1,5:17,2,11,DET 13,7,3,Dak Prescott pass complete short right to Jake Ferguson for 6 yards (tackle by Amik Robertson),3.940,4.160
1,4:44,3,5,DET 7,7,3,Dak Prescott pass short left intended for CeeDee Lamb is intercepted by Brian Branch in end zone and returned for no gain,4.160,-0.280
