Quarter,Time,Down,ToGo,Location,HOU,NWE,Detail,EPB,EPA
,,,,,,,Patriots won the coin toss and deferred Texans to receive the opening kickoff.,,
1,15:00,,,NWE 35,0,0,Joey Slye kicks off 65 yards touchback.. Penalty on Sione Takitaki: Illegal Formation 5 yards (accepted),0.000,1.270
1,15:00,1,10,HOU 35,0,0,Joe Mixon up the middle for 3 yards (tackle by Deatrich Wise),1.270,1.130
1,14:25,2,7,HOU 38,0,0,C.J. Stroud pass complete short middle to Dalton Schultz for 8 yards (tackle by Anfernee Jennings),1.130,1.990
1,13:40,1,10,HOU 46,0,0,C.J. Stroud pass complete deep middle to Tank Dell for 20 yards (tackle by Kyle Dugger),1.990,3.310
1,13:19,1,10,NWE 34,0,0,C.J. Stroud pass complete short right to Stefon Diggs for 11 yards (tackle by Christian Gonzalez),3.310,4.040
1,12:49,1,10,NWE 23,0,0,Joe Mixon left guard for 2 yards (tackle by Davon Godchaux and Anfernee Jennings),4.040,3.770
1,12:12,2,8,NWE 21,0,0,Joe Mixon left end for 3 yards (tackle by Kyle Dugger),3.770,3.490
1,11:31,3,5,NWE 18,0,0,C.J. Stroud pass complete short right to Stefon Diggs for 13 yards,3.490,6.060
1,10:50,1,5,NWE 5,0,0,Joe Mixon left tackle for no gain (tackle by Jaquelin Roy),6.060,5.150
1,10:08,2,5,NWE 5,0,0,C.J. Stroud pass incomplete short middle intended for Joe Mixon,5.150,4.260
1,10:04,3,5,NWE 5,0,0,C.J. Stroud pass incomplete short right intended for Tank Dell. Penalty on Marte Mapu: Defensive Pass Interference 4 yards (accepted) (no play),4.260,6.970
1,9:59,1,1,NWE 1,0,0,Joe Mixon left guard for -1 yards (tackle by Jaylinn Hawkins and Jahlani Tavai),6.970,5.720
1,9:18,2,2,NWE 2,6,0,C.J. Stroud pass complete short right to Tank Dell for 2 yards touchdown,5.720,7.000
1,9:13,,,NWE 15,7,0,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,9:13,,,HOU 35,7,0,Ka'imi Fairbairn kicks off 62 yards returned by Jamycal Hasty for 20 yards (tackle by M.J. Stewart and Neville Hewitt),0.000,0.480
1,9:08,1,10,NWE 23,7,0,Antonio Gibson up the middle for no gain (tackle by Folorunso Fatukasi and Henry To'oTo'o),0.480,-0.070
1,8:32,2,10,NWE 23,7,0,Antonio Gibson left guard for 1 yard (tackle by Mario Edwards and Danielle Hunter),-0.070,-0.630
1,7:48,3,9,NWE 24,7,0,Drake Maye pass incomplete deep left intended for Ja'Lynn Polk,-0.630,-1.770
1,7:43,4,9,NWE 24,7,0,Bryce Baringer punts 40 yards returned by Steven Sims for 19 yards (tackle by Curtis Jacobs),-1.770,-2.590
1,7:34,1,10,NWE 45,7,0,C.J. Stroud pass incomplete short right intended for Tank Dell,2.590,2.040
1,7:31,2,10,NWE 45,7,0,Joe Mixon up the middle for 4 yards (tackle by Davon Godchaux),2.040,1.880
1,6:47,3,6,NWE 41,7,0,C.J. Stroud pass complete short right to Tank Dell for 12 yards (tackle by Marcus Jones),1.880,3.640
1,6:07,1,10,NWE 29,7,0,Joe Mixon left guard for 4 yards (tackle by Davon Godchaux),3.640,3.640
1,5:28,2,6,NWE 25,7,0,C.J. Stroud scrambles left end for 8 yards (tackle by Raekwon McMillan),3.640,4.440
1,4:43,1,10,NWE 17,7,0,Joe Mixon right guard for 2 yards (tackle by Davon Godchaux and Jahlani Tavai),4.440,4.150
1,4:02,2,8,NWE 15,7,0,Joe Mixon up the middle for -1 yards (tackle by Kyle Dugger),4.150,3.190
1,3:22,3,9,NWE 16,7,0,C.J. Stroud pass incomplete short middle intended for Tank Dell. Penalty on Marcus Jones: Defensive Pass Interference 6 yards (accepted) (no play),3.190,4.910
1,3:18,1,10,NWE 10,13,0,C.J. Stroud pass complete short left to Joe Mixon for 10 yards touchdown,4.910,7.000
1,3:13,,,NWE 15,14,0,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,3:13,,,HOU 35,14,0,Ka'imi Fairbairn kicks off 64 yards returned by Jamycal Hasty for 29 yards (tackle by Calen Bullock),0.000,0.940
1,3:07,1,10,NWE 30,14,0,Drake Maye pass complete short right to Kendrick Bourne for 8 yards (tackle by Henry To'oTo'o),0.940,1.470
1,2:33,2,2,NWE 38,14,0,Antonio Gibson left tackle for -1 yards (tackle by Will Anderson and Mario Edwards),1.470,0.630
1,1:52,3,3,NWE 37,14,0,Drake Maye pass deep left intended for Demario Douglas is intercepted by Calen Bullock at HOU-45 and returned for 28 yards (tackle by Drake Maye),0.630,-3.780
1,1:39,1,10,NWE 27,14,0,C.J. Stroud pass complete short left to Stefon Diggs for 5 yards (tackle by Christian Gonzalez),3.780,3.910
1,1:00,2,5,NWE 22,14,0,Dameon Pierce left tackle for no gain (tackle by Keion White and Jaquelin Roy),3.910,3.200
1,0:14,3,5,NWE 22,14,0,C.J. Stroud pass incomplete short right intended for Tank Dell. Penalty on Stefon Diggs: Illegal Shift 5 yards (accepted) (no play),3.200,2.540
2,15:00,3,10,NWE 27,14,0,C.J. Stroud pass complete short left to Stefon Diggs for no gain (tackle by Christian Gonzalez). Penalty on Deatrich Wise: Defensive Offside 5 yards (accepted) (no play),2.540,3.200
2,14:40,3,5,NWE 22,14,0,C.J. Stroud pass incomplete short left,3.200,2.040
2,14:33,4,5,NWE 22,14,0,Ka'imi Fairbairn 40 yard field goal no good,2.040,-0.940
