Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
,,,,,,,Colts won the coin toss Colts to receive the opening kickoff.,,
1,15:00,,,TEN 35,0,0,Nick Folk kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,IND 30,0,0,Joe Flacco pass incomplete deep left intended for Kylen Granson,0.940,0.390
1,14:54,2,10,IND 30,0,0,Joe Flacco pass complete short right to Michael Pittman for 9 yards (tackle by L'Jarius Sneed and Ernest Jones),0.390,0.890
1,14:16,3,1,IND 39,0,0,Trey Sermon right guard for 4 yards (tackle by Ernest Jones),0.890,1.800
1,13:53,1,10,IND 43,0,0,Joe Flacco pass complete short left to Josh Downs for 5 yards (tackle by Quandre Diggs),1.800,1.930
1,13:17,2,5,IND 48,0,0,Trey Sermon left tackle for 3 yards (tackle by Ernest Jones and Arden Key),1.930,1.620
1,12:38,3,2,TEN 49,0,0,Trey Sermon right tackle for 5 yards (tackle by Quandre Diggs),1.620,2.650
1,12:00,1,10,TEN 44,0,0,Joe Flacco pass incomplete deep right intended for Alec Pierce,2.650,2.110
1,11:55,2,10,TEN 44,0,0,Joe Flacco pass incomplete deep right intended for Ashton Dulin,2.110,1.420
1,11:50,3,10,TEN 44,0,0,Joe Flacco pass complete deep middle to Mo Alie-Cox for 22 yards (tackle by Quandre Diggs and Amani Hooker),1.420,4.110
1,11:23,1,10,TEN 22,6,0,Joe Flacco pass complete deep left to Josh Downs for 22 yards touchdown,4.110,7.000
1,11:17,,,TEN 15,7,0,Matt Gay kicks extra point good,0.000,0.000
1,11:17,,,IND 35,7,0,Matt Gay kicks off 65 yards touchback.,0.000,0.610
1,11:17,1,10,TEN 25,7,0,Tony Pollard left tackle for 8 yards (tackle by Jaylon Carlies),0.610,1.140
1,10:44,2,2,TEN 33,7,0,Will Levis pass complete short right to Tony Pollard for -2 yards (tackle by Zaire Franklin and E.J. Speed),1.140,0.170
1,10:00,3,4,TEN 31,7,0,Will Levis pass complete short left to Chigoziem Okonkwo for 1 yard (tackle by Jaylon Jones),0.170,-1.240
1,9:22,4,3,TEN 32,7,0,Ryan Stonehouse punts 47 yards returned by Josh Downs for 15 yards (tackle by Mike Brown),-1.240,-1.330
1,9:10,1,10,IND 36,7,0,Trey Sermon right tackle for no gain (tackle by Kenneth Murray and Harold Landry),1.330,0.790
1,8:29,2,10,IND 36,7,0,Joe Flacco pass deep middle intended for Michael Pittman is intercepted by Amani Hooker at TEN-43 and returned for 30 yards (tackle by Trey Sermon),0.790,-3.780
1,8:22,1,10,IND 27,7,0,Will Levis pass complete short left to Tyler Boyd for 8 yards (tackle by Jaylon Jones),3.780,4.350
1,7:39,2,2,IND 19,7,0,Tony Pollard left tackle for 10 yards (tackle by Nick Cross),4.350,5.140
1,6:55,,,,,,Timeout #1 by Tennessee Titans,,
1,6:55,1,9,IND 9,7,6,Will Levis pass complete short right to Nick Westbrook-Ikhine for 9 yards touchdown,5.140,7.000
1,6:51,,,IND 15,7,7,Nick Folk kicks extra point good,0.000,0.000
1,6:51,,,TEN 35,7,7,Nick Folk kicks off 65 yards touchback.,0.000,0.940
1,6:51,1,10,IND 30,7,7,Joe Flacco pass complete short left to Tyler Goodson for -6 yards (tackle by Kenneth Murray),0.940,-0.420
1,6:03,2,16,IND 24,7,7,Joe Flacco pass incomplete deep left,-0.420,-1.090
1,6:00,3,16,IND 24,7,7,Joe Flacco pass complete short right to Tyler Goodson for 7 yards (tackle by Ernest Jones and T'Vondre Sweat),-1.090,-1.310
1,5:21,4,9,IND 31,7,7,Rigoberto Sanchez punts 49 yards returned by Jha'Quan Jackson for -2 yards (tackle by Ashton Dulin),-1.310,-0.040
1,5:11,1,10,TEN 18,7,7,Will Levis scrambles up the middle for 3 yards (tackle by Kenny Moore),0.040,0.010
1,4:28,2,7,TEN 21,7,7,Tyjae Spears right end for 10 yards (tackle by Nick Cross and Kenny Moore),0.010,1.000
1,3:46,1,10,TEN 31,7,7,Tyjae Spears left guard for 3 yards (tackle by Jaylon Jones and Jaylon Carlies),1.000,0.870
1,3:00,2,7,TEN 34,7,7,Will Levis pass complete short left to DeAndre Hopkins for 8 yards (tackle by Jaylon Jones),0.870,1.730
1,2:18,1,10,TEN 42,7,7,Tyjae Spears left guard for 3 yards (tackle by Taven Bryan),1.730,1.590
1,1:38,2,7,TEN 45,7,7,Will Levis scrambles left end for 7 yards (tackle by Jaylon Jones),1.590,2.390
1,0:43,1,10,IND 48,7,7,Tony Pollard left guard for 1 yard (tackle by Adam Gotsis and Jaylon Jones),2.390,1.980
2,15:00,2,9,IND 47,7,7,Penalty on Leroy Watson: False Start 5 yards (accepted) (no play),1.980,1.310
2,15:00,2,14,TEN 48,7,7,Will Levis pass incomplete short left intended for Calvin Ridley (defended by Grover Stewart),1.310,0.630
2,14:56,3,14,TEN 48,7,7,Will Levis pass incomplete deep left intended for DeAndre Hopkins. Penalty on Jaylon Jones: Illegal Contact 5 yards (accepted) (no play),0.630,2.460
2,14:50,1,10,IND 47,7,7,Tyjae Spears right tackle for 6 yards (tackle by Jaylon Carlies and Grover Stewart),2.460,2.720
2,14:07,2,4,IND 41,7,7,Tyjae Spears right end for 1 yard (tackle by Grover Stewart),2.720,2.150
2,13:36,3,3,IND 40,7,7,Tony Pollard up the middle for 7 yards (tackle by E.J. Speed),2.150,3.380
2,12:53,1,10,IND 33,7,7,Tony Pollard right tackle for 3 yards (tackle by Zaire Franklin),3.380,3.240
2,12:02,2,7,IND 30,7,7,Tony Pollard up the middle for 4 yards (tackle by Nick Cross and Zaire Franklin),3.240,3.070
2,11:20,3,3,IND 26,7,7,Will Levis pass incomplete deep right intended for Calvin Ridley (defended by Raekwon Davis),3.070,1.840
2,11:13,4,3,IND 26,7,10,Nick Folk 44 yard field goal good,1.840,3.000
2,11:09,,,TEN 35,7,10,Nick Folk kicks off 67 yards returned by Tyler Goodson for 27 yards (tackle by Darrell Baker). Penalty on Grant Stuard: Offensive Holding 10 yards (accepted),0.000,-0.220
2,11:02,1,10,IND 15,7,10,Trey Sermon right guard for 4 yards (tackle by Kenneth Murray),-0.220,-0.110
2,10:27,2,6,IND 19,7,10,Trey Sermon left tackle for -1 yards (tackle by Jeffery Simmons),-0.110,-1.000
2,9:48,3,7,IND 18,7,10,Joe Flacco pass complete short left to Andrew Ogletree for 22 yards (tackle by Amani Hooker),-1.000,1.600
2,9:13,1,10,IND 40,7,10,Trey Sermon left guard for no gain (tackle by Jeffery Simmons),1.600,1.050
2,8:38,2,10,IND 40,7,10,Joe Flacco pass incomplete short right intended for Alec Pierce (defended by Jarvis Brownlee),1.050,0.370
2,8:25,3,10,IND 40,7,10,Joe Flacco pass complete short right to Adonai Mitchell for no gain (tackle by Jarvis Brownlee),0.370,-0.720
2,7:42,4,10,IND 40,7,10,Rigoberto Sanchez punts 60 yards touchback.,-0.720,-0.280
2,7:35,1,10,TEN 20,7,10,Will Levis pass complete short left to Tony Pollard for -4 yards (tackle by Nick Cross),0.280,-0.940
2,6:51,2,14,TEN 16,7,10,Will Levis pass complete deep left to DeAndre Hopkins for 23 yards (tackle by Julian Blackmon),-0.940,1.530
2,6:12,1,10,TEN 39,7,10,Tony Pollard for no gain. Penalty on Peter Skoronski: Offensive Holding 10 yards (accepted) (no play),1.530,0.870
2,5:38,1,20,TEN 29,7,10,Will Levis pass incomplete short right intended for Nick Westbrook-Ikhine,0.870,-0.360
2,5:33,,,,,,Timeout #2 by Tennessee Titans,,
2,5:33,2,20,TEN 29,7,10,Will Levis scrambles up the middle for 5 yards (tackle by Kwity Paye),-0.360,-0.360
2,4:43,3,15,TEN 34,7,10,Penalty on Will Levis: Delay of Game 5 yards (accepted) (no play),-0.360,-1.020
2,4:28,3,20,TEN 29,7,10,Will Levis pass complete short middle to DeAndre Hopkins for 7 yards (tackle by Zaire Franklin),-1.020,-0.980
2,3:50,4,13,TEN 36,7,10,Ryan Stonehouse punts 58 yards returned by Josh Downs for 23 yards (tackle by Josh Whyle and Luke Gifford),-0.980,-0.870
2,3:39,1,10,IND 29,7,10,Trey Sermon up the middle for 11 yards (tackle by Quandre Diggs and Ernest Jones),0.870,1.600
2,3:14,1,10,IND 40,7,10,Trey Sermon left guard for -3 yards (tackle by Harold Landry),1.600,0.650
2,2:31,2,13,IND 37,7,10,Joe Flacco pass short middle is intercepted by Kenneth Murray at IND-48 and returned for no gain (tackle by Dalton Tucker). Penalty on Amani Hooker: Defensive Pass Interference 14 yards (accepted) (no play),0.650,2.320
