Quarter,Time,Down,ToGo,Location,JAX,CHI,Detail,EPB,EPA
,,,,,,,Jaguars won the coin toss and deferred Bears to receive the opening kickoff.,,
1,15:00,,,JAX 35,0,0,Cam Little kicks off 65 yards touchback.. Penalty on Daniel Hardy: Illegal Formation 5 yards (accepted),0.000,0.610
1,15:00,1,10,CHI 25,0,0,D'Andre Swift right tackle for 2 yards (tackle by Montaric Brown and Ventrell Miller),0.610,0.330
1,14:23,2,8,CHI 27,0,0,D'Andre Swift left end for 3 yards (tackle by Chad Muma),0.330,0.040
1,13:46,3,5,CHI 30,0,0,Caleb Williams sacked by Roy Robertson-Harris for -1 yards,0.040,-1.440
1,13:04,4,6,CHI 29,0,0,Tory Taylor punts 64 yards returned by Parker Washington for 14 yards (tackle by Tarvarius Moore),-1.440,-0.340
1,12:49,1,10,JAX 21,0,0,Trevor Lawrence pass complete short left to Brian Thomas for 8 yards (tackle by Jaylon Jones),0.340,0.880
1,12:25,2,2,JAX 29,0,0,Travis Etienne up the middle for no gain (tackle by Kyler Gordon),0.880,0.170
1,11:35,3,2,JAX 29,0,0,Trevor Lawrence pass complete short right to Gabriel Davis for 5 yards (tackle by Jaylon Johnson),0.170,1.200
1,10:59,1,10,JAX 34,0,0,Tank Bigsby left end for 2 yards (tackle by DeMarcus Walker and Montez Sweat),1.200,0.930
1,10:20,2,8,JAX 36,0,0,Trevor Lawrence pass complete short left to Evan Engram for 14 yards (tackle by T.J. Edwards and Tremaine Edmunds),0.930,2.260
1,9:37,1,10,CHI 50,0,0,Trevor Lawrence scrambles right end for 10 yards (tackle by Jaylon Jones),2.260,2.920
1,8:56,1,10,CHI 40,0,0,Trevor Lawrence pass complete short left to Brian Thomas for 13 yards (tackle by Austin Booker and Elijah Hicks),2.920,3.780
1,8:18,1,10,CHI 27,0,0,Tank Bigsby left tackle for 8 yards (tackle by Byron Cowart and Tremaine Edmunds),3.780,4.350
1,7:36,2,2,CHI 19,0,0,Tank Bigsby left tackle for 1 yard (tackle by Gervon Dexter),4.350,3.840
1,6:58,3,1,CHI 18,0,0,Penalty on Walker Little: False Start 4 yards (accepted) (no play),3.840,3.200
1,6:31,3,5,CHI 22,0,0,Trevor Lawrence pass complete short middle to Christian Kirk for 14 yards (tackle by Jaylon Jones and Kevin Byard),3.200,5.370
1,5:49,1,8,CHI 8,0,0,Penalty on Gabriel Davis: False Start 5 yards (accepted) (no play),5.370,4.530
