Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
,,,,,,,Chargers won the coin toss and deferred Broncos to receive the opening kickoff.,,
1,15:00,,,LAC 35,0,0,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DEN 30,0,0,Javonte Williams right end for 1 yard (tackle by Cam Hart and Derwin James),0.940,0.530
1,14:28,2,9,DEN 31,0,0,Javonte Williams left tackle for 1 yard (tackle by Otito Ogbonnia and Denzel Perryman),0.530,-0.030
1,13:49,3,8,DEN 32,0,0,Bo Nix pass deep middle intended for Marvin Mims is intercepted by Elijah Molden at LAC-44 and returned for 25 yards (tackle by Quinn Meinerz),-0.030,-3.510
1,13:37,1,10,DEN 31,0,0,Justin Herbert pass complete short right to Ladd McConkey for 7 yards (tackle by Justin Strnad) Replay Assistant challenged the pass completion ruling and the original play was overturned. Justin Herbert pass incomplete short right intended for Ladd McConkey (defended by Patrick Surtain),3.510,2.970
1,13:33,2,10,DEN 31,0,0,Justin Herbert pass complete short right to Quentin Johnston for 8 yards (tackle by Riley Moss),2.970,3.340
1,12:46,3,2,DEN 23,0,0,Justin Herbert pass complete short middle to Quentin Johnston for 6 yards (tackle by Brandon Jones),3.340,4.440
1,12:16,1,10,DEN 17,0,0,Justin Herbert pass complete short middle to Derius Davis for 8 yards (tackle by Riley Moss),4.440,5.290
1,11:42,2,2,DEN 9,0,0,J.K. Dobbins up the middle for 4 yards (tackle by Jonathon Cooper),5.290,6.060
1,11:07,1,5,DEN 5,0,0,Justin Herbert pass incomplete short right,6.060,5.150
1,10:58,2,5,DEN 5,0,0,Justin Herbert pass complete short left to Ladd McConkey for no gain (tackle by P.J. Locke). Penalty on Josh Palmer: Offensive Pass Interference 10 yards (accepted) (no play),5.150,3.460
1,10:34,2,15,DEN 15,0,0,Justin Herbert pass complete short middle to J.K. Dobbins for 5 yards (tackle by Brandon Jones),3.460,3.130
1,9:50,3,10,DEN 10,0,0,Justin Herbert pass complete short right to Ladd McConkey for 8 yards (tackle by Brandon Jones),3.130,3.250
1,9:28,4,2,DEN 2,3,0,Cameron Dicker 20 yard field goal good,3.250,3.000
1,9:26,,,LAC 35,3,0,Cameron Dicker kicks off 62 yards returned by Tremon Smith for 31 yards (tackle by Elijah Molden),0.000,1.200
1,9:19,1,10,DEN 34,3,0,Bo Nix pass complete short left to Jaleel McLaughlin for 6 yards (tackle by Alohi Gilman),1.200,1.470
1,8:57,2,4,DEN 40,3,0,Jaleel McLaughlin left tackle for 3 yards (tackle by Teair Tart),1.470,1.160
1,8:30,3,1,DEN 43,3,0,Penalty on Garett Bolles: False Start 5 yards (accepted) (no play),1.160,0.500
1,8:10,3,6,DEN 38,3,0,Bo Nix pass incomplete short right,0.500,-0.850
