Quarter,Time,Down,ToGo,Location,PIT,LVR,Detail,EPB,EPA
,,,,,,,Raiders won the coin toss and deferred Steelers to receive the opening kickoff.,,
1,15:00,,,LVR 35,0,0,Daniel Carlson kicks off 62 yards returned by Jaylen Warren for 26 yards (tackle by Thomas Harper and Dylan Laube),0.000,0.870
1,14:54,1,10,PIT 29,0,0,Justin Fields pass complete short middle to Najee Harris for 11 yards (tackle by Tre'von Moehrig),0.870,1.600
1,14:22,1,10,PIT 40,0,0,Najee Harris up the middle for 13 yards (tackle by Divine Deablo and Isaiah Pola-Mao),1.600,2.460
1,13:49,1,10,LVR 47,0,0,Najee Harris right tackle for 1 yard (tackle by Charles Snowden and Adam Butler),2.460,2.050
1,13:22,2,9,LVR 46,0,0,Justin Fields pass complete short left to Pat Freiermuth for 8 yards (tackle by Robert Spillane and Nate Hobbs),2.050,2.410
1,12:42,3,1,LVR 38,0,0,Jaylen Warren left end for 1 yard (tackle by Charles Snowden and Nate Hobbs),2.410,3.120
1,12:06,1,10,LVR 37,0,0,Jaylen Warren right end for -2 yards (tackle by Tre'von Moehrig),3.120,2.300
1,11:32,2,12,LVR 39,0,0,Justin Fields pass complete short right to Jaylen Warren for -3 yards (tackle by Divine Deablo and Matthew Butler),2.300,1.220
1,11:00,3,15,LVR 42,0,0,Justin Fields pass complete short right to Jaylen Warren for 8 yards (tackle by Isaiah Pola-Mao),1.220,1.060
1,10:24,4,7,LVR 34,3,0,Chris Boswell 52 yard field goal good,1.060,3.000
1,10:19,,,PIT 35,3,0,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
1,10:19,1,10,LVR 30,3,0,Aidan O'Connell pass complete short left to Harrison Bryant for 8 yards (tackle by Patrick Queen and Jeremiah Moon),0.940,1.470
1,9:45,2,2,LVR 38,3,0,Alexander Mattison left guard for 4 yards (tackle by Patrick Queen and Larry Ogunjobi),1.470,1.730
1,9:03,1,10,LVR 42,3,0,Alexander Mattison up the middle for 7 yards (tackle by T.J. Watt and Elandon Roberts),1.730,2.130
1,8:26,2,3,LVR 49,3,0,Alexander Mattison up the middle for 3 yards (tackle by Patrick Queen and Cameron Heyward),2.130,2.390
1,7:46,1,10,PIT 48,3,0,Aidan O'Connell pass complete short middle to Brock Bowers for 10 yards (tackle by Joey Porter),2.390,3.050
1,7:05,1,10,PIT 38,3,0,Aidan O'Connell pass complete short left to Brock Bowers for 8 yards (tackle by DeShon Elliott),3.050,3.590
1,6:28,2,2,PIT 30,3,0,Alexander Mattison left end for 9 yards (tackle by Elandon Roberts),3.590,4.170
1,5:51,1,10,PIT 21,3,0,Aidan O'Connell pass complete short right to Alexander Mattison for 19 yards (tackle by Minkah Fitzpatrick),4.170,6.740
1,5:06,1,2,PIT 2,3,0,Alexander Mattison right guard for -1 yards (tackle by Elandon Roberts),6.740,5.530
1,4:28,2,3,PIT 3,3,6,Alexander Mattison up the middle for 3 yards touchdown,5.530,7.000
1,4:24,,,PIT 15,3,7,Daniel Carlson kicks extra point good,0.000,0.000
1,4:24,,,LVR 35,3,7,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
1,4:24,1,10,PIT 30,3,7,Penalty on Connor Heyward: False Start 5 yards (accepted) (no play),0.940,0.610
1,4:24,1,15,PIT 25,3,7,Najee Harris up the middle for -5 yards (tackle by Tre'von Moehrig and Jonah Laulu),0.610,-0.960
1,3:48,2,20,PIT 20,3,7,Justin Fields pass complete short middle to Pat Freiermuth for 8 yards (tackle by Robert Spillane and Divine Deablo),-0.960,-0.560
1,3:02,3,12,PIT 28,3,7,Justin Fields pass incomplete short right intended for George Pickens (defended by Jack Jones),-0.560,-1.500
1,2:57,4,12,PIT 28,3,7,Corliss Waitman punts 47 yards returned by Ameer Abdullah for no gain (tackle by Terrell Edmunds),-1.500,-0.610
1,2:48,1,10,LVR 25,3,7,Aidan O'Connell pass complete short right to Ameer Abdullah for -1 yards (tackle by Patrick Queen),0.610,-0.070
1,2:05,2,11,LVR 24,3,7,Aidan O'Connell pass incomplete short middle intended for Harrison Bryant (defended by Keeanu Benton),-0.070,-0.760
1,2:01,3,11,LVR 24,3,7,Ameer Abdullah up the middle for 7 yards (tackle by Terrell Edmunds),-0.760,-1.310
1,1:18,4,4,LVR 31,3,7,AJ Cole punts 43 yards out of bounds,-1.310,-0.670
1,1:12,1,10,PIT 26,3,7,Justin Fields pass incomplete deep left intended for George Pickens (defended by Jakorian Bennett),0.670,0.130
1,1:07,2,10,PIT 26,3,7,Justin Fields scrambles up the middle for 14 yards (tackle by Robert Spillane),0.130,1.600
1,0:33,1,10,PIT 40,3,7,Jaylen Warren up the middle for 2 yards (tackle by Robert Spillane and Nate Hobbs),1.600,1.320
2,15:00,2,8,PIT 42,3,7,Justin Fields scrambles left end for no gain (tackle by K'Lavon Chaisson). Penalty on Broderick Jones: Offensive Holding 10 yards (accepted) (no play),1.320,-0.030
2,14:43,2,18,PIT 32,3,7,Justin Fields pass complete short left to George Pickens for 15 yards (tackle by Jakorian Bennett),-0.030,1.290
2,14:02,3,3,PIT 47,3,7,Justin Fields pass complete short right to George Pickens for 7 yards (tackle by Jack Jones),1.290,2.520
2,13:19,1,10,LVR 46,3,7,Najee Harris left guard for 15 yards (tackle by Tre'von Moehrig and Jack Jones),2.520,3.510
2,12:35,1,10,LVR 31,3,7,Justin Fields pass incomplete deep left intended for George Pickens,3.510,2.970
2,12:29,2,10,LVR 31,3,7,Justin Fields pass incomplete short left intended for Pat Freiermuth,2.970,2.280
2,12:22,3,10,LVR 31,3,7,Justin Fields pass incomplete deep right intended for George Pickens,2.280,1.320
2,12:17,4,10,LVR 31,6,7,Chris Boswell 49 yard field goal good,1.320,3.000
2,12:12,,,PIT 35,6,7,Chris Boswell kicks off 66 yards returned by Ameer Abdullah for 31 yards (tackle by Jeremiah Moon),0.000,0.940
2,12:05,1,10,LVR 30,6,7,Aidan O'Connell pass incomplete short right,0.940,0.390
2,11:57,2,10,LVR 30,6,7,Aidan O'Connell pass complete short right to Brock Bowers for 7 yards (tackle by Elandon Roberts),0.390,0.630
2,11:14,3,3,LVR 37,6,7,Aidan O'Connell pass complete short middle to Harrison Bryant for 2 yards (tackle by DeShon Elliott),0.630,-0.780
2,10:34,4,1,LVR 39,6,7,AJ Cole punts 61 yards touchback.,-0.780,-0.280
