Quarter,Time,Down,ToGo,Location,TAM,NOR,Detail,EPB,EPA
,,,,,,,Buccaneers won the coin toss Buccaneers to receive the opening kickoff.,,
1,15:00,,,NOR 35,0,0,Blake Grupe kicks off 61 yards returned by Bucky Irving for 22 yards (tackle by Anfernee Orji and Jaylan Ford),0.000,0.670
1,14:56,1,10,TAM 26,0,0,Baker Mayfield pass complete short middle to Mike Evans for 12 yards (tackle by Paulson Adebo),0.670,1.470
1,14:18,1,10,TAM 38,0,0,Penalty on Tristan Wirfs: False Start 5 yards (accepted) (no play),1.470,1.140
1,13:55,1,15,TAM 33,0,0,Baker Mayfield pass complete short left to Chris Godwin for 8 yards (tackle by Marshon Lattimore),1.140,1.330
1,13:17,2,7,TAM 41,0,0,Bucky Irving left tackle for 2 yards (tackle by Willie Gay and Cameron Jordan),1.330,0.890
1,12:33,3,5,TAM 43,0,0,Baker Mayfield pass complete short right to Chris Godwin for 7 yards (tackle by Alontae Taylor and Paulson Adebo),0.890,2.260
1,12:11,1,10,TAM 50,0,0,Baker Mayfield pass complete short middle to Sterling Shepard for 9 yards (tackle by Paulson Adebo),2.260,2.930
1,11:35,2,1,NOR 41,0,0,Baker Mayfield pass complete short left to Mike Evans for 22 yards (tackle by Paulson Adebo),2.930,4.310
1,10:52,1,10,NOR 19,0,0,Bucky Irving left end for 15 yards (tackle by Marshon Lattimore),4.310,6.280
1,10:08,1,4,NOR 4,6,0,Baker Mayfield pass complete short middle to Chris Godwin for 4 yards touchdown,6.280,7.000
1,10:05,,,NOR 15,7,0,Chase McLaughlin kicks extra point good,0.000,0.000
1,10:05,,,TAM 35,7,0,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
1,10:05,1,10,NOR 30,7,0,Spencer Rattler pass complete short right to Juwan Johnson for 27 yards (tackle by Jordan Whitehead),0.940,2.720
1,9:31,1,10,TAM 43,7,0,Spencer Rattler aborted snap recovered by Spencer Rattler at TB-48 and returned for -5 yards,2.720,1.500
1,8:54,2,15,TAM 48,13,0,Spencer Rattler pass complete short right to Chris Olave for 5 yards. Chris Olave fumbles (forced by Tykee Smith) recovered by Antoine Winfield at TB-42 and returned for 58 yards touchdown Replay Assistant challenged the fumble ruling and the play was upheld.,1.500,-7.000
1,8:42,,,NOR 15,14,0,Chase McLaughlin kicks extra point good,0.000,0.000
1,8:42,,,TAM 35,14,0,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
1,8:42,1,10,NOR 30,14,0,Alvin Kamara left guard for 7 yards (tackle by Vita Vea),0.940,1.340
1,8:14,2,3,NOR 37,14,0,Spencer Rattler pass incomplete short right intended for Cedrick Wilson,1.340,0.630
1,8:08,3,3,NOR 37,14,0,Spencer Rattler pass incomplete short right intended for Bub Means,0.630,-0.910
1,8:05,4,3,NOR 37,14,0,Matthew Hayball punts 42 yards returned by Jalen McMillan for no gain (tackle by Rico Payton),-0.910,-0.340
1,7:57,1,10,TAM 21,14,0,Baker Mayfield pass complete short middle to Sterling Shepard for 9 yards (tackle by Demario Davis),0.340,1.020
1,7:17,2,1,TAM 30,14,0,Baker Mayfield pass incomplete deep right intended for Mike Evans. Penalty on Paulson Adebo: Defensive Pass Interference 10 yards (accepted) (no play),1.020,1.600
1,7:11,1,10,TAM 40,14,0,Baker Mayfield pass complete short left to Chris Godwin for 4 yards (tackle by Jordan Howden and Marshon Lattimore),1.600,1.590
1,6:30,2,6,TAM 44,14,0,Sean Tucker left tackle for 11 yards (tackle by Marshon Lattimore and Jordan Howden). Penalty on Carl Granderson: Unnecessary Roughness / Defense 15 yards (accepted),1.590,3.580
1,6:05,1,10,NOR 30,14,0,Baker Mayfield pass complete short right to Sean Tucker for 15 yards (tackle by Willie Gay),3.580,4.580
1,5:17,1,10,NOR 15,14,0,Penalty on Baker Mayfield: Delay of Game 5 yards (accepted) (no play),4.580,4.240
1,4:58,1,15,NOR 20,14,0,Baker Mayfield pass incomplete short right intended for Cade Otton (defended by Willie Gay),4.240,3.350
1,4:53,2,15,NOR 20,14,0,Baker Mayfield scrambles right tackle for 12 yards (tackle by Tyrann Mathieu),3.350,4.450
