Quarter,Time,Down,ToGo,Location,WAS,BAL,Detail,EPB,EPA
,,,,,,,Commanders won the coin toss and deferred Ravens to receive the opening kickoff.,,
1,15:00,,,WAS 35,0,0,Austin Seibert kicks off 65 yards returned by Justice Hill for 34 yards (tackle by Jeremy Chinn and Darrick Forrest),0.000,1.200
1,14:53,1,10,BAL 34,0,0,Derrick Henry right end for 2 yards (tackle by Bobby Wagner and Benjamin St-Juste),1.200,0.930
1,14:18,2,8,BAL 36,0,0,Lamar Jackson pass complete short left to Zay Flowers for 44 yards (tackle by Benjamin St-Juste),0.930,4.240
1,13:41,1,10,WAS 20,0,0,Derrick Henry right tackle for no gain (tackle by Quan Martin),4.240,3.690
1,12:56,2,10,WAS 20,0,0,Lamar Jackson pass short left intended for Mark Andrews is intercepted by Mike Sainristil at WAS-13 and returned for 38 yards (tackle by Lamar Jackson),3.690,-2.320
1,12:47,1,10,BAL 49,0,0,Austin Ekeler left guard for 5 yards (tackle by Trenton Simpson and Roquan Smith),2.320,2.460
1,12:23,2,5,BAL 44,0,0,Jayden Daniels pass complete short right to Noah Brown for 4 yards (tackle by Kyle Van Noy),2.460,2.280
1,11:47,3,1,BAL 40,0,0,Jayden Daniels pass complete short right to Austin Ekeler for 24 yards (tackle by Marcus Williams),2.280,4.510
1,11:18,1,10,BAL 16,0,0,Jayden Daniels right end for no gain (tackle by Marlon Humphrey),4.510,3.900
1,10:42,2,10,BAL 16,0,0,Jayden Daniels pass complete short left to Olamide Zaccheaus for 3 yards (tackle by Marlon Humphrey),3.900,3.540
1,9:58,3,7,BAL 13,0,0,Jayden Daniels sacked by Travis Jones for -11 yards,3.540,1.870
1,9:14,4,18,BAL 24,3,0,Austin Seibert 42 yard field goal good,1.870,3.000
1,9:11,,,WAS 35,3,0,Austin Seibert kicks off 61 yards returned by Deonte Harty for 26 yards (tackle by Jeremy Chinn),0.000,0.940
1,9:05,1,10,BAL 30,3,0,Derrick Henry up the middle for 5 yards (tackle by Jeremy Chinn and Jer'Zhan Newton),0.940,1.070
1,8:35,2,5,BAL 35,3,0,Lamar Jackson scrambles right end for 4 yards (tackle by Bobby Wagner),1.070,0.890
1,7:58,3,1,BAL 39,3,0,Lamar Jackson left end for 10 yards (tackle by Mike Sainristil),0.890,2.190
1,7:23,1,10,BAL 49,3,0,Lamar Jackson pass complete short middle to Zay Flowers for 12 yards (tackle by Quan Martin),2.190,2.980
1,6:41,1,10,WAS 39,3,0,Derrick Henry right guard for 4 yards (tackle by Bobby Wagner),2.980,2.980
1,6:03,2,6,WAS 35,3,0,Lamar Jackson pass complete short right to Zay Flowers for 9 yards (tackle by Benjamin St-Juste),2.980,3.840
1,5:24,1,10,WAS 26,3,0,Derrick Henry left end for 3 yards (tackle by Jonathan Allen),3.840,3.700
1,4:43,2,7,WAS 23,3,0,Lamar Jackson pass incomplete deep right intended for Isaiah Likely,3.700,3.010
1,4:31,3,7,WAS 23,3,0,Tyler Linderbaum aborted snap recovered by Lamar Jackson at WAS-23 Lamar Jackson for no gain,3.010,1.670
1,3:50,4,11,WAS 27,3,3,Justin Tucker 45 yard field goal good,1.670,3.000
1,3:45,,,BAL 35,3,3,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,3:45,1,10,WAS 30,3,3,Terry McLaurin right end for no gain (tackle by Kyle Hamilton and Eddie Jackson),0.940,0.390
1,3:08,2,10,WAS 30,3,3,Jayden Daniels pass complete short right to Austin Ekeler for no gain (tackle by Nate Wiggins),0.390,-0.300
1,2:32,3,10,WAS 30,3,3,Jayden Daniels pass incomplete short middle intended for Olamide Zaccheaus,-0.300,-1.370
1,2:30,4,10,WAS 30,3,3,Tress Way punts 54 yards returned by Deonte Harty for 4 yards (tackle by John Bates),-1.370,-0.280
1,2:20,1,10,BAL 20,3,3,Lamar Jackson pass complete short left to Zay Flowers for no gain (tackle by Percy Butler),0.280,-0.270
1,1:36,2,10,BAL 20,3,3,Derrick Henry up the middle for 1 yard (tackle by Jer'Zhan Newton),-0.270,-0.820
1,1:04,3,9,BAL 21,3,3,Lamar Jackson sacked by Dante Fowler for -11 yards,-0.820,-2.490
1,0:13,4,20,BAL 10,3,3,Jordan Stout punts 50 yards returned by Olamide Zaccheaus for 10 yards (tackle by Chris Board),-2.490,-2.260
1,0:02,1,10,BAL 50,3,3,Austin Ekeler right guard for 6 yards (tackle by Trenton Simpson),2.260,2.520
2,15:00,2,4,BAL 44,3,3,Austin Ekeler left guard for -1 yards (tackle by Travis Jones),2.520,1.690
2,14:19,3,5,BAL 45,3,3,Jayden Daniels scrambles left end for 6 yards (tackle by Brandon Stephens),1.690,2.980
2,14:07,1,10,BAL 39,3,3,Jayden Daniels pass complete short right to Austin Ekeler for -2 yards (tackle by Marlon Humphrey and Kyle Hamilton),2.980,2.170
2,13:30,2,12,BAL 41,3,3,Jayden Daniels pass incomplete short middle intended for Olamide Zaccheaus,2.170,1.490
2,13:12,3,12,BAL 41,3,3,Jayden Daniels pass incomplete deep left intended for Terry McLaurin (defended by Brandon Stephens),1.490,0.530
2,13:01,4,12,BAL 41,3,3,Tress Way punts 35 yards downed by Mykal Walker,0.530,0.380
2,12:53,1,10,BAL 7,3,3,Lamar Jackson pass incomplete short middle intended for Nelson Agholor (defended by Benjamin St-Juste),-0.380,-0.780
2,12:49,2,10,BAL 7,3,3,Derrick Henry left guard for 5 yards (tackle by Mykal Walker and Percy Butler),-0.780,-0.840
2,12:11,3,5,BAL 12,3,3,Lamar Jackson pass complete short left to Rashod Bateman for 13 yards (tackle by Benjamin St-Juste),-0.840,0.610
2,11:39,1,10,BAL 25,3,3,Lamar Jackson pass complete deep middle to Rashod Bateman for 23 yards (tackle by Percy Butler),0.610,2.130
2,10:52,1,10,BAL 48,3,3,Derrick Henry up the middle for 15 yards (tackle by Percy Butler),2.130,3.120
2,10:13,1,10,WAS 37,3,3,Lamar Jackson pass complete short left to Zay Flowers for 23 yards (tackle by Quan Martin),3.120,4.650
2,9:28,1,10,WAS 14,3,3,Lamar Jackson right end for -2 yards (tackle by Dante Fowler),4.650,3.720
2,8:44,2,12,WAS 16,3,3,Lamar Jackson pass complete short left to Justice Hill for 2 yards (tackle by Mike Sainristil),3.720,3.110
2,8:06,3,10,WAS 14,3,3,Lamar Jackson pass incomplete short middle intended for Zay Flowers. Penalty on Benjamin St-Juste: Defensive Pass Interference 11 yards (accepted) (no play),3.110,6.510
2,7:59,1,3,WAS 3,3,9,Derrick Henry right end for 3 yards touchdown,6.510,7.000
2,7:55,,,WAS 15,3,10,Justin Tucker kicks extra point good,0.000,0.000
2,7:55,,,BAL 35,3,10,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,7:55,1,10,WAS 30,3,10,Jayden Daniels pass complete short middle to Noah Brown for 15 yards (tackle by Marlon Humphrey),0.940,1.930
2,7:25,1,10,WAS 45,3,10,Jayden Daniels pass incomplete short right intended for Noah Brown (defended by Marlon Humphrey),1.930,1.380
2,7:18,2,10,WAS 45,3,10,Jayden Daniels pass complete short left to Terry McLaurin for 4 yards (tackle by Kyle Hamilton),1.380,1.220
2,6:42,3,6,WAS 49,3,10,Jayden Daniels pass complete short left to Terry McLaurin for 8 yards (tackle by Brandon Stephens),1.220,2.720
2,6:19,1,10,BAL 43,3,10,Jayden Daniels pass complete short left to Austin Ekeler for 25 yards (tackle by Marlon Humphrey),2.720,4.370
2,5:47,1,10,BAL 18,3,10,Jayden Daniels pass complete short right to Dyami Brown for 11 yards (tackle by Marcus Williams),4.370,5.600
2,5:02,1,7,BAL 7,3,10,Jayden Daniels pass complete short left to Luke McCaffrey for 5 yards (tackle by Ar'Darius Washington),5.600,5.720
2,4:28,2,2,BAL 2,3,10,Penalty on Andrew Wylie: False Start 5 yards (accepted) (no play),5.720,4.760
2,4:21,2,7,BAL 7,9,10,Jayden Daniels pass complete short right to Terry McLaurin for 7 yards touchdown,4.760,7.000
2,4:16,,,BAL 15,10,10,Austin Seibert kicks extra point good,0.000,0.000
2,4:16,,,WAS 35,10,10,Austin Seibert kicks off 64 yards returned by Deonte Harty for 21 yards (tackle by Nick Bellore),0.000,0.410
2,4:09,1,10,BAL 22,10,10,Lamar Jackson pass complete short middle to Zay Flowers for 10 yards (tackle by Frankie Luvu and Mike Sainristil),0.410,1.070
2,3:28,1,10,BAL 32,10,10,Penalty on Roger Rosengarten: False Start 5 yards (accepted) (no play),1.070,0.740
2,3:21,1,15,BAL 27,10,10,Lamar Jackson pass incomplete deep middle intended for Rashod Bateman. Penalty on Noah Igbinoghene: Defensive Holding 5 yards (accepted) (no play),0.740,1.070
2,3:06,1,10,BAL 32,10,10,Lamar Jackson pass incomplete deep left intended for Nelson Agholor (defended by Noah Igbinoghene),1.070,0.530
2,2:58,2,10,BAL 32,10,10,Lamar Jackson pass complete short left to Zay Flowers for 13 yards (tackle by Noah Igbinoghene),0.530,1.930
2,2:23,1,10,BAL 45,10,10,Penalty on Patrick Mekari: False Start 5 yards (accepted) (no play),1.930,1.600
2,2:09,1,15,BAL 40,10,10,Lamar Jackson pass complete short middle to Nelson Agholor for 25 yards (tackle by Quan Martin),1.600,3.250
2,2:00,1,10,WAS 35,10,10,Lamar Jackson up the middle for -1 yards (tackle by Phidarian Mathis),3.250,2.570
2,1:55,,,,,,Timeout #1 by Washington Commanders,,
2,1:55,2,11,WAS 36,10,10,Lamar Jackson pass complete short right to Zay Flowers for 6 yards (tackle by Mike Sainristil),2.570,2.680
2,1:49,,,,,,Timeout #2 by Washington Commanders,,
2,1:49,3,5,WAS 30,10,10,Lamar Jackson pass complete short middle to Zay Flowers for 15 yards (tackle by Benjamin St-Juste and Mike Sainristil),2.680,4.580
2,1:24,1,10,WAS 15,10,10,Justice Hill left guard for 2 yards (tackle by Dante Fowler),4.580,4.280
2,1:02,2,8,WAS 13,10,10,Lamar Jackson pass incomplete short right intended for Isaiah Likely,4.280,3.400
2,0:57,3,8,WAS 13,10,16,Lamar Jackson pass complete short middle to Mark Andrews for 13 yards touchdown,3.400,7.000
2,0:53,,,WAS 15,10,17,Justin Tucker kicks extra point good,0.000,0.000
2,0:53,,,BAL 35,10,17,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,0:53,1,10,WAS 30,10,17,Jayden Daniels scrambles up the middle for 9 yards (tackle by Roquan Smith),0.940,1.610
2,0:33,2,1,WAS 39,10,17,Jayden Daniels pass complete short right to Noah Brown for 11 yards (tackle by Nate Wiggins),1.610,2.260
2,0:26,1,10,BAL 50,10,17,Jayden Daniels pass incomplete short left intended for Austin Ekeler,2.260,1.710
2,0:19,2,10,BAL 50,10,17,Jayden Daniels pass complete short right to Olamide Zaccheaus for 11 yards (tackle by Eddie Jackson),1.710,2.980
2,0:12,1,10,BAL 39,10,17,Jayden Daniels pass complete short right to Olamide Zaccheaus for 5 yards,2.980,3.120
2,0:05,2,5,BAL 34,10,17,Austin Seibert 50 yard field goal no good blocked by Ben Cleveland,3.120,1.660
3,15:00,,,BAL 35,10,17,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,WAS 30,10,17,Austin Ekeler left guard for no gain (tackle by Kyle Van Noy),0.940,0.390
3,14:36,2,10,WAS 30,10,17,Jayden Daniels pass complete deep left to Noah Brown for 28 yards (tackle by Marlon Humphrey),0.390,2.790
3,14:12,1,10,BAL 42,10,17,Austin Ekeler left tackle for 5 yards (tackle by Roquan Smith),2.790,2.920
3,13:42,2,5,BAL 37,10,17,Austin Ekeler up the middle for no gain (tackle by Travis Jones),2.920,2.210
3,12:55,,,,,,Timeout #1 by Washington Commanders,,
3,12:55,3,5,BAL 37,10,17,Jayden Daniels pass incomplete short right intended for Noah Brown (defended by Nate Wiggins),2.210,0.790
3,12:50,4,5,BAL 37,13,17,Austin Seibert 55 yard field goal good,0.790,3.000
3,12:45,,,WAS 35,13,17,Austin Seibert kicks off 65 yards touchback.,0.000,0.940
3,12:45,1,10,BAL 30,13,17,Derrick Henry right guard for 7 yards (tackle by Mykal Walker and Bobby Wagner),0.940,1.340
3,12:06,2,3,BAL 37,13,17,Derrick Henry up the middle for 1 yard (tackle by Javontae Jean-Baptiste),1.340,0.760
3,11:25,3,2,BAL 38,13,17,Lamar Jackson right end for 33 yards (tackle by Jeremy Chinn),0.760,3.640
3,10:37,1,10,WAS 29,13,17,Lamar Jackson pass complete short left to Isaiah Likely for 18 yards (tackle by Mykal Walker and Bobby Wagner),3.640,4.840
3,9:55,1,10,WAS 11,13,17,Zay Flowers right end for 2 yards (tackle by Percy Butler),4.840,4.510
3,9:19,2,8,WAS 9,13,17,Lamar Jackson sacked by Dante Fowler for -4 yards,4.510,3.080
3,8:28,3,12,WAS 13,13,17,Lamar Jackson pass incomplete short right. Penalty on Isaiah Likely: Offensive Holding 10 yards (declined),3.080,2.570
3,8:22,4,12,WAS 13,13,20,Justin Tucker 32 yard field goal good,2.570,3.000
3,8:19,,,BAL 35,13,20,Justin Tucker kicks off 66 yards returned by Austin Ekeler for 32 yards (tackle by Charlie Kolar and Beau Brade),0.000,1.000
3,8:13,1,10,WAS 31,13,20,Jayden Daniels pass complete deep left to Zach Ertz for 21 yards (tackle by Roquan Smith),1.000,2.390
3,7:42,1,10,BAL 48,13,20,Jeremy McNichols up the middle for 4 yards (tackle by Michael Pierce and Eddie Jackson),2.390,2.390
3,7:11,2,6,BAL 44,13,20,Jayden Daniels pass incomplete short middle intended for Zach Ertz (defended by Brent Urban),2.390,1.690
3,7:06,3,6,BAL 44,13,20,Jayden Daniels pass incomplete deep right intended for Noah Brown,1.690,0.330
3,6:59,4,6,BAL 44,13,20,Tress Way punts 38 yards downed by Mykal Walker,0.330,0.380
3,6:50,1,10,BAL 6,13,20,Derrick Henry left guard for 2 yards (tackle by Javontae Jean-Baptiste and Phidarian Mathis),-0.380,-0.630
3,6:17,2,8,BAL 8,13,20,Derrick Henry left end for 12 yards (tackle by Bobby Wagner),-0.630,0.280
3,5:42,1,10,BAL 20,13,20,Lamar Jackson pass complete short left to Mark Andrews for 15 yards (tackle by Jeremy Chinn),0.280,1.270
3,5:05,1,10,BAL 35,13,20,Derrick Henry left tackle for 4 yards (tackle by Percy Butler and Clelin Ferrell),1.270,1.260
3,4:25,2,6,BAL 39,13,20,Lamar Jackson scrambles up the middle for 1 yard (tackle by Bobby Wagner),1.260,0.700
3,3:34,3,5,BAL 40,13,20,Lamar Jackson pass incomplete short right intended for Rashod Bateman. Penalty on Benjamin St-Juste: Defensive Pass Interference 10 yards (accepted) (no play),0.700,2.260
3,3:30,1,10,BAL 50,13,20,Lamar Jackson pass complete deep left to Mark Andrews for 38 yards (tackle by Mike Sainristil),2.260,4.780
3,2:47,1,10,WAS 12,13,20,Derrick Henry up the middle for 5 yards (tackle by Jonathan Allen),4.780,5.020
3,2:12,2,5,WAS 7,13,26,Derrick Henry up the middle for 7 yards touchdown,5.020,7.000
3,2:08,,,WAS 15,13,27,Justin Tucker kicks extra point good,0.000,0.000
3,2:08,,,BAL 35,13,27,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
3,2:08,1,10,WAS 30,13,27,Austin Ekeler left guard for 3 yards (tackle by Michael Pierce and Roquan Smith),0.940,0.800
3,1:42,2,7,WAS 33,13,27,Jayden Daniels pass complete short middle to Zach Ertz for 11 yards (tackle by Roquan Smith),0.800,1.860
3,1:03,1,10,WAS 44,13,27,Jeremy McNichols right guard for 5 yards (tackle by Michael Pierce),1.860,1.990
3,0:23,2,5,WAS 49,13,27,Jayden Daniels pass complete deep left to Zach Ertz for 24 yards (tackle by Nate Wiggins and Marlon Humphrey),1.990,3.780
4,15:00,1,10,BAL 27,13,27,Jayden Daniels pass complete short right to Terry McLaurin for 14 yards (tackle by Kyle Hamilton),3.780,4.710
4,14:46,1,10,BAL 13,13,27,Jayden Daniels pass incomplete short right,4.710,4.050
4,14:41,2,10,BAL 13,13,27,Jayden Daniels right end for no gain (tackle by Nate Wiggins),4.050,3.120
4,14:06,3,10,BAL 13,13,27,Jayden Daniels pass complete short middle to Zach Ertz for 12 yards (tackle by Trenton Simpson),3.120,6.970
4,13:41,1,1,BAL 1,13,27,Austin Ekeler up the middle for no gain (tackle by Nnamdi Madubuike and Odafe Oweh),6.970,5.910
4,12:53,2,1,BAL 1,13,27,Jayden Daniels right end for no gain. Penalty on Trenton Scott: Illegal Shift 5 yards (accepted) (no play),5.910,4.950
4,12:29,2,6,BAL 6,13,27,Jayden Daniels pass incomplete short right,4.950,4.040
4,12:19,3,6,BAL 6,13,27,Jayden Daniels pass incomplete short right intended for Noah Brown (defended by Nate Wiggins),4.040,2.990
4,12:16,,,,,,Timeout #1 by Baltimore Ravens,,
4,12:16,4,6,BAL 6,19,27,Jayden Daniels pass complete short left to Terry McLaurin for 6 yards touchdown,2.990,7.000
4,12:12,,,BAL 15,20,27,Austin Seibert kicks extra point good,0.000,0.000
4,12:12,,,WAS 35,20,27,Austin Seibert kicks off 66 yards returned by Justice Hill for 23 yards (tackle by Nick Bellore),0.000,0.410
4,12:07,1,10,BAL 22,20,27,Derrick Henry right end for 8 yards (tackle by Frankie Luvu),0.410,0.950
4,11:26,2,2,BAL 30,20,27,Derrick Henry right guard for 5 yards (tackle by Jer'Zhan Newton and Efe Obada),0.950,1.270
4,10:47,1,10,BAL 35,20,27,Lamar Jackson pass complete deep left to Rashod Bateman for 17 yards (tackle by Noah Igbinoghene),1.270,2.390
4,10:03,1,10,WAS 48,20,27,Derrick Henry left guard for 1 yard (tackle by Bobby Wagner and Mykal Walker),2.390,1.980
4,9:19,2,9,WAS 47,20,27,Lamar Jackson pass complete short middle to Rashod Bateman for 18 yards (tackle by Bobby Wagner),1.980,3.640
4,8:35,1,10,WAS 29,20,27,Derrick Henry left end for 4 yards (tackle by Clelin Ferrell and Bobby Wagner),3.640,3.640
4,7:54,2,6,WAS 25,20,27,Lamar Jackson left end for -5 yards (tackle by Clelin Ferrell and Bobby Wagner),3.640,2.280
4,7:07,3,11,WAS 30,20,27,Lamar Jackson pass complete short left to Isaiah Likely for 9 yards (tackle by Percy Butler),2.280,2.180
4,6:23,4,2,WAS 21,20,30,Justin Tucker 39 yard field goal good,2.180,3.000
4,6:18,,,BAL 35,20,30,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
4,6:18,1,10,WAS 30,20,30,Jayden Daniels pass complete short middle to Terry McLaurin for 14 yards (tackle by Brandon Stephens),0.940,1.860
4,5:53,1,10,WAS 44,20,30,Austin Ekeler right guard for 3 yards (tackle by Trenton Simpson and Travis Jones),1.860,1.720
4,5:15,2,7,WAS 47,20,30,Jayden Daniels sacked by Yannick Ngakoue for -3 yards,1.720,0.630
4,4:34,3,10,WAS 44,20,30,Jayden Daniels pass complete short middle to Zach Ertz for no gain (tackle by Yannick Ngakoue). Penalty on Andrew Wylie: Offensive Holding 10 yards (accepted) (no play),0.630,-0.690
4,4:19,3,20,WAS 34,20,30,Jayden Daniels pass complete short left to Olamide Zaccheaus for 8 yards (tackle by Marlon Humphrey),-0.690,-0.590
4,3:47,4,12,WAS 42,20,30,Jayden Daniels pass incomplete deep right intended for Noah Brown (defended by Nate Wiggins). Penalty on Nate Wiggins: Defensive Pass Interference 23 yards (accepted) (no play),-0.590,3.250
4,3:42,1,10,BAL 35,20,30,Jayden Daniels sacked by and Michael Pierce for -2 yards and Nnamdi Madubuike for -2 yards,3.250,2.430
4,3:09,2,12,BAL 37,20,30,Jayden Daniels scrambles left end for 4 yards (tackle by Marlon Humphrey),2.430,2.280
4,2:58,,,,,,Timeout #2 by Baltimore Ravens,,
4,2:58,3,8,BAL 33,20,30,Jayden Daniels scrambles right end for 3 yards (tackle by Roquan Smith),2.280,1.450
4,2:52,4,5,BAL 30,23,30,Austin Seibert 49 yard field goal good,1.450,3.000
4,2:48,,,WAS 35,23,30,Austin Seibert kicks off 65 yards touchback.,0.000,0.940
4,2:48,1,10,BAL 30,23,30,Derrick Henry left tackle for 2 yards (tackle by Bobby Wagner),0.940,0.660
4,2:44,,,,,,Timeout #2 by Washington Commanders,,
4,2:44,2,8,BAL 32,23,30,Derrick Henry left end for 27 yards (tackle by Jeremy Chinn and Quan Martin),0.660,2.850
4,2:00,1,10,WAS 41,23,30,Derrick Henry right guard for 4 yards (tackle by Jeremy Chinn),2.850,2.850
4,1:56,,,,,,Timeout #3 by Washington Commanders,,
4,1:56,2,6,WAS 37,23,30,Derrick Henry left end for 5 yards (tackle by Mykal Walker and Clelin Ferrell),2.850,2.810
4,1:10,,,,,,Timeout #3 by Baltimore Ravens,,
4,1:10,3,1,WAS 32,23,30,Lamar Jackson left end for 2 yards (tackle by Jeremy Chinn),2.810,3.580
4,1:02,1,10,WAS 30,23,30,Lamar Jackson kneels for -1 yards,3.580,2.900
4,0:23,2,11,WAS 31,23,30,Lamar Jackson kneels for -1 yards,2.900,2.080
