Quarter,Time,Down,ToGo,Location,BAL,TAM,Detail,EPB,EPA
,,,,,,,Buccaneers won the coin toss Buccaneers to receive the opening kickoff.,,
1,15:00,,,BAL 35,0,0,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,TAM 30,0,0,Baker Mayfield scrambles up the middle for 6 yards (tackle by Roquan Smith and Eddie Jackson),0.940,1.200
1,14:21,2,4,TAM 36,0,0,Rachaad White left guard for 1 yard (tackle by Trenton Simpson),1.200,0.630
1,13:47,3,3,TAM 37,0,0,Baker Mayfield pass complete short left to Rachaad White for 18 yards (tackle by Odafe Oweh),0.630,2.590
1,13:08,1,10,BAL 45,0,0,Rachaad White left tackle for 1 yard (tackle by Trenton Simpson and Odafe Oweh),2.590,2.180
1,12:31,2,9,BAL 44,0,0,Bucky Irving right guard for 4 yards (tackle by Kyle Hamilton),2.180,2.010
1,11:53,3,5,BAL 40,0,0,Bucky Irving right guard for 4 yards (tackle by Travis Jones and Roquan Smith),2.010,0.890
1,11:12,4,1,BAL 36,0,0,Jalen McMillan left end for 11 yards (tackle by Nate Wiggins and Roquan Smith),0.890,3.910
1,10:34,1,10,BAL 25,0,6,Baker Mayfield pass complete deep left to Mike Evans for 25 yards touchdown,3.910,7.000
1,10:27,,,BAL 15,0,7,Chase McLaughlin kicks extra point good,0.000,0.000
1,10:27,,,TAM 35,0,7,Trenton Gill kicks off 65 yards returned by Chris Collier for 35 yards (tackle by Ko Kieft),0.000,1.270
1,10:21,1,10,BAL 35,0,7,Derrick Henry right guard for 4 yards (tackle by Lavonte David),1.270,1.260
1,9:42,2,6,BAL 39,0,7,Lamar Jackson left tackle for 11 yards (tackle by Antoine Winfield),1.260,2.260
1,9:07,1,10,BAL 50,0,7,Lamar Jackson pass complete short left to Zay Flowers for 11 yards (tackle by Joe Tryon-Shoyinka),2.260,2.980
1,8:26,1,10,TAM 39,0,7,Derrick Henry left end for -1 yards (tackle by Calijah Kancey),2.980,2.300
1,7:42,2,11,TAM 40,0,7,Lamar Jackson sacked by YaYa Diaby for -8 yards,2.300,0.560
1,6:58,3,19,TAM 48,0,7,Lamar Jackson sacked by Antoine Winfield for -9 yards,0.560,-0.520
1,6:12,4,28,BAL 43,0,7,Jordan Stout punts 57 yards touchback.,-0.520,-0.280
1,6:05,1,10,TAM 20,0,7,Baker Mayfield pass complete short right to Bucky Irving for 15 yards (tackle by Trenton Simpson),0.280,1.270
1,5:25,1,10,TAM 35,0,7,Bucky Irving left guard for 2 yards (tackle by Brent Urban),1.270,0.990
1,4:44,2,8,TAM 37,0,7,Baker Mayfield pass complete short middle to Chris Godwin for 6 yards (tackle by Marcus Williams and Michael Pierce),0.990,1.090
1,4:03,3,2,TAM 43,0,7,Baker Mayfield pass complete short left to Jalen McMillan for 8 yards (tackle by Marlon Humphrey and Roquan Smith). Penalty on Nnamdi Madubuike: Roughing the Passer 15 yards (accepted),1.090,3.310
1,3:39,1,10,BAL 34,0,7,Rachaad White right guard for 7 yards (tackle by Eddie Jackson),3.310,3.720
1,2:57,2,3,BAL 27,0,7,Bucky Irving left guard for 3 yards (tackle by Roquan Smith and Trenton Simpson),3.720,3.970
1,2:19,1,10,BAL 24,0,7,Baker Mayfield pass complete short left to Bucky Irving for 14 yards (tackle by Eddie Jackson and Kyle Hamilton),3.970,4.910
1,1:38,1,10,BAL 10,0,7,Baker Mayfield pass complete short right to Rachaad White for 2 yards (tackle by Kyle Hamilton),4.910,4.570
1,1:01,2,8,BAL 8,0,7,Baker Mayfield pass incomplete short right intended for Mike Evans,4.570,3.580
1,0:57,3,8,BAL 8,0,7,Baker Mayfield pass complete short left to Chris Godwin for no gain touchdown. Penalty on Tristan Wirfs: Offensive Holding 10 yards (accepted) (no play),3.580,2.630
1,0:49,3,18,BAL 18,0,7,Baker Mayfield pass complete short middle to Cade Otton for 13 yards (tackle by Michael Pierce and Kyle Van Noy),2.630,3.010
1,0:05,4,5,BAL 5,0,10,Chase McLaughlin 23 yard field goal good,3.010,3.000
1,0:02,,,TAM 35,0,10,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
1,0:02,1,10,BAL 30,0,10,Lamar Jackson pass complete short left to Charlie Kolar for 14 yards (tackle by Tyrek Funderburk),0.940,1.860
2,15:00,1,10,BAL 44,0,10,Zay Flowers right end for 19 yards (tackle by Antoine Winfield),1.860,3.120
2,14:21,1,10,TAM 37,0,10,Lamar Jackson scrambles left end for 11 yards (tackle by Antoine Winfield),3.120,3.840
2,13:39,1,10,TAM 26,0,10,Derrick Henry left guard for 7 yards (tackle by Antoine Winfield),3.840,4.270
2,13:00,2,3,TAM 19,0,10,Lamar Jackson pass complete short right to Isaiah Likely for 10 yards (tackle by Antoine Winfield and Jordan Whitehead),4.270,5.140
2,12:33,1,9,TAM 9,6,10,Lamar Jackson pass complete short middle to Mark Andrews for 9 yards touchdown,5.140,7.000
2,12:29,,,TAM 15,7,10,Justin Tucker kicks extra point good,0.000,0.000
2,12:29,,,BAL 35,7,10,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,12:29,1,10,TAM 30,7,10,Sean Tucker left tackle for 5 yards (tackle by Eddie Jackson and Tavius Robinson),0.940,1.070
2,11:53,2,5,TAM 35,7,10,Baker Mayfield sacked by Tavius Robinson for no gain. Penalty on Bump Cooper: Defensive Holding 5 yards (accepted) (no play),1.070,1.600
2,11:29,1,10,TAM 40,7,10,Sean Tucker left tackle for 3 yards (tackle by Trenton Simpson),1.600,1.460
2,10:54,2,7,TAM 43,7,10,Sean Tucker right guard for 4 yards (tackle by Roquan Smith),1.460,1.290
2,10:17,3,3,TAM 47,7,10,Baker Mayfield pass complete short right to Rachaad White for 13 yards (tackle by Roquan Smith),1.290,2.920
2,9:41,1,10,BAL 40,7,10,Rachaad White up the middle for 8 yards (tackle by Kyle Hamilton),2.920,3.450
2,9:04,2,2,BAL 32,7,10,Baker Mayfield pass complete short right to Cade Otton for 4 yards (tackle by Kyle Hamilton),3.450,3.710
2,8:22,1,10,BAL 28,7,10,Rachaad White left guard for 4 yards (tackle by Trenton Simpson),3.710,3.710
2,7:39,2,6,BAL 24,7,10,Baker Mayfield pass incomplete deep left intended for Mike Evans,3.710,3.010
2,7:31,3,6,BAL 24,7,10,Baker Mayfield pass complete short middle to Chris Godwin for 15 yards (tackle by Marlon Humphrey),3.010,5.140
2,6:52,1,9,BAL 9,7,10,Bucky Irving right tackle for 6 yards (tackle by Kyle Van Noy and Roquan Smith),5.140,5.530
2,6:18,2,3,BAL 3,7,10,Baker Mayfield pass short right intended for Jalen McMillan is intercepted by Marlon Humphrey in end zone and returned for no gain,5.530,-0.280
2,6:10,1,10,BAL 20,7,10,Derrick Henry right guard for 13 yards (tackle by Zyon McCollum),0.280,1.140
2,5:32,1,10,BAL 33,7,10,Lamar Jackson pass complete deep middle to Rashod Bateman for 59 yards (tackle by Zyon McCollum),1.140,5.370
2,4:42,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,4:42,1,8,TAM 8,7,10,Lamar Jackson pass incomplete short left,5.370,4.570
2,4:34,2,8,TAM 8,7,10,Lamar Jackson right end for no gain touchdown. Penalty on Daniel Faalele: Offensive Holding 10 yards (accepted) (no play),4.570,3.150
2,4:30,2,18,TAM 18,13,10,Lamar Jackson pass complete short left to Justice Hill for 18 yards touchdown,3.150,7.000
2,4:23,,,TAM 15,14,10,Justin Tucker kicks extra point good,0.000,0.000
2,4:23,,,BAL 35,14,10,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,4:23,1,10,TAM 30,14,10,Sean Tucker left end for 15 yards (tackle by Eddie Jackson),0.940,1.930
2,3:49,1,10,TAM 45,14,10,Sean Tucker left end for 2 yards (tackle by Roquan Smith),1.930,1.650
2,3:10,2,8,TAM 47,14,10,Baker Mayfield pass incomplete short left intended for Chris Godwin,1.650,0.960
2,3:05,3,8,TAM 47,14,10,Penalty on Luke Goedeke: False Start 5 yards (accepted) (no play),0.960,0.300
2,3:05,3,13,TAM 42,14,10,Baker Mayfield pass deep right intended for Chris Godwin is intercepted by Marlon Humphrey at BAL-40 and returned for no gain (tackle by Chris Godwin),0.300,-1.600
2,2:58,1,10,BAL 40,14,10,Justice Hill up the middle for 3 yards (tackle by K.J. Britt and Vita Vea),1.600,1.460
2,2:25,2,7,BAL 43,14,10,Lamar Jackson left end for 2 yards (tackle by YaYa Diaby),1.460,1.030
2,2:00,3,5,BAL 45,14,10,Lamar Jackson pass complete short left to Isaiah Likely for 7 yards (tackle by K.J. Britt and Antoine Winfield),1.030,2.390
2,1:36,1,10,TAM 48,14,10,Lamar Jackson pass incomplete short right intended for Nelson Agholor,2.390,1.850
2,1:30,2,10,TAM 48,14,10,Lamar Jackson pass complete short right to Rashod Bateman for 5 yards (tackle by Joe Tryon-Shoyinka and Jordan Whitehead). Penalty on K.J. Britt: Roughing the Passer 15 yards (accepted),1.850,3.710
2,1:25,1,10,TAM 28,14,10,Lamar Jackson pass complete short middle to Mark Andrews for 20 yards (tackle by Antoine Winfield and Tyrek Funderburk),3.710,5.370
2,0:41,1,8,TAM 8,14,10,Justice Hill left end for no gain (tackle by Tyrek Funderburk). Penalty on Ronnie Stanley: Offensive Holding 10 yards (accepted) (no play),5.370,4.240
2,0:35,1,18,TAM 18,14,10,Lamar Jackson pass incomplete deep right intended for Isaiah Likely,4.240,3.150
2,0:31,2,18,TAM 18,14,10,Justice Hill right guard for no gain (tackle by Tykee Smith). Penalty on Patrick Mekari: Offensive Holding 10 yards (accepted) (no play),3.150,1.920
2,0:26,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,0:26,2,28,TAM 28,14,10,Lamar Jackson pass complete short right to Justice Hill for no gain (tackle by Chris Braswell). Penalty on Isaiah Likely: Offensive Pass Interference 10 yards (accepted) (no play),1.920,0.570
2,0:19,2,38,TAM 38,14,10,Lamar Jackson pass complete short right to Justice Hill for 8 yards (tackle by Zyon McCollum and K.J. Britt),0.570,1.030
2,0:13,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:13,3,30,TAM 30,14,10,Lamar Jackson pass complete short middle to Nelson Agholor for 20 yards (tackle by Christian Izien),1.030,2.760
2,0:07,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:07,4,10,TAM 10,17,10,Justin Tucker 28 yard field goal good,2.760,3.000
2,0:04,,,BAL 35,17,10,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,0:04,1,10,TAM 30,17,10,Baker Mayfield kneels for -1 yards,0.940,0.260
3,15:00,,,TAM 35,17,10,Trenton Gill kicks off 60 yards returned by Justice Hill for 37 yards (tackle by Antonio Grier),0.000,1.730
3,14:54,1,10,BAL 42,17,10,Lamar Jackson scrambles left end for 6 yards (tackle by Calijah Kancey). Penalty on Antoine Winfield: Low Block 15 yards (accepted),1.730,3.120
3,14:31,1,10,TAM 37,17,10,Lamar Jackson pass complete short left to Mark Andrews for 8 yards,3.120,3.650
3,13:52,2,2,TAM 29,17,10,Lamar Jackson pass incomplete short right intended for Isaiah Likely (defended by Anthony Nelson). Penalty on Tyler Linderbaum: Ineligible Downfield Pass 5 yards (accepted) (no play),3.650,2.980
3,13:47,2,7,TAM 34,17,10,Tyler Linderbaum aborted snap recovered by Lamar Jackson at TB-45 and returned for -7 yards (tackle by YaYa Diaby),2.980,-0.100
3,13:11,3,25,BAL 48,17,10,Lamar Jackson pass complete short right to Justice Hill for 18 yards (tackle by Antoine Winfield),-0.100,1.060
3,12:25,4,7,TAM 34,20,10,Justin Tucker 52 yard field goal good,1.060,3.000
3,12:20,,,BAL 35,20,10,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
3,12:20,1,10,TAM 30,20,10,Baker Mayfield pass complete short right to Trey Palmer for 16 yards (tackle by Eddie Jackson),0.940,1.990
3,11:52,1,10,TAM 46,20,10,Rachaad White left guard for 6 yards (tackle by Trenton Simpson and Kyle Hamilton),1.990,2.260
3,11:13,2,4,BAL 48,20,10,Rachaad White left guard for 5 yards (tackle by Roquan Smith),2.260,2.720
3,10:30,1,10,BAL 43,20,10,Baker Mayfield pass complete short left to Jalen McMillan for no gain (tackle by Roquan Smith),2.720,2.180
3,9:50,2,10,BAL 43,20,10,Rachaad White up the middle for 5 yards (tackle by Brent Urban),2.180,2.150
3,9:13,3,5,BAL 38,20,10,Baker Mayfield scrambles left guard for 1 yard (tackle by Roquan Smith),2.150,0.790
3,8:28,4,4,BAL 37,20,10,Chase McLaughlin 55 yard field goal no good,0.790,-1.930
3,8:22,1,10,BAL 45,20,10,Derrick Henry right end for 8 yards (tackle by Zyon McCollum). Penalty on Greg Gaines: Defensive Holding 5 yards (accepted),1.930,2.790
3,8:01,1,10,TAM 42,20,10,Lamar Jackson pass incomplete short middle intended for Patrick Ricard,2.790,2.240
3,7:55,2,10,TAM 42,20,10,Derrick Henry right end for 3 yards (tackle by Anthony Nelson). Penalty on Patrick Mekari: Offensive Holding 10 yards (accepted),2.240,1.300
3,7:32,2,17,TAM 49,26,10,Lamar Jackson pass complete deep right to Rashod Bateman for 49 yards touchdown,1.300,7.000
3,7:25,,,TAM 15,27,10,Justin Tucker kicks extra point good,0.000,0.000
3,7:25,,,BAL 35,27,10,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
3,7:25,1,10,TAM 30,27,10,Baker Mayfield pass complete short right to Bucky Irving for 25 yards (tackle by Brandon Stephens),0.940,2.590
3,6:34,1,10,BAL 45,27,10,Bucky Irving left end for -2 yards (tackle by Trenton Simpson),2.590,1.770
3,5:54,2,12,BAL 47,27,10,Baker Mayfield pass incomplete short right intended for Trey Palmer (defended by Nate Wiggins),1.770,1.090
3,5:49,3,12,BAL 47,27,10,Baker Mayfield sacked by Odafe Oweh for -2 yards,1.090,0.000
3,5:05,4,14,BAL 49,27,10,Trenton Gill punts 41 yards fair catch by Tylan Wallace at BAL-8. Penalty on Charlie Kolar: Defensive Offside 5 yards (declined),0.000,0.380
3,4:58,1,10,BAL 8,27,10,Derrick Henry left end for 81 yards (tackle by Zyon McCollum),-0.380,4.840
3,4:13,1,10,TAM 11,27,10,Derrick Henry left guard for 3 yards (tackle by Vita Vea and Calijah Kancey),4.840,4.700
3,3:39,2,7,TAM 8,27,10,Derrick Henry right guard for 4 yards (tackle by Jordan Whitehead and K.J. Britt),4.700,4.670
3,3:02,3,3,TAM 4,27,10,Lamar Jackson pass incomplete short middle intended for Isaiah Likely (defended by Lavonte David),4.670,3.030
3,2:57,4,3,TAM 4,33,10,Lamar Jackson pass complete short left to Mark Andrews for 4 yards touchdown,3.030,7.000
3,2:53,,,TAM 15,34,10,Justin Tucker kicks extra point good,0.000,0.000
3,2:53,,,BAL 35,34,10,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
3,2:53,1,10,TAM 30,34,10,Bucky Irving right guard for 4 yards (tackle by Brent Urban),0.940,0.930
3,2:19,2,6,TAM 34,34,10,Baker Mayfield pass incomplete deep right intended for Jalen McMillan,0.930,0.230
3,2:12,3,6,TAM 34,34,10,Baker Mayfield scrambles left end for 4 yards (tackle by Roquan Smith). Penalty on Baker Mayfield: Offensive Facemask 15 yards (accepted),0.230,-1.220
3,1:50,3,17,TAM 23,34,10,Baker Mayfield sacked by Kyle Van Noy for -5 yards,-1.220,-2.240
3,1:07,4,22,TAM 18,34,10,Trenton Gill punts 52 yards downed by Keenan Isaac,-2.240,-0.940
3,0:53,1,10,BAL 30,34,10,Derrick Henry right tackle for 1 yard (tackle by K.J. Britt and Anthony Nelson),0.940,0.530
3,0:12,2,9,BAL 31,34,10,Lamar Jackson left end for 4 yards (tackle by Tyrek Funderburk). Penalty on Zay Flowers: Offensive Holding 10 yards (accepted),0.530,-0.280
4,15:00,2,15,BAL 25,34,10,Lamar Jackson scrambles left end for 17 yards (tackle by Tyrek Funderburk),-0.280,1.730
4,14:20,1,10,BAL 42,34,10,Derrick Henry right end for -1 yards (tackle by Lavonte David),1.730,1.050
4,13:36,2,11,BAL 41,34,10,Lamar Jackson left end for no gain. Lamar Jackson fumbles recovered by Zyon McCollum at BAL-30 touchdown Replay Assistant challenged the runner was down by contact ruling and the original play was overturned. Lamar Jackson aborted snap recovered by Zyon McCollum at BAL-33 (tackle by Zay Flowers),1.050,-3.580
4,13:32,1,10,BAL 30,34,10,Baker Mayfield pass incomplete deep right intended for Cade Otton,3.580,3.030
4,13:28,2,10,BAL 30,34,10,Rachaad White left tackle for -1 yards (tackle by Nnamdi Madubuike and Yannick Ngakoue),3.030,2.210
4,12:51,3,11,BAL 31,34,10,Baker Mayfield pass complete short right to Cade Otton for 11 yards. Cade Otton fumbles (forced by Roquan Smith) (tackle by Ar'Darius Washington recovered by Cade Otton at BAL-20,2.210,4.240
4,12:13,1,10,BAL 20,34,10,Baker Mayfield pass complete short left to Chris Godwin for 9 yards (tackle by Yannick Ngakoue and Brent Urban),4.240,5.260
4,11:30,2,1,BAL 11,34,16,Baker Mayfield pass complete short middle to Rachaad White for 11 yards touchdown,5.260,7.000
4,11:24,,,BAL 2,34,18,Two Point Attempt: Baker Mayfield pass complete to to Sterling Shepard for no gain,1.000,1.000
4,11:24,,,TAM 35,34,18,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
4,11:24,1,10,BAL 30,34,18,Derrick Henry up the middle for 3 yards (tackle by K.J. Britt),0.940,0.800
4,10:41,2,7,BAL 33,34,18,Derrick Henry left tackle for 39 yards (tackle by Antoine Winfield),0.800,3.710
4,9:59,1,10,TAM 28,34,18,Justice Hill right tackle for 1 yard (tackle by YaYa Diaby and Calijah Kancey),3.710,3.300
4,9:17,2,9,TAM 27,34,18,Derrick Henry left tackle for 3 yards (tackle by Vita Vea),3.300,3.010
4,8:41,3,6,TAM 24,34,18,Lamar Jackson pass complete short left to Rashod Bateman for 8 yards (tackle by Tyrek Funderburk),3.010,4.510
4,7:56,1,10,TAM 16,34,18,Derrick Henry left guard for 2 yards (tackle by Calijah Kancey),4.510,4.210
4,7:18,2,8,TAM 14,34,18,Lamar Jackson right tackle for 1 yard (tackle by YaYa Diaby),4.210,3.540
4,6:38,3,7,TAM 13,40,18,Lamar Jackson pass complete short right to Derrick Henry for 13 yards touchdown,3.540,7.000
4,6:32,,,TAM 15,41,18,Justin Tucker kicks extra point good,0.000,0.000
4,6:32,,,BAL 35,41,18,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
4,6:32,1,10,TAM 30,41,18,Baker Mayfield pass complete short middle to Chris Godwin for 5 yards (tackle by Marcus Williams),0.940,1.070
4,6:12,2,5,TAM 35,41,18,Baker Mayfield pass complete deep middle to Cade Otton for 28 yards (tackle by Eddie Jackson),1.070,3.120
4,5:55,1,10,BAL 37,41,18,Baker Mayfield pass complete short right to Cade Otton for 6 yards (tackle by Kyle Hamilton),3.120,3.380
4,5:37,2,4,BAL 31,41,18,Baker Mayfield pass incomplete deep right intended for Jalen McMillan,3.380,2.680
4,5:26,3,4,BAL 31,41,18,Baker Mayfield pass complete short left to Chris Godwin for 4 yards (tackle by Ar'Darius Washington),2.680,3.780
