Quarter,Time,Down,ToGo,Location,DEN,NOR,Detail,EPB,EPA
,,,,,,,Saints won the coin toss and deferred Broncos to receive the opening kickoff.,,
1,15:00,,,NOR 35,0,0,Blake Grupe kicks off 61 yards returned by Marvin Mims for 31 yards (tackle by Blake Grupe),0.000,1.270
1,14:54,1,10,DEN 35,0,0,Bo Nix scrambles up the middle for 14 yards (tackle by Jordan Howden and Tyrann Mathieu),1.270,2.190
1,14:12,1,10,DEN 49,0,0,Bo Nix pass complete short right to Troy Franklin for 2 yards (tackle by Paulson Adebo),2.190,1.920
1,13:32,2,8,NOR 49,0,0,Bo Nix right end for 8 yards (tackle by Paulson Adebo),1.920,2.850
1,12:56,1,10,NOR 41,0,0,Bo Nix pass incomplete deep left intended for Lucas Krull,2.850,2.310
1,12:48,2,10,NOR 41,0,0,Bo Nix pass incomplete deep left intended for Troy Franklin,2.310,1.620
1,12:40,3,10,NOR 41,0,0,Bo Nix pass incomplete short middle intended for Adam Trautman,1.620,0.530
1,12:36,4,10,NOR 41,0,0,Riley Dixon punts 33 yards fair catch by Jermaine Jackson at NO-8,0.530,0.380
1,12:30,1,10,NOR 8,0,0,Spencer Rattler pass complete deep left to Foster Moreau for 32 yards (tackle by P.J. Locke),-0.380,1.600
1,11:55,1,10,NOR 40,0,0,Alvin Kamara right tackle for 1 yard (tackle by John Franklin-Myers and D.J. Jones),1.600,1.190
1,11:26,2,9,NOR 41,0,0,Spencer Rattler pass incomplete deep right intended for Mason Tipton (defended by Cody Barton),1.190,0.500
1,11:08,3,9,NOR 41,0,0,Spencer Rattler pass complete short left to Cedrick Wilson for 7 yards (tackle by Ja'Quan McMillian),0.500,-0.190
1,10:33,4,2,NOR 48,0,0,Matthew Hayball punts 52 yards touchback.,-0.190,-0.280
1,10:32,1,10,DEN 20,0,0,Bo Nix pass complete short left to Marvin Mims for 7 yards (tackle by Marshon Lattimore),0.280,0.680
1,10:03,2,3,DEN 27,0,0,Audric Estime left tackle for 6 yards (tackle by Khristian Boyd),0.680,1.140
1,9:18,1,10,DEN 33,0,0,Bo Nix pass complete short right to Devaughn Vele for 20 yards (tackle by Alontae Taylor),1.140,2.460
1,8:37,1,10,NOR 47,0,0,Bo Nix pass complete short right to Troy Franklin for 2 yards (tackle by Jordan Howden),2.460,2.180
1,8:06,2,8,NOR 45,0,0,Javonte Williams right guard for 10 yards (tackle by Paulson Adebo and Anfernee Orji),2.180,3.250
1,7:40,1,10,NOR 35,0,0,Bo Nix pass complete short right to Javonte Williams for 6 yards (tackle by Demario Davis),3.250,3.510
1,7:01,2,4,NOR 29,0,0,Jaleel McLaughlin left tackle for -2 yards (tackle by Anfernee Orji),3.510,2.540
1,6:19,3,6,NOR 31,0,0,Bo Nix scrambles left end for 3 yards (tackle by Demario Davis),2.540,1.680
1,5:32,4,3,NOR 28,3,0,Wil Lutz 46 yard field goal good,1.680,3.000
1,5:28,,,DEN 35,3,0,Wil Lutz kicks off 64 yards returned by Jermaine Jackson for 31 yards (tackle by Michael Burton and Levelle Bailey),0.000,1.070
1,5:21,1,10,NOR 32,3,0,Alvin Kamara left end for no gain (tackle by Cody Barton),1.070,0.530
1,4:53,2,10,NOR 32,3,0,Kendre Miller right guard for 8 yards (tackle by Brandon Jones),0.530,0.890
1,4:20,3,2,NOR 40,3,0,Spencer Rattler pass complete short right to Bub Means for 10 yards,0.890,2.260
1,3:51,1,10,NOR 50,3,0,Spencer Rattler sacked by Cody Barton for no gain. Spencer Rattler fumbles (forced by Cody Barton) recovered by Kwon Alexander at DEN-45,2.260,-1.930
1,3:39,1,10,DEN 45,3,0,Bo Nix pass complete short middle to Lucas Krull for 5 yards (tackle by Alontae Taylor),1.930,2.060
1,3:02,2,5,DEN 50,3,0,Javonte Williams right guard for 4 yards (tackle by Paulson Adebo and Nathan Shepherd),2.060,1.880
1,2:02,3,1,NOR 46,3,0,Bo Nix up the middle for 2 yards (tackle by Bryan Bresee),1.880,2.650
1,1:37,1,10,NOR 44,3,0,Javonte Williams right tackle for 7 yards (tackle by Paulson Adebo and Cameron Jordan),2.650,3.060
1,0:57,2,3,NOR 37,3,0,Javonte Williams left guard for 3 yards (tackle by Jordan Howden),3.060,3.310
1,0:18,1,10,NOR 34,3,0,Bo Nix pass incomplete short right intended for Courtland Sutton. Penalty on Paulson Adebo: Defensive Holding 5 yards (accepted) (no play),3.310,3.640
1,0:13,1,10,NOR 29,3,0,Bo Nix pass complete short left to Troy Franklin for 12 yards (tackle by Demario Davis and Alontae Taylor),3.640,4.440
2,15:00,1,10,NOR 17,3,0,Javonte Williams right end for 5 yards (tackle by Demario Davis and Paulson Adebo),4.440,4.690
2,14:24,2,5,NOR 12,3,0,Bo Nix scrambles left end for 4 yards (tackle by Marshon Lattimore),4.690,4.800
2,13:38,3,1,NOR 8,3,0,Bo Nix pass incomplete short right intended for Adam Trautman,4.800,2.990
2,13:27,4,1,NOR 8,3,0,Penalty on Bo Nix: Delay of Game 5 yards (accepted) (no play),2.990,2.590
2,13:27,4,6,NOR 13,6,0,Wil Lutz 32 yard field goal good,2.590,3.000
2,13:24,,,DEN 35,6,0,Wil Lutz kicks off 67 yards returned by Jermaine Jackson for 32 yards (tackle by Levelle Bailey and Nate Adkins),0.000,0.940
2,13:19,1,10,NOR 30,6,0,Spencer Rattler sacked by Jordan Jackson for no gain. Spencer Rattler fumbles (forced by Jordan Jackson) recovered by Cody Barton at NO-14 touchdown. Penalty on D.J. Jones: Defensive Offside 5 yards (accepted) (no play),0.940,1.670
2,13:10,1,5,NOR 35,6,0,Penalty on Baron Browning: Neutral Zone Infraction 5 yards (accepted) (no play),1.670,1.600
2,13:10,1,10,NOR 40,6,0,Spencer Rattler pass incomplete deep middle intended for Mason Tipton,1.600,1.050
2,13:04,2,10,NOR 40,6,0,Spencer Rattler pass complete short right to Juwan Johnson for 5 yards (tackle by Cody Barton),1.050,1.030
2,12:30,3,5,NOR 45,6,0,Spencer Rattler pass incomplete deep right intended for Bub Means,1.030,-0.390
2,12:23,4,5,NOR 45,6,0,Matthew Hayball punts 42 yards returned by Marvin Mims for 1 yard (tackle by Rico Payton),-0.390,0.280
2,12:14,1,10,DEN 14,6,0,Bo Nix scrambles right end for 4 yards (tackle by Cameron Jordan),-0.280,-0.210
2,11:35,2,6,DEN 18,6,0,Javonte Williams right guard for 20 yards (tackle by Tyrann Mathieu),-0.210,1.470
2,10:52,1,10,DEN 38,6,0,Audric Estime left guard for 4 yards (tackle by John Ridgeway),1.470,1.460
2,10:13,2,6,DEN 42,6,0,Bo Nix pass complete short left to Javonte Williams for 9 yards (tackle by Jordan Howden),1.460,2.320
2,9:37,1,10,NOR 49,6,0,Bo Nix pass complete deep right to Troy Franklin for 30 yards (tackle by Kool-Aid McKinstry),2.320,4.310
2,9:03,1,10,NOR 19,6,0,Javonte Williams right guard for 2 yards (tackle by Alontae Taylor),4.310,4.030
2,8:22,2,8,NOR 17,6,0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 9 yards (tackle by Alontae Taylor),4.030,5.370
2,7:33,1,8,NOR 8,12,0,Javonte Williams right guard for 8 yards touchdown,5.370,7.000
2,7:30,,,NOR 15,13,0,Wil Lutz kicks extra point good,0.000,0.000
2,7:30,,,DEN 35,13,0,Wil Lutz kicks off 66 yards returned by Jermaine Jackson for 22 yards (tackle by JL Skinner and Justin Strnad),0.000,0.340
2,7:26,1,10,NOR 21,13,0,Alvin Kamara right guard for 6 yards (tackle by Nik Bonitto and Cody Barton),0.340,0.610
2,6:52,2,4,NOR 27,13,0,Jamaal Williams left guard for 2 yards (tackle by Malcolm Roach),0.610,0.170
2,6:10,3,2,NOR 29,13,0,Spencer Rattler scrambles right end for 1 yard (tackle by Cody Barton),0.170,-1.370
2,5:27,,,,,,Timeout #1 by New Orleans Saints,,
2,5:27,4,1,NOR 30,13,0,Spencer Rattler pass complete short left to Juwan Johnson for 12 yards (tackle by Riley Moss and Kwon Alexander),-1.370,1.730
2,4:52,1,10,NOR 42,13,0,Spencer Rattler pass complete short right to Alvin Kamara for 6 yards (tackle by Brandon Jones),1.730,2.000
2,4:21,2,4,NOR 48,13,0,Alvin Kamara right end for 2 yards (tackle by Jordan Jackson and Brandon Jones),2.000,1.550
2,3:42,3,2,NOR 50,13,0,Spencer Rattler scrambles left end for 28 yards (tackle by Cody Barton),1.550,4.110
2,3:07,,,,,,Timeout #1 by Denver Broncos,,
2,3:07,1,10,DEN 22,13,0,Alvin Kamara right end for -7 yards (tackle by Ja'Quan McMillian),4.110,2.620
2,2:32,2,17,DEN 29,13,0,Spencer Rattler pass complete short right to Mason Tipton for 6 yards (tackle by Riley Moss),2.620,2.740
2,2:27,,,,,,Timeout #2 by Denver Broncos,,
2,2:27,3,11,DEN 23,13,0,Spencer Rattler pass complete short right to Foster Moreau for 6 yards (tackle by Justin Strnad and Riley Moss),2.740,2.360
2,2:00,4,5,DEN 17,13,3,Blake Grupe 35 yard field goal good,2.360,3.000
2,1:57,,,NOR 35,13,3,Blake Grupe kicks off 66 yards returned by Marvin Mims for 29 yards (tackle by Adam Prentice),0.000,0.810
2,1:52,1,10,DEN 28,13,3,Bo Nix pass complete short right to Javonte Williams for 8 yards (tackle by Cameron Jordan and Jordan Howden),0.810,1.340
2,1:31,2,2,DEN 36,13,3,Bo Nix pass incomplete short middle intended for Devaughn Vele,1.340,0.630
2,1:22,3,2,DEN 36,13,3,Bo Nix pass complete short middle to Lucas Krull for 13 yards (tackle by Tyrann Mathieu and Johnathan Abram),0.630,2.190
2,0:56,1,10,DEN 49,13,3,Bo Nix pass incomplete short middle,2.190,1.650
2,0:55,2,10,DEN 49,13,3,Bo Nix pass incomplete deep left intended for Devaughn Vele,1.650,0.960
2,0:49,3,10,DEN 49,13,3,Bo Nix pass complete short right to Marvin Mims for 11 yards (tackle by Alontae Taylor),0.960,2.920
