Quarter,Time,Down,ToGo,Location,NWE,JAX,Detail,EPB,EPA
,,,,,,,Jaguars won the coin toss and deferred Patriots to receive the opening kickoff.,,
1,15:00,,,JAX 35,0,0,Cam Little kicks off 62 yards returned by Antonio Gibson for 29 yards (tackle by Yasir Abdullah),0.000,1.070
1,14:55,1,10,NWE 32,0,0,Drake Maye scrambles right guard for 2 yards (tackle by Travon Walker),1.070,0.800
1,14:23,2,8,NWE 34,0,0,Drake Maye pass complete short left to Demario Douglas for 5 yards (tackle by Jarrian Jones),0.800,0.760
1,13:48,3,3,NWE 39,0,0,Drake Maye pass complete short left to Demario Douglas for 9 yards (tackle by Ronald Darby),0.760,2.130
1,13:05,1,10,NWE 48,0,0,Drake Maye pass incomplete deep right intended for Ja'Lynn Polk (defended by Ronald Darby),2.130,1.580
1,12:58,2,10,NWE 48,0,0,Drake Maye pass complete short right to Hunter Henry for 18 yards (tackle by Andre Cisco and Devin Lloyd),1.580,3.310
1,12:13,1,10,JAX 34,0,0,Rhamondre Stevenson right guard for 3 yards (tackle by Devin Lloyd),3.310,3.180
1,11:31,2,7,JAX 31,0,0,Drake Maye scrambles left tackle for no gain (tackle by Devin Lloyd). Penalty on Demario Douglas: Illegal Shift 5 yards (accepted) (no play),3.180,2.500
1,11:10,2,12,JAX 36,0,0,Drake Maye pass complete short middle to Antonio Gibson for 9 yards (tackle by Tyler Lacy and Ventrell Miller),2.500,3.010
1,10:52,3,3,JAX 27,0,0,Rhamondre Stevenson right guard for 11 yards (tackle by Ventrell Miller),3.010,4.510
1,10:02,1,10,JAX 16,0,0,Drake Maye sacked by Devin Lloyd for -5 yards,4.510,3.280
1,9:22,2,15,JAX 21,0,0,Drake Maye pass complete short right to Hunter Henry for 5 yards (tackle by Andre Cisco),3.280,3.080
1,8:40,3,10,JAX 16,6,0,Drake Maye pass complete short right to Jamycal Hasty for 16 yards touchdown,3.080,7.000
1,8:32,,,JAX 15,7,0,Joey Slye kicks extra point good,0.000,0.000
1,8:32,,,NWE 35,7,0,Joey Slye kicks off 65 yards touchback.,0.000,0.940
1,8:32,1,10,JAX 30,7,0,Trevor Lawrence pass complete short left to Evan Engram for 8 yards (tackle by Marte Mapu),0.940,1.470
1,8:03,2,2,JAX 38,7,0,Trevor Lawrence pass complete short middle to Evan Engram for 13 yards (tackle by Kyle Dugger),1.470,2.320
1,7:20,1,10,NWE 49,7,0,Tank Bigsby right tackle for no gain (tackle by Anfernee Jennings and Christian Elliss),2.320,1.780
1,6:38,2,10,NWE 49,7,0,Tank Bigsby right guard for 4 yards (tackle by Anfernee Jennings and Davon Godchaux),1.780,1.620
1,5:55,3,6,NWE 45,7,0,Trevor Lawrence pass complete short left to D'Ernest Johnson for no gain (tackle by Jonathan Jones),1.620,0.270
1,5:13,4,6,NWE 45,7,0,Logan Cooke punts 38 yards returned by Marcus Jones for 8 yards (tackle by Ventrell Miller),0.270,0.220
1,5:02,1,10,NWE 15,7,0,Rhamondre Stevenson right end for 1 yard (tackle by Devin Lloyd),-0.220,-0.580
1,4:23,2,9,NWE 16,7,0,Drake Maye pass incomplete short middle intended for Kendrick Bourne. Penalty on Josh Hines-Allen: Defensive Offside 5 yards (accepted) (no play),-0.580,0.210
1,4:20,2,4,NWE 21,7,0,Drake Maye pass incomplete short right intended for Rhamondre Stevenson,0.210,-0.630
1,4:17,3,4,NWE 21,7,0,Drake Maye scrambles up the middle for 15 yards (tackle by Darnell Savage),-0.630,1.330
1,3:37,1,10,NWE 36,7,0,Antonio Gibson right tackle for no gain (tackle by Ventrell Miller and Arik Armstead),1.330,0.790
1,2:58,2,10,NWE 36,7,0,Drake Maye pass complete short left to Hunter Henry for 13 yards (tackle by Devin Lloyd and Tyson Campbell),0.790,2.190
1,2:19,1,10,NWE 49,7,0,Antonio Gibson right guard for 1 yard (tackle by Ventrell Miller and Devin Lloyd),2.190,1.780
1,1:49,2,9,NWE 50,7,0,Drake Maye pass complete short right to Hunter Henry for 12 yards (tackle by Ventrell Miller),1.780,3.050
1,1:14,1,10,JAX 38,7,0,Antonio Gibson right tackle for 3 yards (tackle by Josh Hines-Allen and DaVon Hamilton),3.050,2.910
1,0:33,2,7,JAX 35,7,0,Rhamondre Stevenson left tackle for no gain (tackle by Travon Walker and Ventrell Miller). Penalty on Josh Hines-Allen: Defensive Offside 5 yards (accepted) (no play),2.910,3.590
1,0:08,2,2,JAX 30,7,0,Penalty on Jordan Jefferson: Neutral Zone Infraction 5 yards (accepted) (no play),3.590,3.910
2,15:00,1,10,JAX 25,7,0,Drake Maye pass complete short right to Rhamondre Stevenson for 3 yards (tackle by Jeremiah Ledbetter),3.910,3.770
2,14:21,2,7,JAX 22,7,0,Rhamondre Stevenson right tackle for no gain (tackle by Ventrell Miller),3.770,3.070
2,13:40,3,7,JAX 22,7,0,Drake Maye pass incomplete short left intended for Kendrick Bourne,3.070,1.990
2,13:35,4,7,JAX 22,10,0,Joey Slye 41 yard field goal good,1.990,3.000
2,13:31,,,NWE 35,10,0,Joey Slye kicks off 60 yards returned by Parker Washington for 27 yards (tackle by Marte Mapu),0.000,1.070
2,13:26,1,10,JAX 32,10,0,Trevor Lawrence pass complete short left to Gabriel Davis for 13 yards (tackle by Jahlani Tavai),1.070,1.930
2,12:51,1,10,JAX 45,10,0,Brian Thomas right end for 1 yard (tackle by Anfernee Jennings),1.930,1.520
2,12:01,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,12:01,2,9,JAX 46,10,0,Trevor Lawrence pass complete deep middle to Christian Kirk for 24 yards (tackle by Kyle Dugger),1.520,3.580
2,11:30,1,10,NWE 30,10,0,D'Ernest Johnson right tackle for 10 yards (tackle by Kyle Dugger),3.580,4.240
2,10:54,1,10,NWE 20,10,0,Tank Bigsby left tackle for 13 yards (tackle by Marte Mapu and Christian Elliss),4.240,5.600
2,10:10,1,7,NWE 7,10,0,Trevor Lawrence pass incomplete short middle intended for D'Ernest Johnson (defended by Kyle Dugger),5.600,4.760
2,10:05,2,7,NWE 7,10,0,Tank Bigsby up the middle for 1 yard (tackle by Raekwon McMillan),4.760,4.040
2,9:25,3,6,NWE 6,10,6,Trevor Lawrence pass complete short middle to Brian Thomas for 6 yards touchdown,4.040,7.000
2,9:21,,,NWE 15,10,7,Cam Little kicks extra point good,0.000,0.000
2,9:21,,,JAX 35,10,7,Cam Little kicks off 65 yards touchback.,0.000,0.940
2,9:18,1,10,NWE 30,10,7,Drake Maye pass incomplete short middle intended for Kayshon Boutte. Penalty on Montaric Brown: Defensive Pass Interference 9 yards (accepted) (no play),0.940,1.530
2,9:17,1,10,NWE 39,10,7,Rhamondre Stevenson right tackle for -1 yards (tackle by Arik Armstead),1.530,0.850
2,8:36,2,11,NWE 38,10,7,Drake Maye pass complete short left to Hunter Henry for -4 yards (tackle by Jeremiah Ledbetter and Devin Lloyd),0.850,-0.360
2,7:52,3,15,NWE 34,10,7,Drake Maye pass complete short left to Jamycal Hasty for 8 yards (tackle by Yasir Abdullah),-0.360,-0.590
2,7:18,4,7,NWE 42,10,7,Bryce Baringer punts 40 yards fair catch by Parker Washington at JAC-18,-0.590,-0.040
2,7:09,1,10,JAX 18,10,7,Tank Bigsby right guard for 3 yards (tackle by Jaquelin Roy and Christian Elliss),0.040,0.010
2,6:32,2,7,JAX 21,10,7,Trevor Lawrence pass complete deep middle to Brian Thomas for 58 yards (tackle by Christian Gonzalez),0.010,4.170
2,5:37,1,10,NWE 21,10,7,Trevor Lawrence pass complete short left to Evan Engram for 3 yards (tackle by Keion White),4.170,4.040
2,5:00,2,7,NWE 18,10,7,Tank Bigsby left tackle for 10 yards (tackle by Christian Gonzalez),4.040,5.370
