Quarter,Time,Down,ToGo,Location,TEN,BUF,Detail,EPB,EPA
,,,,,,,Bills won the coin toss Bills to receive the opening kickoff.,,
1,15:00,,,TEN 35,0,0,Nick Folk kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,BUF 30,0,0,James Cook left guard for 5 yards (tackle by Ernest Jones and T'Vondre Sweat),0.940,1.070
1,14:26,2,5,BUF 35,0,0,James Cook up the middle for 4 yards (tackle by Kenneth Murray and T'Vondre Sweat),1.070,0.890
1,13:44,3,1,BUF 39,0,0,Josh Allen pass incomplete short left intended for Amari Cooper,0.890,-0.780
1,13:31,4,1,BUF 39,0,0,Sam Martin punts 46 yards returned by Jha'Quan Jackson for no gain (tackle by Baylon Spector). Penalty on Tre Avery: Offensive Holding 7 yards (accepted),-0.780,0.380
1,13:31,1,10,TEN 8,0,0,Mason Rudolph pass complete short left to Josh Whyle for 11 yards (tackle by Dorian Williams),-0.380,0.150
1,12:54,1,10,TEN 19,0,0,Mason Rudolph pass complete short right to Nick Vannett for 6 yards (tackle by Taylor Rapp and Dorian Williams),0.150,0.480
1,12:14,2,4,TEN 25,0,0,Mason Rudolph pass complete short left to Calvin Ridley for no gain (tackle by Terrel Bernard),0.480,-0.290
1,11:32,3,4,TEN 25,0,0,Mason Rudolph pass incomplete short right intended for Calvin Ridley (defended by Taron Johnson),-0.290,-1.700
1,11:25,4,4,TEN 25,0,0,Ryan Stonehouse punts 60 yards returned by Brandon Codrington for 12 yards (tackle by Luke Gifford),-1.700,-0.740
1,11:14,1,10,BUF 27,0,0,Josh Allen pass complete short left to Dawson Knox for 5 yards (tackle by Kenneth Murray and Jarvis Brownlee),0.740,0.870
1,10:39,2,5,BUF 32,0,0,Penalty on Dion Dawkins: False Start 5 yards (accepted) (no play),0.870,0.200
1,10:18,2,10,BUF 27,0,0,Josh Allen pass incomplete short left intended for Curtis Samuel (defended by Jeffery Simmons),0.200,-0.490
1,10:14,3,10,BUF 27,0,0,Josh Allen pass incomplete deep left intended for Keon Coleman,-0.490,-1.570
1,10:07,4,10,BUF 27,0,0,Sam Martin punts 41 yards out of bounds,-1.570,-1.070
1,10:00,1,10,TEN 32,0,0,Tony Pollard left guard for 2 yards (tackle by Terrel Bernard),1.070,0.800
1,9:21,2,8,TEN 34,0,0,Tony Pollard up the middle for no gain (tackle by Terrel Bernard). Penalty on Gregory Rousseau: Defensive Offside 5 yards (accepted) (no play),0.800,1.470
1,8:57,2,3,TEN 39,0,0,Mason Rudolph pass incomplete short left intended for Tony Pollard (defended by A.J. Epenesa),1.470,0.760
1,8:52,,,,,,Timeout #1 by Tennessee Titans,,
1,8:52,3,3,TEN 39,0,0,Mason Rudolph pass complete short left to Nick Westbrook-Ikhine for 6 yards (tackle by Dorian Williams),0.760,1.930
1,8:22,1,10,TEN 45,0,0,Mason Rudolph pass incomplete short right intended for Tony Pollard,1.930,1.380
1,8:17,2,10,TEN 45,0,0,Tony Pollard left end for no gain (tackle by Dawuane Smoot),1.380,0.700
1,7:34,3,10,TEN 45,0,0,Mason Rudolph pass complete short middle to Tyler Boyd for 12 yards (tackle by Terrel Bernard and Taron Johnson),0.700,2.720
1,6:58,1,10,BUF 43,0,0,Tony Pollard left tackle for 14 yards (tackle by Christian Benford and Damar Hamlin),2.720,3.640
1,6:20,1,10,BUF 29,0,0,Tony Pollard right end for 4 yards (tackle by Dorian Williams),3.640,3.640
1,5:58,2,6,BUF 25,0,0,Mason Rudolph pass complete short right to Nick Vannett for 11 yards (tackle by Damar Hamlin),3.640,4.650
1,5:20,1,10,BUF 14,0,0,Penalty on Dillon Radunz: False Start 5 yards (accepted) (no play),4.650,4.260
1,5:02,1,15,BUF 19,0,0,Mason Rudolph pass complete short right to Tyler Boyd for 3 yards (tackle by Terrel Bernard and Gregory Rousseau),4.260,3.720
1,4:20,2,12,BUF 16,0,0,Mason Rudolph pass complete short right to Nick Vannett for -1 yards (tackle by Dorian Williams),3.720,2.930
1,3:44,3,13,BUF 17,0,0,Mason Rudolph pass complete short left to Tyler Boyd for 10 yards (tackle by Damar Hamlin),2.930,2.990
1,3:00,4,3,BUF 7,3,0,Nick Folk 25 yard field goal good,2.990,3.000
1,2:57,,,TEN 35,3,0,Nick Folk kicks off 65 yards touchback.,0.000,0.940
1,2:57,1,10,BUF 30,3,0,James Cook left guard for 5 yards (tackle by Ernest Jones),0.940,1.070
1,2:17,2,5,BUF 35,3,0,James Cook up the middle for -1 yards (tackle by Harold Landry),1.070,0.230
1,1:36,3,6,BUF 34,3,0,Josh Allen pass incomplete deep middle intended for Mack Hollins (defended by Darrell Baker),0.230,-1.110
1,1:29,4,6,BUF 34,3,0,Sam Martin punts 39 yards returned by Jha'Quan Jackson for 8 yards (tackle by Reid Ferguson and Quintin Morris). Penalty on James Williams: Offensive Holding 10 yards (accepted),-1.110,-0.610
