Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA
,,,,,,,Commanders won the coin toss and deferred Panthers to receive the opening kickoff.,,
1,15:00,,,WAS 35,0,0,Austin Seibert kicks off 59 yards returned by Raheem Blackshear for 18 yards (tackle by Colson Yankoff). Penalty on Lonnie Johnson: Offensive Holding 10 yards (accepted),0.000,-0.280
1,14:55,1,10,CAR 14,0,0,Andy Dalton pass complete short right to Ja'Tavion Sanders for 7 yards (tackle by Benjamin St-Juste),-0.280,0.280
1,14:24,2,3,CAR 21,0,0,Chuba Hubbard left end for 4 yards (tackle by Mike Sainristil and Quan Martin),0.280,0.610
1,13:51,1,10,CAR 25,0,0,Miles Sanders left end for 26 yards (tackle by Noah Igbinoghene),0.610,2.320
1,13:19,1,10,WAS 49,0,0,Chuba Hubbard left tackle for 6 yards (tackle by Bobby Wagner and Daron Payne),2.320,2.590
1,12:37,2,4,WAS 43,0,0,Andy Dalton pass complete deep right to Diontae Johnson for 17 yards (tackle by Mike Sainristil). Penalty on Clelin Ferrell: Defensive Offside 5 yards (declined),2.590,3.840
1,12:13,1,10,WAS 26,0,0,Andy Dalton pass incomplete short left intended for Xavier Legette,3.840,3.300
1,12:08,2,10,WAS 26,0,0,Chuba Hubbard left end for 1 yard (tackle by Clelin Ferrell),3.300,2.740
1,11:27,3,9,WAS 25,0,6,Andy Dalton pass short right intended for Miles Sanders is intercepted by Dante Fowler at WAS-33 and returned for 67 yards touchdown,2.740,-7.000
1,11:14,,,CAR 15,0,7,Austin Seibert kicks extra point good,0.000,0.000
1,11:14,,,WAS 35,0,7,Austin Seibert kicks off 60 yards returned by Raheem Blackshear for 30 yards (tackle by Jeremy Chinn),0.000,1.270
1,11:09,1,10,CAR 35,0,7,Chuba Hubbard left guard for 1 yard (tackle by Jamin Davis and Frankie Luvu),1.270,0.860
1,10:28,2,9,CAR 36,0,7,Andy Dalton pass complete short middle to Ja'Tavion Sanders for 5 yards (tackle by Noah Igbinoghene),0.860,0.830
1,9:51,3,4,CAR 41,0,7,Andy Dalton pass incomplete short middle intended for Diontae Johnson (defended by Mike Sainristil),0.830,-0.650
1,9:46,4,4,CAR 41,0,7,Johnny Hekker punts 49 yards fair catch by Olamide Zaccheaus at WAS-10,-0.650,0.380
1,9:38,1,10,WAS 10,0,7,Jayden Daniels right end for 46 yards (tackle by Marquis Haynes and Lonnie Johnson),-0.380,2.650
1,8:53,1,10,CAR 44,0,7,Austin Ekeler right tackle for 5 yards (tackle by Nick Thurman),2.650,2.780
1,8:19,2,5,CAR 39,0,7,Penalty on Tyler Biadasz: False Start 5 yards (accepted) (no play),2.780,2.110
1,8:00,2,10,CAR 44,0,7,Jeremy McNichols left guard for 9 yards (tackle by Chandler Wooten),2.110,2.610
1,7:15,3,1,CAR 35,0,7,Brian Robinson left end for 3 yards (tackle by Xavier Woods and Trevin Wallace),2.610,3.450
1,6:54,1,10,CAR 32,0,7,Brian Robinson up the middle for 11 yards (tackle by Nick Scott),3.450,4.170
1,6:31,1,10,CAR 21,0,7,Jayden Daniels left end for 7 yards (tackle by Xavier Woods),4.170,4.740
1,5:53,2,3,CAR 14,0,7,Brian Robinson left guard for 6 yards (tackle by Dane Jackson and Trevin Wallace),4.740,5.370
1,5:15,1,8,CAR 8,0,7,Jayden Daniels pass complete short right to Terry McLaurin for 3 yards (tackle by Trevin Wallace),5.370,5.150
1,4:39,2,5,CAR 5,0,7,Jayden Daniels up the middle for -3 yards (tackle by Thomas Incoom),5.150,3.580
1,4:05,3,8,CAR 8,0,7,Jayden Daniels pass complete short right to Austin Ekeler for 3 yards (tackle by Chandler Wooten),3.580,3.010
1,3:21,4,5,CAR 5,0,10,Austin Seibert 23 yard field goal good,3.010,3.000
1,3:18,,,WAS 35,0,10,Austin Seibert kicks off 56 yards returned by Raheem Blackshear for 16 yards (tackle by Darrick Forrest),0.000,0.610
1,3:13,1,10,CAR 25,0,10,Andy Dalton pass complete short left to Jalen Coker for 10 yards (tackle by Mike Sainristil and Bobby Wagner),0.610,1.270
1,2:36,1,10,CAR 35,0,10,Andy Dalton pass deep middle intended for Diontae Johnson is intercepted by Emmanuel Forbes at WAS-45 and returned for 19 yards (tackle by Damien Lewis). Penalty on Damien Lewis: Ineligible Downfield Pass 10 yards (declined) . Penalty on Clelin Ferrell: Offensive Illegal Block Above the Waist 10 yards (accepted),1.270,-2.520
1,2:27,1,10,CAR 46,0,10,Marcus Mariota left end for 4 yards (tackle by Jaycee Horn),2.520,2.520
1,1:51,2,6,CAR 42,0,10,Marcus Mariota sacked by Charles Harris for -4 yards,2.520,1.290
1,1:11,3,10,CAR 46,0,10,Penalty on Zach Ertz: False Start 5 yards (accepted) (no play),1.290,0.630
1,0:48,3,15,WAS 49,0,10,Marcus Mariota pass incomplete deep right intended for Dyami Brown,0.630,-0.130
1,0:41,4,15,WAS 49,0,10,Tress Way punts 40 yards fair catch by David Moore at CAR-11,-0.130,0.370
1,0:34,1,10,CAR 11,0,10,Chuba Hubbard up the middle for 4 yards (tackle by Jalyn Holmes),-0.370,-0.430
2,15:00,2,6,CAR 15,0,10,Chuba Hubbard left tackle for 1 yard (tackle by Daron Payne),-0.430,-0.840
2,14:19,3,5,CAR 16,0,10,Andy Dalton sacked by Frankie Luvu for -4 yards,-0.840,-2.490
2,13:33,4,9,CAR 12,0,10,Johnny Hekker punts 62 yards returned by Olamide Zaccheaus for 15 yards (tackle by Jacoby Windmon),-2.490,-1.660
2,13:22,1,10,WAS 41,0,10,Brian Robinson right tackle for 8 yards (tackle by Trevin Wallace and Chau Smith-Wade),1.660,2.200
2,12:44,2,2,WAS 49,0,10,Brian Robinson left guard for 7 yards (tackle by DJ Johnson and Nick Scott),2.200,2.650
2,12:12,1,10,CAR 44,0,10,Marcus Mariota pass incomplete deep right intended for Noah Brown. Penalty on Chau Smith-Wade: Defensive Pass Interference 29 yards (accepted) (no play),2.650,4.580
2,12:05,1,10,CAR 15,0,10,Brian Robinson up the middle for 7 yards (tackle by Marquis Haynes and Jaycee Horn),4.580,5.220
2,11:40,2,3,CAR 8,0,16,Brian Robinson up the middle for 8 yards touchdown,5.220,7.000
2,11:35,,,CAR 15,0,17,Austin Seibert kicks extra point good,0.000,0.000
2,11:35,,,WAS 35,0,17,Austin Seibert kicks off 63 yards returned by Xavier Legette for 19 yards (tackle by Jeremy McNichols),0.000,0.340
2,11:27,1,10,CAR 21,0,17,Andy Dalton scrambles left end for 4 yards (tackle by Jeremy Chinn),0.340,0.340
2,10:53,2,6,CAR 25,0,17,Chuba Hubbard right guard for 4 yards (tackle by Jeremy Chinn and Bobby Wagner),0.340,0.170
2,10:15,3,2,CAR 29,0,17,Andy Dalton pass complete short left to Ian Thomas for 2 yards (tackle by Percy Butler),0.170,1.000
2,9:31,1,10,CAR 31,0,17,Chuba Hubbard up the middle for 8 yards (tackle by Jeremy Chinn and Quan Martin),1.000,1.540
2,8:57,2,2,CAR 39,0,17,Chuba Hubbard left guard for no gain (tackle by Daron Payne),1.540,0.830
2,8:18,3,2,CAR 39,0,17,Miles Sanders up the middle for 1 yard (tackle by Bobby Wagner and Clelin Ferrell),0.830,-0.720
2,7:34,4,1,CAR 40,0,17,Chuba Hubbard up the middle for -2 yards (tackle by Dante Fowler),-0.720,-3.050
