Quarter,Time,Down,ToGo,Location,HOU,GNB,Detail,EPB,EPA
,,,,,,,Packers won the coin toss Packers to receive the opening kickoff.,,
1,15:00,,,HOU 35,0,0,Ka'imi Fairbairn kicks off 61 yards returned by Keisean Nixon for 26 yards (tackle by Ka'imi Fairbairn). Penalty on Arron Mosby: Offensive Holding 10 yards (accepted),0.000,0.280
1,14:54,1,10,GNB 20,0,0,Jordan Love pass complete deep left to Romeo Doubs for 23 yards (tackle by D'Angelo Ross),0.280,1.800
1,14:19,1,10,GNB 43,0,0,Josh Jacobs up the middle for 4 yards (tackle by Neville Hewitt and Jake Hansen),1.800,1.790
1,13:37,2,6,GNB 47,0,0,Josh Jacobs left end for 3 yards (tackle by Tim Settle),1.790,1.490
1,12:59,3,3,GNB 50,0,0,Jordan Love pass short right (defended by Jalen Pitre) intended for Dontayvion Wicks is intercepted by Neville Hewitt at HOU-44 and returned for 45 yards (tackle by Sean Rhyan),1.490,-4.840
1,12:48,1,10,GNB 11,0,0,Joe Mixon right end for 1 yard (tackle by Evan Williams and Keisean Nixon),4.840,4.320
1,12:09,2,9,GNB 10,0,0,C.J. Stroud pass incomplete short right intended for Tank Dell,4.320,3.300
1,12:02,3,9,GNB 10,0,0,C.J. Stroud pass incomplete short middle intended for Tank Dell. Penalty on Preston Smith: Defensive Offside 5 yards (accepted) (no play),3.300,4.440
1,11:57,3,4,GNB 5,0,0,C.J. Stroud pass incomplete short right intended for Dare Ogunbowale,4.440,3.010
1,11:51,4,4,GNB 5,3,0,Ka'imi Fairbairn 23 yard field goal good,3.010,3.000
1,11:48,,,HOU 35,3,0,Penalty on Kingsley Enagbare: Unsportsmanlike Conduct / Defense 15 yards (accepted) (no play),0.000,0.000
1,11:48,,,HOU 50,3,0,Ka'imi Fairbairn kicks off 25 yards out of bounds. Penalty on Ka'imi Fairbairn: Kickoff Out of Bounds (accepted),0.000,0.610
1,11:48,1,10,GNB 25,3,0,Jordan Love pass complete short left to Jayden Reed for 4 yards (tackle by D'Angelo Ross),0.610,0.600
1,11:11,2,6,GNB 29,3,0,Bo Melton right end for -1 yards (tackle by Derek Stingley),0.600,-0.230
