Quarter,Time,Down,ToGo,Location,LAC,ARI,Detail,EPB,EPA
,,,,,,,Chargers won the coin toss and deferred Cardinals to receive the opening kickoff.,,
1,15:00,,,LAC 35,0,0,Cameron Dicker kicks off 66 yards returned by Greg Dortch for 31 yards (tackle by Troy Dye and Hassan Haskins),0.000,0.940
1,14:53,1,10,ARI 30,0,0,Kyler Murray pass incomplete short left intended for Trey McBride (defended by Khalil Mack),0.940,0.390
1,14:50,2,10,ARI 30,0,0,Kyler Murray scrambles right end for 5 yards (tackle by Tuli Tuipulotu),0.390,0.370
1,14:12,3,5,ARI 35,0,0,Kyler Murray pass complete short right to Marvin Harrison for 7 yards (tackle by Cam Hart),0.370,1.730
1,13:32,1,10,ARI 42,0,0,James Conner right tackle for 1 yard (tackle by Khalil Mack and Teair Tart),1.730,1.320
1,12:50,2,9,ARI 43,0,0,Kyler Murray scrambles left end for 16 yards (tackle by Alohi Gilman),1.320,2.850
1,12:04,1,10,LAC 41,0,0,Kyler Murray pass short middle (defended by Khalil Mack) intended for James Conner is intercepted by Teair Tart at LAC-46 and returned for 4 yards. Teair Tart fumbles (forced by James Conner) recovered by Michael Wilson at ARI-28,2.850,0.810
1,11:55,1,10,ARI 28,0,0,James Conner right tackle for 6 yards (tackle by Derwin James),0.810,1.070
1,11:13,2,4,ARI 34,0,0,Kyler Murray pass incomplete short middle intended for Trey McBride (defended by Daiyan Henley),1.070,0.370
1,11:10,3,4,ARI 34,0,0,Kyler Murray pass incomplete short right,0.370,-1.110
1,11:03,4,4,ARI 34,0,0,Blake Gillikin punts 54 yards fair catch by Jalen Reagor at LAC-12,-1.110,0.350
1,10:56,1,10,LAC 12,0,0,Justin Herbert pass complete short right to Simi Fehoko for 11 yards (tackle by Garrett Williams),-0.350,0.480
1,10:22,1,10,LAC 23,0,0,J.K. Dobbins left tackle for 7 yards (tackle by Kyzir White and Budda Baker),0.480,0.880
1,9:46,2,3,LAC 30,0,0,J.K. Dobbins up the middle for 4 yards (tackle by Zaven Collins and Dennis Gardeck),0.880,1.200
1,9:01,1,10,LAC 34,0,0,Justin Herbert pass complete short right to Will Dissly for 15 yards (tackle by Sean Murphy-Bunting and Mack Wilson),1.200,2.190
1,8:19,1,10,LAC 49,0,0,Justin Herbert pass complete short right to Will Dissly for 7 yards (tackle by Julian Okwara),2.190,2.590
