Quarter,Time,Down,ToGo,Location,LVR,LAR,Detail,EPB,EPA
,,,,,,,Rams won the coin toss and deferred Raiders to receive the opening kickoff.,,
1,15:00,,,LAR 35,0,0,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,LVR 30,0,0,Aidan O'Connell pass complete short middle to Brock Bowers for 8 yards (tackle by Jared Verse and Quentin Lake),0.940,1.470
1,14:21,2,2,LVR 38,0,0,Aidan O'Connell pass incomplete deep left intended for DJ Turner,1.470,0.760
1,14:14,3,2,LVR 38,0,0,Aidan O'Connell pass complete short left to Brock Bowers for 5 yards (tackle by Kamren Curl),0.760,1.800
1,13:41,1,10,LVR 43,0,0,Alexander Mattison left guard for 3 yards (tackle by Braden Fiske and Troy Reeder),1.800,1.660
1,13:03,2,7,LVR 46,0,0,Alexander Mattison left guard for 3 yards (tackle by Byron Young and Michael Hoecht),1.660,1.350
1,12:20,3,4,LVR 49,0,0,Aidan O'Connell pass incomplete short left intended for Tre Tucker,1.350,-0.130
1,12:14,4,4,LVR 49,0,0,AJ Cole punts 40 yards fair catch by Xavier Smith at LA-11,-0.130,0.370
1,12:07,1,10,LAR 11,0,0,Matthew Stafford pass complete short left to Tutu Atwell for 11 yards (tackle by Isaiah Pola-Mao),-0.370,0.410
1,11:51,1,10,LAR 22,0,0,Matthew Stafford pass incomplete short left intended for Tutu Atwell,0.410,-0.130
1,11:45,2,10,LAR 22,0,0,Matthew Stafford pass complete short middle to Tyler Johnson for 5 yards (tackle by Divine Deablo),-0.130,-0.160
1,11:06,3,5,LAR 27,0,0,Matthew Stafford pass complete short right to Tutu Atwell for 13 yards (tackle by Isaiah Pola-Mao),-0.160,1.600
1,10:29,1,10,LAR 40,0,0,Penalty on Colby Parkinson: False Start 5 yards (accepted) (no play),1.600,1.270
1,10:12,1,15,LAR 35,0,0,Kyren Williams up the middle for 3 yards (tackle by Adam Butler),1.270,0.780
1,9:32,2,12,LAR 38,0,0,Kyren Williams up the middle for 9 yards (tackle by Isaiah Pola-Mao),0.780,1.290
1,8:54,3,3,LAR 47,0,0,Matthew Stafford pass incomplete short right intended for Tyler Johnson (defended by Tre'von Moehrig),1.290,-0.260
1,8:43,4,3,LAR 47,0,0,Ethan Evans punts 45 yards fair catch by Alex Bachman at LV-8,-0.260,0.380
1,8:36,1,10,LVR 8,0,0,Alexander Mattison left tackle for 4 yards (tackle by Byron Young),-0.380,-0.490
1,7:58,2,6,LVR 12,0,0,Aidan O'Connell pass complete short left to Harrison Bryant for 7 yards (tackle by Darious Williams),-0.490,0.150
1,7:23,1,10,LVR 19,0,0,Aidan O'Connell pass incomplete short right,0.150,-0.390
1,7:15,2,10,LVR 19,0,0,Aidan O'Connell pass complete short right to Harrison Bryant for 12 yards (tackle by Troy Reeder),-0.390,1.000
1,6:36,1,10,LVR 31,0,0,Alexander Mattison up the middle for no gain (tackle by Kamren Curl and Quentin Lake). Penalty on Delmar Glaze: Offensive Holding 10 yards (accepted) (no play),1.000,0.340
1,6:03,1,20,LVR 21,0,0,Aidan O'Connell pass complete short middle to Alexander Mattison for 10 yards (tackle by Christian Rozeboom and Michael Hoecht),0.340,0.460
1,5:10,2,10,LVR 31,0,0,Aidan O'Connell pass incomplete short right. Penalty on Aidan O'Connell: Intentional Grounding 11 yards (accepted),0.460,-1.680
1,5:10,3,21,LVR 20,0,0,Aidan O'Connell pass complete short middle to DJ Turner for 10 yards (tackle by Quentin Lake),-1.680,-1.370
1,4:38,4,11,LVR 30,0,0,AJ Cole punts 46 yards out of bounds,-1.370,-0.540
1,4:32,1,10,LAR 24,0,0,Matthew Stafford pass complete short left to Hunter Long for 5 yards (tackle by Charles Snowden and Jakorian Bennett),0.540,0.670
1,4:12,2,5,LAR 29,0,0,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson. Penalty on Maxx Crosby: Roughing the Passer 15 yards (accepted) . Penalty on Jakorian Bennett: Defensive Holding 5 yards (declined) (no play),0.670,1.860
1,4:05,1,10,LAR 44,0,0,Matthew Stafford sacked by Maxx Crosby for -10 yards,1.860,-0.030
1,3:19,,,,,,Timeout #1 by Los Angeles Rams,,
1,3:19,2,20,LAR 34,0,0,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson,-0.030,-0.690
1,3:13,3,20,LAR 34,0,0,Kyren Williams up the middle for 1 yard (tackle by Adam Butler and K'Lavon Chaisson),-0.690,-1.040
1,2:40,4,19,LAR 35,0,0,Ethan Evans punts 41 yards out of bounds,-1.040,-0.540
1,2:33,1,10,LVR 24,0,0,Alexander Mattison right tackle for 13 yards (tackle by Quentin Lake and Darious Williams),0.540,1.400
1,1:53,1,10,LVR 37,0,0,Alexander Mattison left guard for 12 yards (tackle by Byron Young),1.400,2.190
1,1:09,1,10,LVR 49,0,0,Gardner Minshew pass incomplete short left,2.190,1.650
1,1:04,2,10,LVR 49,0,0,Alexander Mattison up the middle for 1 yard (tackle by Kamren Curl),1.650,1.090
1,0:21,3,9,LAR 50,0,0,Gardner Minshew pass complete short right to Brock Bowers for 25 yards (tackle by Jaylen McCollough),1.090,3.910
2,15:00,1,10,LAR 25,0,0,Gardner Minshew pass incomplete short middle intended for Brock Bowers (defended by Michael Hoecht),3.910,3.360
2,14:54,2,10,LAR 25,0,0,Alexander Mattison up the middle for 5 yards (tackle by Troy Reeder and Michael Hoecht),3.360,3.340
2,14:15,3,5,LAR 20,0,0,Gardner Minshew pass incomplete short right intended for Brock Bowers (defended by Cobie Durant),3.340,2.170
2,14:08,4,5,LAR 20,3,0,Daniel Carlson 38 yard field goal good,2.170,3.000
2,14:04,,,LVR 35,3,0,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
2,14:04,1,10,LAR 30,3,0,Matthew Stafford pass complete short left to Tutu Atwell for 7 yards (tackle by Decamerion Richardson),0.940,1.340
2,13:34,2,3,LAR 37,3,0,Blake Corum left guard for 5 yards (tackle by Nate Hobbs and Robert Spillane),1.340,1.730
2,13:00,1,10,LAR 42,3,0,Blake Corum left tackle for 1 yard (tackle by Divine Deablo),1.730,1.320
2,12:17,2,9,LAR 43,3,0,Blake Corum up the middle for 5 yards (tackle by K'Lavon Chaisson),1.320,1.290
2,11:31,3,4,LAR 48,3,0,Kyren Williams left tackle for 3 yards (tackle by Adam Butler),1.290,0.000
2,10:57,4,1,LVR 49,3,0,Kyren Williams up the middle for no gain (tackle by Nate Hobbs),0.000,-2.190
2,10:52,1,10,LVR 49,3,0,Gardner Minshew pass complete short left to Alexander Mattison for 3 yards (tackle by Darious Williams and Byron Young),2.190,2.050
2,10:13,2,7,LAR 48,3,0,Gardner Minshew sacked by Michael Hoecht for no gain,2.050,1.360
2,9:30,3,7,LAR 48,3,0,Gardner Minshew pass incomplete short right intended for DJ Turner,1.360,0.070
2,9:21,4,7,LAR 48,3,0,AJ Cole punts 48 yards touchback.,0.070,-0.280
2,9:13,1,10,LAR 20,3,0,Kyren Williams up the middle for 2 yards (tackle by Tyree Wilson),0.280,0.000
2,8:32,2,8,LAR 22,3,0,Matthew Stafford pass complete short middle to Tyler Johnson for 6 yards (tackle by Robert Spillane),0.000,0.100
2,7:53,3,2,LAR 28,3,0,Kyren Williams left tackle for 1 yard (tackle by Adam Butler and Tre'von Moehrig),0.100,-1.440
2,7:14,4,1,LAR 29,3,0,Ethan Evans punts 43 yards fair catch by Alex Bachman at LV-28,-1.440,-0.810
2,7:04,1,10,LVR 28,3,0,Gardner Minshew pass complete short left to Brock Bowers for 12 yards (tackle by Kamren Curl),0.810,1.600
2,6:27,1,10,LVR 40,3,0,Penalty on Jackson Powers-Johnson: False Start 5 yards (accepted) (no play),1.600,1.270
2,6:15,1,15,LVR 35,3,0,Alexander Mattison right tackle for -1 yards (tackle by Jared Verse),1.270,0.240
2,5:36,2,16,LVR 34,3,0,Gardner Minshew pass complete short right to Brock Bowers for 7 yards (tackle by Ahkello Witherspoon),0.240,0.500
2,5:01,3,9,LVR 41,3,0,Gardner Minshew pass short left intended for Brock Bowers is intercepted by Cobie Durant at LV-47 and returned for no gain (tackle by Brock Bowers) Penalty on LVR: Illegal Formation 5 yards (declined),0.500,-2.460
2,4:47,1,10,LVR 47,3,0,Kyren Williams left guard for 9 yards (tackle by Isaiah Pola-Mao),2.460,3.130
2,4:21,2,1,LVR 38,3,0,Kyren Williams left tackle for 2 yards (tackle by Adam Butler),3.130,3.180
2,3:51,1,10,LVR 36,3,0,Matthew Stafford pass complete short left to Colby Parkinson for 23 yards (tackle by Divine Deablo),3.180,4.710
2,3:05,1,10,LVR 13,3,6,Kyren Williams left guard for 13 yards touchdown,4.710,7.000
2,3:00,,,LVR 15,3,7,Joshua Karty kicks extra point good,0.000,0.000
2,3:00,,,LAR 35,3,7,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
2,3:00,1,10,LVR 30,3,7,Alexander Mattison up the middle for 4 yards (tackle by Kobie Turner and Neville Gallimore),0.940,0.930
2,2:39,2,6,LVR 34,3,7,Alexander Mattison right guard for 3 yards (tackle by Neville Gallimore and Christian Rozeboom),0.930,0.630
2,2:00,3,3,LVR 37,3,7,Gardner Minshew pass complete short middle to Brock Bowers for 7 yards (tackle by Byron Young),0.630,1.860
2,1:27,1,10,LVR 44,3,7,Gardner Minshew pass incomplete short left,1.860,1.320
2,1:23,2,10,LVR 44,3,13,Gardner Minshew sacked by Cobie Durant for -11 yards. Gardner Minshew fumbles (forced by Cobie Durant) recovered by Kamren Curl at LV-33 and returned for 33 yards touchdown,1.320,-7.000
2,1:14,,,LVR 15,3,14,Joshua Karty kicks extra point good,0.000,0.000
2,1:14,,,LAR 35,3,14,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
2,1:14,1,10,LVR 30,3,14,Alexander Mattison up the middle for 5 yards (tackle by Neville Gallimore and Jared Verse),0.940,1.070
2,0:40,2,5,LVR 35,3,14,Alexander Mattison up the middle for 5 yards (tackle by Troy Reeder and Neville Gallimore),1.070,1.600
2,0:33,,,,,,Timeout #1 by Las Vegas Raiders,,
2,0:33,1,10,LVR 40,3,14,Gardner Minshew pass complete short right to DJ Turner for 3 yards (tackle by Cobie Durant),1.600,1.460
2,0:27,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:27,2,7,LVR 43,3,14,Gardner Minshew pass complete short left to Alexander Mattison for 18 yards (tackle by Quentin Lake),1.460,2.980
2,0:19,1,10,LAR 39,3,14,Gardner Minshew pass complete short middle to Tre Tucker for 15 yards (tackle by Quentin Lake),2.980,3.970
2,0:13,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:13,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:13,1,10,LAR 24,3,14,Penalty on Gardner Minshew: False Start 5 yards (accepted) (no play),3.970,3.640
2,0:13,1,15,LAR 29,3,14,Gardner Minshew pass incomplete deep left intended for Tre Tucker,3.640,2.760
2,0:08,,,,,,Timeout #3 by Los Angeles Rams,,
2,0:08,2,15,LAR 29,3,14,Gardner Minshew pass incomplete short left,2.760,2.080
2,0:04,3,15,LAR 29,6,14,Daniel Carlson 47 yard field goal good,2.080,3.000
3,15:00,,,LVR 35,6,14,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,LAR 30,6,14,Matthew Stafford pass incomplete short left intended for Demarcus Robinson,0.940,0.390
3,14:56,2,10,LAR 30,6,14,Xavier Smith left end for 6 yards (tackle by Nate Hobbs),0.390,0.500
3,14:17,3,4,LAR 36,6,14,Matthew Stafford pass incomplete short middle intended for Tutu Atwell,0.500,-0.980
3,14:09,4,4,LAR 36,6,14,Ethan Evans punts 52 yards returned by DJ Turner for 7 yards (tackle by Ronnie Rivers). Penalty on Decamerion Richardson: Offensive Holding 9 yards (accepted),-0.980,0.380
3,13:57,1,10,LVR 10,6,14,Alexander Mattison right guard for 2 yards (tackle by Neville Gallimore and Troy Reeder),-0.380,-0.630
3,13:25,2,8,LVR 12,6,14,Alexander Mattison right guard for no gain (tackle by Jared Verse),-0.630,-1.190
3,12:45,3,8,LVR 12,6,14,Gardner Minshew pass incomplete short right,-1.190,-2.490
3,12:37,4,8,LVR 12,6,14,AJ Cole punts 56 yards returned by Xavier Smith for 8 yards (tackle by Jacob Bobenmoyer),-2.490,-1.600
3,12:26,1,10,LAR 40,6,14,Kyren Williams left guard for 2 yards (tackle by Nate Hobbs),1.600,1.320
3,12:04,2,8,LAR 42,6,14,Matthew Stafford pass complete short left to Demarcus Robinson for 9 yards (tackle by Robert Spillane),1.320,2.320
3,11:30,1,10,LVR 49,6,14,Kyren Williams left guard for 1 yard (tackle by Divine Deablo and Maxx Crosby),2.320,1.920
