Quarter,Time,Down,ToGo,Location,MIA,IND,Detail,EPB,EPA
,,,,,,,Dolphins won the coin toss and deferred Colts to receive the opening kickoff.,,
1,15:00,,,MIA 35,0,0,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,IND 30,0,0,Trey Sermon up the middle for -2 yards (tackle by Calais Campbell),0.940,0.120
1,14:24,2,12,IND 28,0,0,Anthony Richardson scrambles left guard for 6 yards (tackle by Jordyn Brooks and Chop Robinson),0.120,0.230
1,13:49,3,6,IND 34,0,0,Anthony Richardson pass incomplete short right intended for Adonai Mitchell,0.230,-1.110
1,13:43,4,6,IND 34,0,0,Rigoberto Sanchez punts 48 yards returned by Braxton Berrios for 9 yards (tackle by Kelvin Joseph),-1.110,-0.740
1,13:32,1,10,MIA 27,0,0,De'Von Achane up the middle for 2 yards (tackle by Grant Stuard and Zaire Franklin),0.740,0.470
1,13:03,2,8,MIA 29,0,0,Tyler Huntley pass incomplete short right,0.470,-0.230
1,12:54,3,8,MIA 29,0,0,Tyler Huntley pass complete short middle to Malik Washington for 2 yards (tackle by Kenny Moore),-0.230,-1.310
1,12:17,4,6,MIA 31,0,0,Jake Bailey punts 59 yards downed by Elijah Campbell,-1.310,0.380
1,12:08,1,10,IND 10,0,0,Anthony Richardson pass incomplete short left intended for Andrew Ogletree,-0.380,-0.780
1,12:04,2,10,IND 10,0,0,Anthony Richardson pass incomplete short left intended for Kylen Granson (defended by Kader Kohou),-0.780,-1.420
1,12:01,3,10,IND 10,0,0,Anthony Richardson pass incomplete deep left intended for Alec Pierce,-1.420,-2.490
1,11:54,4,10,IND 10,0,0,Rigoberto Sanchez punts 48 yards fair catch by Braxton Berrios at MIA-42,-2.490,-1.730
1,11:47,1,10,MIA 42,0,0,De'Von Achane up the middle for 5 yards (tackle by Grant Stuard and Zaire Franklin),1.730,1.860
1,11:18,2,5,MIA 47,0,0,De'Von Achane right guard for 2 yards (tackle by Zaire Franklin and Grover Stewart),1.860,1.420
1,10:38,3,3,MIA 49,0,0,Tyler Huntley pass incomplete short right intended for De'Von Achane. Penalty on Raekwon Davis: Defensive Offside 5 yards (accepted) (no play),1.420,2.520
1,10:35,1,10,IND 46,0,0,De'Von Achane left tackle for 3 yards (tackle by Jaylon Jones and Zaire Franklin),2.520,2.380
1,9:59,2,7,IND 43,0,0,De'Von Achane up the middle for 6 yards (tackle by Jaylon Carlies and Laiatu Latu),2.380,2.480
1,9:31,3,1,IND 37,0,0,Tyler Huntley up the middle for 2 yards (tackle by Jaylon Carlies),2.480,3.250
1,9:00,1,10,IND 35,0,0,Raheem Mostert right tackle for 4 yards (tackle by Grant Stuard and Zaire Franklin),3.250,3.240
1,8:31,2,6,IND 31,0,0,Tyler Huntley pass complete short middle to Jonnu Smith for 18 yards (tackle by Nick Cross),3.240,4.710
1,7:58,1,10,IND 13,0,0,Raheem Mostert up the middle for 11 yards (tackle by Julian Blackmon),4.710,6.740
1,7:12,,,,,,Timeout #1 by Miami Dolphins,,
1,7:12,1,2,IND 2,0,0,Raheem Mostert left tackle for no gain (tackle by Julian Blackmon),6.740,5.720
1,6:44,2,2,IND 2,0,0,Tyler Huntley sacked by Jaylon Carlies for -8 yards,5.720,3.130
1,6:02,3,10,IND 10,6,0,Tyler Huntley pass complete short left to Jonnu Smith for 10 yards touchdown,3.130,7.000
1,5:56,,,IND 15,7,0,Jason Sanders kicks extra point good,0.000,0.000
1,5:56,,,MIA 35,7,0,Jason Sanders kicks off 58 yards returned by Ashton Dulin for 20 yards (tackle by Storm Duck). Penalty on Will Mallory: Offensive Holding 10 yards (accepted),0.000,-0.060
1,5:51,1,10,IND 17,7,0,Tyler Goodson right end for 19 yards (tackle by Jordyn Brooks),-0.060,1.330
1,5:26,1,10,IND 36,7,0,Tyler Goodson right tackle for 9 yards (tackle by Jalen Ramsey),1.330,2.010
1,4:45,2,1,IND 45,7,0,Tyler Goodson left guard for no gain (tackle by Zach Sieler),2.010,1.290
1,4:07,3,1,IND 45,7,0,Trey Sermon left guard for 4 yards (tackle by Quinton Bell and Jordan Poyer),1.290,2.190
1,3:28,1,10,IND 49,7,0,Penalty on Tyus Bowser: Neutral Zone Infraction 5 yards (accepted) (no play),2.190,2.920
1,3:17,1,5,MIA 46,7,0,Anthony Richardson scrambles right end for 3 yards (tackle by Tyus Bowser),2.920,2.730
1,2:42,2,2,MIA 43,7,0,Anthony Richardson pass complete short left to Adonai Mitchell for 14 yards (tackle by Kendall Fuller),2.730,3.640
