Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
,,,,,,,Jets won the coin toss and deferred Steelers to receive the opening kickoff.,,
1,15:00,,,NYJ 35,0,0,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,PIT 30,0,0,Najee Harris right guard for 4 yards (tackle by Micheal Clemons),0.940,0.930
1,14:25,2,6,PIT 34,0,0,Russell Wilson pass complete short right to Darnell Washington for 15 yards (tackle by Brandin Echols),0.930,2.190
1,13:49,1,10,PIT 49,0,0,Najee Harris right end for 18 yards (tackle by Tony Adams and Jamien Sherwood),2.190,3.380
1,13:05,1,10,NYJ 33,0,0,Russell Wilson scrambles right tackle for 1 yard (tackle by Javon Kinlaw),3.380,2.970
1,12:27,2,9,NYJ 32,0,0,Jaylen Warren left tackle for 4 yards (tackle by C.J. Mosley),2.970,2.810
1,11:43,3,5,NYJ 28,0,0,Russell Wilson pass incomplete short right,2.810,1.630
1,11:37,4,5,NYJ 28,0,3,Chris Boswell 46 yard field goal good,1.630,3.000
1,11:33,,,PIT 35,0,3,Chris Boswell kicks off 68 yards returned by Isaiah Davis for 25 yards (tackle by Connor Heyward),0.000,0.410
1,11:28,1,10,NYJ 22,0,3,Aaron Rodgers pass incomplete short right intended for Davante Adams,0.410,-0.130
1,11:24,2,10,NYJ 22,0,3,Breece Hall left guard for 2 yards (tackle by Patrick Queen and Alex Highsmith),-0.130,-0.560
1,10:42,3,8,NYJ 24,0,3,Aaron Rodgers sacked by Larry Ogunjobi for -7 yards,-0.560,-2.320
1,9:51,4,15,NYJ 17,0,3,Thomas Morstead punts 47 yards fair catch by Calvin Austin at PIT-36,-2.320,-1.330
1,9:43,1,10,PIT 36,0,3,Russell Wilson pass complete short left to Jaylen Warren for 4 yards (tackle by Brandin Echols and Tony Adams),1.330,1.330
1,9:07,2,6,PIT 40,0,3,Jaylen Warren right guard for 5 yards (tackle by Leonard Taylor),1.330,1.290
1,8:23,3,1,PIT 45,0,3,Russell Wilson pass incomplete short right intended for Calvin Austin,1.290,-0.390
1,8:16,4,1,PIT 45,0,3,Corliss Waitman punts 43 yards. Xavier Gipson fumbles out of bounds,-0.390,-0.040
1,8:08,1,10,NYJ 18,0,3,Breece Hall left tackle for -1 yards (tackle by Larry Ogunjobi and Alex Highsmith). Penalty on Larry Ogunjobi: Unnecessary Roughness / Defense 15 yards (accepted),0.040,1.070
1,7:46,1,10,NYJ 32,0,3,Aaron Rodgers pass complete short right to Breece Hall for 18 yards (tackle by Minkah Fitzpatrick),1.070,2.260
1,7:03,1,10,PIT 50,0,3,Aaron Rodgers pass complete short left to Davante Adams for 9 yards (tackle by Joey Porter),2.260,2.930
1,6:24,2,1,PIT 41,0,3,Breece Hall right tackle for -3 yards (tackle by DeShon Elliott and T.J. Watt),2.930,1.820
1,5:47,3,4,PIT 44,0,3,Aaron Rodgers pass complete short left to Allen Lazard for 4 yards (tackle by Beanie Bishop),1.820,2.920
1,4:52,1,10,PIT 40,0,3,Aaron Rodgers pass complete short left to Breece Hall for 13 yards (tackle by DeShon Elliott and Joey Porter),2.920,3.780
1,3:53,1,10,PIT 27,0,3,Aaron Rodgers pass complete short right to Braelon Allen for 2 yards (tackle by Patrick Queen),3.780,3.500
1,3:13,2,8,PIT 25,0,3,Aaron Rodgers pass complete short left to Garrett Wilson for 12 yards (tackle by Minkah Fitzpatrick),3.500,4.710
1,2:33,1,10,PIT 13,6,3,Breece Hall left tackle for 13 yards touchdown,4.710,7.000
1,2:27,,,PIT 15,7,3,Greg Zuerlein kicks extra point good,0.000,0.000
1,2:27,,,NYJ 35,7,3,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
1,2:27,1,10,PIT 30,7,3,Russell Wilson pass incomplete short left intended for George Pickens,0.940,0.390
1,2:23,2,10,PIT 30,7,3,Najee Harris right end for -2 yards (tackle by Jalen Mills),0.390,-0.560
1,1:55,3,12,PIT 28,7,3,Russell Wilson pass incomplete short left intended for Pat Freiermuth (defended by Will McDonald),-0.560,-1.500
1,1:47,4,12,PIT 28,7,3,Corliss Waitman punts 55 yards returned by Xavier Gipson for 4 yards. Xavier Gipson fumbles ball out of bounds at NYJ-21 (forced by James Pierre). Xavier Gipson fumbles out of bounds,-1.500,-0.340
1,1:38,1,10,NYJ 21,7,3,Breece Hall left end for -1 yards (tackle by Donte Jackson),0.340,-0.340
1,0:55,2,11,NYJ 20,7,3,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,-0.340,-1.020
1,0:49,3,11,NYJ 20,7,3,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson,-1.020,-2.030
1,0:45,4,11,NYJ 20,7,3,Thomas Morstead punts 46 yards returned by Calvin Austin for no gain (tackle by Qwan'tez Stiggers),-2.030,-1.200
1,0:37,1,10,PIT 34,7,3,Najee Harris right tackle for 2 yards (tackle by C.J. Mosley),1.200,0.930
2,15:00,2,8,PIT 36,7,3,Russell Wilson pass incomplete short left intended for Calvin Austin,0.930,0.230
2,14:58,3,8,PIT 36,7,3,Russell Wilson pass incomplete short left intended for Calvin Austin,0.230,-0.980
2,14:53,4,8,PIT 36,7,3,Corliss Waitman punts 51 yards fair catch by Xavier Gipson at NYJ-13,-0.980,0.320
2,14:45,1,10,NYJ 13,7,3,Breece Hall right tackle for no gain (tackle by Larry Ogunjobi). Penalty on Alijah Vera-Tucker: Offensive Holding 6 yards (accepted) (no play),-0.320,-0.610
2,14:18,1,16,NYJ 7,7,3,Aaron Rodgers pass complete short left to Breece Hall for 5 yards (tackle by Patrick Queen and Payton Wilson),-0.610,-0.850
2,13:44,2,11,NYJ 12,7,3,Aaron Rodgers pass incomplete short left intended for Davante Adams (defended by Cameron Heyward),-0.850,-1.540
2,13:36,3,11,NYJ 12,7,3,Aaron Rodgers pass complete short middle to Davante Adams for 10 yards (tackle by Beanie Bishop),-1.540,-1.900
2,12:53,4,1,NYJ 22,7,3,Thomas Morstead punts 47 yards fair catch by Calvin Austin at PIT-31,-1.900,-1.000
2,12:45,1,10,PIT 31,7,3,Najee Harris right tackle for 1 yard (tackle by Jalen Mills and Quinnen Williams),1.000,0.600
2,12:05,2,9,PIT 32,7,3,Najee Harris right end for 2 yards (tackle by Quincy Williams and Jamien Sherwood). Penalty on Pat Freiermuth: Offensive Holding 10 yards (accepted),0.600,-0.490
2,11:35,2,17,PIT 24,7,3,Russell Wilson pass complete deep left to George Pickens for 44 yards (tackle by Brandin Echols),-0.490,3.450
2,10:53,1,10,NYJ 32,7,3,Jaylen Warren left guard for 3 yards (tackle by Will McDonald),3.450,3.310
2,10:17,2,7,NYJ 29,7,3,Russell Wilson pass complete short right to Darnell Washington for 18 yards (tackle by Sauce Gardner),3.310,4.840
2,9:35,1,10,NYJ 11,7,3,Najee Harris right tackle for 5 yards (tackle by Javon Kinlaw and Jamien Sherwood),4.840,5.080
2,9:09,2,5,NYJ 6,7,3,Najee Harris left guard for -5 yards (tackle by Quincy Williams),5.080,3.130
2,8:32,3,10,NYJ 11,7,3,Russell Wilson pass incomplete short right,3.130,2.700
2,8:24,4,10,NYJ 11,7,6,Chris Boswell 29 yard field goal good,2.700,3.000
2,8:20,,,PIT 35,7,6,Chris Boswell kicks off 66 yards returned by Xavier Gipson for 29 yards (tackle by James Pierre),0.000,0.810
2,8:13,1,10,NYJ 28,7,6,Aaron Rodgers pass complete short middle to Davante Adams for 11 yards (tackle by Donte Jackson),0.810,1.530
2,7:43,1,10,NYJ 39,7,6,Braelon Allen up the middle for 1 yard (tackle by Cameron Heyward),1.530,1.120
2,7:00,2,9,NYJ 40,7,6,Aaron Rodgers pass complete short middle to Breece Hall for 57 yards (tackle by Minkah Fitzpatrick),1.120,6.510
2,6:20,,,,,,Timeout #1 by New York Jets,,
2,6:20,1,3,PIT 3,7,6,Aaron Rodgers pass incomplete short right intended for Irvin Charles,6.510,5.530
2,6:16,2,3,PIT 3,7,6,Breece Hall up the middle for 2 yards (tackle by Alex Highsmith and Beanie Bishop),5.530,5.170
2,5:34,3,1,PIT 1,13,6,Aaron Rodgers pass complete short left to Tyler Conklin for 1 yard touchdown,5.170,7.000
2,5:29,,,PIT 15,13,6,Greg Zuerlein kicks extra point blocked. Penalty on Patrick Queen: Leverage 1 yard (accepted) (no play),0.000,1.000
2,5:29,,,PIT 1,15,6,Two Point Attempt: Aaron Rodgers pass complete to to Garrett Wilson for no gain,1.000,1.000
2,5:29,,,NYJ 35,15,6,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
2,5:29,1,10,PIT 30,15,6,Russell Wilson pass complete short left to Pat Freiermuth for 30 yards (tackle by Jalen Mills and Tony Adams),0.940,2.920
2,4:47,1,10,NYJ 40,15,6,Russell Wilson pass incomplete short middle intended for MyCole Pruitt. Penalty on Ryan McCollum: Offensive Holding 10 yards (accepted) (no play),2.920,2.260
2,4:39,1,20,NYJ 50,15,6,Russell Wilson pass incomplete deep middle intended for George Pickens (defended by Jalen Mills),2.260,1.020
