Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
,,,,,,,Eagles won the coin toss and deferred Giants to receive the opening kickoff.,,
1,15:00,,,PHI 35,0,0,Jake Elliott kicks off 65 yards touchback.. Penalty on Oren Burks: Illegal Formation 5 yards (accepted),0.000,1.270
1,15:00,1,10,NYG 35,0,0,Daniel Jones pass complete short middle to Malik Nabers for 13 yards (tackle by Nakobe Dean and Reed Blankenship),1.270,2.130
1,14:25,1,10,NYG 48,0,0,Daniel Jones pass incomplete short middle intended for Malik Nabers (defended by Darius Slay),2.130,1.580
1,14:20,2,10,NYG 48,0,0,Daniel Jones pass complete short right to Eric Gray for 7 yards (tackle by Cooper DeJean),1.580,1.820
1,13:42,3,3,PHI 45,0,0,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson,1.820,0.270
1,13:38,4,3,PHI 45,0,0,Matt Haack punts 29 yards fair catch by Cooper DeJean at PHI-16,0.270,0.140
1,13:32,1,10,PHI 16,0,0,Jalen Hurts pass complete short right to A.J. Brown for 11 yards (tackle by Deonte Banks),-0.140,0.740
1,12:54,1,10,PHI 27,0,0,Saquon Barkley right guard for 1 yard (tackle by Dexter Lawrence),0.740,0.330
1,12:17,2,9,PHI 28,0,0,Jalen Hurts sacked by Azeez Ojulari for -5 yards,0.330,-1.020
1,11:34,3,14,PHI 23,0,0,Jalen Hurts pass complete short right to Saquon Barkley for 10 yards (tackle by Tyler Nubin),-1.020,-1.180
1,10:47,4,4,PHI 33,0,0,Braden Mann punts 67 yards touchback.,-1.180,-0.280
1,10:39,1,10,NYG 20,0,0,Daniel Jones pass complete short right to Daniel Bellinger for 11 yards (tackle by Jalen Carter). Penalty on Darius Slay: Defensive Holding 5 yards (declined),0.280,1.000
1,10:17,1,10,NYG 31,0,0,Tyrone Tracy right tackle for -1 yards (tackle by Darius Slay),1.000,0.320
1,9:54,2,11,NYG 30,0,0,Daniel Jones pass complete short left to Wan'Dale Robinson for 5 yards (tackle by Quinyon Mitchell),0.320,0.300
1,9:15,3,6,NYG 35,0,0,Daniel Jones sacked by Josh Sweat for -9 yards,0.300,-1.630
1,8:40,4,15,NYG 26,0,0,Matt Haack punts 47 yards returned by Cooper DeJean for 7 yards (tackle by Ty Summers and Matthew Adams),-1.630,-1.200
