Quarter,Time,Down,ToGo,Location,SEA,ATL,Detail,EPB,EPA
,,,,,,,Falcons won the coin toss and deferred Seahawks to receive the opening kickoff.,,
1,15:00,,,ATL 35,0,0,Younghoe Koo kicks off 64 yards returned by Laviska Shenault for 23 yards (tackle by Avery Williams),0.000,0.540
1,14:55,1,10,SEA 24,0,0,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba,0.540,0.000
1,14:49,2,10,SEA 24,0,0,Geno Smith pass incomplete deep right intended for D.K. Metcalf. Penalty on AJ Terrell: Defensive Pass Interference 17 yards (accepted) (no play),0.000,1.660
1,14:45,1,10,SEA 41,0,0,Kenneth Walker right end for 8 yards (tackle by DeAundre Alford),1.660,2.200
1,14:15,2,2,SEA 49,0,0,Kenneth Walker right end for 5 yards (tackle by AJ Terrell),2.200,2.520
1,13:38,1,10,ATL 46,0,0,Geno Smith pass complete deep left to D.K. Metcalf for 22 yards (tackle by Justin Simmons),2.520,3.970
1,13:06,1,10,ATL 24,0,0,Kenneth Walker left tackle for no gain (tackle by Kaden Elliss),3.970,3.430
1,12:27,2,10,ATL 24,0,0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 5 yards (tackle by Jessie Bates),3.430,3.410
1,11:46,3,5,ATL 19,0,0,Geno Smith pass complete short left to Tyler Lockett for 6 yards (tackle by Justin Simmons),3.410,4.710
1,11:03,1,10,ATL 13,0,0,Kenneth Walker right end for no gain touchdown. Penalty on AJ Barner: Offensive Holding 10 yards (accepted) (no play),4.710,4.040
1,10:55,1,20,ATL 23,0,0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 3 yards (tackle by DeAundre Alford),4.040,3.210
1,10:19,2,17,ATL 20,0,0,Geno Smith pass incomplete deep right intended for D.K. Metcalf (defended by AJ Terrell),3.210,2.540
1,10:14,3,17,ATL 20,0,0,Geno Smith pass incomplete deep left intended for Tyler Lockett,2.540,2.120
1,10:09,4,17,ATL 20,3,0,Jason Myers 38 yard field goal good,2.120,3.000
1,10:05,,,SEA 35,3,0,Jason Myers kicks off 62 yards returned by Ray-Ray McCloud for 22 yards (tackle by Brady Russell),0.000,0.610
1,9:58,1,10,ATL 25,3,0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 6 yards (tackle by Nehemiah Pritchett),0.610,0.870
1,9:24,2,4,ATL 31,3,0,Kirk Cousins pass complete short right to Kyle Pitts for 13 yards (tackle by Jerome Baker),0.870,1.860
1,8:55,1,10,ATL 44,3,0,Penalty on Ryan Neuzil: False Start 5 yards (accepted) (no play),1.860,1.530
1,8:48,1,15,ATL 39,3,0,Kirk Cousins pass complete short right to Kyle Pitts for 10 yards (tackle by Jerome Baker),1.530,1.990
1,8:28,2,5,ATL 49,3,0,Kirk Cousins pass incomplete short left intended for Bijan Robinson,1.990,1.290
1,8:23,3,5,ATL 49,3,0,Penalty on Jake Matthews: False Start 5 yards (accepted) (no play),1.290,0.630
1,8:23,3,10,ATL 44,3,0,Penalty on Kyle Pitts: False Start 5 yards (accepted) (no play),0.630,-0.030
1,8:23,3,15,ATL 39,3,0,Kirk Cousins pass complete short left to Kyle Pitts for 8 yards (tackle by Coby Bryant),-0.030,-0.260
1,7:44,4,7,ATL 47,3,0,Bradley Pinion punts 41 yards fair catch by Dee Williams at SEA-12,-0.260,0.350
1,7:36,1,10,SEA 12,3,0,Penalty on Michael Jerrell: False Start 5 yards (accepted) (no play),-0.350,-0.570
1,7:36,1,15,SEA 7,3,0,Geno Smith pass complete short left to D.K. Metcalf for 11 yards (tackle by DeAundre Alford),-0.570,-0.070
1,7:12,2,4,SEA 18,3,0,Geno Smith pass complete short middle to Kenneth Walker for 7 yards (tackle by Kaden Elliss and Nathan Landman),-0.070,0.610
1,6:33,1,10,SEA 25,3,0,Geno Smith pass complete deep left to Noah Fant for 21 yards (tackle by Justin Simmons),0.610,1.990
1,5:59,1,10,SEA 46,3,0,Kenneth Walker right guard for 5 yards (tackle by Arnold Ebiketie),1.990,2.130
1,5:36,2,5,ATL 49,3,0,Kenneth Walker right guard for 7 yards (tackle by Nathan Landman and Kaden Elliss),2.130,2.790
1,4:58,1,10,ATL 42,3,0,Zach Charbonnet left end for -1 yards (tackle by Arnold Ebiketie),2.790,2.110
1,4:18,2,11,ATL 43,3,0,Geno Smith scrambles right guard for 2 yards (tackle by Kaden Elliss and Grady Jarrett),2.110,1.680
1,3:31,3,9,ATL 41,3,0,Geno Smith aborted snap recovered by Geno Smith at ATL-49 and returned for -8 yards,1.680,0.000
1,2:47,4,17,ATL 49,3,0,Michael Dickson punts 37 yards out of bounds,0.000,0.350
1,2:37,1,10,ATL 12,3,0,Bijan Robinson right end for 9 yards (tackle by Julian Love),-0.350,0.420
1,2:11,2,1,ATL 21,3,0,Bijan Robinson right tackle for 5 yards (tackle by Johnathan Hankins and Jerome Baker),0.420,0.670
1,1:49,1,10,ATL 26,3,0,Bijan Robinson right guard for 4 yards (tackle by Jarran Reed),0.670,0.670
1,1:12,2,6,ATL 30,3,0,Kirk Cousins pass complete short left to Darnell Mooney for 11 yards (tackle by Nehemiah Pritchett),0.670,1.660
1,0:29,1,10,ATL 41,3,0,Tyler Allgeier right tackle for no gain (tackle by Tyrel Dodson and Roy Robertson-Harris),1.660,1.120
2,15:00,2,10,ATL 41,3,0,Kirk Cousins pass complete short middle to Kyle Pitts for 10 yards (tackle by Coby Bryant),1.120,2.320
2,14:18,1,10,SEA 49,3,0,Tyler Allgeier left end for 10 yards (tackle by Coby Bryant and Devon Witherspoon),2.320,2.980
2,13:36,1,10,SEA 39,3,0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 3 yards (tackle by Jerome Baker),2.980,2.850
2,12:58,2,7,SEA 36,3,0,Kirk Cousins pass incomplete short middle intended for Darnell Mooney,2.850,2.150
2,12:52,3,7,SEA 36,3,0,Kirk Cousins pass incomplete deep right intended for Ray-Ray McCloud,2.150,0.880
2,12:48,4,7,SEA 36,3,0,Younghoe Koo 54 yard field goal no good,0.880,-1.860
2,12:43,1,10,SEA 44,3,0,Zach Charbonnet right guard for 1 yard (tackle by David Onyemata and Nathan Landman),1.860,1.450
2,12:06,2,9,SEA 45,3,0,Zach Charbonnet right tackle for 2 yards (tackle by AJ Terrell),1.450,1.030
2,11:22,3,7,SEA 47,3,0,Geno Smith pass complete short middle to Noah Fant for 28 yards (tackle by Mike Hughes),1.030,3.910
2,10:35,1,10,ATL 25,3,0,Geno Smith pass complete short left to AJ Barner for 5 yards (tackle by Mike Hughes),3.910,4.040
2,9:59,2,5,ATL 20,9,0,Kenneth Walker right tackle for 20 yards touchdown,4.040,7.000
2,9:52,,,ATL 15,10,0,Jason Myers kicks extra point good,0.000,0.000
2,9:52,,,SEA 35,10,0,Jason Myers kicks off 65 yards touchback.,0.000,0.940
2,9:52,1,10,ATL 30,10,0,Bijan Robinson left end for 26 yards (tackle by Julian Love),0.940,2.650
