Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
,,,,,,,Buccaneers won the coin toss Buccaneers to receive the opening kickoff.,,
1,15:00,,,ATL 35,0,0,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,TAM 30,0,0,Rachaad White right guard for 8 yards (tackle by David Onyemata),0.940,1.470
1,14:23,2,2,TAM 38,0,0,Rachaad White up the middle for 5 yards. Rachaad White fumbles (tackle by James Smith-Williams) recovered by Jessie Bates at TB-43 Replay Assistant challenged the fumble ruling and the play was upheld.,1.470,-2.720
1,14:11,1,10,TAM 43,0,0,Bijan Robinson left tackle for 1 yard (tackle by Calijah Kancey),2.720,2.310
1,13:38,2,9,TAM 42,0,0,Kirk Cousins pass complete short left to Drake London for 6 yards (tackle by Tyrek Funderburk and Lavonte David),2.310,2.410
1,13:02,3,3,TAM 36,0,0,Kirk Cousins pass incomplete short right intended for Drake London,2.410,0.890
1,12:59,4,3,TAM 36,6,0,Kirk Cousins pass complete deep right to Kyle Pitts for 36 yards touchdown. Penalty on Kaevon Merriweather: Defensive Holding 5 yards (declined),0.890,7.000
1,12:52,,,TAM 15,7,0,Younghoe Koo kicks extra point good,0.000,0.000
1,12:52,,,ATL 35,7,0,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
1,12:52,1,10,TAM 30,7,0,Baker Mayfield pass complete short right to Bucky Irving for 8 yards (tackle by Nathan Landman and Jessie Bates),0.940,1.470
1,12:15,2,2,TAM 38,7,0,Bucky Irving right end for 2 yards (tackle by Matt Judon and Kaden Elliss),1.470,1.600
1,11:32,1,10,TAM 40,7,0,Rachaad White right guard for 5 yards (tackle by Grady Jarrett and Kaden Elliss),1.600,1.730
1,10:50,2,5,TAM 45,7,0,Baker Mayfield pass complete short right to Bucky Irving for -3 yards (tackle by Demone Harris),1.730,0.630
1,10:08,3,8,TAM 42,7,0,Baker Mayfield pass complete short right to Cade Otton for 7 yards (tackle by Jessie Bates),0.630,-0.130
1,9:47,4,1,TAM 49,7,0,Baker Mayfield up the middle for 2 yards. Baker Mayfield fumbles (forced by Nathan Landman) recovered by Baker Mayfield at ATL-49,-0.130,2.320
1,9:08,1,10,ATL 49,7,0,Bucky Irving right tackle for 15 yards (tackle by Nathan Landman),2.320,3.310
1,8:26,1,10,ATL 34,7,0,Bucky Irving right tackle for 2 yards (tackle by Ta'Quon Graham and Zach Harrison),3.310,3.040
1,7:45,2,8,ATL 32,7,0,Baker Mayfield pass complete short middle to Sterling Shepard for 4 yards (tackle by Arnold Ebiketie),3.040,2.870
1,7:07,3,4,ATL 28,7,0,Rachaad White left guard for 5 yards (tackle by AJ Terrell and Richie Grant),2.870,4.040
1,6:32,1,10,ATL 23,7,0,Bucky Irving left end for 8 yards (tackle by Matt Judon),4.040,4.750
1,5:54,2,2,ATL 15,7,0,Bucky Irving right guard for 8 yards (tackle by Mike Hughes),4.750,5.600
1,5:10,1,7,ATL 7,7,0,Rachaad White right guard for 2 yards (tackle by Grady Jarrett and Eddie Goldman),5.600,5.150
1,4:31,2,5,ATL 5,7,0,Baker Mayfield pass incomplete short right intended for Cade Otton,5.150,4.260
1,4:25,3,5,ATL 5,7,6,Baker Mayfield pass complete short middle to Cade Otton for 5 yards touchdown,4.260,7.000
1,4:22,,,ATL 15,7,7,Chase McLaughlin kicks extra point good,0.000,0.000
1,4:22,,,TAM 35,7,7,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
1,4:22,1,10,ATL 30,7,7,Kirk Cousins pass complete deep middle to Darnell Mooney for 28 yards (tackle by Lavonte David and Tyrek Funderburk),0.940,2.790
1,3:35,1,10,TAM 42,7,7,Tyler Allgeier right end for 2 yards (tackle by Lavonte David and Zyon McCollum),2.790,2.510
1,2:56,2,8,TAM 40,7,7,Kirk Cousins pass incomplete short middle intended for Darnell Mooney,2.510,1.820
1,2:51,3,8,TAM 40,7,7,Kirk Cousins pass incomplete short right,1.820,0.590
1,2:48,4,8,TAM 40,7,7,Bradley Pinion punts 37 yards downed by Natrone Brooks,0.590,0.380
1,2:37,1,10,TAM 3,7,7,Sean Tucker right guard for no gain (tackle by Jessie Bates),-0.380,-0.780
1,2:02,2,10,TAM 3,7,7,Baker Mayfield pass complete short right to Cade Otton for 11 yards (tackle by Kaden Elliss and James Smith-Williams),-0.780,-0.280
1,1:24,1,10,TAM 14,7,7,Baker Mayfield pass complete short left to Sean Tucker for 12 yards (tackle by AJ Terrell),-0.280,0.670
1,0:46,1,10,TAM 26,7,7,Sean Tucker up the middle for 3 yards (tackle by AJ Terrell),0.670,0.540
1,0:08,2,7,TAM 29,7,7,Penalty on Tristan Wirfs: False Start 5 yards (accepted) (no play),0.540,-0.140
2,15:00,2,12,TAM 24,7,7,Baker Mayfield pass complete short right to Trey Palmer for 4 yards (tackle by Clark Phillips),-0.140,-0.300
2,14:24,3,8,TAM 28,7,7,Baker Mayfield pass complete short left to Cade Otton for 29 yards (tackle by Kaden Elliss),-0.300,2.720
2,13:40,1,10,ATL 43,7,7,Baker Mayfield pass complete short right to Bucky Irving for 7 yards (tackle by Clark Phillips),2.720,3.120
2,13:07,2,3,ATL 36,7,7,Bucky Irving up the middle for 5 yards (tackle by DeAundre Alford and JD Bertrand),3.120,3.510
2,12:31,1,10,ATL 31,7,7,Bucky Irving left guard for 1 yard (tackle by DeAundre Alford),3.510,3.100
2,11:51,2,9,ATL 30,7,7,Baker Mayfield pass complete short middle to Cade Otton for 3 yards (tackle by James Smith-Williams),3.100,2.810
2,11:12,3,6,ATL 27,7,7,Baker Mayfield pass complete short right to Cade Otton for 9 yards (tackle by Clark Phillips),2.810,4.370
2,10:35,1,10,ATL 18,7,13,Baker Mayfield pass complete short left to Rachaad White for 18 yards touchdown,4.370,7.000
2,10:28,,,ATL 15,7,13,Penalty on Jessie Bates: Taunting / Defense 8 yards (accepted) (no play),0.000,0.000
2,10:28,,,ATL 8,7,14,Chase McLaughlin kicks extra point good,0.000,0.000
2,10:28,,,TAM 35,7,14,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
2,10:28,1,10,ATL 30,7,14,Bijan Robinson right end for 7 yards (tackle by Zyon McCollum and K.J. Britt),0.940,1.340
2,9:53,2,3,ATL 37,7,14,Bijan Robinson right end for 2 yards (tackle by Christian Izien and K.J. Britt),1.340,0.890
2,9:24,3,1,ATL 39,7,14,Bijan Robinson up the middle for 2 yards (tackle by Jordan Whitehead and Anthony Nelson),0.890,1.660
2,8:43,1,10,ATL 41,7,14,Kirk Cousins pass complete short left to Ray-Ray McCloud for 6 yards (tackle by Christian Izien),1.660,1.930
2,8:03,2,4,ATL 47,7,14,Tyler Allgeier up the middle for 4 yards (tackle by Jordan Whitehead and Logan Hall),1.930,2.320
2,7:35,1,10,TAM 49,7,14,Kirk Cousins pass incomplete deep middle intended for Darnell Mooney (defended by Tyrek Funderburk),2.320,1.780
2,7:27,2,10,TAM 49,13,14,Kirk Cousins pass complete short middle to Kyle Pitts for 49 yards touchdown Replay Assistant challenged the runner broke the plane ruling and the play was upheld.,1.780,7.000
2,7:19,,,TAM 15,14,14,Younghoe Koo kicks extra point good,0.000,0.000
2,7:19,,,ATL 35,14,14,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
2,7:19,1,10,TAM 30,14,14,Baker Mayfield pass complete short right to Jalen McMillan for no gain (tackle by Clark Phillips). Penalty on Payne Durham: Unnecessary Roughness / Offense 15 yards (accepted) (no play),0.940,-0.500
2,7:00,1,25,TAM 15,14,14,Baker Mayfield pass complete short left to Cade Otton for 9 yards (tackle by Kaden Elliss),-0.500,-0.420
2,6:21,2,16,TAM 24,14,14,Baker Mayfield pass complete short middle to Sterling Shepard for 9 yards (tackle by Nathan Landman),-0.420,0.100
2,5:40,3,7,TAM 33,14,14,Baker Mayfield pass incomplete deep middle intended for Jalen McMillan,0.100,-1.180
2,5:36,4,7,TAM 33,14,14,Trenton Gill punts 42 yards returned by Avery Williams for 14 yards (tackle by Anthony Nelson),-1.180,-1.530
