Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
,,,,,,,Browns won the coin toss and deferred Ravens to receive the opening kickoff.,,
1,15:00,,,CLE 35,0,0,Dustin Hopkins kicks off 66 yards returned by Chris Collier for 24 yards (tackle by D'Anthony Bell and Ogbonnia Okoronkwo),0.000,0.480
1,14:54,1,10,BAL 23,0,0,Lamar Jackson pass complete short right to Charlie Kolar for 9 yards (tackle by Jeremiah Owusu-Koramoah),0.480,1.150
1,14:15,2,1,BAL 32,0,0,Justice Hill left end for 5 yards (tackle by Juan Thornhill),1.150,1.400
1,13:52,1,10,BAL 37,0,0,Lamar Jackson pass complete short middle to Zay Flowers for -1 yards (tackle by Jeremiah Owusu-Koramoah),1.400,0.720
1,13:13,2,11,BAL 36,0,0,Lamar Jackson pass complete short right to Rashod Bateman for 28 yards (tackle by Martin Emerson),0.720,3.180
1,12:33,1,10,CLE 36,0,0,Derrick Henry right tackle for 9 yards (tackle by Denzel Ward and Grant Delpit),3.180,3.850
1,12:00,2,1,CLE 27,0,0,Lamar Jackson pass complete short middle to Mark Andrews for 11 yards (tackle by Juan Thornhill),3.850,4.510
1,11:18,1,10,CLE 16,0,0,Derrick Henry up the middle for 1 yard (tackle by Nathaniel Watson and Mohamoud Diabate),4.510,4.050
1,10:47,2,9,CLE 15,0,0,Lamar Jackson scrambles right end for no gain (tackle by Juan Thornhill). Penalty on Denzel Ward: Defensive Holding 5 yards (offset) . Penalty on Isaiah Likely: Illegal Formation 5 yards (offset) (no play),4.050,4.050
1,10:19,2,9,CLE 15,0,0,Lamar Jackson pass incomplete short right intended for Isaiah Likely (defended by Grant Delpit). Penalty on Ronnie Stanley: Offensive Holding 10 yards (accepted) (no play),4.050,2.740
1,10:15,2,19,CLE 25,0,0,Lamar Jackson pass complete short left to Isaiah Likely for 14 yards (tackle by Grant Delpit),2.740,3.940
1,9:30,3,5,CLE 11,0,0,Lamar Jackson pass complete short right to Mark Andrews for 4 yards (tackle by Martin Emerson),3.940,3.010
1,8:49,4,1,CLE 7,0,0,Derrick Henry right guard for -2 yards (tackle by Jeremiah Owusu-Koramoah and Maurice Hurst),3.010,0.380
1,8:45,1,10,CLE 10,0,0,Nick Chubb left tackle for 3 yards (tackle by Trenton Simpson),-0.380,-0.560
1,8:16,2,7,CLE 13,0,0,Jameis Winston pass complete deep left to David Njoku for 20 yards (tackle by Kyle Hamilton),-0.560,1.140
1,7:33,1,10,CLE 33,0,0,Jameis Winston pass incomplete short left intended for Nick Chubb,1.140,0.590
1,7:31,2,10,CLE 33,0,0,Nick Chubb left end for 6 yards (tackle by Kyle Van Noy and Kyle Hamilton),0.590,0.700
1,6:42,3,4,CLE 39,0,0,Jameis Winston pass complete short right to Elijah Moore for 6 yards (tackle by Kyle Hamilton),0.700,1.930
1,6:07,1,10,CLE 45,0,0,Nick Chubb left tackle for 6 yards (tackle by Brent Urban),1.930,2.190
1,5:25,2,4,BAL 49,0,0,Jameis Winston pass complete deep right to Jerry Jeudy for 19 yards (tackle by Kyle Hamilton),2.190,3.580
1,4:47,1,10,BAL 30,0,0,D'Onta Foreman right tackle for no gain (tackle by Roquan Smith and Eddie Jackson). Penalty on Wyatt Teller: Offensive Holding 10 yards (accepted) (no play),3.580,2.920
1,4:21,1,20,BAL 40,0,0,Jameis Winston pass complete deep middle to Elijah Moore for 16 yards (tackle by Eddie Jackson),2.920,3.840
1,3:36,2,4,BAL 24,0,0,Nick Chubb left guard for -1 yards (tackle by Tavius Robinson and Malik Harrison),3.840,3.010
1,2:52,3,5,BAL 25,0,0,Jameis Winston pass complete short right to Cedric Tillman for 12 yards (tackle by Jalyn Armour-Davis and Eddie Jackson),3.010,4.710
1,2:09,1,10,BAL 13,0,0,Jameis Winston pass incomplete short left intended for Elijah Moore,4.710,4.050
1,2:02,2,10,BAL 13,0,0,Nick Chubb left guard for 4 yards (tackle by Kyle Hamilton),4.050,3.880
1,1:24,3,6,BAL 9,0,0,Jameis Winston pass complete short right to Cedric Tillman for no gain (tackle by Kyle Hamilton and Jalyn Armour-Davis),3.880,2.850
1,0:40,4,6,BAL 9,0,3,Dustin Hopkins 28 yard field goal good,2.850,3.000
1,0:37,,,CLE 35,0,3,Dustin Hopkins kicks off 60 yards returned by Chris Collier for 24 yards (tackle by Ogbonnia Okoronkwo and Khaleke Hudson),0.000,0.870
1,0:33,1,10,BAL 29,0,3,Derrick Henry right end for no gain (tackle by Grant Delpit and Myles Garrett),0.870,0.330
2,15:00,2,10,BAL 29,0,3,Lamar Jackson scrambles right end for 12 yards (tackle by Isaiah McGuire),0.330,1.660
2,14:17,1,10,BAL 41,0,3,Derrick Henry left guard for 39 yards (tackle by Juan Thornhill),1.660,4.240
2,13:27,1,10,CLE 20,0,3,Justice Hill left guard for no gain (tackle by Ogbonnia Okoronkwo and Za'Darius Smith),4.240,3.690
2,12:46,2,10,CLE 20,0,3,Lamar Jackson sacked by Ogbonnia Okoronkwo for -11 yards,3.690,1.550
2,12:04,3,21,CLE 31,0,3,Lamar Jackson pass incomplete deep right intended for Zay Flowers,1.550,1.320
2,11:56,4,21,CLE 31,3,3,Justin Tucker 49 yard field goal good,1.320,3.000
2,11:51,,,BAL 35,3,3,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,11:51,1,10,CLE 30,3,3,Nick Chubb left guard for 15 yards (tackle by Kyle Hamilton and Eddie Jackson),0.940,1.930
2,11:17,1,10,CLE 45,3,3,Jameis Winston pass complete short right to Cedric Tillman for 6 yards (tackle by Eddie Jackson),1.930,2.190
2,10:42,2,4,BAL 49,3,3,Jameis Winston pass incomplete short left intended for David Njoku (defended by Kyle Hamilton),2.190,1.490
2,10:38,3,4,BAL 49,3,3,Jameis Winston pass incomplete short left intended for Elijah Moore (defended by Broderick Washington),1.490,0.000
2,10:32,4,4,BAL 49,3,3,Corey Bojorquez punts 36 yards fair catch by Tylan Wallace at BAL-13,0.000,0.320
2,10:26,1,10,BAL 13,3,3,Lamar Jackson pass incomplete short middle intended for Charlie Kolar (defended by Mohamoud Diabate),-0.320,-0.770
2,10:22,2,10,BAL 13,3,3,Lamar Jackson up the middle for 1 yard (tackle by Isaiah McGuire),-0.770,-1.300
2,9:39,3,9,BAL 14,3,3,Lamar Jackson pass incomplete deep middle intended for Nelson Agholor (defended by Denzel Ward),-1.300,-2.470
2,9:32,4,9,BAL 14,3,3,Jordan Stout punts 60 yards returned by Jaelon Darden for 7 yards (tackle by Chris Board),-2.470,-1.140
2,9:20,1,10,CLE 33,3,3,Jameis Winston pass complete deep left to Elijah Moore for 19 yards,1.140,2.390
2,8:51,1,10,BAL 48,3,3,Jameis Winston pass incomplete short left intended for Elijah Moore. Penalty on Trenton Simpson: Illegal Use of Hands / Defense 5 yards (accepted) (no play),2.390,2.720
2,8:48,1,10,BAL 43,3,3,Nick Chubb left tackle for 8 yards (tackle by Ar'Darius Washington),2.720,3.260
2,8:11,2,2,BAL 35,3,3,D'Onta Foreman left guard for 8 yards (tackle by Roquan Smith),3.260,3.780
2,7:34,1,10,BAL 27,3,3,D'Onta Foreman right tackle for 7 yards (tackle by Eddie Jackson),3.780,4.180
2,6:55,2,3,BAL 20,3,3,Nick Chubb up the middle for -1 yards (tackle by Ar'Darius Washington),4.180,3.340
2,6:13,3,4,BAL 21,3,3,Penalty on Dawand Jones: False Start 5 yards (accepted) (no play),3.340,2.680
2,5:52,3,9,BAL 26,3,3,Jameis Winston pass complete short left to Cedric Tillman for 9 yards (tackle by Brandon Stephens),2.680,4.440
2,5:09,1,10,BAL 17,3,3,Jameis Winston pass complete short right to Pierre Strong for 3 yards (tackle by Kyle Van Noy and Arthur Maulet),4.440,4.320
2,4:32,2,7,BAL 14,3,3,Nick Chubb left end for -1 yards (tackle by Brandon Stephens and Odafe Oweh),4.320,3.340
2,3:51,3,8,BAL 15,3,3,Jameis Winston pass incomplete short left intended for Jordan Akins (defended by Kyle Hamilton),3.340,2.440
2,3:45,4,8,BAL 15,3,6,Dustin Hopkins 33 yard field goal good,2.440,3.000
2,3:41,,,CLE 35,3,6,Dustin Hopkins kicks off 55 yards returned by Chris Collier for 19 yards (tackle by Grant Delpit). Penalty on Malik Harrison: Defensive Holding 10 yards (declined) . Penalty on Trenton Simpson: Defensive Holding 10 yards (accepted),0.000,0.150
2,3:31,1,10,BAL 19,3,6,Lamar Jackson pass incomplete short left intended for Zay Flowers (defended by Juan Thornhill),0.150,-0.390
2,3:30,2,10,BAL 19,3,6,Lamar Jackson up the middle for no gain (tackle by Juan Thornhill). Penalty on Tyler Linderbaum: Offensive Holding 9 yards (accepted) (no play),-0.390,-1.440
2,2:59,2,19,BAL 10,3,6,Lamar Jackson pass complete short middle to Mark Andrews for 5 yards (tackle by Ogbonnia Okoronkwo),-1.440,-1.760
2,2:16,3,14,BAL 15,3,6,Lamar Jackson pass incomplete deep middle intended for Zay Flowers (defended by Rodney McLeod),-1.760,-2.440
2,2:08,4,14,BAL 15,3,6,Jordan Stout punts 55 yards returned by Jaelon Darden for 12 yards (tackle by Tylan Wallace),-2.440,-1.730
2,1:58,1,10,CLE 42,3,6,Nick Chubb left guard for no gain (tackle by Odafe Oweh),1.730,1.190
2,1:20,2,10,CLE 42,3,6,Penalty on Wyatt Teller: False Start 5 yards (accepted) (no play),1.190,0.510
2,1:20,2,15,CLE 37,3,6,Jameis Winston pass incomplete short middle intended for Jerry Jeudy,0.510,-0.160
2,1:14,3,15,CLE 37,3,6,Jameis Winston sacked by Kyle Hamilton for -12 yards. Jameis Winston fumbles (forced by Kyle Hamilton) recovered by Trenton Simpson at CLE-25,-0.160,-3.910
2,1:08,1,10,CLE 25,3,6,Lamar Jackson pass complete short middle to Nelson Agholor for 14 yards (tackle by Rodney McLeod),3.910,4.840
2,0:31,1,10,CLE 11,9,6,Lamar Jackson pass complete short right to Nelson Agholor for 11 yards touchdown,4.840,7.000
2,0:27,,,CLE 15,10,6,Justin Tucker kicks extra point good,0.000,0.000
2,0:27,,,BAL 35,10,6,Justin Tucker kicks off 57 yards returned by Pierre Strong for 18 yards (tackle by Sanoussi Kane),0.000,0.670
2,0:23,1,10,CLE 26,10,6,Jameis Winston sacked by and Tavius Robinson for -1 yards and Yannick Ngakoue for -1 yards,0.670,-0.010
3,15:00,,,BAL 35,10,6,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CLE 30,10,6,Jameis Winston pass complete short right to Jerry Jeudy for 14 yards (tackle by Jalyn Armour-Davis),0.940,1.860
3,14:23,1,10,CLE 44,10,6,Nick Chubb left guard for -1 yards (tackle by Nnamdi Madubuike and Kyle Van Noy),1.860,1.180
