Quarter,Time,Down,ToGo,Location,CAR,DEN,Detail,EPB,EPA
,,,,,,,Panthers won the coin toss and deferred Broncos to receive the opening kickoff.,,
1,15:00,,,CAR 35,0,0,Eddy Piñeiro kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DEN 30,0,0,Javonte Williams right tackle for 3 yards (tackle by Josey Jewell and Demani Richardson),0.940,0.800
1,14:23,2,7,DEN 33,0,0,Jaleel McLaughlin right end for 7 yards (tackle by Xavier Woods),0.800,1.600
1,13:51,1,10,DEN 40,0,0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 8 yards. Lil'Jordan Humphrey fumbles (forced by Shy Tuttle) recovered by Shy Tuttle at DEN-49,1.600,-2.320
1,13:39,1,10,DEN 49,0,0,Bryce Young pass complete short right to Miles Sanders for 7 yards (tackle by Jonathon Cooper),2.320,2.730
1,12:59,2,3,DEN 42,0,0,Chuba Hubbard right end for 8 yards (tackle by Justin Strnad),2.730,3.310
1,12:26,1,10,DEN 34,0,0,Xavier Legette left end for no gain (tackle by Zach Allen),3.310,2.770
1,11:45,2,10,DEN 34,0,0,Chuba Hubbard up the middle for 7 yards (tackle by Justin Strnad and Devon Key),2.770,3.010
1,11:00,3,3,DEN 27,0,0,Miles Sanders right guard for 7 yards (tackle by Zach Allen and Devon Key),3.010,4.240
1,10:21,1,10,DEN 20,0,0,Bryce Young pass complete short left to Miles Sanders for 5 yards (tackle by Devon Key),4.240,4.450
1,9:42,2,5,DEN 15,0,0,Bryce Young pass complete short right to Jalen Coker for 8 yards (tackle by Brandon Jones and Riley Moss),4.450,5.600
1,9:00,1,7,DEN 7,0,0,Bryce Young pass incomplete short left intended for Jalen Coker. Penalty on Brady Christensen: Offensive Holding 10 yards (accepted) (no play),5.600,4.260
1,8:47,1,17,DEN 17,0,0,Chuba Hubbard left tackle for -2 yards (tackle by Zach Allen),4.260,3.070
1,8:03,2,19,DEN 19,0,0,Bryce Young pass complete short left to Chuba Hubbard for 13 yards (tackle by Devon Key),3.070,4.040
1,7:15,3,6,DEN 6,6,0,Bryce Young pass complete short middle to Xavier Legette for 6 yards touchdown,4.040,7.000
1,7:12,,,DEN 15,7,0,Eddy Piñeiro kicks extra point good,0.000,0.000
