Quarter,Time,Down,ToGo,Location,CHI,WAS,Detail,EPB,EPA
,,,,,,,Commanders won the coin toss and deferred Bears to receive the opening kickoff.,,
1,15:00,,,WAS 35,0,0,Austin Seibert kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,CHI 30,0,0,D'Andre Swift right guard for 1 yard (tackle by Jeremy Chinn),0.940,0.530
1,14:26,2,9,CHI 31,0,0,Caleb Williams sacked by Jer'Zhan Newton for -6 yards,0.530,-0.960
1,13:41,3,15,CHI 25,0,0,Penalty on Caleb Williams: Delay of Game 5 yards (accepted) (no play),-0.960,-1.620
1,13:41,3,20,CHI 20,0,0,Caleb Williams pass incomplete short middle intended for D.J. Moore,-1.620,-2.030
1,13:17,4,20,CHI 20,0,0,Tory Taylor punts 68 yards returned by Olamide Zaccheaus for 21 yards. Olamide Zaccheaus fumbles (tackle by Amen Ogbongbemiga recovered by Jeremy McNichols at WAS-36,-2.030,-1.330
1,13:03,1,10,WAS 36,0,0,Brian Robinson up the middle for 2 yards (tackle by T.J. Edwards),1.330,1.060
1,12:39,2,8,WAS 38,0,0,Jayden Daniels pass complete short middle to Zach Ertz for 12 yards (tackle by Elijah Hicks),1.060,2.260
1,12:03,1,10,WAS 50,0,0,Jayden Daniels right end for 9 yards (tackle by Montez Sweat),2.260,2.930
1,11:30,2,1,CHI 41,0,0,Brian Robinson right guard for 6 yards (tackle by Tremaine Edmunds and Tyrique Stevenson),2.930,3.250
1,10:54,1,10,CHI 35,0,0,Brian Robinson right end for 19 yards (tackle by Elijah Hicks),3.250,4.510
1,10:25,1,10,CHI 16,0,0,Brian Robinson up the middle for 9 yards (tackle by Gervon Dexter and Elijah Hicks),4.510,5.540
1,9:55,2,1,CHI 7,0,0,Brian Robinson left tackle for -1 yards (tackle by Byron Cowart),5.540,4.620
1,9:02,3,2,CHI 8,0,0,Jayden Daniels pass incomplete short right intended for Luke McCaffrey (defended by Josh Blackwell),4.620,2.990
1,8:54,4,2,CHI 8,0,3,Austin Seibert 27 yard field goal good,2.990,3.000
1,8:51,,,WAS 35,0,3,Austin Seibert kicks off 64 yards returned by DeAndre Carter for 28 yards (tackle by Mike Sainristil and Jeremy McNichols),0.000,0.870
1,8:37,1,10,CHI 29,0,3,Caleb Williams pass incomplete short middle intended for Rome Odunze,0.870,0.330
1,8:35,2,10,CHI 29,0,3,Caleb Williams scrambles up the middle for 13 yards (tackle by Quan Martin),0.330,1.730
1,7:58,1,10,CHI 42,0,3,Caleb Williams pass complete short middle to Keenan Allen for 17 yards (tackle by Jeremy Chinn and Noah Igbinoghene),1.730,2.850
1,7:16,1,10,WAS 41,0,3,Penalty on Braxton Jones: False Start 5 yards (accepted) (no play),2.850,2.520
1,7:05,1,15,WAS 46,0,3,D'Andre Swift right guard for 5 yards (tackle by Bobby Wagner and Benjamin St-Juste),2.520,2.310
1,6:28,2,10,WAS 41,0,3,Caleb Williams pass incomplete short left intended for Keenan Allen,2.310,1.620
1,6:14,3,10,WAS 41,0,3,Caleb Williams pass incomplete short right intended for Gerald Everett,1.620,0.530
1,6:10,4,10,WAS 41,0,3,Tory Taylor punts 32 yards fair catch by Olamide Zaccheaus at WAS-9,0.530,0.380
1,6:03,1,10,WAS 9,0,3,Brian Robinson up the middle for 2 yards (tackle by Chris Williams and Elijah Hicks),-0.380,-0.630
1,5:32,2,8,WAS 11,0,3,Jayden Daniels pass incomplete short right intended for Noah Brown,-0.630,-1.190
1,5:25,3,8,WAS 11,0,3,Jayden Daniels scrambles right end for 9 yards (tackle by Tyrique Stevenson),-1.190,0.280
1,4:32,1,10,WAS 20,0,3,Jayden Daniels pass complete short middle to Austin Ekeler for 1 yard (tackle by DeMarcus Walker and Austin Booker),0.280,-0.130
1,4:15,2,9,WAS 21,0,3,Jayden Daniels pass incomplete short left intended for Terry McLaurin,-0.130,-0.820
1,4:10,3,9,WAS 21,0,3,Jayden Daniels pass complete deep left to Terry McLaurin for 61 yards (tackle by Tyrique Stevenson),-0.820,4.370
1,3:26,1,10,CHI 18,0,3,Brian Robinson left end for 7 yards (tackle by Tyrique Stevenson),4.370,5.010
1,2:49,2,3,CHI 11,0,3,Brian Robinson left tackle for 4 yards (tackle by Gervon Dexter),5.010,5.600
1,2:07,1,7,CHI 7,0,3,Penalty on Trenton Scott: False Start 5 yards (accepted) (no play),5.600,4.640
1,2:07,1,12,CHI 12,0,3,Brian Robinson up the middle for no gain (tackle by Byron Cowart and Montez Sweat),4.640,3.860
1,1:27,2,12,CHI 12,0,3,Jayden Daniels pass incomplete short right,3.860,3.100
1,1:13,3,12,CHI 12,0,3,Jayden Daniels pass incomplete short middle intended for Austin Ekeler,3.100,2.630
1,1:08,4,12,CHI 12,0,6,Austin Seibert 30 yard field goal good,2.630,3.000
1,1:04,,,WAS 35,0,6,Austin Seibert kicks off 65 yards touchback.,0.000,0.940
1,1:04,1,10,CHI 30,0,6,D'Andre Swift right end for 5 yards (tackle by Mike Sainristil and Percy Butler),0.940,1.070
1,0:33,2,5,CHI 35,0,6,D'Andre Swift left end for 3 yards (tackle by Quan Martin),1.070,0.760
2,15:00,3,2,CHI 38,0,6,Caleb Williams scrambles up the middle for 1 yard (tackle by Dorance Armstrong),0.760,-0.780
2,14:22,4,1,CHI 39,0,6,Tory Taylor punts 52 yards returned by Olamide Zaccheaus for 8 yards (tackle by Jaylon Jones),-0.780,0.060
2,14:01,1,10,WAS 17,0,6,Jayden Daniels pass complete short right to John Bates for 20 yards (tackle by Elijah Hicks),-0.060,1.400
2,13:31,1,10,WAS 37,0,6,Jayden Daniels pass complete short middle to Zach Ertz for 5 yards (tackle by T.J. Edwards),1.400,1.530
