Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss Cowboys to receive the opening kickoff.,,
1,15:00,,,SFO 35,0,0,Anders Carlson kicks off 61 yards returned by KaVontae Turpin for 26 yards (tackle by Patrick Taylor). Penalty on Jalen Tolbert: Illegal Formation 5 yards (accepted),0.000,0.610
1,14:55,1,10,DAL 25,0,0,Ezekiel Elliott right guard for 7 yards (tackle by Nick Bosa),0.610,1.010
1,14:20,2,3,DAL 32,0,0,Dak Prescott pass complete short right to CeeDee Lamb for 4 yards (tackle by De'Vondre Campbell),1.010,1.330
1,13:51,1,10,DAL 36,0,0,Ezekiel Elliott up the middle for no gain (tackle by Deommodore Lenoir and Leonard Floyd),1.330,0.790
1,13:17,2,10,DAL 36,0,0,Dak Prescott pass complete short left to CeeDee Lamb for 5 yards (tackle by Ji'Ayir Brown),0.790,0.760
1,12:39,3,5,DAL 41,0,0,Hunter Luepke right guard for no gain (tackle by Fred Warner and Maliek Collins),0.760,-0.650
1,11:54,4,5,DAL 41,0,0,Bryan Anger punts 52 yards returned by Jacob Cowing for 6 yards (tackle by Ryan Flournoy),-0.650,0.320
1,11:44,1,10,SFO 13,0,0,Deebo Samuel left end for 1 yard (tackle by Carl Lawson and DeMarvion Overshown),-0.320,-0.680
1,11:10,2,9,SFO 14,0,0,Brock Purdy pass complete short middle to Ricky Pearsall for 8 yards (tackle by Amani Oruwariye and DeMarvion Overshown),-0.680,-0.350
1,10:29,3,1,SFO 22,0,0,Penalty on Chris Conley: False Start 5 yards (accepted) (no play),-0.350,-0.940
1,10:16,3,6,SFO 17,0,0,Brock Purdy pass complete deep right to Deebo Samuel for 47 yards (tackle by Malik Hooker),-0.940,3.180
1,9:33,1,10,DAL 36,0,0,Jordan Mason up the middle for 4 yards (tackle by Mazi Smith),3.180,3.180
1,9:11,2,6,DAL 32,0,0,Jordan Mason left end for no gain (tackle by Malik Hooker). Penalty on Kyle Juszczyk: Offensive Holding 10 yards (accepted) (no play),3.180,1.830
1,8:45,2,16,DAL 42,0,0,Brock Purdy pass complete short middle to Ricky Pearsall for 6 yards (tackle by Amani Oruwariye),1.830,1.950
1,7:59,3,10,DAL 36,0,0,Jordan Mason up the middle for 4 yards (tackle by Chauncey Golston),1.950,1.250
1,7:19,4,6,DAL 32,0,3,Anders Carlson 50 yard field goal good,1.250,3.000
1,7:14,,,SFO 35,0,3,Anders Carlson kicks off 59 yards returned by KaVontae Turpin for 26 yards (tackle by Demetrius Flannigan-Fowles),0.000,1.070
1,7:08,1,10,DAL 32,0,3,Dak Prescott pass complete short right to Jake Ferguson for 2 yards (tackle by De'Vondre Campbell),1.070,0.800
1,6:29,2,8,DAL 34,0,3,Dak Prescott pass complete short middle to Dalvin Cook for 10 yards (tackle by De'Vondre Campbell),0.800,1.860
1,5:55,1,10,DAL 44,0,3,Dalvin Cook right tackle for 1 yard (tackle by De'Vondre Campbell),1.860,1.450
1,5:18,2,9,DAL 45,0,3,Dak Prescott pass complete short right to CeeDee Lamb for 10 yards (tackle by Charvarius Ward),1.450,2.590
1,4:36,1,10,SFO 45,0,3,Dak Prescott pass deep left intended for KaVontae Turpin is intercepted by Ji'Ayir Brown at SF-8 and returned for no gain (tackle by KaVontae Turpin),2.590,0.380
1,4:27,1,10,SFO 8,0,3,Jordan Mason left tackle for 6 yards (tackle by Linval Joseph and Carlos Watkins),-0.380,-0.320
1,4:07,2,4,SFO 14,0,3,Brock Purdy pass complete deep right to George Kittle for 16 yards (tackle by Jourdan Lewis),-0.320,0.940
1,3:36,1,10,SFO 30,0,3,Brock Purdy pass incomplete deep left intended for Deebo Samuel,0.940,0.390
1,3:29,2,10,SFO 30,0,3,Isaac Guerendo right tackle for 4 yards (tackle by Donovan Wilson),0.390,0.230
1,2:49,3,6,SFO 34,0,3,Brock Purdy pass incomplete deep left intended for George Kittle,0.230,-1.110
1,2:44,4,6,SFO 34,0,3,Mitch Wishnowsky punts 44 yards returned by KaVontae Turpin for 13 yards (tackle by Demetrius Flannigan-Fowles and Dee Winters). Penalty on Juanyeh Thomas: Unnecessary Roughness / Offense 15 yards (offset) . Penalty on Fred Warner: Unnecessary Roughness / Defense 15 yards (offset),-1.110,-1.270
1,2:33,1,10,DAL 35,0,3,Dak Prescott pass complete short right to CeeDee Lamb for 6 yards (tackle by Charvarius Ward),1.270,1.530
1,2:02,2,4,DAL 41,0,3,Dak Prescott pass complete short left to Jalen Tolbert for no gain (tackle by De'Vondre Campbell). Penalty on Tyler Guyton: Offensive Holding 10 yards (declined) . Penalty on Jake Ferguson: Offensive Holding 10 yards (accepted) (no play),1.530,0.180
1,1:40,2,14,DAL 31,0,3,Ezekiel Elliott up the middle for 5 yards (tackle by Ji'Ayir Brown),0.180,0.170
1,1:06,3,9,DAL 36,0,3,KaVontae Turpin left end for 11 yards. KaVontae Turpin fumbles (forced by Deommodore Lenoir) recovered by Cooper Beebe at DAL-48 (tackle by Deommodore Lenoir),0.170,2.130
1,0:25,1,10,DAL 48,0,3,Dalvin Cook up the middle for 4 yards (tackle by De'Vondre Campbell),2.130,2.120
2,15:00,2,6,SFO 48,0,3,Dalvin Cook right guard for 2 yards (tackle by Charvarius Ward),2.120,1.680
2,14:22,3,4,SFO 46,0,3,Dak Prescott pass complete short middle to CeeDee Lamb for 15 yards (tackle by Ji'Ayir Brown),1.680,3.510
2,13:45,1,10,SFO 31,0,3,Ezekiel Elliott up the middle for 11 yards (tackle by Fred Warner and Malik Mustapha),3.510,4.240
2,13:03,1,10,SFO 20,0,3,Dak Prescott sacked by Nick Bosa for -5 yards,4.240,3.020
2,12:21,2,15,SFO 25,0,3,Ezekiel Elliott up the middle for 5 yards (tackle by Malik Mustapha and Charvarius Ward),3.020,3.010
2,11:44,3,10,SFO 20,0,3,Dak Prescott pass complete short right to Jake Ferguson for 10 yards (tackle by Fred Warner and Leonard Floyd),3.010,4.910
2,11:09,1,10,SFO 10,0,3,Dak Prescott pass incomplete short right intended for Luke Schoonmaker. Penalty on Charvarius Ward: Defensive Pass Interference 9 yards (accepted) (no play),4.910,6.970
2,11:02,1,1,SFO 1,6,3,Ezekiel Elliott up the middle for 1 yard touchdown,6.970,7.000
2,10:58,,,SFO 15,7,3,Brandon Aubrey kicks extra point good,0.000,0.000
2,10:58,,,DAL 35,7,3,Brandon Aubrey kicks off 61 yards returned by Patrick Taylor for 30 yards (tackle by Buddy Johnson),0.000,1.200
2,10:52,1,10,SFO 34,7,3,Brock Purdy pass complete deep right to Deebo Samuel for no gain touchdown. Penalty on Eric Saubert: Offensive Holding 10 yards (accepted) (no play),1.200,0.540
2,10:42,1,20,SFO 24,7,3,Brock Purdy pass complete short right to Ricky Pearsall for 11 yards (tackle by Marist Liufau),0.540,0.790
2,9:59,2,9,SFO 35,7,3,Jordan Mason left guard for 2 yards (tackle by Chauncey Golston and Mazi Smith),0.790,0.370
2,9:21,3,7,SFO 37,7,3,Brock Purdy pass complete short right to Ricky Pearsall for 13 yards (tackle by Amani Oruwariye),0.370,2.260
2,8:40,1,10,SFO 50,7,3,Brock Purdy pass complete short left to Deebo Samuel for 5 yards (tackle by Jourdan Lewis),2.260,2.390
2,7:57,2,5,DAL 45,7,3,Jordan Mason left end for 1 yard (tackle by Chauncey Golston),2.390,1.820
2,7:14,3,4,DAL 44,7,3,Jordan Mason right tackle for 1 yard (tackle by Chauncey Golston and DeMarvion Overshown),1.820,0.400
2,6:35,,,,,,Timeout #1 by Dallas Cowboys,,
2,6:35,4,3,DAL 43,7,3,Brock Purdy pass incomplete short middle intended for Deebo Samuel,0.400,-1.800
2,6:32,1,10,DAL 43,7,3,Penalty on Nick Bosa: Neutral Zone Infraction 5 yards (accepted) (no play),1.800,2.530
2,6:32,1,5,DAL 48,7,3,Dak Prescott pass complete short left to CeeDee Lamb for 5 yards,2.530,2.460
2,6:02,1,10,SFO 47,7,3,Dalvin Cook left guard for no gain (tackle by Jordan Elliott),2.460,1.910
2,5:25,2,10,SFO 47,7,3,Dak Prescott pass complete short right to Jake Ferguson for 6 yards (tackle by Charvarius Ward and De'Vondre Campbell),1.910,2.010
2,4:43,3,4,SFO 41,7,3,Dak Prescott pass complete deep left to Jalen Tolbert for 28 yards (tackle by Deommodore Lenoir). Penalty on Deommodore Lenoir: Illegal Contact 5 yards (declined),2.010,4.710
2,4:25,1,10,SFO 13,7,3,Dak Prescott pass complete short middle to CeeDee Lamb for 3 yards (tackle by Dee Winters),4.710,4.580
2,3:50,2,7,SFO 10,7,3,Dak Prescott pass incomplete short right intended for Brevyn Spann-Ford (defended by Malik Mustapha),4.580,3.650
