Quarter,Time,Down,ToGo,Location,IND,HOU,Detail,EPB,EPA
,,,,,,,Texans won the coin toss Texans to receive the opening kickoff.,,
1,15:00,,,IND 35,0,0,Matt Gay kicks off 67 yards returned by Dameon Pierce for 45 yards (tackle by Ashton Dulin),0.000,1.800
1,14:53,1,10,HOU 43,0,0,C.J. Stroud pass incomplete short right intended for Joe Mixon,1.800,1.250
1,14:50,2,10,HOU 43,0,0,C.J. Stroud pass complete short left to Joe Mixon for 9 yards (tackle by Jaylon Jones),1.250,1.750
1,14:06,3,1,IND 48,0,0,Dare Ogunbowale up the middle for 4 yards (tackle by Zaire Franklin),1.750,2.650
1,13:30,1,10,IND 44,0,0,Joe Mixon left guard for 7 yards (tackle by Nick Cross and E.J. Speed),2.650,3.060
1,12:53,2,3,IND 37,0,0,C.J. Stroud pass complete short middle to Stefon Diggs for 16 yards (tackle by Kenny Moore and Julian Blackmon),3.060,4.170
1,12:10,1,10,IND 21,0,0,C.J. Stroud pass incomplete short left intended for John Metchie (defended by E.J. Speed),4.170,3.630
1,12:04,2,10,IND 21,0,0,C.J. Stroud pass incomplete short middle intended for Stefon Diggs (defended by Jaylon Jones),3.630,2.940
1,12:00,3,10,IND 21,0,0,C.J. Stroud pass complete short left to Tank Dell for 5 yards (tackle by Nick Cross),2.940,2.430
1,11:18,4,5,IND 16,0,3,Ka'imi Fairbairn 35 yard field goal good,2.430,3.000
1,11:15,,,HOU 35,0,3,Ka'imi Fairbairn kicks off 60 yards returned by Ashton Dulin for 55 yards (tackle by D'Angelo Ross and Dare Ogunbowale),0.000,2.920
1,11:06,1,10,HOU 40,0,3,Anthony Richardson pass incomplete deep right intended for Michael Pittman (defended by Eric Murray),2.920,2.370
1,11:00,2,10,HOU 40,0,3,Anthony Richardson pass complete short left to Jonathan Taylor for 12 yards (tackle by Tim Settle),2.370,3.710
1,10:22,1,10,HOU 28,0,3,Anthony Richardson pass incomplete deep left intended for Mo Alie-Cox (defended by Eric Murray),3.710,3.170
1,10:14,2,10,HOU 28,0,3,Anthony Richardson pass incomplete short right intended for Josh Downs (defended by Derek Stingley),3.170,2.480
1,10:10,3,10,HOU 28,0,3,Anthony Richardson pass incomplete deep right intended for Adonai Mitchell,2.480,1.590
1,10:03,4,10,HOU 28,3,3,Matt Gay 46 yard field goal good,1.590,3.000
1,10:00,,,IND 35,3,3,Matt Gay kicks off 66 yards returned by Dameon Pierce for 33 yards (tackle by Segun Olubi),0.000,1.070
1,9:49,1,10,HOU 32,3,3,Joe Mixon right guard for 4 yards (tackle by Kenny Moore),1.070,1.070
1,9:07,2,6,HOU 36,3,3,Dameon Pierce left tackle for 4 yards (tackle by Nick Cross and Zaire Franklin),1.070,0.890
1,8:26,3,2,HOU 40,3,3,C.J. Stroud pass incomplete short right intended for Dalton Schultz,0.890,-0.720
1,8:22,4,2,HOU 40,3,3,Tommy Townsend punts 32 yards out of bounds,-0.720,-0.810
1,8:14,1,10,IND 28,3,3,Penalty on Quenton Nelson: False Start 5 yards (accepted) (no play),0.810,0.480
1,8:14,1,15,IND 23,3,3,Jonathan Taylor left guard for 18 yards (tackle by Eric Murray and Devin White),0.480,1.660
1,7:44,1,10,IND 41,3,3,Anthony Richardson scrambles right end for 11 yards (tackle by Jalen Pitre),1.660,2.390
1,7:20,1,10,HOU 48,3,3,Jonathan Taylor left end for -3 yards (tackle by Jalen Pitre),2.390,1.440
